LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,DC
1734243938.758777,897633.000,13749,4,DC,2,100,EA
1734243938.758777,897633.000,13749,4,DC,2,100,2
1734243938.758777,897633.000,13749,4,DC,2,100,EL
1734243938.758777,897633.000,13749,4,DC,2,100,2
1734243938.783778,897658.000,13766,4,DC,2,100,EA
1734243938.808778,897683.000,13766,4,DC,2,100,1
1734243938.833778,897708.000,13766,4,DC,2,100,EL
1734243938.858779,897733.000,13766,4,DC,2,100,1
1734243938.885779,897760.000,13785,4,DC,2,100,EA
1734243938.912779,897787.000,13785,4,DC,2,100,1
1734243938.939780,897814.000,13785,4,DC,2,100,EL
1734243938.966780,897841.000,13785,4,DC,2,100,1
1734243939.015530,897889.750,13817,4,DC,2,100,EA
1734243939.064281,897938.500,13817,4,DC,2,100,2
1734243939.113032,897987.250,13817,4,DC,2,100,EL
1734243939.161782,898036.000,13817,4,DC,2,100,2
1734243939.187532,898061.750,13834,4,DC,2,100,EA
1734243939.213283,898087.500,13834,4,DC,2,100,1
1734243939.239033,898113.250,13834,4,DC,2,100,EL
1734243939.264783,898139.000,13834,4,DC,2,100,1
1734243939.290284,898164.500,13855,4,DC,2,100,EA
1734243939.315784,898190.000,13855,4,DC,2,100,2
1734243939.341284,898215.500,13855,4,DC,2,100,EL
1734243939.366785,898241.000,13855,4,DC,2,100,2
1734243939.391535,898265.750,13872,4,DC,2,100,EA
1734243939.416285,898290.500,13872,4,DC,2,100,1
1734243939.441035,898315.250,13872,4,DC,2,100,EL
1734243939.465786,898340.000,13872,4,DC,2,100,1
1734243939.492036,898366.250,13888,4,DC,2,100,EA
1734243939.518286,898392.500,13888,4,DC,2,100,2
1734243939.544537,898418.750,13888,4,DC,2,100,EL
1734243939.570787,898445.000,13888,4,DC,2,100,2
1734243939.595537,898469.750,13906,4,DC,2,100,EA
1734243939.620287,898494.500,13906,4,DC,2,100,1
1734243939.645038,898519.250,13906,4,DC,2,100,EL
1734243939.669788,898544.000,13906,4,DC,2,100,1
1734243939.695038,898569.250,13924,4,DC,2,100,EA
1734243939.720289,898594.500,13924,4,DC,2,100,2
1734243939.745539,898619.750,13924,4,DC,2,100,EL
1734243939.770789,898645.000,13924,4,DC,2,100,2
1734243939.795789,898670.000,13941,4,DC,2,100,EA
1734243939.820790,898695.000,13941,4,DC,2,100,1
1734243939.845790,898720.000,13941,4,DC,2,100,EL
1734243939.870790,898745.000,13941,4,DC,2,100,1
1734243939.896541,898770.750,13958,4,DC,2,100,EA
1734243939.922291,898796.500,13958,4,DC,2,100,2
1734243939.948041,898822.250,13958,4,DC,2,100,EL
1734243939.973792,898848.000,13958,4,DC,2,100,2
1734243939.999292,898873.500,13975,4,DC,2,100,EA
1734243940.024792,898899.000,13975,4,DC,2,100,1
1734243940.050292,898924.500,13975,4,DC,2,100,EL
1734243940.075793,898950.000,13975,4,DC,2,100,1
1734243940.100543,898974.750,13993,4,DC,2,100,EA
1734243940.125293,898999.500,13993,4,DC,2,100,2
1734243940.150043,899024.250,13993,4,DC,2,100,EL
1734243940.174794,899049.000,13993,4,DC,2,100,2
1734243940.200794,899075.000,14010,4,DC,2,100,EA
1734243940.226794,899101.000,14010,4,DC,2,100,1
1734243940.252795,899127.000,14010,4,DC,2,100,EL
1734243940.278795,899153.000,14010,4,DC,2,100,1
1734243940.304045,899178.250,14027,4,DC,2,100,EA
1734243940.329296,899203.500,14027,4,DC,2,100,2
1734243940.354546,899228.750,14027,4,DC,2,100,EL
1734243940.379796,899254.000,14027,4,DC,2,100,2
1734243940.405046,899279.250,14044,4,DC,2,100,EA
1734243940.430297,899304.500,14044,4,DC,2,100,1
1734243940.455547,899329.750,14044,4,DC,2,100,EL
1734243940.480797,899355.000,14044,4,DC,2,100,1
1734243940.506548,899380.750,14062,4,DC,2,100,EA
1734243940.532298,899406.500,14062,4,DC,2,100,2
1734243940.558048,899432.250,14062,4,DC,2,100,EL
1734243940.583799,899458.000,14062,4,DC,2,100,2
1734243940.609049,899483.250,14080,4,DC,2,100,EA
1734243940.634299,899508.500,14080,4,DC,2,100,1
1734243940.659549,899533.750,14080,4,DC,2,100,EL
1734243940.684800,899559.000,14080,4,DC,2,100,1
1734243940.710050,899584.250,14097,4,DC,2,100,EA
1734243940.735300,899609.500,14097,4,DC,2,100,2
1734243940.760550,899634.750,14097,4,DC,2,100,EL
1734243940.785801,899660.000,14097,4,DC,2,100,2
1734243940.811051,899685.250,14113,4,DC,2,100,EA
1734243940.836302,899710.500,14113,4,DC,2,100,1
1734243940.861552,899735.750,14113,4,DC,2,100,EL
1734243940.886802,899761.000,14113,4,DC,2,100,1
1734243940.912052,899786.250,14132,4,DC,2,100,EA
1734243940.937303,899811.500,14132,4,DC,2,100,2
1734243940.962553,899836.750,14132,4,DC,2,100,EL
1734243940.987803,899862.000,14132,4,DC,2,100,2
1734243941.015553,899889.750,14149,4,DC,2,100,EA
1734243941.043304,899917.500,14149,4,DC,2,100,2
1734243941.071054,899945.250,14149,4,DC,2,100,EL
1734243941.098804,899973.000,14149,4,DC,2,100,2
1734243941.121805,899996.000,14167,4,DC,2,100,EA
1734243941.144805,900019.000,14167,4,DC,2,100,1
1734243941.167805,900042.000,14167,4,DC,2,100,EL
1734243941.190806,900065.000,14167,4,DC,2,100,1
1734243941.216306,900090.500,14183,4,DC,2,100,EA
1734243941.241806,900116.000,14183,4,DC,2,100,2
1734243941.267307,900141.500,14183,4,DC,2,100,EL
1734243941.292807,900167.000,14183,4,DC,2,100,2
1734243941.318807,900193.000,14201,4,DC,2,100,EA
1734243941.344807,900219.000,14201,4,DC,2,100,1
1734243941.370808,900245.000,14201,4,DC,2,100,EL
1734243941.396808,900271.000,14201,4,DC,2,100,1
1734243941.422308,900296.500,14218,4,DC,2,100,EA
1734243941.447809,900322.000,14218,4,DC,2,100,2
1734243941.473309,900347.500,14218,4,DC,2,100,EL
1734243941.498809,900373.000,14218,4,DC,2,100,2
1734243941.523809,900398.000,14236,4,DC,2,100,EA
1734243941.548810,900423.000,14236,4,DC,2,100,1
1734243941.573810,900448.000,14236,4,DC,2,100,EL
1734243941.598810,900473.000,14236,4,DC,2,100,1
1734243941.625311,900499.500,14252,4,DC,2,100,EA
1734243941.651811,900526.000,14252,4,DC,2,100,2
1734243941.678311,900552.500,14252,4,DC,2,100,EL
1734243941.704812,900579.000,14252,4,DC,2,100,2
1734243941.729312,900603.500,14270,4,DC,2,100,EA
1734243941.753812,900628.000,14270,4,DC,2,100,1
1734243941.778312,900652.500,14270,4,DC,2,100,EL
1734243941.802813,900677.000,14270,4,DC,2,100,1
1734243941.828313,900702.500,14287,4,DC,2,100,EA
1734243941.853813,900728.000,14287,4,DC,2,100,2
1734243941.879313,900753.500,14287,4,DC,2,100,EL
1734243941.904814,900779.000,14287,4,DC,2,100,2
1734243941.930064,900804.250,14306,4,DC,2,100,EA
1734243941.955314,900829.500,14306,4,DC,2,100,1
1734243941.980565,900854.750,14306,4,DC,2,100,EL
1734243942.005815,900880.000,14306,4,DC,2,100,1
1734243942.031065,900905.250,14321,4,DC,2,100,EA
1734243942.056316,900930.500,14321,4,DC,2,100,2
1734243942.081566,900955.750,14321,4,DC,2,100,EL
1734243942.106816,900981.000,14321,4,DC,2,100,2
1734243942.133066,901007.250,14339,4,DC,2,100,EA
1734243942.159317,901033.500,14339,4,DC,2,100,1
1734243942.185567,901059.750,14339,4,DC,2,100,EL
1734243942.211818,901086.000,14339,4,DC,2,100,1
1734243942.236068,901110.250,14357,4,DC,2,100,EA
1734243942.260318,901134.500,14357,4,DC,2,100,2
1734243942.284568,901158.750,14357,4,DC,2,100,EL
1734243942.308819,901183.000,14357,4,DC,2,100,2
1734243942.334319,901208.500,14375,4,DC,2,100,EA
1734243942.359819,901234.000,14375,4,DC,2,100,1
1734243942.385319,901259.500,14375,4,DC,2,100,EL
1734243942.410820,901285.000,14375,4,DC,2,100,1
1734243942.436070,901310.250,14390,4,DC,2,100,EA
1734243942.461320,901335.500,14390,4,DC,2,100,2
1734243942.486571,901360.750,14390,4,DC,2,100,EL
1734243942.511821,901386.000,14390,4,DC,2,100,2
1734243942.537071,901411.250,14408,4,DC,2,100,EA
1734243942.562321,901436.500,14408,4,DC,2,100,1
1734243942.587572,901461.750,14408,4,DC,2,100,EL
1734243942.612822,901487.000,14408,4,DC,2,100,1
1734243942.638822,901513.000,14426,4,DC,2,100,EA
1734243942.664823,901539.000,14426,4,DC,2,100,2
1734243942.690823,901565.000,14426,4,DC,2,100,EL
1734243942.716823,901591.000,14426,4,DC,2,100,2
1734243942.741323,901615.500,14444,4,DC,2,100,EA
1734243942.765824,901640.000,14444,4,DC,2,100,1
1734243942.790324,901664.500,14444,4,DC,2,100,EL
1734243942.814824,901689.000,14444,4,DC,2,100,1
1734243942.840575,901714.750,14460,4,DC,2,100,EA
1734243942.866325,901740.500,14460,4,DC,2,100,2
1734243942.892075,901766.250,14460,4,DC,2,100,EL
1734243942.917825,901792.000,14460,4,DC,2,100,2
1734243942.942826,901817.000,14478,4,DC,2,100,EA
1734243942.967826,901842.000,14478,4,DC,2,100,1
1734243942.992826,901867.000,14478,4,DC,2,100,EL
1734243943.017827,901892.000,14478,4,DC,2,100,1
1734243943.043077,901917.250,14495,4,DC,2,100,EA
1734243943.068327,901942.500,14495,4,DC,2,100,2
1734243943.093578,901967.750,14495,4,DC,2,100,EL
1734243943.118828,901993.000,14495,4,DC,2,100,2
1734243943.143828,902018.000,14513,4,DC,2,100,EA
1734243943.168828,902043.000,14513,4,DC,2,100,1
1734243943.193829,902068.000,14513,4,DC,2,100,EL
1734243943.218829,902093.000,14513,4,DC,2,100,1
1734243943.244579,902118.750,14530,4,DC,2,100,EA
1734243943.270330,902144.500,14530,4,DC,2,100,2
1734243943.296080,902170.250,14530,4,DC,2,100,EL
1734243943.321830,902196.000,14530,4,DC,2,100,2
1734243943.347331,902221.500,14547,4,DC,2,100,EA
1734243943.372831,902247.000,14547,4,DC,2,100,2
1734243943.398331,902272.500,14547,4,DC,2,100,EL
1734243943.423831,902298.000,14547,4,DC,2,100,2
1734243943.449082,902323.250,14564,4,DC,2,100,EA
1734243943.474332,902348.500,14564,4,DC,2,100,1
1734243943.499582,902373.750,14564,4,DC,2,100,EL
1734243943.524832,902399.000,14564,4,DC,2,100,1
1734243943.551833,902426.000,14583,4,DC,2,100,EA
1734243943.578833,902453.000,14583,4,DC,2,100,2
1734243943.605834,902480.000,14583,4,DC,2,100,EL
1734243943.632834,902507.000,14583,4,DC,2,100,2
1734243943.656084,902530.250,14600,4,DC,2,100,EA
1734243943.679334,902553.500,14600,4,DC,2,100,1
1734243943.702585,902576.750,14600,4,DC,2,100,EL
1734243943.725835,902600.000,14600,4,DC,2,100,1
1734243943.751335,902625.500,14616,4,DC,2,100,EA
1734243943.776835,902651.000,14616,4,DC,2,100,2
1734243943.802336,902676.500,14616,4,DC,2,100,EL
1734243943.827836,902702.000,14616,4,DC,2,100,2
1734243943.853586,902727.750,14633,4,DC,2,100,EA
1734243943.879337,902753.500,14633,4,DC,2,100,1
1734243943.905087,902779.250,14633,4,DC,2,100,EL
1734243943.930837,902805.000,14633,4,DC,2,100,1
1734243943.956337,902830.500,14652,4,DC,2,100,EA
1734243943.981838,902856.000,14652,4,DC,2,100,2
1734243944.007338,902881.500,14652,4,DC,2,100,EL
1734243944.032838,902907.000,14652,4,DC,2,100,2
1734243944.057589,902931.750,14669,4,DC,2,100,EA
1734243944.082339,902956.500,14669,4,DC,2,100,1
1734243944.107089,902981.250,14669,4,DC,2,100,EL
1734243944.131840,903006.000,14669,4,DC,2,100,1
1734243944.158090,903032.250,14685,4,DC,2,100,EA
1734243944.184340,903058.500,14685,4,DC,2,100,2
1734243944.210591,903084.750,14685,4,DC,2,100,EL
1734243944.236841,903111.000,14685,4,DC,2,100,2
1734243944.261591,903135.750,14703,4,DC,2,100,EA
1734243944.286341,903160.500,14703,4,DC,2,100,1
1734243944.311092,903185.250,14703,4,DC,2,100,EL
1734243944.335842,903210.000,14703,4,DC,2,100,1
1734243944.361092,903235.250,14723,4,DC,2,100,EA
1734243944.386343,903260.500,14723,4,DC,2,100,2
1734243944.411593,903285.750,14723,4,DC,2,100,EL
1734243944.436843,903311.000,14723,4,DC,2,100,2
1734243944.461843,903336.000,14740,4,DC,2,100,EA
1734243944.486844,903361.000,14740,4,DC,2,100,1
1734243944.511844,903386.000,14740,4,DC,2,100,EL
1734243944.536844,903411.000,14740,4,DC,2,100,1
1734243944.562595,903436.750,14757,4,DC,2,100,EA
1734243944.588345,903462.500,14757,4,DC,2,100,2
1734243944.614095,903488.250,14757,4,DC,2,100,EL
1734243944.639845,903514.000,14757,4,DC,2,100,2
1734243944.664846,903539.000,14774,4,DC,2,100,EA
1734243944.689846,903564.000,14774,4,DC,2,100,1
1734243944.714846,903589.000,14774,4,DC,2,100,EL
1734243944.739847,903614.000,14774,4,DC,2,100,1
1734243944.765097,903639.250,14792,4,DC,2,100,EA
1734243944.790347,903664.500,14792,4,DC,2,100,2
1734243944.815598,903689.750,14792,4,DC,2,100,EL
1734243944.840848,903715.000,14792,4,DC,2,100,2
1734243944.866598,903740.750,14809,4,DC,2,100,EA
1734243944.892348,903766.500,14809,4,DC,2,100,1
1734243944.918099,903792.250,14809,4,DC,2,100,EL
1734243944.943849,903818.000,14809,4,DC,2,100,1
1734243944.969349,903843.500,14826,4,DC,2,100,EA
1734243944.994849,903869.000,14826,4,DC,2,100,2
1734243945.020350,903894.500,14826,4,DC,2,100,EL
1734243945.045850,903920.000,14826,4,DC,2,100,2
1734243945.071100,903945.250,14843,4,DC,2,100,EA
1734243945.096351,903970.500,14843,4,DC,2,100,1
1734243945.121601,903995.750,14843,4,DC,2,100,EL
1734243945.146851,904021.000,14843,4,DC,2,100,1
1734243945.172602,904046.750,14861,4,DC,2,100,EA
1734243945.198352,904072.500,14861,4,DC,2,100,2
1734243945.224102,904098.250,14861,4,DC,2,100,EL
1734243945.249852,904124.000,14861,4,DC,2,100,2
1734243945.274853,904149.000,14879,4,DC,2,100,EA
1734243945.299853,904174.000,14879,4,DC,2,100,1
1734243945.324853,904199.000,14879,4,DC,2,100,EL
1734243945.349854,904224.000,14879,4,DC,2,100,1
1734243945.375354,904249.500,14896,4,DC,2,100,EA
1734243945.400854,904275.000,14896,4,DC,2,100,2
1734243945.426355,904300.500,14896,4,DC,2,100,EL
1734243945.451855,904326.000,14896,4,DC,2,100,2
1734243945.477105,904351.250,14912,4,DC,2,100,EA
1734243945.502355,904376.500,14912,4,DC,2,100,1
1734243945.527606,904401.750,14912,4,DC,2,100,EL
1734243945.552856,904427.000,14912,4,DC,2,100,1
1734243945.578356,904452.500,14931,4,DC,2,100,EA
1734243945.603857,904478.000,14931,4,DC,2,100,2
1734243945.629357,904503.500,14931,4,DC,2,100,EL
1734243945.654857,904529.000,14931,4,DC,2,100,2
1734243945.682358,904556.500,14948,4,DC,2,100,EA
1734243945.709858,904584.000,14948,4,DC,2,100,2
1734243945.737358,904611.500,14948,4,DC,2,100,EL
1734243945.764858,904639.000,14948,4,DC,2,100,2
1734243945.787859,904662.000,14966,4,DC,2,100,EA
1734243945.810859,904685.000,14966,4,DC,2,100,1
1734243945.833859,904708.000,14966,4,DC,2,100,EL
1734243945.856859,904731.000,14966,4,DC,2,100,1
1734243945.882360,904756.500,14982,4,DC,2,100,EA
1734243945.907860,904782.000,14982,4,DC,2,100,2
1734243945.933360,904807.500,14982,4,DC,2,100,EL
1734243945.958861,904833.000,14982,4,DC,2,100,2
1734243945.984111,904858.250,15000,4,DC,2,100,EA
1734243946.009361,904883.500,15000,4,DC,2,100,1
1734243946.034611,904908.750,15000,4,DC,2,100,EL
1734243946.059862,904934.000,15000,4,DC,2,100,1
1734243946.086112,904960.250,15017,4,DC,2,100,EA
1734243946.112362,904986.500,15017,4,DC,2,100,2
1734243946.138613,905012.750,15017,4,DC,2,100,EL
1734243946.164863,905039.000,15017,4,DC,2,100,2
1734243946.189613,905063.750,15035,4,DC,2,100,EA
1734243946.214364,905088.500,15035,4,DC,2,100,1
1734243946.239114,905113.250,15035,4,DC,2,100,EL
1734243946.263864,905138.000,15035,4,DC,2,100,1
1734243946.289114,905163.250,15051,4,DC,2,100,EA
1734243946.314365,905188.500,15051,4,DC,2,100,2
1734243946.339615,905213.750,15051,4,DC,2,100,EL
1734243946.364865,905239.000,15051,4,DC,2,100,2
1734243946.390116,905264.250,15069,4,DC,2,100,EA
1734243946.415366,905289.500,15069,4,DC,2,100,1
1734243946.440616,905314.750,15069,4,DC,2,100,EL
1734243946.465867,905340.000,15069,4,DC,2,100,1
1734243946.491867,905366.000,15086,4,DC,2,100,EA
1734243946.517867,905392.000,15086,4,DC,2,100,2
1734243946.543867,905418.000,15086,4,DC,2,100,EL
1734243946.569868,905444.000,15086,4,DC,2,100,2
1734243946.594368,905468.500,15105,4,DC,2,100,EA
1734243946.618868,905493.000,15105,4,DC,2,100,1
1734243946.643369,905517.500,15105,4,DC,2,100,EL
1734243946.667869,905542.000,15105,4,DC,2,100,1
1734243946.693619,905567.750,15120,4,DC,2,100,EA
1734243946.719369,905593.500,15120,4,DC,2,100,2
1734243946.745120,905619.250,15120,4,DC,2,100,EL
1734243946.770870,905645.000,15120,4,DC,2,100,2
1734243946.795870,905670.000,15138,4,DC,2,100,EA
1734243946.820871,905695.000,15138,4,DC,2,100,1
1734243946.845871,905720.000,15138,4,DC,2,100,EL
1734243946.870871,905745.000,15138,4,DC,2,100,1
1734243946.896122,905770.250,15156,4,DC,2,100,EA
1734243946.921372,905795.500,15156,4,DC,2,100,2
1734243946.946622,905820.750,15156,4,DC,2,100,EL
1734243946.971872,905846.000,15156,4,DC,2,100,2
1734243946.996873,905871.000,15174,4,DC,2,100,EA
1734243947.021873,905896.000,15174,4,DC,2,100,1
1734243947.046873,905921.000,15174,4,DC,2,100,EL
1734243947.071874,905946.000,15174,4,DC,2,100,1
1734243947.097374,905971.500,15189,4,DC,2,100,EA
1734243947.122874,905997.000,15189,4,DC,2,100,2
1734243947.148375,906022.500,15189,4,DC,2,100,EL
1734243947.173875,906048.000,15189,4,DC,2,100,2
1734243947.199875,906074.000,15207,4,DC,2,100,EA
1734243947.225875,906100.000,15207,4,DC,2,100,1
1734243947.251876,906126.000,15207,4,DC,2,100,EL
1734243947.277876,906152.000,15207,4,DC,2,100,1
1734243947.303126,906177.250,15225,4,DC,2,100,EA
1734243947.328377,906202.500,15225,4,DC,2,100,2
1734243947.353627,906227.750,15225,4,DC,2,100,EL
1734243947.378877,906253.000,15225,4,DC,2,100,2
1734243947.403877,906278.000,15243,4,DC,2,100,EA
1734243947.428878,906303.000,15243,4,DC,2,100,1
1734243947.453878,906328.000,15243,4,DC,2,100,EL
1734243947.478878,906353.000,15243,4,DC,2,100,1
1734243947.504879,906379.000,15258,4,DC,2,100,EA
1734243947.530879,906405.000,15258,4,DC,2,100,2
1734243947.556879,906431.000,15258,4,DC,2,100,EL
1734243947.582880,906457.000,15258,4,DC,2,100,2
1734243947.608130,906482.250,15277,4,DC,2,100,EA
1734243947.633380,906507.500,15277,4,DC,2,100,1
1734243947.658630,906532.750,15277,4,DC,2,100,EL
1734243947.683881,906558.000,15277,4,DC,2,100,1
1734243947.709131,906583.250,15294,4,DC,2,100,EA
1734243947.734381,906608.500,15294,4,DC,2,100,2
1734243947.759632,906633.750,15294,4,DC,2,100,EL
1734243947.784882,906659.000,15294,4,DC,2,100,2
1734243947.809882,906684.000,15312,4,DC,2,100,EA
1734243947.834882,906709.000,15312,4,DC,2,100,1
1734243947.859883,906734.000,15312,4,DC,2,100,EL
1734243947.884883,906759.000,15312,4,DC,2,100,1
1734243947.910633,906784.750,15329,4,DC,2,100,EA
1734243947.936383,906810.500,15329,4,DC,2,100,2
1734243947.962134,906836.250,15329,4,DC,2,100,EL
1734243947.987884,906862.000,15329,4,DC,2,100,2
1734243948.013384,906887.500,15346,4,DC,2,100,EA
1734243948.038885,906913.000,15346,4,DC,2,100,2
1734243948.064385,906938.500,15346,4,DC,2,100,EL
1734243948.089885,906964.000,15346,4,DC,2,100,2
1734243948.115136,906989.250,15363,4,DC,2,100,EA
1734243948.140386,907014.500,15363,4,DC,2,100,1
1734243948.165636,907039.750,15363,4,DC,2,100,EL
1734243948.190886,907065.000,15363,4,DC,2,100,1
1734243948.217887,907092.000,15382,4,DC,2,100,EA
1734243948.244887,907119.000,15382,4,DC,2,100,2
1734243948.271888,907146.000,15382,4,DC,2,100,EL
