LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,EA
1734243241.883722,200766.000,30623,2,EA,1,100,0.290127
1734243241.883722,200766.000,30623,2,EA,1,100,0.290260
1734243241.950223,200832.500,30640,2,EA,1,100,0.290356
1734243242.016724,200899.000,30640,2,EA,1,100,0.290380
1734243242.083724,200966.000,30658,1,EA,1,100,0.290429
1734243242.150225,201032.500,30675,2,EA,1,100,0.290525
1734243242.216726,201099.000,30675,2,EA,1,100,0.290513
1734243242.283727,201166.000,30691,1,EA,1,100,0.290525
1734243242.350228,201232.500,30707,2,EA,1,100,0.290537
1734243242.416728,201299.000,30707,2,EA,1,100,0.290574
1734243242.483729,201366.000,30723,1,EA,1,100,0.290610
1734243242.550230,201432.500,30747,2,EA,1,100,0.290598
1734243242.616731,201499.000,30747,2,EA,1,100,0.290610
1734243242.683231,201565.500,30764,2,EA,1,100,0.290683
1734243242.749732,201632.000,30764,2,EA,1,100,0.290719
1734243242.816733,201699.000,30781,1,EA,1,100,0.290719
1734243242.883234,201765.500,30795,2,EA,1,100,0.290780
1734243242.949734,201832.000,30795,2,EA,1,100,0.290792
1734243243.016735,201899.000,30813,1,EA,1,100,0.290792
1734243243.083236,201965.500,30829,2,EA,1,100,0.290792
1734243243.149737,202032.000,30829,2,EA,1,100,0.290816
1734243243.216738,202099.000,30846,1,EA,1,100,0.290864
1734243243.283238,202165.500,30863,2,EA,1,100,0.290925
1734243243.349739,202232.000,30863,2,EA,1,100,0.290901
1734243243.416740,202299.000,30880,1,EA,1,100,0.290949
1734243243.483241,202365.500,30896,2,EA,1,100,0.291058
1734243243.549742,202432.000,30896,2,EA,1,100,0.291022
1734243243.616742,202499.000,30913,1,EA,1,100,0.290961
1734243243.683243,202565.500,30928,2,EA,1,100,0.290925
1734243243.749744,202632.000,30928,2,EA,1,100,0.290961
1734243243.816745,202699.000,30945,1,EA,1,100,0.291010
1734243243.883245,202765.500,30963,2,EA,1,100,0.291046
1734243243.949746,202832.000,30963,2,EA,1,100,0.291034
1734243244.016747,202899.000,30981,1,EA,1,100,0.291071
1734243244.083248,202965.500,30995,2,EA,1,100,0.291046
1734243244.149748,203032.000,30995,2,EA,1,100,0.291107
1734243244.216749,203099.000,31012,1,EA,1,100,0.291143
1734243244.283250,203165.500,31029,2,EA,1,100,0.291143
1734243244.349751,203232.000,31029,2,EA,1,100,0.291119
1734243244.416751,203299.000,31048,1,EA,1,100,0.291131
1734243244.483252,203365.500,31063,2,EA,1,100,0.291143
1734243244.549753,203432.000,31063,2,EA,1,100,0.291168
1734243244.616254,203498.500,31082,2,EA,1,100,0.291131
1734243244.682755,203565.000,31082,2,EA,1,100,0.291131
1734243244.749755,203632.000,31098,1,EA,1,100,0.291168
1734243244.816256,203698.500,31115,2,EA,1,100,0.291192
1734243244.882757,203765.000,31115,2,EA,1,100,0.291216
1734243244.949758,203832.000,31131,1,EA,1,100,0.291204
1734243245.016258,203898.500,31147,2,EA,1,100,0.291204
1734243245.082759,203965.000,31147,2,EA,1,100,0.291192
1734243245.149760,204032.000,31163,1,EA,1,100,0.291192
1734243245.216261,204098.500,31182,2,EA,1,100,0.291204
1734243245.282762,204165.000,31182,2,EA,1,100,0.291241
1734243245.349762,204232.000,31199,1,EA,1,100,0.291265
1734243245.416263,204298.500,31214,2,EA,1,100,0.291277
1734243245.482764,204365.000,31214,2,EA,1,100,0.291289
1734243245.549765,204432.000,31230,1,EA,1,100,0.291277
1734243245.616265,204498.500,31248,2,EA,1,100,0.291265
1734243245.682766,204565.000,31248,2,EA,1,100,0.291253
1734243245.749767,204632.000,31264,1,EA,1,100,0.291289
1734243245.816268,204698.500,31281,2,EA,1,100,0.291289
1734243245.882768,204765.000,31281,2,EA,1,100,0.291314
1734243245.949769,204832.000,31297,1,EA,1,100,0.291326
1734243246.016270,204898.500,31315,2,EA,1,100,0.291326
1734243246.082771,204965.000,31315,2,EA,1,100,0.291350
1734243246.149771,205032.000,31331,1,EA,1,100,0.291350
1734243246.216272,205098.500,31347,2,EA,1,100,0.291326
1734243246.282773,205165.000,31347,2,EA,1,100,0.291314
1734243246.349774,205232.000,31363,1,EA,1,100,0.291362
1734243246.416275,205298.500,31382,2,EA,1,100,0.291374
1734243246.482775,205365.000,31382,2,EA,1,100,0.291399
1734243246.549776,205432.000,31398,1,EA,1,100,0.291387
1734243246.616277,205498.500,31415,2,EA,1,100,0.291423
1734243246.682778,205565.000,31415,2,EA,1,100,0.291435
1734243246.749279,205631.500,31430,2,EA,1,100,0.291472
1734243246.815779,205698.000,31430,2,EA,1,100,0.291521
1734243246.882780,205765.000,31447,1,EA,1,100,0.291533
1734243246.949281,205831.500,31464,2,EA,1,100,0.291533
1734243247.015781,205898.000,31464,2,EA,1,100,0.291545
1734243247.082782,205965.000,31481,1,EA,1,100,0.291581
1734243247.149283,206031.500,31497,2,EA,1,100,0.291606
1734243247.215784,206098.000,31497,2,EA,1,100,0.291594
1734243247.282785,206165.000,31514,1,EA,1,100,0.291618
1734243247.349285,206231.500,31531,2,EA,1,100,0.291594
1734243247.415786,206298.000,31531,2,EA,1,100,0.291618
1734243247.482787,206365.000,31548,1,EA,1,100,0.291630
1734243247.549288,206431.500,31562,2,EA,1,100,0.291642
1734243247.615788,206498.000,31562,2,EA,1,100,0.291630
1734243247.682789,206565.000,31585,2,EA,1,100,0.291630
1734243247.749790,206632.000,31585,2,EA,1,100,0.291642
1734243247.815791,206698.000,31603,1,EA,1,100,0.291667
1734243247.882792,206765.000,31620,2,EA,1,100,0.291728
1734243247.949792,206832.000,31620,2,EA,1,100,0.291752
1734243248.015793,206898.000,31637,1,EA,1,100,0.291789
1734243248.082794,206965.000,31652,2,EA,1,100,0.291801
1734243248.149795,207032.000,31652,2,EA,1,100,0.291825
1734243248.215795,207098.000,31668,1,EA,1,100,0.291862
1734243248.282796,207165.000,31686,2,EA,1,100,0.291850
1734243248.349797,207232.000,31686,2,EA,1,100,0.291886
1734243248.415798,207298.000,31702,1,EA,1,100,0.291911
1734243248.482799,207365.000,31718,2,EA,1,100,0.291935
1734243248.549799,207432.000,31718,2,EA,1,100,0.291911
1734243248.616300,207498.500,31736,2,EA,1,100,0.291935
1734243248.682801,207565.000,31736,2,EA,1,100,0.291947
1734243248.749802,207632.000,31753,1,EA,1,100,0.291947
1734243248.816302,207698.500,31769,2,EA,1,100,0.292008
1734243248.882803,207765.000,31769,2,EA,1,100,0.292057
1734243248.949804,207832.000,31786,1,EA,1,100,0.292057
1734243249.016305,207898.500,31801,2,EA,1,100,0.292033
1734243249.082805,207965.000,31801,2,EA,1,100,0.292057
1734243249.148806,208031.000,31818,1,EA,1,100,0.292094
1734243249.215807,208098.000,31836,2,EA,1,100,0.292143
1734243249.282808,208165.000,31836,2,EA,1,100,0.292167
1734243249.348809,208231.000,31854,1,EA,1,100,0.292167
1734243249.415809,208298.000,31870,2,EA,1,100,0.292180
1734243249.482810,208365.000,31870,2,EA,1,100,0.292167
1734243249.549811,208432.000,31887,1,EA,1,100,0.292216
1734243249.616312,208498.500,31904,2,EA,1,100,0.292241
1734243249.682812,208565.000,31904,2,EA,1,100,0.292192
1734243249.749813,208632.000,31921,1,EA,1,100,0.292192
1734243249.816314,208698.500,31935,2,EA,1,100,0.292228
1734243249.882815,208765.000,31935,2,EA,1,100,0.292192
1734243249.949816,208832.000,31952,1,EA,1,100,0.292180
1734243250.016316,208898.500,31969,2,EA,1,100,0.292192
1734243250.082817,208965.000,31969,2,EA,1,100,0.292216
1734243250.148818,209031.000,31986,1,EA,1,100,0.292228
