LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,EM
1734243241.811721,200694.000,30615,4,EM,1,100,RS
1734243241.811721,200694.000,30615,4,EM,1,100,RB
1734243241.811721,200694.000,30615,4,EM,1,100,2024-12-15_13-14-01-421995.csv
1734243241.811721,200694.000,30615,4,EM,1,100,PS
1734243241.861972,200744.250,30635,4,EM,1,100,RS
1734243241.912223,200794.500,30635,4,EM,1,100,RB
1734243241.962473,200844.750,30635,4,EM,1,100,2024-12-15_13-14-01-421995.csv
1734243242.012724,200895.000,30635,4,EM,1,100,PS
1734243242.062974,200945.250,30671,4,EM,1,100,RS
1734243242.113225,200995.500,30671,4,EM,1,100,RB
1734243242.163476,201045.750,30671,4,EM,1,100,2024-12-15_13-14-01-421995.csv
1734243242.213726,201096.000,30671,4,EM,1,100,PS
1734243242.263977,201146.250,30702,4,EM,1,100,RS
1734243242.314227,201196.500,30702,4,EM,1,100,RB
1734243242.364478,201246.750,30702,4,EM,1,100,2024-12-15_13-14-01-421995.csv
1734243242.414728,201297.000,30702,4,EM,1,100,PS
1734243242.473229,201355.500,30741,4,EM,1,100,RS
1734243242.531730,201414.000,30741,4,EM,1,100,RB
1734243242.590230,201472.500,30741,4,EM,1,100,2024-12-15_13-14-01-421995.csv
1734243242.648731,201531.000,30741,4,EM,1,100,PS
1734243242.698982,201581.250,30777,4,EM,1,100,RS
1734243242.749232,201631.500,30777,4,EM,1,100,RB
1734243242.799483,201681.750,30777,4,EM,1,100,2024-12-15_13-14-01-421995.csv
1734243242.849733,201732.000,30777,4,EM,1,100,PS
1734243242.899984,201782.250,30808,4,EM,1,100,RS
1734243242.950234,201832.500,30808,4,EM,1,100,RB
1734243243.000485,201882.750,30808,4,EM,1,100,2024-12-15_13-14-01-421995.csv
1734243243.050736,201933.000,30808,4,EM,1,100,PS
1734243243.100986,201983.250,30842,4,EM,1,100,RS
1734243243.151237,202033.500,30842,4,EM,1,100,RB
1734243243.201487,202083.750,30842,4,EM,1,100,2024-12-15_13-14-01-421995.csv
1734243243.251738,202134.000,30842,4,EM,1,100,PS
1734243243.301989,202184.250,30876,4,EM,1,100,RS
1734243243.352239,202234.500,30876,4,EM,1,100,RB
1734243243.402490,202284.750,30876,4,EM,1,100,2024-12-15_13-14-01-421995.csv
1734243243.452740,202335.000,30876,4,EM,1,100,PS
1734243243.502991,202385.250,30909,4,EM,1,100,RS
1734243243.553241,202435.500,30909,4,EM,1,100,RB
1734243243.603492,202485.750,30909,4,EM,1,100,2024-12-15_13-14-01-421995.csv
1734243243.653743,202536.000,30909,4,EM,1,100,PS
1734243243.703993,202586.250,30941,4,EM,1,100,RS
1734243243.754244,202636.500,30941,4,EM,1,100,RB
1734243243.804494,202686.750,30941,4,EM,1,100,2024-12-15_13-14-01-421995.csv
1734243243.854745,202737.000,30941,4,EM,1,100,PS
1734243243.905496,202787.750,30976,4,EM,1,100,RS
1734243243.956246,202838.500,30976,4,EM,1,100,RB
1734243244.006997,202889.250,30976,4,EM,1,100,2024-12-15_13-14-01-421995.csv
1734243244.057747,202940.000,30976,4,EM,1,100,PS
1734243244.108998,202991.250,31008,4,EM,1,100,RS
1734243244.160249,203042.500,31008,4,EM,1,100,RB
1734243244.211499,203093.750,31008,4,EM,1,100,2024-12-15_13-14-01-421995.csv
1734243244.262750,203145.000,31008,4,EM,1,100,PS
1734243244.313000,203195.250,31044,4,EM,1,100,RS
1734243244.363251,203245.500,31044,4,EM,1,100,RB
1734243244.413502,203295.750,31044,4,EM,1,100,2024-12-15_13-14-01-421995.csv
1734243244.463752,203346.000,31044,4,EM,1,100,PS
1734243244.514003,203396.250,31075,4,EM,1,100,RS
1734243244.564253,203446.500,31075,4,EM,1,100,RB
1734243244.614504,203496.750,31075,4,EM,1,100,2024-12-15_13-14-01-421995.csv
1734243244.664754,203547.000,31075,4,EM,1,100,PS
1734243244.715005,203597.250,31111,4,EM,1,100,RS
1734243244.765255,203647.500,31111,4,EM,1,100,RB
1734243244.815506,203697.750,31111,4,EM,1,100,2024-12-15_13-14-01-421995.csv
1734243244.865757,203748.000,31111,4,EM,1,100,PS
1734243244.916007,203798.250,31142,4,EM,1,100,RS
1734243244.966258,203848.500,31142,4,EM,1,100,RB
1734243245.016508,203898.750,31142,4,EM,1,100,2024-12-15_13-14-01-421995.csv
1734243245.066759,203949.000,31142,4,EM,1,100,PS
1734243245.117010,203999.250,31176,4,EM,1,100,RS
1734243245.167260,204049.500,31176,4,EM,1,100,RB
1734243245.217511,204099.750,31176,4,EM,1,100,2024-12-15_13-14-01-421995.csv
1734243245.267761,204150.000,31176,4,EM,1,100,PS
1734243245.318512,204200.750,31210,4,EM,1,100,RS
1734243245.369262,204251.500,31210,4,EM,1,100,RB
1734243245.420013,204302.250,31210,4,EM,1,100,2024-12-15_13-14-01-421995.csv
1734243245.470764,204353.000,31210,4,EM,1,100,PS
1734243245.521014,204403.250,31243,4,EM,1,100,RS
1734243245.571265,204453.500,31243,4,EM,1,100,RB
1734243245.621516,204503.750,31243,4,EM,1,100,2024-12-15_13-14-01-421995.csv
1734243245.671766,204554.000,31243,4,EM,1,100,PS
1734243245.722017,204604.250,31275,4,EM,1,100,RS
1734243245.772267,204654.500,31275,4,EM,1,100,RB
1734243245.822518,204704.750,31275,4,EM,1,100,2024-12-15_13-14-01-421995.csv
1734243245.872768,204755.000,31275,4,EM,1,100,PS
1734243245.923019,204805.250,31310,4,EM,1,100,RS
1734243245.973269,204855.500,31310,4,EM,1,100,RB
1734243246.023520,204905.750,31310,4,EM,1,100,2024-12-15_13-14-01-421995.csv
1734243246.073771,204956.000,31310,4,EM,1,100,PS
1734243246.124021,205006.250,31343,4,EM,1,100,RS
1734243246.174272,205056.500,31343,4,EM,1,100,RB
1734243246.224522,205106.750,31343,4,EM,1,100,2024-12-15_13-14-01-421995.csv
1734243246.274773,205157.000,31343,4,EM,1,100,PS
1734243246.325274,205207.500,31376,4,EM,1,100,RS
1734243246.375774,205258.000,31376,4,EM,1,100,RB
1734243246.426275,205308.500,31376,4,EM,1,100,2024-12-15_13-14-01-421995.csv
1734243246.476775,205359.000,31376,4,EM,1,100,PS
1734243246.527026,205409.250,31410,4,EM,1,100,RS
1734243246.577276,205459.500,31410,4,EM,1,100,RB
1734243246.627527,205509.750,31410,4,EM,1,100,2024-12-15_13-14-01-421995.csv
1734243246.677778,205560.000,31410,4,EM,1,100,PS
1734243246.728028,205610.250,31443,4,EM,1,100,RS
1734243246.778279,205660.500,31443,4,EM,1,100,RB
1734243246.828529,205710.750,31443,4,EM,1,100,2024-12-15_13-14-01-421995.csv
1734243246.878780,205761.000,31443,4,EM,1,100,PS
1734243246.929030,205811.250,31477,4,EM,1,100,RS
1734243246.979281,205861.500,31477,4,EM,1,100,RB
1734243247.029532,205911.750,31477,4,EM,1,100,2024-12-15_13-14-01-421995.csv
1734243247.079782,205962.000,31477,4,EM,1,100,PS
1734243247.130033,206012.250,31510,4,EM,1,100,RS
1734243247.180283,206062.500,31510,4,EM,1,100,RB
1734243247.230534,206112.750,31510,4,EM,1,100,2024-12-15_13-14-01-421995.csv
1734243247.280785,206163.000,31510,4,EM,1,100,PS
1734243247.331785,206214.000,31544,4,EM,1,100,RS
1734243247.382786,206265.000,31544,4,EM,1,100,RB
1734243247.433786,206316.000,31544,4,EM,1,100,2024-12-15_13-14-01-421995.csv
1734243247.484787,206367.000,31544,4,EM,1,100,PS
1734243247.534787,206417.000,31575,4,EM,1,100,RS
1734243247.584788,206467.000,31575,4,EM,1,100,RB
1734243247.634789,206517.000,31575,4,EM,1,100,2024-12-15_13-14-01-421995.csv
1734243247.684789,206567.000,31575,4,EM,1,100,PS
1734243247.738790,206621.000,31616,4,EM,1,100,RS
1734243247.792790,206675.000,31616,4,EM,1,100,RB
1734243247.846791,206729.000,31616,4,EM,1,100,2024-12-15_13-14-01-421995.csv
1734243247.900792,206783.000,31616,4,EM,1,100,PS
1734243247.952292,206834.500,31648,4,EM,1,100,RS
1734243248.003793,206886.000,31648,4,EM,1,100,RB
1734243248.055294,206937.500,31648,4,EM,1,100,2024-12-15_13-14-01-421995.csv
