LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,HR
1734243242.044724,200927,30654,1,HR,1,100,91
1734243242.644731,201527,30743,1,HR,1,100,93
1734243243.364739,202247,30858,1,HR,1,100,91
1734243243.964746,202847,30959,1,HR,1,100,93
1734243244.617754,203500,31077,1,HR,1,100,93
1734243245.217761,204100,31178,1,HR,1,100,95
1734243245.817768,204700,31277,1,HR,1,100,96
1734243246.457775,205340,31378,1,HR,1,100,95
1734243247.137783,206020,31493,1,HR,1,100,94
1734243247.870791,206753,31599,1,HR,1,100,91
1734243248.590800,207473,31731,1,HR,1,100,90
1734243249.270808,208153,31832,1,HR,1,100,89
1734243250.230819,209113,31998,1,HR,1,100,83
1734243250.950827,209833,32116,1,HR,1,100,83
1734243251.763836,210646,32249,1,HR,1,100,82
1734243252.723847,211606,32397,1,HR,1,100,77
1734243253.083852,211966,32451,1,HR,1,100,97
1734243253.723859,212606,32570,1,HR,1,100,96
1734243254.443867,213326,32687,1,HR,1,100,93
1734243255.296877,214179,32819,1,HR,1,100,89
1734243256.096886,214979,32954,1,HR,1,100,86
1734243256.816895,215699,33072,1,HR,1,100,85
1734243257.536903,216419,33187,1,HR,1,100,85
1734243258.216911,217099,33292,1,HR,1,100,85
1734243258.909919,217792,33407,1,HR,1,100,86
1734243259.549926,218432,33510,1,HR,1,100,88
1734243260.269935,219152,33626,1,HR,1,100,87
1734243260.989943,219872,33743,1,HR,1,100,86
1734243261.669951,220552,33859,1,HR,1,100,87
1734243262.402959,221285,33974,1,HR,1,100,86
1734243263.122968,222005,34094,1,HR,1,100,85
1734243263.882977,222765,34226,1,HR,1,100,84
1734243264.642985,223525,34343,1,HR,1,100,83
1734243265.282993,224165,34444,1,HR,1,100,85
1734243265.976001,224858,34560,1,HR,1,100,86
1734243266.696009,225578,34676,1,HR,1,100,85
1734243267.376017,226258,34793,1,HR,1,100,86
1734243268.016024,226898,34892,1,HR,1,100,88
