LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,MX
1734243241.896722,200779.000,30632,3,MX,1,100,29
1734243241.896722,200779.000,30632,3,MX,1,100,30
1734243241.896722,200779.000,30632,3,MX,1,100,30
1734243241.937056,200819.333,30650,3,MX,1,100,29
1734243241.977390,200859.667,30650,3,MX,1,100,30
1734243242.017724,200900.000,30650,3,MX,1,100,30
1734243242.057724,200940.000,30668,2,MX,1,100,29
1734243242.097725,200980.000,30668,2,MX,1,100,30
1734243242.137725,201020.000,30685,3,MX,1,100,29
1734243242.177726,201060.000,30685,3,MX,1,100,30
1734243242.217726,201100.000,30685,3,MX,1,100,29
1734243242.257726,201140.000,30699,3,MX,1,100,30
1734243242.297727,201180.000,30699,3,MX,1,100,29
1734243242.337728,201220.000,30699,3,MX,1,100,29
1734243242.373394,201255.667,30717,3,MX,1,100,30
1734243242.409062,201291.333,30717,3,MX,1,100,30
1734243242.444729,201327.000,30717,3,MX,1,100,31
1734243242.484729,201367.000,30733,2,MX,1,100,29
1734243242.524729,201407.000,30733,2,MX,1,100,30
1734243242.564730,201447.000,30757,3,MX,1,100,30
1734243242.604731,201487.000,30757,3,MX,1,100,29
1734243242.644731,201527.000,30757,3,MX,1,100,30
1734243242.684731,201567.000,30774,2,MX,1,100,29
1734243242.724732,201607.000,30774,2,MX,1,100,29
1734243242.764732,201647.000,30789,3,MX,1,100,30
1734243242.804733,201687.000,30789,3,MX,1,100,29
1734243242.844733,201727.000,30789,3,MX,1,100,30
1734243242.884734,201767.000,30805,2,MX,1,100,30
1734243242.924734,201807.000,30805,2,MX,1,100,30
1734243242.964735,201847.000,30823,3,MX,1,100,29
1734243243.004735,201887.000,30823,3,MX,1,100,30
1734243243.044736,201927.000,30823,3,MX,1,100,29
1734243243.084736,201967.000,30839,2,MX,1,100,29
1734243243.124737,202007.000,30839,2,MX,1,100,30
1734243243.164737,202047.000,30854,3,MX,1,100,29
1734243243.204737,202087.000,30854,3,MX,1,100,30
1734243243.244738,202127.000,30854,3,MX,1,100,30
1734243243.284738,202167.000,30873,3,MX,1,100,30
1734243243.324739,202207.000,30873,3,MX,1,100,30
1734243243.364739,202247.000,30873,3,MX,1,100,28
1734243243.404740,202287.000,30890,2,MX,1,100,29
1734243243.444740,202327.000,30890,2,MX,1,100,30
1734243243.484741,202367.000,30906,3,MX,1,100,29
1734243243.524741,202407.000,30906,3,MX,1,100,29
1734243243.564742,202447.000,30906,3,MX,1,100,29
1734243243.604742,202487.000,30921,2,MX,1,100,29
1734243243.644742,202527.000,30921,2,MX,1,100,29
1734243243.680076,202562.333,30938,3,MX,1,100,29
1734243243.715410,202597.667,30938,3,MX,1,100,30
1734243243.750744,202633.000,30938,3,MX,1,100,29
1734243243.790744,202673.000,30955,3,MX,1,100,30
1734243243.830745,202713.000,30955,3,MX,1,100,30
1734243243.870745,202753.000,30955,3,MX,1,100,29
1734243243.910746,202793.000,30973,2,MX,1,100,29
1734243243.950746,202833.000,30973,2,MX,1,100,30
1734243243.990746,202873.000,30989,3,MX,1,100,30
1734243244.030747,202913.000,30989,3,MX,1,100,30
1734243244.070747,202953.000,30989,3,MX,1,100,29
1734243244.110748,202993.000,31005,2,MX,1,100,29
1734243244.150748,203033.000,31005,2,MX,1,100,30
1734243244.190749,203073.000,31022,3,MX,1,100,29
1734243244.230749,203113.000,31022,3,MX,1,100,30
1734243244.270750,203153.000,31022,3,MX,1,100,29
1734243244.310750,203193.000,31039,2,MX,1,100,29
1734243244.350751,203233.000,31039,2,MX,1,100,29
1734243244.390751,203273.000,31057,3,MX,1,100,29
1734243244.430752,203313.000,31057,3,MX,1,100,29
1734243244.470752,203353.000,31057,3,MX,1,100,29
1734243244.510752,203393.000,31072,2,MX,1,100,30
1734243244.550753,203433.000,31072,2,MX,1,100,29
1734243244.590754,203473.000,31092,3,MX,1,100,29
1734243244.630754,203513.000,31092,3,MX,1,100,29
1734243244.670754,203553.000,31092,3,MX,1,100,30
1734243244.710755,203593.000,31108,3,MX,1,100,29
1734243244.750755,203633.000,31108,3,MX,1,100,29
1734243244.790756,203673.000,31108,3,MX,1,100,30
1734243244.824256,203706.500,31125,2,MX,1,100,30
1734243244.857757,203740.000,31125,2,MX,1,100,29
1734243244.897757,203780.000,31139,3,MX,1,100,29
1734243244.937757,203820.000,31139,3,MX,1,100,29
1734243244.977758,203860.000,31139,3,MX,1,100,30
1734243245.017758,203900.000,31157,3,MX,1,100,29
1734243245.057759,203940.000,31157,3,MX,1,100,30
1734243245.097759,203980.000,31157,3,MX,1,100,29
1734243245.137760,204020.000,31173,2,MX,1,100,29
1734243245.177760,204060.000,31173,2,MX,1,100,29
1734243245.217761,204100.000,31192,3,MX,1,100,29
1734243245.257761,204140.000,31192,3,MX,1,100,30
1734243245.297762,204180.000,31192,3,MX,1,100,29
1734243245.337762,204220.000,31207,2,MX,1,100,29
1734243245.377763,204260.000,31207,2,MX,1,100,30
1734243245.417763,204300.000,31224,3,MX,1,100,30
1734243245.457763,204340.000,31224,3,MX,1,100,29
1734243245.497764,204380.000,31224,3,MX,1,100,29
1734243245.537764,204420.000,31240,2,MX,1,100,30
