LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,PG
1734243241.804721,200687.000,30618,1,PG,1,100,10517
1734243241.844722,200727.000,30622,2,PG,1,100,10502
1734243241.884722,200767.000,30622,2,PG,1,100,10522
1734243241.924723,200807.000,30639,3,PG,1,100,10565
1734243241.964723,200847.000,30639,3,PG,1,100,10600
1734243242.004724,200887.000,30639,3,PG,1,100,10642
1734243242.044724,200927.000,30657,2,PG,1,100,10648
1734243242.084724,200967.000,30657,2,PG,1,100,10646
1734243242.124725,201007.000,30674,3,PG,1,100,10657
1734243242.164726,201047.000,30674,3,PG,1,100,10656
1734243242.204726,201087.000,30674,3,PG,1,100,10679
1734243242.244726,201127.000,30690,3,PG,1,100,10712
1734243242.284727,201167.000,30690,3,PG,1,100,10733
1734243242.324727,201207.000,30690,3,PG,1,100,10750
1734243242.364728,201247.000,30706,2,PG,1,100,10686
1734243242.404728,201287.000,30706,2,PG,1,100,10571
1734243242.444729,201327.000,30722,3,PG,1,100,10493
1734243242.484729,201367.000,30722,3,PG,1,100,10508
1734243242.524729,201407.000,30722,3,PG,1,100,10530
1734243242.564730,201447.000,30746,3,PG,1,100,10580
1734243242.604731,201487.000,30746,3,PG,1,100,10610
1734243242.644731,201527.000,30746,3,PG,1,100,10632
1734243242.684731,201567.000,30763,2,PG,1,100,10637
1734243242.724732,201607.000,30763,2,PG,1,100,10634
1734243242.764732,201647.000,30780,3,PG,1,100,10654
1734243242.804733,201687.000,30780,3,PG,1,100,10675
1734243242.844733,201727.000,30780,3,PG,1,100,10692
1734243242.884734,201767.000,30794,2,PG,1,100,10701
1734243242.924734,201807.000,30794,2,PG,1,100,10723
1734243242.964735,201847.000,30812,3,PG,1,100,10751
1734243243.004735,201887.000,30812,3,PG,1,100,10683
1734243243.044736,201927.000,30812,3,PG,1,100,10579
1734243243.084736,201967.000,30828,2,PG,1,100,10482
1734243243.124737,202007.000,30828,2,PG,1,100,10460
1734243243.164737,202047.000,30845,3,PG,1,100,10492
1734243243.204737,202087.000,30845,3,PG,1,100,10527
1734243243.244738,202127.000,30845,3,PG,1,100,10574
1734243243.284738,202167.000,30862,3,PG,1,100,10592
1734243243.324739,202207.000,30862,3,PG,1,100,10580
1734243243.364739,202247.000,30862,3,PG,1,100,10586
1734243243.404740,202287.000,30879,2,PG,1,100,10581
1734243243.444740,202327.000,30879,2,PG,1,100,10596
1734243243.484741,202367.000,30895,3,PG,1,100,10617
1734243243.524741,202407.000,30895,3,PG,1,100,10630
1734243243.564742,202447.000,30895,3,PG,1,100,10648
1734243243.604742,202487.000,30912,2,PG,1,100,10663
1734243243.644742,202527.000,30912,2,PG,1,100,10596
1734243243.684743,202567.000,30927,3,PG,1,100,10478
1734243243.724743,202607.000,30927,3,PG,1,100,10421
1734243243.764744,202647.000,30927,3,PG,1,100,10403
1734243243.804744,202687.000,30944,2,PG,1,100,10429
1734243243.844745,202727.000,30944,2,PG,1,100,10472
1734243243.884745,202767.000,30962,3,PG,1,100,10519
1734243243.924746,202807.000,30962,3,PG,1,100,10553
1734243243.964746,202847.000,30962,3,PG,1,100,10534
1734243244.004747,202887.000,30980,2,PG,1,100,10518
