LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,PI
1734243241.804721,200687.000,30616,1,PI,1,100,159250
1734243241.844722,200727.000,30620,2,PI,1,100,159195
1734243241.884722,200767.000,30620,2,PI,1,100,159274
1734243241.924723,200807.000,30637,3,PI,1,100,159421
1734243241.964723,200847.000,30637,3,PI,1,100,159576
1734243242.004724,200887.000,30637,3,PI,1,100,159643
1734243242.044724,200927.000,30655,2,PI,1,100,159669
1734243242.084724,200967.000,30655,2,PI,1,100,159634
1734243242.124725,201007.000,30672,3,PI,1,100,159664
1734243242.164726,201047.000,30672,3,PI,1,100,159718
1734243242.204726,201087.000,30672,3,PI,1,100,159788
1734243242.244726,201127.000,30688,3,PI,1,100,159879
1734243242.284727,201167.000,30688,3,PI,1,100,159963
1734243242.324727,201207.000,30688,3,PI,1,100,160015
1734243242.364728,201247.000,30704,2,PI,1,100,159832
1734243242.404728,201287.000,30704,2,PI,1,100,159524
1734243242.444729,201327.000,30720,3,PI,1,100,159355
1734243242.484729,201367.000,30720,3,PI,1,100,159348
1734243242.524729,201407.000,30720,3,PI,1,100,159472
1734243242.564730,201447.000,30744,3,PI,1,100,159633
1734243242.604731,201487.000,30744,3,PI,1,100,159760
1734243242.644731,201527.000,30744,3,PI,1,100,159808
1734243242.684731,201567.000,30761,2,PI,1,100,159848
1734243242.724732,201607.000,30761,2,PI,1,100,159882
1734243242.764732,201647.000,30778,3,PI,1,100,159867
1734243242.804733,201687.000,30778,3,PI,1,100,159931
1734243242.844733,201727.000,30778,3,PI,1,100,159983
1734243242.884734,201767.000,30792,2,PI,1,100,160087
1734243242.924734,201807.000,30792,2,PI,1,100,160153
1734243242.964735,201847.000,30810,3,PI,1,100,160218
1734243243.004735,201887.000,30810,3,PI,1,100,160023
1734243243.044736,201927.000,30810,3,PI,1,100,159692
1734243243.084736,201967.000,30826,2,PI,1,100,159383
1734243243.124737,202007.000,30826,2,PI,1,100,159298
1734243243.164737,202047.000,30843,3,PI,1,100,159366
1734243243.204737,202087.000,30843,3,PI,1,100,159475
1734243243.244738,202127.000,30843,3,PI,1,100,159619
1734243243.284738,202167.000,30860,3,PI,1,100,159676
1734243243.324739,202207.000,30860,3,PI,1,100,159629
1734243243.364739,202247.000,30860,3,PI,1,100,159601
1734243243.404740,202287.000,30877,2,PI,1,100,159569
1734243243.444740,202327.000,30877,2,PI,1,100,159611
1734243243.484741,202367.000,30893,3,PI,1,100,159653
1734243243.524741,202407.000,30893,3,PI,1,100,159658
1734243243.564742,202447.000,30893,3,PI,1,100,159695
1734243243.604742,202487.000,30910,2,PI,1,100,159703
1734243243.644742,202527.000,30910,2,PI,1,100,159513
1734243243.684743,202567.000,30925,3,PI,1,100,159185
1734243243.724743,202607.000,30925,3,PI,1,100,158981
1734243243.764744,202647.000,30925,3,PI,1,100,159006
1734243243.804744,202687.000,30942,2,PI,1,100,159162
1734243243.844745,202727.000,30942,2,PI,1,100,159344
1734243243.884745,202767.000,30960,3,PI,1,100,159433
1734243243.924746,202807.000,30960,3,PI,1,100,159532
1734243243.964746,202847.000,30960,3,PI,1,100,159534
1734243244.004747,202887.000,30978,2,PI,1,100,159527
1734243244.044747,202927.000,30978,2,PI,1,100,159560
1734243244.084748,202967.000,30992,3,PI,1,100,159613
1734243244.124748,203007.000,30992,3,PI,1,100,159710
1734243244.164749,203047.000,30992,3,PI,1,100,159765
1734243244.211249,203093.500,31009,2,PI,1,100,159849
1734243244.257750,203140.000,31009,2,PI,1,100,159878
1734243244.297750,203180.000,31026,3,PI,1,100,159609
1734243244.337751,203220.000,31026,3,PI,1,100,159289
1734243244.377751,203260.000,31026,3,PI,1,100,159113
1734243244.417752,203300.000,31045,2,PI,1,100,159083
1734243244.457752,203340.000,31045,2,PI,1,100,159205
1734243244.497752,203380.000,31060,3,PI,1,100,159383
1734243244.537753,203420.000,31060,3,PI,1,100,159479
1734243244.577753,203460.000,31060,3,PI,1,100,159519
1734243244.617754,203500.000,31079,2,PI,1,100,159493
1734243244.657754,203540.000,31079,2,PI,1,100,159483
1734243244.697755,203580.000,31095,3,PI,1,100,159520
1734243244.737755,203620.000,31095,3,PI,1,100,159592
1734243244.777756,203660.000,31095,3,PI,1,100,159635
1734243244.817756,203700.000,31112,2,PI,1,100,159668
1734243244.857757,203740.000,31112,2,PI,1,100,159657
1734243244.897757,203780.000,31128,3,PI,1,100,159480
1734243244.937757,203820.000,31128,3,PI,1,100,159195
1734243244.977758,203860.000,31128,3,PI,1,100,159006
1734243245.017758,203900.000,31144,2,PI,1,100,159016
1734243245.057759,203940.000,31144,2,PI,1,100,159100
1734243245.097759,203980.000,31160,3,PI,1,100,159244
1734243245.137760,204020.000,31160,3,PI,1,100,159369
1734243245.177760,204060.000,31160,3,PI,1,100,159404
