LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,PR
1734243241.804721,200687.000,30617,1,PR,1,100,149181
1734243241.844722,200727.000,30621,2,PR,1,100,149165
1734243241.884722,200767.000,30621,2,PR,1,100,149199
1734243241.924723,200807.000,30638,3,PR,1,100,149270
1734243241.964723,200847.000,30638,3,PR,1,100,149328
1734243242.004724,200887.000,30638,3,PR,1,100,149350
1734243242.044724,200927.000,30656,2,PR,1,100,149340
1734243242.084724,200967.000,30656,2,PR,1,100,149327
1734243242.124725,201007.000,30673,3,PR,1,100,149324
1734243242.164726,201047.000,30673,3,PR,1,100,149362
1734243242.204726,201087.000,30673,3,PR,1,100,149387
1734243242.244726,201127.000,30689,3,PR,1,100,149433
1734243242.284727,201167.000,30689,3,PR,1,100,149477
1734243242.324727,201207.000,30689,3,PR,1,100,149489
1734243242.364728,201247.000,30705,2,PR,1,100,149405
1734243242.404728,201287.000,30705,2,PR,1,100,149305
1734243242.444729,201327.000,30721,3,PR,1,100,149237
1734243242.484729,201367.000,30721,3,PR,1,100,149261
1734243242.524729,201407.000,30721,3,PR,1,100,149318
1734243242.564730,201447.000,30745,3,PR,1,100,149369
1734243242.604731,201487.000,30745,3,PR,1,100,149401
1734243242.644731,201527.000,30745,3,PR,1,100,149406
1734243242.684731,201567.000,30762,2,PR,1,100,149408
1734243242.724732,201607.000,30762,2,PR,1,100,149434
1734243242.764732,201647.000,30779,3,PR,1,100,149439
1734243242.804733,201687.000,30779,3,PR,1,100,149446
1734243242.844733,201727.000,30779,3,PR,1,100,149455
1734243242.884734,201767.000,30793,2,PR,1,100,149532
1734243242.924734,201807.000,30793,2,PR,1,100,149556
1734243242.964735,201847.000,30811,3,PR,1,100,149571
1734243243.004735,201887.000,30811,3,PR,1,100,149491
1734243243.044736,201927.000,30811,3,PR,1,100,149363
1734243243.084736,201967.000,30827,2,PR,1,100,149259
1734243243.124737,202007.000,30827,2,PR,1,100,149198
1734243243.164737,202047.000,30844,3,PR,1,100,149254
1734243243.204737,202087.000,30844,3,PR,1,100,149286
1734243243.244738,202127.000,30844,3,PR,1,100,149332
1734243243.284738,202167.000,30861,3,PR,1,100,149334
1734243243.324739,202207.000,30861,3,PR,1,100,149301
1734243243.364739,202247.000,30861,3,PR,1,100,149297
1734243243.404740,202287.000,30878,2,PR,1,100,149293
1734243243.444740,202327.000,30878,2,PR,1,100,149296
1734243243.484741,202367.000,30894,3,PR,1,100,149285
1734243243.524741,202407.000,30894,3,PR,1,100,149301
1734243243.564742,202447.000,30894,3,PR,1,100,149317
1734243243.604742,202487.000,30911,2,PR,1,100,149315
1734243243.644742,202527.000,30911,2,PR,1,100,149247
1734243243.684743,202567.000,30926,3,PR,1,100,149107
1734243243.724743,202607.000,30926,3,PR,1,100,149036
1734243243.764744,202647.000,30926,3,PR,1,100,149048
1734243243.804744,202687.000,30943,2,PR,1,100,149126
1734243243.844745,202727.000,30943,2,PR,1,100,149202
1734243243.884745,202767.000,30961,3,PR,1,100,149232
1734243243.924746,202807.000,30961,3,PR,1,100,149242
1734243243.964746,202847.000,30961,3,PR,1,100,149250
1734243244.004747,202887.000,30979,2,PR,1,100,149259
1734243244.044747,202927.000,30979,2,PR,1,100,149253
1734243244.084748,202967.000,30993,3,PR,1,100,149283
1734243244.124748,203007.000,30993,3,PR,1,100,149331
1734243244.164749,203047.000,30993,3,PR,1,100,149339
1734243244.211249,203093.500,31010,2,PR,1,100,149383
1734243244.257750,203140.000,31010,2,PR,1,100,149407
1734243244.297750,203180.000,31027,3,PR,1,100,149290
1734243244.337751,203220.000,31027,3,PR,1,100,149171
1734243244.377751,203260.000,31027,3,PR,1,100,149096
1734243244.417752,203300.000,31046,2,PR,1,100,149082
1734243244.457752,203340.000,31046,2,PR,1,100,149145
1734243244.497752,203380.000,31061,3,PR,1,100,149200
1734243244.537753,203420.000,31061,3,PR,1,100,149237
