LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,RD
1734243242.620731,201503.000,30738,2,RD,1,100,TL
1734243242.620731,201503.000,30738,2,RD,1,100,TU
1734243245.174260,204056.500,31578,2,RD,1,100,TL
1734243247.727790,206610.000,31578,2,RD,1,100,TU
1734243250.282319,209164.500,32416,2,RD,1,100,TL
1734243252.836849,211719.000,32416,2,RD,1,100,TU
1734243255.390878,214273.000,33255,2,RD,1,100,TL
1734243257.944908,216827.000,33255,2,RD,1,100,TU
1734243260.498937,219381.000,34091,2,RD,1,100,TL
1734243263.052967,221935.000,34091,2,RD,1,100,TU
1734243265.611996,224494.000,34930,2,RD,1,100,TL
1734243268.171026,227053.000,34930,2,RD,1,100,TU
1734243270.725055,229607.000,35751,2,RD,1,100,TL
1734243273.279085,232161.000,35751,2,RD,1,100,TU
1734243275.841615,234723.500,36593,2,RD,1,100,TL
1734243278.404144,237286.000,36593,2,RD,1,100,TU
1734243280.963174,239845.000,37430,2,RD,1,100,TL
1734243283.522203,242404.000,37430,2,RD,1,100,TU
1734243286.079233,244961.000,38267,2,RD,1,100,TL
1734243288.636263,247518.000,38267,2,RD,1,100,TU
1734243291.199792,250081.500,39108,2,RD,1,100,TL
1734243293.763322,252645.000,39108,2,RD,1,100,TU
1734243296.321851,255203.500,39945,2,RD,1,100,TL
1734243298.880381,257762.000,39945,2,RD,1,100,TU
1734243301.434411,260316.000,40770,2,RD,1,100,TL
1734243303.988440,262870.000,40770,2,RD,1,100,TU
1734243306.550470,265432.000,41610,2,RD,1,100,TL
1734243309.112499,267994.000,41610,2,RD,1,100,TU
1734243311.673529,270555.000,42449,2,RD,1,100,TL
1734243314.234559,273116.000,42449,2,RD,1,100,TU
1734243316.791088,275672.500,43291,2,RD,1,100,TL
1734243319.347618,278229.000,43291,2,RD,1,100,TU
1734243321.909647,280791.000,44131,2,RD,1,100,TL
1734243324.471677,283353.000,44131,2,RD,1,100,TU
1734243327.029706,285911.000,44974,2,RD,1,100,TL
1734243329.587736,288469.000,44974,2,RD,1,100,TU
1734243332.148266,291029.500,45815,2,RD,1,100,TL
1734243334.708795,293590.000,45815,2,RD,1,100,TU
1734243337.263825,296145.000,46639,2,RD,1,100,TL
1734243339.818854,298700.000,46639,2,RD,1,100,TU
1734243342.402384,301283.500,47465,2,RD,1,100,TL
1734243344.985914,303867.000,47465,2,RD,1,100,TU
1734243347.539943,306421.000,48291,2,RD,1,100,TL
1734243350.093973,308975.000,48291,2,RD,1,100,TU
1734243352.648003,311529.000,49068,2,RD,1,100,TL
1734243355.202032,314083.000,49068,2,RD,1,100,TU
1734243357.769062,316650.000,49905,2,RD,1,100,TL
1734243360.336091,319217.000,49905,2,RD,1,100,TU
1734243362.895621,321776.500,50747,2,RD,1,100,TL
1734243365.455151,324336.000,50747,2,RD,1,100,TU
1734243368.008680,326889.500,51584,2,RD,1,100,TL
1734243370.562210,329443.000,51584,2,RD,1,100,TU
1734243373.117739,331998.500,52407,2,RD,1,100,TL
1734243375.673269,334554.000,52407,2,RD,1,100,TU
1734243378.229798,337110.500,53255,2,RD,1,100,TL
1734243380.786328,339667.000,53255,2,RD,1,100,TU
1734243383.343857,342224.500,54096,2,RD,1,100,TL
1734243385.901387,344782.000,54096,2,RD,1,100,TU
1734243388.464417,347345.000,54937,2,RD,1,100,TL
1734243391.027446,349908.000,54937,2,RD,1,100,TU
1734243393.590976,352471.500,55780,2,RD,1,100,TL
1734243396.154505,355035.000,55780,2,RD,1,100,TU
1734243398.721035,357601.500,56623,2,RD,1,100,TL
1734243401.287565,360168.000,56623,2,RD,1,100,TU
1734243403.849594,362730.000,57462,2,RD,1,100,TL
1734243406.411624,365292.000,57462,2,RD,1,100,TU
1734243408.965653,367846.000,58287,2,RD,1,100,TL
1734243411.519683,370400.000,58287,2,RD,1,100,TU
1734243414.078713,372959.000,59125,2,RD,1,100,TL
1734243416.637742,375518.000,59125,2,RD,1,100,TU
1734243419.206772,378087.000,59965,2,RD,1,100,TL
1734243421.775802,380656.000,59965,2,RD,1,100,TU
1734243424.335331,383215.500,60800,2,RD,1,100,TL
1734243426.894861,385775.000,60800,2,RD,1,100,TU
1734243429.452390,388332.500,61631,2,RD,1,100,TL
1734243432.009920,390890.000,61631,2,RD,1,100,TU
1734243434.571949,393452.000,62471,2,RD,1,100,TL
1734243437.133979,396014.000,62471,2,RD,1,100,TU
1734243439.691509,398571.500,63314,2,RD,1,100,TL
1734243442.249038,401129.000,63314,2,RD,1,100,TU
1734243444.803068,403683.000,64139,2,RD,1,100,TL
1734243447.357097,406237.000,64139,2,RD,1,100,TU
1734243449.918627,408798.500,64985,2,RD,1,100,TL
1734243452.480156,411360.000,64985,2,RD,1,100,TU
1734243455.036186,413916.000,284,2,RD,1,100,TL
1734243457.592216,416472.000,284,2,RD,1,100,TU
1734243460.145745,419025.500,1124,2,RD,1,100,TL
1734243462.699275,421579.000,1124,2,RD,1,100,TU
1734243465.255804,424135.500,1966,2,RD,1,100,TL
1734243467.812334,426692.000,1966,2,RD,1,100,TU
1734243470.366363,429246.000,2803,2,RD,1,100,TL
1734243472.920393,431800.000,2803,2,RD,1,100,TU
1734243475.475422,434355.000,3642,2,RD,1,100,TL
1734243478.030452,436910.000,3642,2,RD,1,100,TU
1734243480.587481,439467.000,4468,2,RD,1,100,TL
1734243483.144511,442024.000,4468,2,RD,1,100,TU
