LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,SA
1734243254.549869,213432,32869,1,SA,1,100,0.000927
1734243327.275709,286157,44671,1,SA,1,100,0.003040
1734243330.942752,289824,45212,1,SA,1,100,0.000042
1734243341.074869,299956,46959,1,SA,1,100,0.002193
1734243375.672269,334553,52479,1,SA,1,100,0.004561
1734243379.338311,338219,53047,1,SA,1,100,0.000100
1734243379.671315,338552,53100,1,SA,1,100,0.000328
1734243401.002562,359883,56605,1,SA,1,100,0.000057
1734243421.734801,380615,60252,1,SA,1,100,0.007574
1734243426.733859,385614,60804,1,SA,1,100,0.000106
1734243443.799056,402679,63619,1,SA,1,100,0.000270
1734243450.265131,409145,64729,1,SA,1,100,0.000841
1734243451.265142,410145,64799,1,SA,1,100,0.000121
1734243451.865149,410745,64917,1,SA,1,100,0.000242
1734243455.731194,414611,31,1,SA,1,100,0.000568
1734243466.463318,425343,1829,1,SA,1,100,0.000553
1734243497.993683,456873,6951,1,SA,1,100,0.000319
1734243513.592863,472472,9512,1,SA,1,100,0.000106
1734243527.125019,486004,11722,1,SA,1,100,0.000091
1734243530.124054,489003,12243,1,SA,1,100,0.000257
1734243530.592059,489471,12394,1,SA,1,100,0.001811
1734243531.725073,490604,12530,1,SA,1,100,0.000910
1734243534.258102,493137,12989,1,SA,1,100,0.001270
1734243578.786617,537665,20295,1,SA,1,100,0.001228
1734243626.782171,585660,28049,1,SA,1,100,0.000047
1734243634.315258,593193,29312,1,SA,1,100,0.000844
1734243655.046498,613924,32714,1,SA,1,100,0.000398
1734243669.445664,628323,35078,1,SA,1,100,0.000957
1734243673.178708,632056,35688,1,SA,1,100,0.000321
1734243680.511792,639389,36933,1,SA,1,100,0.001821
1734243683.311825,642189,37391,1,SA,1,100,0.000567
1734243709.508127,668385,41656,1,SA,1,100,0.002175
1734243713.441173,672318,42308,1,SA,1,100,0.000886
1734243742.905514,701782,47183,1,SA,1,100,0.001265
1734243768.769813,727646,51387,1,SA,1,100,0.000654
1734243783.435982,742312,53939,1,SA,1,100,0.010108
1734243785.702008,744578,54172,1,SA,1,100,0.001199
1734243786.702020,745578,54322,1,SA,1,100,0.000515
1734243786.969023,745845,54405,1,SA,1,100,0.001484
1734243787.502029,746378,54505,1,SA,1,100,0.002123
1734243788.768044,747644,54789,1,SA,1,100,0.003832
1734243790.235061,749111,54939,1,SA,1,100,0.002778
1734243809.366282,768242,58193,1,SA,1,100,0.002199
1734243817.565377,776441,59393,1,SA,1,100,0.000173
1734243819.432398,778308,59731,1,SA,1,100,0.000425
1734243820.232407,779108,59834,1,SA,1,100,0.000097
1734243825.964474,784840,60956,1,SA,1,100,0.007566
1734243827.564492,786440,61057,1,SA,1,100,0.002564
1734243838.631620,797507,63118,1,SA,1,100,0.011944
1734243859.294859,818170,711,1,SA,1,100,0.000318
1734243866.027937,824903,1902,1,SA,1,100,0.002272
1734243870.427988,829303,2873,1,SA,1,100,0.015259
1734243892.159239,851034,6220,1,SA,1,100,0.005992
1734243894.559267,853434,6722,1,SA,1,100,0.018693
1734243898.492312,857367,7206,1,SA,1,100,0.001138
1734243899.091319,857966,7257,1,SA,1,100,0.000286
1734243899.758327,858633,7712,1,SA,1,100,0.031111
1734243902.491358,861366,7898,1,SA,1,100,0.011747
1734243903.358368,862233,7965,1,SA,1,100,0.003779
1734243915.957514,874832,10173,1,SA,1,100,0.018062
1734243925.422623,884297,11762,1,SA,1,100,0.026113
1734243936.621753,895496,13547,1,SA,1,100,0.012252
1734243937.955768,896830,13730,1,SA,1,100,0.104136
