LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,SF
1734243242.016724,200899.000,30636,1,SF,1,100,12.4131
1734243242.416728,201299.000,30703,1,SF,1,100,12.2695
1734243242.749732,201632.000,30760,1,SF,1,100,12.1275
1734243243.016735,201899.000,30809,1,SF,1,100,11.9872
1734243243.349739,202232.000,30859,1,SF,1,100,11.8486
1734243243.749744,202632.000,30924,1,SF,1,100,11.7115
1734243244.016747,202899.000,30977,1,SF,1,100,11.5760
1734243244.349751,203232.000,31025,1,SF,1,100,11.4421
1734243244.682755,203565.000,31078,1,SF,1,100,11.3098
1734243245.082759,203965.000,31143,1,SF,1,100,11.1789
1734243245.349762,204232.000,31195,1,SF,1,100,11.0496
1734243245.682766,204565.000,31244,1,SF,1,100,10.9218
1734243246.082771,204965.000,31311,1,SF,1,100,10.7954
1734243246.349774,205232.000,31359,1,SF,1,100,10.6706
1734243246.682778,205565.000,31411,1,SF,1,100,10.5471
1734243247.015781,205898.000,31460,1,SF,1,100,10.4251
1734243247.415786,206298.000,31527,1,SF,1,100,10.3045
1734243247.749790,206632.000,31581,1,SF,1,100,10.1853
1734243248.015793,206898.000,31633,1,SF,1,100,10.0675
1734243248.349797,207232.000,31682,1,SF,1,100,9.9510
1734243248.682801,207565.000,31732,1,SF,1,100,9.8359
1734243249.082805,207965.000,31797,1,SF,1,100,9.7221
1734243249.348809,208231.000,31850,1,SF,1,100,9.6097
1734243249.682812,208565.000,31900,1,SF,1,100,9.4985
1734243250.082817,208965.000,31965,1,SF,1,100,9.3886
1734243250.348820,209231.000,32016,1,SF,1,100,9.2800
1734243250.682824,209565.000,32065,1,SF,1,100,9.1727
1734243251.015828,209898.000,32117,1,SF,1,100,9.0665
1734243251.415832,210298.000,32182,1,SF,1,100,8.9617
1734243251.682835,210565.000,32230,1,SF,1,100,8.8580
1734243252.015839,210898.000,32281,1,SF,1,100,8.7555
1734243252.415844,211298.000,32346,1,SF,1,100,8.6542
1734243252.682847,211565.000,32398,1,SF,1,100,8.5541
1734243253.081852,211964.000,32452,1,SF,1,100,8.4552
1734243253.348855,212231.000,32503,1,SF,1,100,8.3574
1734243253.681859,212564.000,32551,1,SF,1,100,8.2607
1734243254.081863,212964.000,32618,1,SF,1,100,8.1651
1734243254.415867,213298.000,32669,1,SF,1,100,8.0707
1734243254.681870,213564.000,32721,1,SF,1,100,7.9773
1734243255.015874,213898.000,32770,1,SF,1,100,7.8850
1734243255.415879,214298.000,32837,1,SF,1,100,7.7938
1734243255.681882,214564.000,32887,1,SF,1,100,9.7859
1734243256.014885,214897.000,32936,1,SF,1,100,9.6727
1734243256.415890,215298.000,33004,1,SF,1,100,9.5608
1734243256.748894,215631.000,33053,1,SF,1,100,9.4502
1734243257.014897,215897.000,33104,1,SF,1,100,9.3409
1734243257.348901,216231.000,33152,1,SF,1,100,9.2328
1734243257.748906,216631.000,33219,1,SF,1,100,9.1260
1734243258.014909,216897.000,33257,1,SF,1,100,9.0204
1734243258.348912,217231.000,33309,1,SF,1,100,8.9161
1734243258.748917,217631.000,33374,1,SF,1,100,8.8130
1734243259.014920,217897.000,33425,1,SF,1,100,8.7110
1734243259.347924,218230.000,33473,1,SF,1,100,8.6102
1734243259.748929,218631.000,33542,1,SF,1,100,8.5106
1734243260.014932,218897.000,33593,1,SF,1,100,8.4122
1734243260.347936,219230.000,33643,1,SF,1,100,8.3149
1734243260.681939,219564.000,33692,1,SF,1,100,8.2187
1734243261.081944,219964.000,33759,1,SF,1,100,8.1236
1734243261.347947,220230.000,33809,1,SF,1,100,8.0296
1734243261.681951,220564.000,33860,1,SF,1,100,7.9367
1734243262.081956,220964.000,33925,1,SF,1,100,7.8449
1734243262.347959,221230.000,33975,1,SF,1,100,7.7542
1734243262.681962,221564.000,34026,1,SF,1,100,7.6645
1734243263.014966,221897.000,34074,1,SF,1,100,7.5758
1734243263.347970,222230.000,34126,1,SF,1,100,7.4882
1734243263.747975,222630.000,34191,1,SF,1,100,7.4016
1734243264.014978,222897.000,34243,1,SF,1,100,7.3159
1734243264.347982,223230.000,34292,1,SF,1,100,7.2313
1734243264.680986,223563.000,34344,1,SF,1,100,7.1477
1734243265.080990,223963.000,34409,1,SF,1,100,7.0650
1734243265.347993,224230.000,34462,1,SF,1,100,6.9832
1734243265.680997,224563.000,34510,1,SF,1,100,6.9025
1734243266.081002,224963.000,34577,1,SF,1,100,6.8226
1734243266.348005,225230.000,34626,1,SF,1,100,6.7437
1734243266.681009,225563.000,34677,1,SF,1,100,6.6657
1734243267.014013,225896.000,34727,1,SF,1,100,6.5886
1734243267.414017,226296.000,34794,1,SF,1,100,6.5123
1734243267.681020,226563.000,34842,1,SF,1,100,6.4370
1734243268.014024,226896.000,34893,1,SF,1,100,6.3625
1734243268.348028,227230.000,34948,1,SF,1,100,6.2889
1734243268.814034,227696.000,35015,1,SF,1,100,6.2162
1734243269.014036,227896.000,35049,1,SF,1,100,6.1443
1734243269.414040,228296.000,35118,1,SF,1,100,6.0732
1734243269.747044,228629.000,35167,1,SF,1,100,6.0030
1734243270.014047,228896.000,35219,1,SF,1,100,5.9335
1734243270.347051,229229.000,35268,1,SF,1,100,5.8649
1734243270.747056,229629.000,35335,1,SF,1,100,5.7970
1734243271.014059,229896.000,35383,1,SF,1,100,5.7300
1734243271.347063,230229.000,35432,1,SF,1,100,5.6637
