LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,SR
1734243254.549869,213432,32870,1,SR,1,100,1.000000
1734243327.275709,286157,44672,1,SR,1,100,0.400000
1734243330.942752,289824,45213,1,SR,1,100,0.066667
1734243341.074869,299956,46960,1,SR,1,100,0.733333
1734243375.672269,334553,52480,1,SR,1,100,0.400000
1734243379.338311,338219,53048,1,SR,1,100,0.200000
1734243379.671315,338552,53101,1,SR,1,100,0.133333
1734243401.002562,359883,56606,1,SR,1,100,0.133333
1734243421.734801,380615,60253,1,SR,1,100,1.733333
1734243426.733859,385614,60805,1,SR,1,100,0.133333
1734243443.799056,402679,63620,1,SR,1,100,0.266667
1734243450.265131,409145,64730,1,SR,1,100,0.600000
1734243451.265142,410145,64800,1,SR,1,100,0.066667
1734243451.865149,410745,64918,1,SR,1,100,0.200000
1734243455.731194,414611,32,1,SR,1,100,0.333333
1734243466.463318,425343,1830,1,SR,1,100,0.400000
1734243497.993683,456873,6952,1,SR,1,100,0.200000
1734243513.592863,472472,9513,1,SR,1,100,0.133333
1734243527.125019,486004,11723,1,SR,1,100,0.066667
1734243530.124054,489003,12244,1,SR,1,100,0.200000
1734243530.592059,489471,12395,1,SR,1,100,0.733333
1734243531.725073,490604,12531,1,SR,1,100,0.333333
1734243534.258102,493137,12990,1,SR,1,100,0.666667
1734243578.786617,537665,20296,1,SR,1,100,0.600000
1734243626.782171,585660,28050,1,SR,1,100,0.200000
1734243634.315258,593193,29313,1,SR,1,100,0.333333
1734243655.046498,613924,32715,1,SR,1,100,0.266667
1734243669.445664,628323,35079,1,SR,1,100,0.333333
1734243673.178708,632056,35689,1,SR,1,100,0.266667
1734243680.511792,639389,36934,1,SR,1,100,0.533333
1734243683.311825,642189,37392,1,SR,1,100,0.466667
1734243709.508127,668385,41657,1,SR,1,100,0.333333
1734243713.441173,672318,42309,1,SR,1,100,0.333333
1734243742.905514,701782,47184,1,SR,1,100,0.533333
1734243768.769813,727646,51388,1,SR,1,100,0.266667
1734243783.435982,742312,53940,1,SR,1,100,1.066667
1734243785.702008,744578,54173,1,SR,1,100,0.200000
1734243786.702020,745578,54323,1,SR,1,100,0.133333
1734243786.969023,745845,54406,1,SR,1,100,0.400000
1734243787.502029,746378,54506,1,SR,1,100,0.466667
1734243788.768044,747644,54790,1,SR,1,100,0.933333
1734243790.235061,749111,54940,1,SR,1,100,0.333333
1734243809.366282,768242,58194,1,SR,1,100,1.000000
1734243817.565377,776441,59394,1,SR,1,100,0.133333
1734243819.432398,778308,59732,1,SR,1,100,0.266667
1734243820.232407,779108,59835,1,SR,1,100,0.066667
1734243825.964474,784840,60957,1,SR,1,100,1.200000
1734243827.564492,786440,61058,1,SR,1,100,0.266667
1734243838.631620,797507,63119,1,SR,1,100,1.666667
1734243859.294859,818170,712,1,SR,1,100,0.266667
1734243866.027937,824903,1903,1,SR,1,100,0.733333
1734243870.427988,829303,2874,1,SR,1,100,2.266667
1734243892.159239,851034,6221,1,SR,1,100,0.800000
1734243894.559267,853434,6723,1,SR,1,100,1.400000
1734243898.492312,857367,7207,1,SR,1,100,0.466667
1734243899.091319,857966,7258,1,SR,1,100,0.133333
1734243899.758327,858633,7713,1,SR,1,100,2.200000
1734243902.491358,861366,7899,1,SR,1,100,0.600000
1734243903.358368,862233,7966,1,SR,1,100,0.133333
1734243915.957514,874832,10174,1,SR,1,100,0.933333
1734243925.422623,884297,11763,1,SR,1,100,1.133333
1734243936.621753,895496,13548,1,SR,1,100,0.800000
1734243937.955768,896830,13731,1,SR,1,100,0.533333
