LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,T1
1734243241.809721,200692.000,30619,1,T1,1,100,35.676
1734243241.942723,200825.000,30642,1,T1,1,100,35.754
1734243242.076725,200959.000,30660,1,T1,1,100,35.681
1734243242.209726,201092.000,30677,1,T1,1,100,35.649
1734243242.342727,201225.000,30709,1,T1,1,100,35.600
1734243242.476729,201359.000,30725,1,T1,1,100,35.614
1734243242.609730,201492.000,30749,1,T1,1,100,35.691
1734243242.742732,201625.000,30766,1,T1,1,100,35.760
1734243242.876734,201759.000,30797,1,T1,1,100,35.683
1734243243.009735,201892.000,30815,1,T1,1,100,35.721
1734243243.142737,202025.000,30831,1,T1,1,100,35.702
1734243243.276738,202159.000,30865,1,T1,1,100,35.552
1734243243.409740,202292.000,30882,1,T1,1,100,35.664
1734243243.542741,202425.000,30898,1,T1,1,100,35.748
1734243243.676743,202559.000,30930,1,T1,1,100,35.749
1734243243.809744,202692.000,30947,1,T1,1,100,35.750
1734243243.942746,202825.000,30965,1,T1,1,100,35.750
1734243244.076748,202959.000,30997,1,T1,1,100,35.644
1734243244.209749,203092.000,31014,1,T1,1,100,35.704
1734243244.342751,203225.000,31031,1,T1,1,100,35.801
1734243244.476752,203359.000,31050,1,T1,1,100,35.878
1734243244.609754,203492.000,31084,1,T1,1,100,35.770
1734243244.742755,203625.000,31100,1,T1,1,100,35.830
1734243244.875757,203758.000,31117,1,T1,1,100,35.784
1734243245.009758,203892.000,31149,1,T1,1,100,35.623
1734243245.142760,204025.000,31165,1,T1,1,100,35.624
1734243245.276761,204159.000,31184,1,T1,1,100,35.625
1734243245.409763,204292.000,31216,1,T1,1,100,35.589
1734243245.542764,204425.000,31232,1,T1,1,100,35.645
1734243245.675766,204558.000,31250,1,T1,1,100,35.740
1734243245.809767,204692.000,31283,1,T1,1,100,35.746
1734243245.942769,204825.000,31299,1,T1,1,100,35.748
1734243246.075771,204958.000,31317,1,T1,1,100,35.785
1734243246.209772,205092.000,31333,1,T1,1,100,35.800
1734243246.342774,205225.000,31365,1,T1,1,100,35.807
1734243246.475775,205358.000,31384,1,T1,1,100,35.810
1734243246.609777,205492.000,31400,1,T1,1,100,35.705
1734243246.742778,205625.000,31432,1,T1,1,100,35.695
1734243246.875780,205758.000,31449,1,T1,1,100,35.797
1734243247.009781,205892.000,31466,1,T1,1,100,35.699
1734243247.142783,206025.000,31499,1,T1,1,100,35.657
1734243247.275784,206158.000,31516,1,T1,1,100,35.674
1734243247.409786,206292.000,31533,1,T1,1,100,35.717
1734243247.542788,206425.000,31564,1,T1,1,100,35.700
1734243247.675789,206558.000,31587,1,T1,1,100,35.764
1734243247.809791,206692.000,31605,1,T1,1,100,35.685
1734243247.942792,206825.000,31622,1,T1,1,100,35.686
1734243248.075794,206958.000,31654,1,T1,1,100,35.758
1734243248.209795,207092.000,31670,1,T1,1,100,35.753
1734243248.342797,207225.000,31688,1,T1,1,100,35.822
1734243248.475798,207358.000,31704,1,T1,1,100,35.852
1734243248.608800,207491.000,31738,1,T1,1,100,35.936
1734243248.742801,207625.000,31755,1,T1,1,100,35.795
1734243248.875803,207758.000,31771,1,T1,1,100,35.876
1734243249.008805,207891.000,31803,1,T1,1,100,35.804
1734243249.142806,208025.000,31820,1,T1,1,100,35.774
1734243249.275808,208158.000,31838,1,T1,1,100,35.796
1734243249.408809,208291.000,31872,1,T1,1,100,35.912
1734243249.542811,208425.000,31889,1,T1,1,100,35.926
1734243249.675812,208558.000,31906,1,T1,1,100,35.897
1734243249.808814,208691.000,31937,1,T1,1,100,35.849
1734243249.942815,208825.000,31954,1,T1,1,100,35.828
1734243250.075817,208958.000,31971,1,T1,1,100,35.855
1734243250.208818,209091.000,32004,1,T1,1,100,35.831
1734243250.342820,209225.000,32022,1,T1,1,100,35.785
1734243250.475821,209358.000,32038,1,T1,1,100,35.872
1734243250.608823,209491.000,32055,1,T1,1,100,35.909
1734243250.742825,209625.000,32087,1,T1,1,100,35.854
1734243250.875826,209758.000,32103,1,T1,1,100,35.831
1734243251.008828,209891.000,32123,1,T1,1,100,35.927
1734243251.142829,210025.000,32154,1,T1,1,100,35.897
1734243251.275831,210158.000,32170,1,T1,1,100,35.849
1734243251.408832,210291.000,32188,1,T1,1,100,35.935
1734243251.541834,210424.000,32219,1,T1,1,100,35.936
1734243251.675835,210558.000,32236,1,T1,1,100,35.866
1734243251.808837,210691.000,32255,1,T1,1,100,35.836
1734243251.942838,210825.000,32287,1,T1,1,100,35.858
1734243252.075840,210958.000,32303,1,T1,1,100,35.726
1734243252.208842,211091.000,32320,1,T1,1,100,35.810
1734243252.341843,211224.000,32352,1,T1,1,100,35.812
1734243252.475845,211358.000,32368,1,T1,1,100,35.812
1734243252.608846,211491.000,32385,1,T1,1,100,35.883
1734243252.742348,211624.500,32424,2,T1,1,100,35.949
1734243252.875849,211758.000,32424,2,T1,1,100,35.872
