LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,TH
1734243241.824722,200707.000,30625,1,TH,1,100,34.865
1734243241.957723,200840.000,30643,1,TH,1,100,34.872
1734243242.091725,200974.000,30661,1,TH,1,100,34.887
1734243242.224726,201107.000,30678,1,TH,1,100,34.887
1734243242.357728,201240.000,30710,1,TH,1,100,34.925
1734243242.491729,201374.000,30726,1,TH,1,100,34.925
1734243242.624731,201507.000,30750,1,TH,1,100,34.915
1734243242.757732,201640.000,30767,1,TH,1,100,34.915
1734243242.891734,201774.000,30798,1,TH,1,100,34.848
1734243243.024735,201907.000,30816,1,TH,1,100,34.856
1734243243.157737,202040.000,30832,1,TH,1,100,34.924
1734243243.290738,202173.000,30866,1,TH,1,100,34.924
1734243243.424740,202307.000,30883,1,TH,1,100,34.987
1734243243.557742,202440.000,30899,1,TH,1,100,34.987
1734243243.691743,202574.000,30931,1,TH,1,100,34.912
1734243243.824745,202707.000,30948,1,TH,1,100,34.919
1734243243.957746,202840.000,30966,1,TH,1,100,34.953
1734243244.091748,202974.000,30998,1,TH,1,100,34.953
1734243244.224749,203107.000,31015,1,TH,1,100,34.918
1734243244.357751,203240.000,31032,1,TH,1,100,34.918
1734243244.490752,203373.000,31065,1,TH,1,100,34.887
1734243244.624754,203507.000,31085,1,TH,1,100,34.887
1734243244.757756,203640.000,31101,1,TH,1,100,34.910
1734243244.890757,203773.000,31118,1,TH,1,100,34.917
1734243245.024759,203907.000,31150,1,TH,1,100,34.956
1734243245.157760,204040.000,31166,1,TH,1,100,34.956
1734243245.290761,204173.000,31185,1,TH,1,100,34.939
1734243245.424763,204307.000,31217,1,TH,1,100,34.939
1734243245.557765,204440.000,31233,1,TH,1,100,34.922
1734243245.690766,204573.000,31251,1,TH,1,100,34.922
1734243245.824768,204707.000,31284,1,TH,1,100,34.934
1734243245.957769,204840.000,31300,1,TH,1,100,34.941
1734243246.090771,204973.000,31318,1,TH,1,100,34.952
1734243246.224772,205107.000,31349,1,TH,1,100,34.952
1734243246.357774,205240.000,31366,1,TH,1,100,34.918
1734243246.490775,205373.000,31385,1,TH,1,100,34.918
1734243246.623777,205506.000,31417,1,TH,1,100,34.896
1734243246.757779,205640.000,31433,1,TH,1,100,34.903
1734243246.890780,205773.000,31450,1,TH,1,100,34.900
1734243247.023782,205906.000,31467,1,TH,1,100,34.900
1734243247.157783,206040.000,31500,1,TH,1,100,34.988
1734243247.290785,206173.000,31517,1,TH,1,100,34.988
1734243247.423786,206306.000,31534,1,TH,1,100,34.958
1734243247.557788,206440.000,31565,1,TH,1,100,34.958
1734243247.690789,206573.000,31588,1,TH,1,100,34.912
1734243247.823791,206706.000,31606,1,TH,1,100,34.919
1734243247.957792,206840.000,31623,1,TH,1,100,34.952
1734243248.090794,206973.000,31655,1,TH,1,100,34.952
1734243248.223795,207106.000,31671,1,TH,1,100,34.952
1734243248.357797,207240.000,31689,1,TH,1,100,34.952
1734243248.490798,207373.000,31720,1,TH,1,100,35.015
1734243248.623800,207506.000,31739,1,TH,1,100,35.015
1734243248.757802,207640.000,31756,1,TH,1,100,34.987
1734243248.890803,207773.000,31772,1,TH,1,100,34.987
1734243249.023805,207906.000,31804,1,TH,1,100,34.989
1734243249.157806,208040.000,31821,1,TH,1,100,34.997
1734243249.290808,208173.000,31839,1,TH,1,100,34.844
1734243249.423809,208306.000,31873,1,TH,1,100,34.844
1734243249.557811,208440.000,31890,1,TH,1,100,35.019
1734243249.690812,208573.000,31907,1,TH,1,100,35.019
1734243249.823814,208706.000,31938,1,TH,1,100,34.945
1734243249.956815,208839.000,31955,1,TH,1,100,34.945
1734243250.090817,208973.000,31972,1,TH,1,100,34.958
1734243250.223819,209106.000,32005,1,TH,1,100,34.965
1734243250.357820,209240.000,32023,1,TH,1,100,34.858
1734243250.490822,209373.000,32039,1,TH,1,100,34.858
1734243250.623823,209506.000,32071,1,TH,1,100,34.874
1734243250.757825,209640.000,32088,1,TH,1,100,34.874
1734243250.890826,209773.000,32104,1,TH,1,100,34.919
1734243251.023828,209906.000,32124,1,TH,1,100,34.926
1734243251.156829,210039.000,32155,1,TH,1,100,34.969
1734243251.290831,210173.000,32171,1,TH,1,100,34.969
1734243251.423832,210306.000,32189,1,TH,1,100,34.992
1734243251.556834,210439.000,32220,1,TH,1,100,34.992
1734243251.690835,210573.000,32237,1,TH,1,100,34.961
1734243251.823837,210706.000,32256,1,TH,1,100,34.961
1734243251.956839,210839.000,32288,1,TH,1,100,35.019
1734243252.090840,210973.000,32304,1,TH,1,100,35.027
1734243252.223842,211106.000,32321,1,TH,1,100,34.869
1734243252.356843,211239.000,32353,1,TH,1,100,34.869
1734243252.490845,211373.000,32369,1,TH,1,100,35.027
1734243252.623846,211506.000,32386,1,TH,1,100,35.027
1734243252.757348,211639.500,32425,2,TH,1,100,34.981
1734243252.890849,211773.000,32425,2,TH,1,100,34.981
1734243253.023851,211906.000,32459,1,TH,1,100,35.027
1734243253.156852,212039.000,32476,1,TH,1,100,35.034
1734243253.289854,212172.000,32492,1,TH,1,100,35.015
1734243253.423856,212306.000,32524,1,TH,1,100,35.015
1734243253.556857,212439.000,32541,1,TH,1,100,34.924
1734243253.689859,212572.000,32558,1,TH,1,100,34.924
1734243253.823860,212706.000,32591,1,TH,1,100,34.904
1734243253.956862,212839.000,32608,1,TH,1,100,34.904
1734243254.089863,212972.000,32625,1,TH,1,100,35.060
1734243254.223865,213106.000,32656,1,TH,1,100,35.067
1734243254.356866,213239.000,32676,1,TH,1,100,34.887
1734243254.489868,213372.000,32694,1,TH,1,100,34.887
1734243254.623869,213506.000,32711,1,TH,1,100,35.012
1734243254.756871,213639.000,32743,1,TH,1,100,35.012
1734243254.889873,213772.000,32759,1,TH,1,100,34.986
1734243255.023874,213906.000,32777,1,TH,1,100,34.993
1734243255.156876,214039.000,32808,1,TH,1,100,34.968
1734243255.289877,214172.000,32826,1,TH,1,100,34.968
1734243255.423879,214306.000,32844,1,TH,1,100,34.968
1734243255.556880,214439.000,32877,1,TH,1,100,34.968
1734243255.689882,214572.000,32894,1,TH,1,100,34.998
1734243255.823883,214706.000,32911,1,TH,1,100,34.998
1734243255.956885,214839.000,32943,1,TH,1,100,34.980
1734243256.089886,214972.000,32961,1,TH,1,100,34.980
1734243256.223888,215106.000,32978,1,TH,1,100,35.030
1734243256.356889,215239.000,33010,1,TH,1,100,35.037
1734243256.489891,215372.000,33026,1,TH,1,100,34.995
1734243256.623893,215506.000,33043,1,TH,1,100,34.995
1734243256.756894,215639.000,33060,1,TH,1,100,34.934
1734243256.889896,215772.000,33093,1,TH,1,100,34.934
1734243257.022897,215905.000,33111,1,TH,1,100,35.050
1734243257.156899,216039.000,33127,1,TH,1,100,35.058
1734243257.289900,216172.000,33159,1,TH,1,100,35.032
1734243257.422902,216305.000,33176,1,TH,1,100,35.032
1734243257.556903,216439.000,33194,1,TH,1,100,35.044
1734243257.689905,216572.000,33226,1,TH,1,100,35.044
1734243257.822906,216705.000,33243,1,TH,1,100,34.994
1734243257.956908,216839.000,33264,1,TH,1,100,34.994
1734243258.089910,216972.000,33280,1,TH,1,100,34.980
1734243258.222911,217105.000,33299,1,TH,1,100,34.988
1734243258.356913,217239.000,33316,1,TH,1,100,35.033
1734243258.489914,217372.000,33347,1,TH,1,100,35.033
1734243258.622916,217505.000,33364,1,TH,1,100,34.972
1734243258.756917,217639.000,33381,1,TH,1,100,34.972
1734243258.889919,217772.000,33414,1,TH,1,100,35.013
1734243259.022920,217905.000,33432,1,TH,1,100,35.013
1734243259.156922,218039.000,33448,1,TH,1,100,34.964
1734243259.289923,218172.000,33480,1,TH,1,100,34.972
1734243259.422925,218305.000,33499,1,TH,1,100,35.141
1734243259.556926,218439.000,33517,1,TH,1,100,35.141
1734243259.689928,218572.000,33549,1,TH,1,100,35.035
1734243259.822930,218705.000,33566,1,TH,1,100,35.035
1734243259.955931,218838.000,33582,1,TH,1,100,35.012
1734243260.089933,218972.000,33614,1,TH,1,100,35.012
1734243260.222934,219105.000,33633,1,TH,1,100,35.040
1734243260.355936,219238.000,33650,1,TH,1,100,35.047
1734243260.489937,219372.000,33667,1,TH,1,100,35.011
1734243260.622939,219505.000,33699,1,TH,1,100,35.011
1734243260.755940,219638.000,33715,1,TH,1,100,34.993
1734243260.889942,219772.000,33732,1,TH,1,100,34.993
1734243261.022943,219905.000,33766,1,TH,1,100,35.044
1734243261.155945,220038.000,33782,1,TH,1,100,35.044
1734243261.289947,220172.000,33799,1,TH,1,100,35.000
1734243261.422948,220305.000,33831,1,TH,1,100,35.007
1734243261.555950,220438.000,33847,1,TH,1,100,35.106
1734243261.689951,220572.000,33867,1,TH,1,100,35.106
1734243261.822953,220705.000,33898,1,TH,1,100,35.068
1734243261.955954,220838.000,33914,1,TH,1,100,35.068
1734243262.089956,220972.000,33932,1,TH,1,100,35.073
1734243262.222957,221105.000,33963,1,TH,1,100,35.081
1734243262.355959,221238.000,33982,1,TH,1,100,35.001
1734243262.489960,221372.000,33999,1,TH,1,100,35.001
1734243262.622962,221505.000,34015,1,TH,1,100,35.007
1734243262.755964,221638.000,34047,1,TH,1,100,35.007
1734243262.889965,221772.000,34064,1,TH,1,100,35.001
1734243263.022967,221905.000,34081,1,TH,1,100,35.001
1734243263.155968,222038.000,34101,1,TH,1,100,35.017
1734243263.289970,222172.000,34133,1,TH,1,100,35.024
1734243263.422971,222305.000,34149,1,TH,1,100,35.095
1734243263.555973,222438.000,34166,1,TH,1,100,35.095
1734243263.688974,222571.000,34198,1,TH,1,100,35.029
1734243263.822976,222705.000,34214,1,TH,1,100,35.029
1734243263.955977,222838.000,34233,1,TH,1,100,35.117
1734243264.088979,222971.000,34265,1,TH,1,100,35.117
1734243264.222980,223105.000,34281,1,TH,1,100,35.201
1734243264.355982,223238.000,34299,1,TH,1,100,35.208
1734243264.488983,223371.000,34332,1,TH,1,100,35.154
1734243264.622985,223505.000,34351,1,TH,1,100,35.154
1734243264.755987,223638.000,34368,1,TH,1,100,35.113
1734243264.888988,223771.000,34384,1,TH,1,100,35.113
1734243265.022990,223905.000,34416,1,TH,1,100,35.058
1734243265.155991,224038.000,34433,1,TH,1,100,35.058
1734243265.288993,224171.000,34451,1,TH,1,100,35.185
1734243265.422994,224305.000,34483,1,TH,1,100,35.192
1734243265.555996,224438.000,34500,1,TH,1,100,35.113
1734243265.688997,224571.000,34517,1,TH,1,100,35.113
1734243265.822999,224705.000,34548,1,TH,1,100,35.163
1734243265.956000,224838.000,34567,1,TH,1,100,35.163
1734243266.089002,224971.000,34584,1,TH,1,100,35.102
1734243266.223004,225105.000,34615,1,TH,1,100,35.102
1734243266.356005,225238.000,34633,1,TH,1,100,35.130
1734243266.489007,225371.000,34649,1,TH,1,100,35.137
1734243266.622008,225504.000,34683,1,TH,1,100,35.049
1734243266.756010,225638.000,34700,1,TH,1,100,35.049
1734243266.889011,225771.000,34716,1,TH,1,100,35.132
1734243267.022013,225904.000,34734,1,TH,1,100,35.132
1734243267.156014,226038.000,34765,1,TH,1,100,35.122
1734243267.289016,226171.000,34781,1,TH,1,100,35.129
1734243267.422017,226304.000,34801,1,TH,1,100,35.146
1734243267.556019,226438.000,34832,1,TH,1,100,35.146
1734243267.689020,226571.000,34849,1,TH,1,100,35.065
1734243267.822022,226704.000,34866,1,TH,1,100,35.065
1734243267.956023,226838.000,34900,1,TH,1,100,35.101
1734243268.089025,226971.000,34916,1,TH,1,100,35.101
