LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,TL
1734243242.618731,201501.000,30736,1,TL,1,100,2024-12-15_13-13-57-611789
1734243242.646731,201529.000,30739,1,TL,1,100,2024-12-15_13-14-02-638141
1734243247.725790,206608.000,31576,1,TL,1,100,2024-12-15_13-14-02-676819
1734243247.765790,206648.000,31579,1,TL,1,100,2024-12-15_13-14-07-755059
1734243252.834849,211717.000,32414,1,TL,1,100,2024-12-15_13-14-07-880703
1734243252.870849,211753.000,32417,1,TL,1,100,2024-12-15_13-14-12-866019
1734243257.942908,216825.000,33253,1,TL,1,100,2024-12-15_13-14-12-927484
1734243268.167026,227049.000,34926,1,TL,1,100,2024-12-15_13-14-23-285709
1734243268.169026,227051.000,34928,1,TL,1,100,2024-12-15_13-14-23-530400
1734243273.275085,232157.000,35747,1,TL,1,100,2024-12-15_13-14-28-307042
1734243273.277085,232159.000,35749,1,TL,1,100,2024-12-15_13-14-28-400292
1734243278.396144,237278.000,36589,1,TL,1,100,2024-12-15_13-14-33-404463
1734243278.399144,237281.000,36591,1,TL,1,100,2024-12-15_13-14-33-465765
1734243278.456145,237338.000,36594,1,TL,1,100,2024-12-15_13-14-38-418084
1734243283.517203,242399.000,37428,1,TL,1,100,2024-12-15_13-14-38-540511
1734243283.576204,242458.000,37431,1,TL,1,100,2024-12-15_13-14-43-549070
1734243288.635262,247517.000,38265,1,TL,1,100,2024-12-15_13-14-43-656786
1734243288.657263,247539.000,38268,1,TL,1,100,2024-12-15_13-14-48-652999
1734243293.761322,252643.000,39106,1,TL,1,100,2024-12-15_13-14-48-775742
1734243293.788322,252670.000,39109,1,TL,1,100,2024-12-15_13-14-53-778757
1734243298.875381,257757.000,39943,1,TL,1,100,2024-12-15_13-14-53-902091
1734243298.909381,257791.000,39946,1,TL,1,100,2024-12-15_13-14-58-902747
1734243303.986440,262868.000,40768,1,TL,1,100,2024-12-15_13-14-59-012141
1734243303.999440,262881.000,40771,1,TL,1,100,2024-12-15_13-15-03-993940
1734243309.111499,267993.000,41608,1,TL,1,100,2024-12-15_13-15-04-119642
1734243314.230558,273112.000,42445,1,TL,1,100,2024-12-15_13-15-09-176672
1734243314.233558,273115.000,42447,1,TL,1,100,2024-12-15_13-15-09-316173
1734243314.306559,273188.000,42450,1,TL,1,100,2024-12-15_13-15-14-270187
1734243319.345618,278227.000,43289,1,TL,1,100,2024-12-15_13-15-14-376425
1734243319.439619,278321.000,43292,1,TL,1,100,2024-12-15_13-15-19-410172
1734243324.469677,283351.000,44129,1,TL,1,100,2024-12-15_13-15-19-488687
1734243324.518677,283400.000,44132,1,TL,1,100,2024-12-15_13-15-24-509054
1734243329.585736,288467.000,44972,1,TL,1,100,2024-12-15_13-15-24-678716
1734243334.704795,293586.000,45811,1,TL,1,100,2024-12-15_13-15-29-623917
1734243334.706795,293588.000,45813,1,TL,1,100,2024-12-15_13-15-29-717673
1734243339.810854,298692.000,46635,1,TL,1,100,2024-12-15_13-15-34-847445
1734243339.812854,298694.000,46637,1,TL,1,100,2024-12-15_13-15-35-034516
1734243344.978914,303860.000,47461,1,TL,1,100,2024-12-15_13-15-39-862814
1734243344.983914,303865.000,47463,1,TL,1,100,2024-12-15_13-15-40-033898
1734243350.089973,308971.000,48287,1,TL,1,100,2024-12-15_13-15-45-315151
1734243350.091973,308973.000,48289,1,TL,1,100,2024-12-15_13-15-45-346454
1734243355.198032,314079.000,49064,1,TL,1,100,2024-12-15_13-15-50-194510
1734243355.201032,314082.000,49066,1,TL,1,100,2024-12-15_13-15-50-393365
1734243355.303033,314184.000,49069,1,TL,1,100,2024-12-15_13-15-55-291373
1734243360.334091,319215.000,49903,1,TL,1,100,2024-12-15_13-15-55-416398
1734243360.396092,319277.000,49906,1,TL,1,100,2024-12-15_13-16-00-378638
1734243365.453151,324334.000,50745,1,TL,1,100,2024-12-15_13-16-00-486863
1734243365.528152,324409.000,50748,1,TL,1,100,2024-12-15_13-16-05-502687
1734243370.561210,329442.000,51582,1,TL,1,100,2024-12-15_13-16-05-595903
1734243370.587210,329468.000,51585,1,TL,1,100,2024-12-15_13-16-10-578827
1734243375.669269,334550.000,52405,1,TL,1,100,2024-12-15_13-16-10-702826
1734243380.780328,339661.000,53251,1,TL,1,100,2024-12-15_13-16-15-760077
1734243380.784328,339665.000,53253,1,TL,1,100,2024-12-15_13-16-15-868245
1734243380.853328,339734.000,53256,1,TL,1,100,2024-12-15_13-16-20-842316
1734243385.895387,344776.000,54094,1,TL,1,100,2024-12-15_13-16-20-920138
1734243385.932387,344813.000,54097,1,TL,1,100,2024-12-15_13-16-25-925672
1734243391.025446,349906.000,54935,1,TL,1,100,2024-12-15_13-16-26-050062
1734243391.058446,349939.000,54938,1,TL,1,100,2024-12-15_13-16-31-050850
1734243396.152505,355033.000,55778,1,TL,1,100,2024-12-15_13-16-31-174052
1734243396.191506,355072.000,55781,1,TL,1,100,2024-12-15_13-16-36-183667
