RD,TS_received,TS_sent,AK,RoundTrip,
201503,201529,2024-12-15_13-14-02-638141,201530,26,
206610,206648,2024-12-15_13-14-07-755059,206649,38,
211719,211753,2024-12-15_13-14-12-866019,211775,34,
216827,
221935,227049,2024-12-15_13-14-23-285709,227050,5114,
227053,232157,2024-12-15_13-14-28-307042,232158,5104,
232161,237278,2024-12-15_13-14-33-404463,237279,5117,
237286,237338,2024-12-15_13-14-38-418084,237339,52,
242404,242458,2024-12-15_13-14-43-549070,242459,54,
247518,247539,2024-12-15_13-14-48-652999,247541,21,
252645,252670,2024-12-15_13-14-53-778757,252672,25,
257762,257791,2024-12-15_13-14-58-902747,257792,29,
262870,262881,2024-12-15_13-15-03-993940,262883,11,
267994,273112,2024-12-15_13-15-09-176672,273113,5118,
273116,273188,2024-12-15_13-15-14-270187,273189,72,
278229,278321,2024-12-15_13-15-19-410172,278322,92,
283353,283400,2024-12-15_13-15-24-509054,283401,47,
288469,293586,2024-12-15_13-15-29-623917,293587,5117,
293590,298692,2024-12-15_13-15-34-847445,298693,5102,
298700,303860,2024-12-15_13-15-39-862814,303864,5160,
303867,308971,2024-12-15_13-15-45-315151,308972,5104,
308975,314079,2024-12-15_13-15-50-194510,314080,5104,
314083,314184,2024-12-15_13-15-55-291373,314185,101,
319217,319277,2024-12-15_13-16-00-378638,319278,60,
324336,324409,2024-12-15_13-16-05-502687,324410,73,
329443,329468,2024-12-15_13-16-10-578827,329470,25,
334554,339661,2024-12-15_13-16-15-760077,339663,5107,
339667,339734,2024-12-15_13-16-20-842316,339735,67,
344782,344813,2024-12-15_13-16-25-925672,344814,31,
349908,349939,2024-12-15_13-16-31-050850,349941,31,
355035,355072,2024-12-15_13-16-36-183667,355073,37,
360168,360194,2024-12-15_13-16-41-307227,360195,26,
365292,365338,2024-12-15_13-16-46-442806,365339,46,
370400,370489,2024-12-15_13-16-51-527060,370490,89,
375518,375542,2024-12-15_13-16-56-655250,375543,24,
380656,380712,2024-12-15_13-17-01-805561,380713,56,
385775,385818,2024-12-15_13-17-06-913034,385820,43,
390890,390977,2024-12-15_13-17-12-090761,390978,87,
396014,396071,2024-12-15_13-17-17-167674,396073,57,
401129,401192,2024-12-15_13-17-22-288691,401207,63,
406237,406325,2024-12-15_13-17-27-433214,406326,88,
411360,411433,2024-12-15_13-17-32-514789,411434,73,
416472,416500,2024-12-15_13-17-37-610397,416501,28,
421579,421613,2024-12-15_13-17-42-718345,421614,34,
426692,426706,2024-12-15_13-17-47-819083,426707,14,
431800,436905,2024-12-15_13-17-52-945529,436907,5105,
436910,442013,2024-12-15_13-17-58-133321,442018,5103,
442024,442078,2024-12-15_13-18-03-188909,442079,54,
447123,452231,2024-12-15_13-18-08-357931,452236,5108,
452240,457345,2024-12-15_13-18-13-468859,457351,5105,
457356,457398,2024-12-15_13-18-18-509439,457399,42,
462455,462516,2024-12-15_13-18-23-626998,462517,61,
467564,467609,2024-12-15_13-18-28-721202,467610,45,
472675,472701,2024-12-15_13-18-33-811969,472705,26,
477783,477812,2024-12-15_13-18-38-925669,477813,29,
482892,482909,2024-12-15_13-18-44-021570,482913,17,
488032,493165,2024-12-15_13-18-49-292601,493166,5133,
493170,498286,2024-12-15_13-18-54-341604,498287,5116,
498290,498316,2024-12-15_13-18-59-430432,498318,26,
503396,503418,2024-12-15_13-19-04-529772,503433,22,
508504,513639,2024-12-15_13-19-09-679981,513643,5135,
513646,513671,2024-12-15_13-19-14-783422,513672,25,
518751,523864,2024-12-15_13-19-19-968144,523865,5113,
523870,528985,2024-12-15_13-19-25-109771,528989,5115,
528992,529031,2024-12-15_13-19-30-143314,529032,39,
534097,539229,2024-12-15_13-19-35-359421,539230,5132,
539234,544337,2024-12-15_13-19-40-426146,544338,5103,
544341,544401,2024-12-15_13-19-45-508393,544402,60,
549447,549520,2024-12-15_13-19-50-622215,554553,73,
554559,554591,2024-12-15_13-19-55-698313,554592,32,
559666,559691,2024-12-15_13-20-00-799013,559693,25,
564774,564831,2024-12-15_13-20-05-919671,564832,57,
569883,574991,2024-12-15_13-20-11-112860,574993,5108,
574999,575073,2024-12-15_13-20-16-156033,575077,74,
580143,580192,2024-12-15_13-20-21-283476,580197,49,
585251,585276,2024-12-15_13-20-26-386103,585277,25,
590360,590377,2024-12-15_13-20-31-484827,590378,17,
595494,595537,2024-12-15_13-20-36-633040,595538,43,
600600,600635,2024-12-15_13-20-41-742278,600636,35,
605709,605737,2024-12-15_13-20-46-850060,605742,28,
610820,610843,2024-12-15_13-20-51-956205,610847,23,
615927,615953,2024-12-15_13-20-57-063733,615955,26,
621075,621091,2024-12-15_13-21-02-205581,621092,16,
626195,626227,2024-12-15_13-21-07-335433,626228,32,
631308,631339,2024-12-15_13-21-12-450044,631340,31,
636432,636471,2024-12-15_13-21-17-575752,636472,39,
641552,646666,2024-12-15_13-21-22-732899,646669,5114,
646672,
651775,
