LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,AK
1734181480.783843,145777.000,20909,2,AK,1,100,20089
1734181480.783843,145777.000,20909,2,AK,1,100,RD
1734181483.337343,148330.500,21727,2,AK,1,100,20910
1734181485.890842,150884.000,21727,2,AK,1,100,RD
1734181485.891842,150885.000,21729,2,AK,1,100,20910
1734181485.892842,150886.000,21729,2,AK,1,100,RD
1734181485.900342,150893.500,21732,2,AK,1,100,21730
1734181485.907842,150901.000,21732,2,AK,1,100,RD
1734181488.453341,153446.500,22572,2,AK,1,100,21730
1734181490.998841,155992.000,22572,2,AK,1,100,RD
1734181493.552840,158546.000,23390,2,AK,1,100,22573
1734181496.106839,161100.000,23390,2,AK,1,100,RD
1734181496.107840,161101.000,23392,2,AK,1,100,22573
1734181496.108840,161102.000,23392,2,AK,1,100,RD
1734181496.118840,161112.000,23395,2,AK,1,100,23393
1734181496.128839,161122.000,23395,2,AK,1,100,RD
1734181498.674839,163668.000,24197,2,AK,1,100,23393
1734181501.220838,166214.000,24197,2,AK,1,100,RD
1734181501.234838,166228.000,24200,2,AK,1,100,24198
1734181501.248838,166242.000,24200,2,AK,1,100,RD
1734181503.788838,168782.000,25031,2,AK,1,100,24198
1734181506.328837,171322.000,25031,2,AK,1,100,RD
1734181506.342837,171336.000,25034,2,AK,1,100,25032
1734181506.356837,171350.000,25034,2,AK,1,100,RD
1734181508.896837,173890.000,25867,2,AK,1,100,25032
1734181511.436836,176430.000,25867,2,AK,1,100,RD
1734181511.457336,176450.500,25870,2,AK,1,100,25868
1734181511.477836,176471.000,25870,2,AK,1,100,RD
1734181514.051835,179045.000,26702,2,AK,1,100,25868
1734181516.625835,181619.000,26702,2,AK,1,100,RD
1734181516.646335,181639.500,26705,2,AK,1,100,26703
1734181516.666835,181660.000,26705,2,AK,1,100,RD
1734181519.201834,184195.000,27536,2,AK,1,100,26703
1734181521.736833,186730.000,27536,2,AK,1,100,RD
1734181521.757833,186751.000,27539,2,AK,1,100,27537
1734181521.778833,186772.000,27539,2,AK,1,100,RD
1734181524.311333,189304.500,28379,2,AK,1,100,27537
1734181526.843832,191837.000,28379,2,AK,1,100,RD
1734181526.860332,191853.500,28382,2,AK,1,100,28380
1734181526.876832,191870.000,28382,2,AK,1,100,RD
1734181529.424832,194418.000,29214,2,AK,1,100,28380
1734181531.972831,196966.000,29214,2,AK,1,100,RD
1734181531.985831,196979.000,29217,2,AK,1,100,29215
1734181531.998831,196992.000,29217,2,AK,1,100,RD
1734181534.540830,199534.000,30003,2,AK,1,100,29215
1734181537.082830,202076.000,30003,2,AK,1,100,RD
1734181537.112330,202105.500,30006,2,AK,1,100,30004
1734181537.141830,202135.000,30006,2,AK,1,100,RD
1734181539.665829,204659.000,30839,2,AK,1,100,30004
1734181542.189828,207183.000,30839,2,AK,1,100,RD
1734181542.197829,207191.000,30842,2,AK,1,100,30840
1734181542.205828,207199.000,30842,2,AK,1,100,RD
1734181544.751828,209745.000,31674,2,AK,1,100,30840
1734181547.297827,212291.000,31674,2,AK,1,100,RD
1734181547.315827,212309.000,31677,2,AK,1,100,31675
1734181547.333827,212327.000,31677,2,AK,1,100,RD
1734181549.869827,214863.000,32512,2,AK,1,100,31675
