LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,B%
1734181477.625844,142619.000,20428,1,B%,1,100,73
1734181482.624843,147618.000,21229,1,B%,1,100,73
1734181487.624842,152618.000,22035,1,B%,1,100,73
1734181492.623840,157617.000,22843,1,B%,1,100,72
1734181497.623839,162617.000,23615,1,B%,1,100,72
1734181502.622838,167616.000,24451,1,B%,1,100,72
1734181507.622837,172616.000,25268,1,B%,1,100,73
1734181512.621835,177615.000,26089,1,B%,1,100,72
1734181517.621834,182615.000,26889,1,B%,1,100,72
1734181522.620833,187614.000,27707,1,B%,1,100,72
1734181527.620832,192614.000,28516,1,B%,1,100,72
1734181532.619831,197613.000,29289,1,B%,1,100,72
1734181537.619830,202613.000,30109,1,B%,1,100,72
1734181542.618828,207612.000,30925,1,B%,1,100,71
1734181547.618827,212612.000,31743,1,B%,1,100,72
1734181552.617826,217611.000,32564,1,B%,1,100,72
1734181557.617825,222611.000,33381,1,B%,1,100,72
1734181562.616823,227610.000,34194,1,B%,1,100,72
1734181567.616822,232610.000,35015,1,B%,1,100,72
1734181572.615821,237609.000,35833,1,B%,1,100,71
1734181577.615820,242609.000,36652,1,B%,1,100,72
1734181582.614819,247608.000,37471,1,B%,1,100,71
1734181587.614817,252608.000,38291,1,B%,1,100,72
1734181592.613816,257607.000,39091,1,B%,1,100,71
1734181597.613815,262607.000,39912,1,B%,1,100,72
1734181602.612814,267606.000,40733,1,B%,1,100,71
1734181607.612813,272606.000,41546,1,B%,1,100,71
1734181612.611811,277605.000,42367,1,B%,1,100,72
1734181617.611810,282605.000,43183,1,B%,1,100,72
1734181622.610809,287604.000,43986,1,B%,1,100,71
1734181627.610808,292604.000,44793,1,B%,1,100,71
1734181632.609807,297603.000,45615,1,B%,1,100,71
1734181637.609805,302603.000,46432,1,B%,1,100,71
1734181642.608804,307602.000,47252,1,B%,1,100,71
1734181647.608803,312602.000,48053,1,B%,1,100,71
1734181652.607802,317601.000,48872,1,B%,1,100,71
1734181657.607801,322601.000,49691,1,B%,1,100,71
1734181662.606799,327600.000,50492,1,B%,1,100,71
1734181667.606798,332600.000,51312,1,B%,1,100,71
1734181672.605797,337599.000,52135,1,B%,1,100,70
1734181677.605796,342599.000,52938,1,B%,1,100,70
1734181682.604795,347598.000,53761,1,B%,1,100,69
1734181687.604793,352598.000,54586,1,B%,1,100,71
1734181692.603792,357597.000,55404,1,B%,1,100,70
1734181697.603791,362597.000,56208,1,B%,1,100,71
1734181702.602790,367596.000,57010,1,B%,1,100,71
1734181707.602789,372596.000,57830,1,B%,1,100,70
1734181712.601787,377595.000,58652,1,B%,1,100,70
1734181717.601786,382595.000,59468,1,B%,1,100,71
1734181722.600785,387594.000,60289,1,B%,1,100,71
1734181727.600784,392594.000,61092,1,B%,1,100,70
1734181732.599782,397593.000,61893,1,B%,1,100,70
1734181737.599781,402593.000,62715,1,B%,1,100,70
1734181742.598780,407592.000,63535,1,B%,1,100,70
1734181747.598779,412592.000,64354,1,B%,1,100,70
1734181752.597778,417591.000,65172,1,B%,1,100,70
1734181757.597777,422591.000,453,1,B%,1,100,70
1734181762.596775,427590.000,1273,1,B%,1,100,71
1734181767.596774,432590.000,2075,1,B%,1,100,71
1734181772.595773,437589.000,2911,1,B%,1,100,70
1734181777.595772,442589.000,3729,1,B%,1,100,70
1734181782.594770,447588.000,4545,1,B%,1,100,70
1734181787.594769,452588.000,5361,1,B%,1,100,71
1734181792.593768,457587.000,6182,1,B%,1,100,69
1734181797.593767,462587.000,6998,1,B%,1,100,70
1734181802.592766,467586.000,7821,1,B%,1,100,70
1734181807.592765,472586.000,8637,1,B%,1,100,70
1734181812.591763,477585.000,9459,1,B%,1,100,69
1734181817.591762,482585.000,10281,1,B%,1,100,70
1734181822.590761,487584.000,11117,1,B%,1,100,70
1734181827.590760,492584.000,11936,1,B%,1,100,69
1734181832.589758,497583.000,12756,1,B%,1,100,70
1734181837.589757,502583.000,13560,1,B%,1,100,70
1734181842.588756,507582.000,14392,1,B%,1,100,69
1734181847.588755,512582.000,15207,1,B%,1,100,70
1734181852.587754,517581.000,16027,1,B%,1,100,69
1734181857.587753,522581.000,16847,1,B%,1,100,69
1734181862.586751,527580.000,17666,1,B%,1,100,68
1734181867.586750,532580.000,18469,1,B%,1,100,69
1734181872.585749,537579.000,19305,1,B%,1,100,69
1734181877.585748,542579.000,20122,1,B%,1,100,68
1734181882.584746,547578.000,20938,1,B%,1,100,69
1734181887.584745,552578.000,21753,1,B%,1,100,69
1734181892.583744,557577.000,22573,1,B%,1,100,69
1734181897.583743,562577.000,23390,1,B%,1,100,68
1734181902.582742,567576.000,24196,1,B%,1,100,69
1734181907.582741,572576.000,25015,1,B%,1,100,69
1734181912.581739,577575.000,25835,1,B%,1,100,69
1734181917.581738,582575.000,26611,1,B%,1,100,70
1734181922.580737,587574.000,27431,1,B%,1,100,68
1734181927.580736,592574.000,28233,1,B%,1,100,68
1734181932.579734,597573.000,29069,1,B%,1,100,69
1734181937.579733,602573.000,29872,1,B%,1,100,68
1734181942.578732,607572.000,30688,1,B%,1,100,68
1734181947.578731,612572.000,31524,1,B%,1,100,68
1734181952.577730,617571.000,32344,1,B%,1,100,68
1734181957.577729,622571.000,33148,1,B%,1,100,68
1734181962.576727,627570.000,33967,1,B%,1,100,68
1734181967.576726,632570.000,34789,1,B%,1,100,68
1734181972.575725,637569.000,35593,1,B%,1,100,68
1734181977.575724,642569.000,36414,1,B%,1,100,67
1734181982.574722,647568.000,37217,1,B%,1,100,67
1734181987.574721,652568.000,38038,1,B%,1,100,68
1734181992.573720,657567.000,38857,1,B%,1,100,67
1734181997.573719,662567.000,39670,1,B%,1,100,67
1734182002.572718,667566.000,40493,1,B%,1,100,68
1734182007.572716,672566.000,41293,1,B%,1,100,67
1734182012.571715,677565.000,42098,1,B%,1,100,67
1734182017.571714,682565.000,42901,1,B%,1,100,67
1734182022.570713,687564.000,43706,1,B%,1,100,67
1734182027.570712,692564.000,44463,1,B%,1,100,67
1734182032.569710,697563.000,45266,1,B%,1,100,67
1734182037.569709,702563.000,46088,1,B%,1,100,68
1734182042.568708,707562.000,46914,1,B%,1,100,67
1734182047.568707,712562.000,47714,1,B%,1,100,67
1734182052.567706,717561.000,48537,1,B%,1,100,67
1734182057.567704,722561.000,49355,1,B%,1,100,67
1734182062.566703,727560.000,50172,1,B%,1,100,67
1734182067.566702,732560.000,50988,1,B%,1,100,67
1734182072.565701,737559.000,51791,1,B%,1,100,66
1734182077.565700,742559.000,52612,1,B%,1,100,67
