LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,BI
1734181479.633843,144627,20741,1,BI,1,100,2840
1734181480.993843,145987,20929,1,BI,1,100,1360
1734181482.806843,147800,21230,1,BI,1,100,1800
1734181483.246843,148240,21297,1,BI,1,100,440
1734181485.579842,150573,21676,1,BI,1,100,2320
1734181486.419842,151413,21816,1,BI,1,100,840
1734181487.419842,152413,21982,1,BI,1,100,1000
1734181488.459841,153453,22153,1,BI,1,100,1040
1734181489.379841,154373,22304,1,BI,1,100,920
1734181490.352841,155346,22471,1,BI,1,100,960
1734181491.472841,156466,22641,1,BI,1,100,1120
1734181492.472840,157466,22807,1,BI,1,100,1000
1734181493.405840,158399,22958,1,BI,1,100,920
1734181494.325840,159319,23107,1,BI,1,100,920
1734181495.325840,160319,23272,1,BI,1,100,1000
1734181496.085840,161079,23396,1,BI,1,100,760
1734181496.925839,161919,23481,1,BI,1,100,840
1734181497.538839,162532,23596,1,BI,1,100,600
1734181498.338839,163332,23714,1,BI,1,100,800
1734181499.058839,164052,23848,1,BI,1,100,720
1734181499.898839,164892,23981,1,BI,1,100,840
1734181500.618839,165612,24096,1,BI,1,100,720
1734181501.591838,166585,24251,1,BI,1,100,960
1734181502.631838,167625,24431,1,BI,1,100,1040
1734181503.471838,168465,24566,1,BI,1,100,840
1734181504.631837,169625,24749,1,BI,1,100,1160
1734181505.164837,170158,24848,1,BI,1,100,520
1734181506.284837,171278,25035,1,BI,1,100,1120
1734181507.124837,172118,25168,1,BI,1,100,840
1734181508.043837,173037,25320,1,BI,1,100,920
1734181508.777837,173771,25435,1,BI,1,100,720
1734181509.337836,174331,25533,1,BI,1,100,560
1734181510.417836,175411,25700,1,BI,1,100,1080
1734181511.416836,176410,25872,1,BI,1,100,1000
1734181512.216836,177210,26004,1,BI,1,100,800
1734181513.150836,178144,26155,1,BI,1,100,920
1734181514.429835,179423,26370,1,BI,1,100,1280
1734181515.429835,180423,26519,1,BI,1,100,1000
1734181516.149835,181143,26651,1,BI,1,100,720
1734181517.323834,182317,26820,1,BI,1,100,1160
