LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,BV
1734181477.625844,142619.000,20427,1,BV,1,100,3.88
1734181482.624843,147618.000,21228,1,BV,1,100,3.88
1734181487.624842,152618.000,22034,1,BV,1,100,3.88
1734181492.623840,157617.000,22842,1,BV,1,100,3.87
1734181497.623839,162617.000,23614,1,BV,1,100,3.87
1734181502.622838,167616.000,24450,1,BV,1,100,3.87
1734181507.622837,172616.000,25267,1,BV,1,100,3.88
1734181512.621835,177615.000,26088,1,BV,1,100,3.87
1734181517.621834,182615.000,26888,1,BV,1,100,3.87
1734181522.620833,187614.000,27706,1,BV,1,100,3.87
1734181527.620832,192614.000,28515,1,BV,1,100,3.87
1734181532.619831,197613.000,29288,1,BV,1,100,3.87
1734181537.619830,202613.000,30108,1,BV,1,100,3.87
1734181542.618828,207612.000,30924,1,BV,1,100,3.87
1734181547.618827,212612.000,31742,1,BV,1,100,3.87
1734181552.617826,217611.000,32563,1,BV,1,100,3.87
1734181557.617825,222611.000,33380,1,BV,1,100,3.87
1734181562.616823,227610.000,34193,1,BV,1,100,3.87
1734181567.616822,232610.000,35014,1,BV,1,100,3.87
1734181572.615821,237609.000,35832,1,BV,1,100,3.87
1734181577.615820,242609.000,36651,1,BV,1,100,3.87
1734181582.614819,247608.000,37470,1,BV,1,100,3.87
1734181587.614817,252608.000,38290,1,BV,1,100,3.87
1734181592.613816,257607.000,39090,1,BV,1,100,3.87
1734181597.613815,262607.000,39911,1,BV,1,100,3.87
1734181602.612814,267606.000,40732,1,BV,1,100,3.87
1734181607.612813,272606.000,41545,1,BV,1,100,3.87
1734181612.611811,277605.000,42366,1,BV,1,100,3.87
1734181617.611810,282605.000,43182,1,BV,1,100,3.87
1734181622.610809,287604.000,43985,1,BV,1,100,3.87
1734181627.610808,292604.000,44792,1,BV,1,100,3.86
1734181632.609807,297603.000,45614,1,BV,1,100,3.87
1734181637.609805,302603.000,46431,1,BV,1,100,3.87
1734181642.608804,307602.000,47251,1,BV,1,100,3.86
1734181647.608803,312602.000,48052,1,BV,1,100,3.86
1734181652.607802,317601.000,48871,1,BV,1,100,3.86
1734181657.607801,322601.000,49690,1,BV,1,100,3.86
1734181662.606799,327600.000,50491,1,BV,1,100,3.87
1734181667.606798,332600.000,51311,1,BV,1,100,3.86
1734181672.605797,337599.000,52134,1,BV,1,100,3.86
1734181677.605796,342599.000,52937,1,BV,1,100,3.86
1734181682.604795,347598.000,53760,1,BV,1,100,3.85
1734181687.604793,352598.000,54585,1,BV,1,100,3.87
1734181692.603792,357597.000,55403,1,BV,1,100,3.86
1734181697.603791,362597.000,56207,1,BV,1,100,3.86
1734181702.602790,367596.000,57009,1,BV,1,100,3.86
1734181707.602789,372596.000,57829,1,BV,1,100,3.86
1734181712.601787,377595.000,58651,1,BV,1,100,3.86
1734181717.601786,382595.000,59467,1,BV,1,100,3.87
1734181722.600785,387594.000,60288,1,BV,1,100,3.86
1734181727.600784,392594.000,61091,1,BV,1,100,3.86
1734181732.599782,397593.000,61892,1,BV,1,100,3.86
1734181737.599781,402593.000,62714,1,BV,1,100,3.86
1734181742.598780,407592.000,63534,1,BV,1,100,3.86
1734181747.598779,412592.000,64353,1,BV,1,100,3.86
1734181752.597778,417591.000,65171,1,BV,1,100,3.86
1734181757.597777,422591.000,452,1,BV,1,100,3.86
1734181762.596775,427590.000,1272,1,BV,1,100,3.86
1734181767.596774,432590.000,2074,1,BV,1,100,3.86
1734181772.595773,437589.000,2910,1,BV,1,100,3.86
1734181777.595772,442589.000,3728,1,BV,1,100,3.86
1734181782.594770,447588.000,4544,1,BV,1,100,3.86
1734181787.594769,452588.000,5360,1,BV,1,100,3.86
1734181792.593768,457587.000,6181,1,BV,1,100,3.85
1734181797.593767,462587.000,6997,1,BV,1,100,3.86
1734181802.592766,467586.000,7820,1,BV,1,100,3.86
1734181807.592765,472586.000,8636,1,BV,1,100,3.86
1734181812.591763,477585.000,9458,1,BV,1,100,3.85
1734181817.591762,482585.000,10280,1,BV,1,100,3.85
1734181822.590761,487584.000,11116,1,BV,1,100,3.85
1734181827.590760,492584.000,11935,1,BV,1,100,3.85
1734181832.589758,497583.000,12755,1,BV,1,100,3.86
1734181837.589757,502583.000,13559,1,BV,1,100,3.86
1734181842.588756,507582.000,14391,1,BV,1,100,3.85
1734181847.588755,512582.000,15206,1,BV,1,100,3.86
1734181852.587754,517581.000,16026,1,BV,1,100,3.85
1734181857.587753,522581.000,16846,1,BV,1,100,3.85
1734181862.586751,527580.000,17665,1,BV,1,100,3.85
1734181867.586750,532580.000,18468,1,BV,1,100,3.85
1734181872.585749,537579.000,19304,1,BV,1,100,3.85
1734181877.585748,542579.000,20121,1,BV,1,100,3.85
1734181882.584746,547578.000,20937,1,BV,1,100,3.85
1734181887.584745,552578.000,21752,1,BV,1,100,3.85
1734181892.583744,557577.000,22572,1,BV,1,100,3.85
1734181897.583743,562577.000,23389,1,BV,1,100,3.85
1734181902.582742,567576.000,24195,1,BV,1,100,3.85
1734181907.582741,572576.000,25014,1,BV,1,100,3.85
1734181912.581739,577575.000,25834,1,BV,1,100,3.85
1734181917.581738,582575.000,26610,1,BV,1,100,3.86
1734181922.580737,587574.000,27430,1,BV,1,100,3.85
1734181927.580736,592574.000,28232,1,BV,1,100,3.85
1734181932.579734,597573.000,29068,1,BV,1,100,3.85
1734181937.579733,602573.000,29871,1,BV,1,100,3.85
1734181942.578732,607572.000,30687,1,BV,1,100,3.85
1734181947.578731,612572.000,31523,1,BV,1,100,3.85
1734181952.577730,617571.000,32343,1,BV,1,100,3.85
1734181957.577729,622571.000,33147,1,BV,1,100,3.85
