LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,EA
1734181477.525844,142519.000,20397,2,EA,1,100,0.274310
1734181477.525844,142519.000,20397,2,EA,1,100,0.274256
1734181477.592844,142586.000,20414,1,EA,1,100,0.274235
1734181477.659344,142652.500,20433,2,EA,1,100,0.274256
1734181477.725844,142719.000,20433,2,EA,1,100,0.274299
1734181477.792844,142786.000,20450,1,EA,1,100,0.274343
1734181477.859344,142852.500,20464,2,EA,1,100,0.274353
1734181477.925844,142919.000,20464,2,EA,1,100,0.274343
1734181477.992844,142986.000,20482,1,EA,1,100,0.274396
1734181478.059344,143052.500,20498,2,EA,1,100,0.274472
1734181478.125844,143119.000,20498,2,EA,1,100,0.274472
1734181478.192844,143186.000,20515,2,EA,1,100,0.274494
1734181478.259844,143253.000,20515,2,EA,1,100,0.274591
1734181478.325844,143319.000,20532,1,EA,1,100,0.274580
1734181478.392344,143385.500,20547,2,EA,1,100,0.274494
1734181478.458844,143452.000,20547,2,EA,1,100,0.274569
1734181478.525844,143519.000,20563,1,EA,1,100,0.274645
1734181478.592344,143585.500,20581,2,EA,1,100,0.274699
1734181478.658844,143652.000,20581,2,EA,1,100,0.274731
1734181478.725844,143719.000,20597,1,EA,1,100,0.274807
1734181478.792344,143785.500,20612,2,EA,1,100,0.275110
1734181478.858844,143852.000,20612,2,EA,1,100,0.275382
1734181478.925844,143919.000,20628,1,EA,1,100,0.275414
1734181478.992344,143985.500,20648,2,EA,1,100,0.275251
1734181479.058844,144052.000,20648,2,EA,1,100,0.275186
1734181479.125844,144119.000,20664,1,EA,1,100,0.275067
1734181479.192344,144185.500,20679,2,EA,1,100,0.275089
1734181479.258844,144252.000,20679,2,EA,1,100,0.275165
1734181479.325844,144319.000,20696,1,EA,1,100,0.275143
1734181479.392344,144385.500,20713,2,EA,1,100,0.275208
1734181479.458843,144452.000,20713,2,EA,1,100,0.275230
1734181479.525844,144519.000,20729,1,EA,1,100,0.275284
1734181479.592344,144585.500,20747,2,EA,1,100,0.275414
1734181479.658844,144652.000,20747,2,EA,1,100,0.275458
1734181479.725843,144719.000,20763,1,EA,1,100,0.275490
1734181479.792343,144785.500,20782,2,EA,1,100,0.275545
1734181479.858844,144852.000,20782,2,EA,1,100,0.275512
1734181479.925843,144919.000,20798,1,EA,1,100,0.275436
1734181479.992343,144985.500,20815,2,EA,1,100,0.275436
1734181480.058843,145052.000,20815,2,EA,1,100,0.274872
1734181480.125843,145119.000,20830,1,EA,1,100,0.274041
1734181480.192343,145185.500,20847,2,EA,1,100,0.273815
1734181480.258843,145252.000,20847,2,EA,1,100,0.273987
1734181480.325843,145319.000,20864,1,EA,1,100,0.274192
1734181480.392343,145385.500,20880,2,EA,1,100,0.274289
1734181480.458843,145452.000,20880,2,EA,1,100,0.274289
1734181480.525843,145519.000,20895,2,EA,1,100,0.274235
1734181480.592843,145586.000,20895,2,EA,1,100,0.274310
1734181480.659343,145652.500,20916,4,EA,1,100,0.274052
1734181480.725843,145719.000,20916,4,EA,1,100,0.272926
1734181480.792343,145785.500,20916,4,EA,1,100,0.271662
1734181480.858843,145852.000,20916,4,EA,1,100,0.271599
1734181480.925343,145918.500,20935,2,EA,1,100,0.272001
1734181480.991843,145985.000,20935,2,EA,1,100,0.272585
1734181481.058843,146052.000,20952,1,EA,1,100,0.272948
1734181481.125343,146118.500,20968,2,EA,1,100,0.273108
1734181481.191843,146185.000,20968,2,EA,1,100,0.272841
1734181481.258843,146252.000,20985,1,EA,1,100,0.272617
1734181481.325843,146319.000,21000,2,EA,1,100,0.272713
1734181481.392843,146386.000,21000,2,EA,1,100,0.272852
1734181481.458843,146452.000,21017,1,EA,1,100,0.272948
1734181481.525343,146518.500,21033,2,EA,1,100,0.273933
1734181481.591843,146585.000,21033,2,EA,1,100,0.274558
1734181481.658843,146652.000,21051,1,EA,1,100,0.274299
1734181481.725343,146718.500,21065,2,EA,1,100,0.274202
1734181481.791843,146785.000,21065,2,EA,1,100,0.274289
1734181481.858843,146852.000,21082,1,EA,1,100,0.274202
1734181481.925343,146918.500,21099,2,EA,1,100,0.274170
1734181481.991843,146985.000,21099,2,EA,1,100,0.274224
1734181482.058843,147052.000,21116,1,EA,1,100,0.274332
1734181482.125343,147118.500,21132,2,EA,1,100,0.274364
1734181482.191843,147185.000,21132,2,EA,1,100,0.274310
1734181482.258843,147252.000,21149,1,EA,1,100,0.274386
1734181482.325343,147318.500,21166,2,EA,1,100,0.274364
1734181482.391843,147385.000,21166,2,EA,1,100,0.274375
1734181482.458843,147452.000,21183,1,EA,1,100,0.274343
1734181482.525343,147518.500,21198,2,EA,1,100,0.274353
1734181482.591843,147585.000,21198,2,EA,1,100,0.274332
1734181482.658843,147652.000,21215,1,EA,1,100,0.274299
1734181482.725343,147718.500,21235,2,EA,1,100,0.274418
1734181482.791843,147785.000,21235,2,EA,1,100,0.274461
1734181482.858843,147852.000,21252,2,EA,1,100,0.274483
1734181482.925843,147919.000,21252,2,EA,1,100,0.274375
1734181482.992343,147985.500,21269,2,EA,1,100,0.274267
1734181483.058843,148052.000,21269,2,EA,1,100,0.274224
1734181483.125843,148119.000,21286,1,EA,1,100,0.274289
1734181483.192343,148185.500,21302,2,EA,1,100,0.274407
1734181483.258843,148252.000,21302,2,EA,1,100,0.274407
1734181483.325843,148319.000,21320,1,EA,1,100,0.274386
1734181483.392343,148385.500,21336,2,EA,1,100,0.274407
1734181483.458843,148452.000,21336,2,EA,1,100,0.274396
1734181483.525843,148519.000,21353,1,EA,1,100,0.274353
1734181483.592343,148585.500,21368,2,EA,1,100,0.274299
1734181483.658843,148652.000,21368,2,EA,1,100,0.274256
1734181483.725842,148719.000,21385,1,EA,1,100,0.274213
1734181483.792342,148785.500,21401,2,EA,1,100,0.274202
1734181483.858842,148852.000,21401,2,EA,1,100,0.274289
1734181483.925843,148919.000,21418,1,EA,1,100,0.274278
1734181483.992342,148985.500,21433,2,EA,1,100,0.274159
1734181484.058842,149052.000,21433,2,EA,1,100,0.274127
1734181484.125842,149119.000,21450,1,EA,1,100,0.274138
1734181484.192343,149185.500,21466,2,EA,1,100,0.274105
1734181484.258842,149252.000,21466,2,EA,1,100,0.274127
1734181484.325842,149319.000,21484,1,EA,1,100,0.274095
1734181484.392342,149385.500,21499,2,EA,1,100,0.274095
1734181484.458842,149452.000,21499,2,EA,1,100,0.274105
1734181484.524842,149518.000,21515,1,EA,1,100,0.274105
1734181484.591842,149585.000,21532,2,EA,1,100,0.274116
1734181484.658842,149652.000,21532,2,EA,1,100,0.274127
1734181484.725342,149718.500,21549,2,EA,1,100,0.274095
1734181484.791842,149785.000,21549,2,EA,1,100,0.274041
1734181484.858842,149852.000,21565,1,EA,1,100,0.273998
1734181484.925342,149918.500,21581,2,EA,1,100,0.273955
1734181484.991842,149985.000,21581,2,EA,1,100,0.273933
1734181485.058842,150052.000,21597,1,EA,1,100,0.273944
1734181485.125342,150118.500,21614,2,EA,1,100,0.273987
1734181485.191842,150185.000,21614,2,EA,1,100,0.273837
1734181485.258842,150252.000,21630,1,EA,1,100,0.273804
1734181485.325342,150318.500,21647,2,EA,1,100,0.273676
1734181485.391842,150385.000,21647,2,EA,1,100,0.273418
1734181485.458842,150452.000,21662,1,EA,1,100,0.273472
1734181485.525342,150518.500,21681,2,EA,1,100,0.273600
1734181485.591842,150585.000,21681,2,EA,1,100,0.273708
1734181485.658842,150652.000,21698,1,EA,1,100,0.273751
1734181485.725342,150718.500,21714,2,EA,1,100,0.273826
1734181485.791842,150785.000,21714,2,EA,1,100,0.273826
1734181485.858342,150851.500,21736,2,EA,1,100,0.273858
1734181485.924842,150918.000,21736,2,EA,1,100,0.273890
1734181485.991842,150985.000,21754,1,EA,1,100,0.273890
1734181486.058342,151051.500,21770,2,EA,1,100,0.273890
1734181486.124842,151118.000,21770,2,EA,1,100,0.273890
1734181486.191842,151185.000,21787,1,EA,1,100,0.273923
1734181486.258342,151251.500,21802,2,EA,1,100,0.273944
1734181486.324842,151318.000,21802,2,EA,1,100,0.273944
1734181486.391842,151385.000,21821,1,EA,1,100,0.274030
1734181486.458342,151451.500,21837,2,EA,1,100,0.274127
1734181486.524842,151518.000,21837,2,EA,1,100,0.274192
1734181486.591842,151585.000,21854,1,EA,1,100,0.274235
1734181486.658342,151651.500,21869,2,EA,1,100,0.274386
1734181486.724842,151718.000,21869,2,EA,1,100,0.274418
1734181486.791842,151785.000,21886,1,EA,1,100,0.274483
1734181486.858342,151851.500,21902,2,EA,1,100,0.274515
1734181486.924842,151918.000,21902,2,EA,1,100,0.274461
1734181486.991842,151985.000,21920,1,EA,1,100,0.274548
1734181487.058342,152051.500,21934,2,EA,1,100,0.274666
1734181487.124842,152118.000,21934,2,EA,1,100,0.274731
1734181487.191842,152185.000,21951,1,EA,1,100,0.274796
1734181487.258342,152251.500,21968,2,EA,1,100,0.274861
1734181487.324842,152318.000,21968,2,EA,1,100,0.274937
1734181487.391342,152384.500,21989,2,EA,1,100,0.274991
1734181487.457842,152451.000,21989,2,EA,1,100,0.274991
1734181487.524842,152518.000,22005,1,EA,1,100,0.275100
1734181487.591842,152585.000,22021,2,EA,1,100,0.275273
1734181487.658842,152652.000,22021,2,EA,1,100,0.275382
1734181487.724842,152718.000,22039,1,EA,1,100,0.275371
1734181487.791342,152784.500,22058,2,EA,1,100,0.275371
1734181487.857841,152851.000,22058,2,EA,1,100,0.275403
1734181487.924841,152918.000,22074,1,EA,1,100,0.275458
1734181487.991342,152984.500,22090,2,EA,1,100,0.275534
1734181488.057842,153051.000,22090,2,EA,1,100,0.275621
1734181488.124841,153118.000,22106,1,EA,1,100,0.275675
1734181488.191341,153184.500,22123,2,EA,1,100,0.275763
1734181488.257841,153251.000,22123,2,EA,1,100,0.275850
1734181488.324841,153318.000,22140,1,EA,1,100,0.275926
