LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,EM
1734181477.435844,142429.000,20393,4,EM,1,100,RS
1734181477.435844,142429.000,20393,4,EM,1,100,RB
1734181477.435844,142429.000,20393,4,EM,1,100,2024-12-14_20-04-37-140956.csv
1734181477.435844,142429.000,20393,4,EM,1,100,PS
1734181477.485844,142479.000,20410,4,EM,1,100,RS
1734181477.535844,142529.000,20410,4,EM,1,100,RB
1734181477.585844,142579.000,20410,4,EM,1,100,2024-12-14_20-04-37-140956.csv
1734181477.635844,142629.000,20410,4,EM,1,100,PS
1734181477.686094,142679.250,20446,4,EM,1,100,RS
1734181477.736344,142729.500,20446,4,EM,1,100,RB
1734181477.786594,142779.750,20446,4,EM,1,100,2024-12-14_20-04-37-140956.csv
1734181477.836844,142830.000,20446,4,EM,1,100,PS
1734181477.887094,142880.250,20477,4,EM,1,100,RS
1734181477.937344,142930.500,20477,4,EM,1,100,RB
1734181477.987594,142980.750,20477,4,EM,1,100,2024-12-14_20-04-37-140956.csv
1734181478.037844,143031.000,20477,4,EM,1,100,PS
1734181478.088344,143081.500,20511,4,EM,1,100,RS
1734181478.138844,143132.000,20511,4,EM,1,100,RB
1734181478.189344,143182.500,20511,4,EM,1,100,2024-12-14_20-04-37-140956.csv
1734181478.239844,143233.000,20511,4,EM,1,100,PS
1734181478.289844,143283.000,20543,4,EM,1,100,RS
1734181478.339844,143333.000,20543,4,EM,1,100,RB
1734181478.389844,143383.000,20543,4,EM,1,100,2024-12-14_20-04-37-140956.csv
1734181478.439844,143433.000,20543,4,EM,1,100,PS
1734181478.490094,143483.250,20576,4,EM,1,100,RS
1734181478.540344,143533.500,20576,4,EM,1,100,RB
1734181478.590594,143583.750,20576,4,EM,1,100,2024-12-14_20-04-37-140956.csv
1734181478.640844,143634.000,20576,4,EM,1,100,PS
1734181478.691094,143684.250,20608,4,EM,1,100,RS
1734181478.741344,143734.500,20608,4,EM,1,100,RB
1734181478.791594,143784.750,20608,4,EM,1,100,2024-12-14_20-04-37-140956.csv
1734181478.841844,143835.000,20608,4,EM,1,100,PS
1734181478.892094,143885.250,20641,4,EM,1,100,RS
1734181478.942344,143935.500,20641,4,EM,1,100,RB
1734181478.992594,143985.750,20641,4,EM,1,100,2024-12-14_20-04-37-140956.csv
1734181479.042844,144036.000,20641,4,EM,1,100,PS
1734181479.093094,144086.250,20675,4,EM,1,100,RS
1734181479.143344,144136.500,20675,4,EM,1,100,RB
1734181479.193594,144186.750,20675,4,EM,1,100,2024-12-14_20-04-37-140956.csv
1734181479.243844,144237.000,20675,4,EM,1,100,PS
1734181479.294844,144288.000,20709,4,EM,1,100,RS
1734181479.345844,144339.000,20709,4,EM,1,100,RB
1734181479.396844,144390.000,20709,4,EM,1,100,2024-12-14_20-04-37-140956.csv
1734181479.447844,144441.000,20709,4,EM,1,100,PS
1734181479.497844,144491.000,20740,4,EM,1,100,RS
1734181479.547843,144541.000,20740,4,EM,1,100,RB
1734181479.597843,144591.000,20740,4,EM,1,100,2024-12-14_20-04-37-140956.csv
1734181479.647844,144641.000,20740,4,EM,1,100,PS
1734181479.698093,144691.250,20776,4,EM,1,100,RS
1734181479.748343,144741.500,20776,4,EM,1,100,RB
1734181479.798594,144791.750,20776,4,EM,1,100,2024-12-14_20-04-37-140956.csv
1734181479.848843,144842.000,20776,4,EM,1,100,PS
1734181479.899093,144892.250,20810,4,EM,1,100,RS
1734181479.949343,144942.500,20810,4,EM,1,100,RB
1734181479.999593,144992.750,20810,4,EM,1,100,2024-12-14_20-04-37-140956.csv
1734181480.049843,145043.000,20810,4,EM,1,100,PS
1734181480.100093,145093.250,20843,4,EM,1,100,RS
1734181480.150343,145143.500,20843,4,EM,1,100,RB
1734181480.200593,145193.750,20843,4,EM,1,100,2024-12-14_20-04-37-140956.csv
1734181480.250843,145244.000,20843,4,EM,1,100,PS
1734181480.301093,145294.250,20876,4,EM,1,100,RS
1734181480.351343,145344.500,20876,4,EM,1,100,RB
1734181480.401593,145394.750,20876,4,EM,1,100,2024-12-14_20-04-37-140956.csv
1734181480.451843,145445.000,20876,4,EM,1,100,PS
1734181480.560843,145554.000,20911,4,EM,1,100,RS
1734181480.669843,145663.000,20911,4,EM,1,100,RB
1734181480.778843,145772.000,20911,4,EM,1,100,2024-12-14_20-04-37-140956.csv
1734181480.887843,145881.000,20911,4,EM,1,100,PS
1734181480.938093,145931.250,20948,4,EM,1,100,RS
1734181480.988343,145981.500,20948,4,EM,1,100,RB
1734181481.038593,146031.750,20948,4,EM,1,100,2024-12-14_20-04-37-140956.csv
1734181481.088843,146082.000,20948,4,EM,1,100,PS
1734181481.139093,146132.250,20981,4,EM,1,100,RS
1734181481.189343,146182.500,20981,4,EM,1,100,RB
1734181481.239593,146232.750,20981,4,EM,1,100,2024-12-14_20-04-37-140956.csv
1734181481.289843,146283.000,20981,4,EM,1,100,PS
1734181481.340093,146333.250,21013,4,EM,1,100,RS
1734181481.390343,146383.500,21013,4,EM,1,100,RB
