LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,GY
1734181477.540844,142534.000,20405,3,GY,1,100,-1.770
1734181477.540844,142534.000,20405,3,GY,1,100,1.221
1734181477.540844,142534.000,20405,3,GY,1,100,-1.678
1734181477.580844,142574.000,20422,2,GY,1,100,-3.540
1734181477.620844,142614.000,20422,2,GY,1,100,-0.702
1734181477.660844,142654.000,20441,3,GY,1,100,0.549
1734181477.700844,142694.000,20441,3,GY,1,100,-1.465
1734181477.740844,142734.000,20441,3,GY,1,100,-1.434
1734181477.780344,142773.500,20456,2,GY,1,100,-1.373
1734181477.819844,142813.000,20456,2,GY,1,100,-2.228
1734181477.859844,142853.000,20472,3,GY,1,100,-0.580
1734181477.899844,142893.000,20472,3,GY,1,100,0.702
1734181477.939844,142933.000,20472,3,GY,1,100,-1.099
1734181477.979844,142973.000,20490,2,GY,1,100,-2.075
1734181478.019844,143013.000,20490,2,GY,1,100,-1.129
1734181478.059844,143053.000,20506,3,GY,1,100,-1.160
1734181478.099844,143093.000,20506,3,GY,1,100,-0.031
1734181478.139844,143133.000,20506,3,GY,1,100,-0.061
1734181478.179844,143173.000,20523,3,GY,1,100,-0.854
1734181478.219844,143213.000,20523,3,GY,1,100,-1.251
1734181478.259844,143253.000,20523,3,GY,1,100,-1.221
1734181478.293344,143286.500,20538,2,GY,1,100,-0.732
1734181478.326844,143320.000,20538,2,GY,1,100,-0.854
1734181478.366844,143360.000,20555,3,GY,1,100,-1.007
1734181478.406844,143400.000,20555,3,GY,1,100,-1.190
1734181478.446844,143440.000,20555,3,GY,1,100,-1.007
1734181478.486844,143480.000,20571,2,GY,1,100,-0.580
1734181478.526844,143520.000,20571,2,GY,1,100,-0.641
1734181478.566844,143560.000,20589,3,GY,1,100,-1.526
1734181478.606844,143600.000,20589,3,GY,1,100,-1.465
1734181478.646844,143640.000,20589,3,GY,1,100,-0.580
1734181478.686844,143680.000,20603,3,GY,1,100,-0.732
1734181478.726844,143720.000,20603,3,GY,1,100,-2.594
1734181478.766844,143760.000,20603,3,GY,1,100,-4.242
1734181478.806844,143800.000,20620,2,GY,1,100,-0.671
1734181478.846844,143840.000,20620,2,GY,1,100,0.000
1734181478.886844,143880.000,20636,3,GY,1,100,-0.793
1734181478.926844,143920.000,20636,3,GY,1,100,8.179
1734181478.966844,143960.000,20636,3,GY,1,100,12.177
1734181479.006844,144000.000,20656,2,GY,1,100,1.007
1734181479.046844,144040.000,20656,2,GY,1,100,-4.120
1734181479.086844,144080.000,20670,3,GY,1,100,1.465
1734181479.126844,144120.000,20670,3,GY,1,100,1.373
1734181479.166844,144160.000,20670,3,GY,1,100,-1.923
1734181479.206844,144200.000,20687,2,GY,1,100,-1.373
1734181479.246844,144240.000,20687,2,GY,1,100,0.610
1734181479.286844,144280.000,20704,3,GY,1,100,-0.153
1734181479.326844,144320.000,20704,3,GY,1,100,-0.946
1734181479.366843,144360.000,20704,3,GY,1,100,-0.366
1734181479.402510,144395.667,20721,3,GY,1,100,-1.099
1734181479.438177,144431.333,20721,3,GY,1,100,-1.709
1734181479.473844,144467.000,20721,3,GY,1,100,-1.007
1734181479.513844,144507.000,20735,2,GY,1,100,-1.465
1734181479.553843,144547.000,20735,2,GY,1,100,-1.709
1734181479.593843,144587.000,20755,3,GY,1,100,-1.129
1734181479.633843,144627.000,20755,3,GY,1,100,-1.892
1734181479.673843,144667.000,20755,3,GY,1,100,-1.251
1734181479.713844,144707.000,20771,2,GY,1,100,0.854
1734181479.753844,144747.000,20771,2,GY,1,100,0.031
1734181479.793844,144787.000,20790,3,GY,1,100,1.099
1734181479.833843,144827.000,20790,3,GY,1,100,2.258
1734181479.873843,144867.000,20790,3,GY,1,100,-1.160
1734181479.913843,144907.000,20805,2,GY,1,100,-1.129
1734181479.953843,144947.000,20805,2,GY,1,100,0.580
1734181479.993843,144987.000,20822,3,GY,1,100,0.977
1734181480.033844,145027.000,20822,3,GY,1,100,2.838
1734181480.073843,145067.000,20822,3,GY,1,100,-0.244
1734181480.113843,145107.000,20838,2,GY,1,100,0.916
1734181480.153843,145147.000,20838,2,GY,1,100,0.061
1734181480.193843,145187.000,20855,3,GY,1,100,-2.716
1734181480.233843,145227.000,20855,3,GY,1,100,-3.418
1734181480.273843,145267.000,20855,3,GY,1,100,0.458
1734181480.313843,145307.000,20871,2,GY,1,100,0.214
1734181480.353843,145347.000,20871,2,GY,1,100,-0.641
1734181480.393843,145387.000,20887,3,GY,1,100,-1.312
1734181480.433843,145427.000,20887,3,GY,1,100,-0.458
1734181480.473843,145467.000,20887,3,GY,1,100,1.984
1734181480.513843,145507.000,20903,3,GY,1,100,1.984
1734181480.553843,145547.000,20903,3,GY,1,100,-0.092
1734181480.593843,145587.000,20903,3,GY,1,100,-0.458
1734181480.631843,145625.000,20924,7,GY,1,100,1.831
1734181480.669843,145663.000,20924,7,GY,1,100,1.984
1734181480.707843,145701.000,20924,7,GY,1,100,6.378
1734181480.745843,145739.000,20924,7,GY,1,100,6.683
1734181480.783843,145777.000,20924,7,GY,1,100,-4.211
1734181480.821843,145815.000,20924,7,GY,1,100,-3.998
1734181480.859843,145853.000,20924,7,GY,1,100,-3.998
1734181480.899843,145893.000,20943,3,GY,1,100,-5.768
1734181480.939843,145933.000,20943,3,GY,1,100,-6.561
1734181480.979843,145973.000,20943,3,GY,1,100,-2.869
1734181481.019843,146013.000,20960,2,GY,1,100,0.610
1734181481.059843,146053.000,20960,2,GY,1,100,1.892
1734181481.099843,146093.000,20976,3,GY,1,100,1.617
1734181481.139843,146133.000,20976,3,GY,1,100,2.838
1734181481.179843,146173.000,20976,3,GY,1,100,-0.153
1734181481.219843,146213.000,20991,3,GY,1,100,-0.275
1734181481.259843,146253.000,20991,3,GY,1,100,0.244
1734181481.299843,146293.000,20991,3,GY,1,100,-2.350
1734181481.339843,146333.000,21008,2,GY,1,100,-1.648
1734181481.379843,146373.000,21008,2,GY,1,100,0.214
1734181481.419843,146413.000,21025,3,GY,1,100,-1.587
1734181481.459843,146453.000,21025,3,GY,1,100,1.038
1734181481.499843,146493.000,21025,3,GY,1,100,6.287
1734181481.539843,146533.000,21041,2,GY,1,100,3.784
1734181481.579843,146573.000,21041,2,GY,1,100,-3.571
1734181481.619843,146613.000,21057,3,GY,1,100,-4.120
1734181481.659843,146653.000,21057,3,GY,1,100,-0.061
1734181481.699843,146693.000,21057,3,GY,1,100,-0.488
1734181481.735510,146728.667,21073,3,GY,1,100,-2.502
1734181481.771176,146764.333,21073,3,GY,1,100,-1.099
