LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,HR
1734181479.633843,144627,20742,1,HR,1,100,57
1734181480.993843,145987,20930,1,HR,1,100,54
1734181482.806843,147800,21231,1,HR,1,100,50
1734181483.246843,148240,21298,1,HR,1,100,69
1734181485.579842,150573,21677,1,HR,1,100,59
1734181486.419842,151413,21817,1,HR,1,100,62
1734181487.419842,152413,21983,1,HR,1,100,62
1734181488.459841,153453,22154,1,HR,1,100,61
1734181489.379841,154373,22305,1,HR,1,100,62
1734181490.352841,155346,22472,1,HR,1,100,62
1734181491.472841,156466,22642,1,HR,1,100,60
1734181492.472840,157466,22808,1,HR,1,100,60
1734181493.405840,158399,22959,1,HR,1,100,61
1734181494.325840,159319,23108,1,HR,1,100,62
1734181495.325840,160319,23273,1,HR,1,100,62
1734181496.085840,161079,23397,1,HR,1,100,65
1734181496.925839,161919,23482,1,HR,1,100,67
1734181497.538839,162532,23597,1,HR,1,100,74
1734181498.338839,163332,23715,1,HR,1,100,74
1734181499.058839,164052,23849,1,HR,1,100,76
1734181499.898839,164892,23982,1,HR,1,100,75
1734181500.618839,165612,24097,1,HR,1,100,77
1734181501.591838,166585,24252,1,HR,1,100,74
1734181502.631838,167625,24432,1,HR,1,100,70
1734181503.471838,168465,24567,1,HR,1,100,70
1734181504.631837,169625,24750,1,HR,1,100,66
1734181505.164837,170158,24849,1,HR,1,100,77
1734181506.284837,171278,25036,1,HR,1,100,72
1734181507.124837,172118,25169,1,HR,1,100,72
1734181508.043837,173037,25321,1,HR,1,100,70
1734181508.777837,173771,25436,1,HR,1,100,73
1734181509.337836,174331,25534,1,HR,1,100,81
1734181510.417836,175411,25701,1,HR,1,100,75
1734181511.416836,176410,25873,1,HR,1,100,72
1734181512.216836,177210,26005,1,HR,1,100,73
1734181513.150836,178144,26156,1,HR,1,100,71
1734181514.429835,179423,26371,1,HR,1,100,66
1734181515.429835,180423,26520,1,HR,1,100,64
1734181516.149835,181143,26652,1,HR,1,100,69
1734181517.323834,182317,26821,1,HR,1,100,65
1734181518.203834,183197,26973,1,HR,1,100,66
1734181519.202834,184196,27122,1,HR,1,100,64
1734181520.056834,185050,27272,1,HR,1,100,66
1734181520.815834,185809,27387,1,HR,1,100,69
1734181522.055833,187049,27592,1,HR,1,100,64
1734181522.935833,187929,27741,1,HR,1,100,65
1734181523.735833,188729,27858,1,HR,1,100,67
1734181524.788833,189782,28044,1,HR,1,100,65
1734181525.828832,190822,28212,1,HR,1,100,64
1734181526.708832,191702,28361,1,HR,1,100,65
1734181527.588832,192582,28498,1,HR,1,100,65
1734181528.561832,193555,28666,1,HR,1,100,65
1734181529.361831,194355,28799,1,HR,1,100,67
1734181530.201831,195195,28915,1,HR,1,100,68
1734181530.961831,195955,29048,1,HR,1,100,70
1734181531.934831,196928,29196,1,HR,1,100,69
1734181532.854831,197848,29306,1,HR,1,100,68
1734181533.654830,198648,29438,1,HR,1,100,69
1734181534.734830,199728,29621,1,HR,1,100,66
1734181535.787830,200781,29785,1,HR,1,100,64
1734181536.187830,201181,29852,1,HR,1,100,83
1734181536.747830,201741,29953,1,HR,1,100,89
1734181537.587830,202581,30090,1,HR,1,100,85
1734181538.427829,203421,30225,1,HR,1,100,82
1734181539.520829,204514,30408,1,HR,1,100,76
1734181540.520829,205514,30572,1,HR,1,100,72
1734181541.120829,206114,30673,1,HR,1,100,79
1734181542.400828,207394,30876,1,HR,1,100,72
1734181543.373828,208367,31044,1,HR,1,100,70
1734181544.413828,209407,31208,1,HR,1,100,67
1734181545.213828,210207,31340,1,HR,1,100,69
1734181546.053828,211047,31475,1,HR,1,100,69
1734181547.146827,212140,31655,1,HR,1,100,66
1734181547.986827,212980,31794,1,HR,1,100,67
1734181548.706827,213700,31911,1,HR,1,100,71
1734181549.626827,214620,32059,1,HR,1,100,70
1734181550.546826,215540,32209,1,HR,1,100,69
1734181551.279826,216273,32328,1,HR,1,100,72
1734181551.999826,216993,32444,1,HR,1,100,74
1734181554.039826,219033,32779,1,HR,1,100,64
1734181554.892825,219886,32928,1,HR,1,100,66
1734181555.812825,220806,33078,1,HR,1,100,66
1734181557.012825,222006,33276,1,HR,1,100,62
1734181558.092825,223086,33449,1,HR,1,100,61
1734181558.905824,223899,33581,1,HR,1,100,64
1734181559.625824,224619,33697,1,HR,1,100,68
1734181560.625824,225619,33862,1,HR,1,100,66
1734181561.385824,226379,33978,1,HR,1,100,69
1734181562.558824,227552,34178,1,HR,1,100,65
1734181563.358823,228352,34300,1,HR,1,100,67
1734181564.158823,229152,34433,1,HR,1,100,69
1734181564.558823,229552,34500,1,HR,1,100,87
1734181565.518823,230512,34649,1,HR,1,100,82
1734181566.371823,231365,34799,1,HR,1,100,79
1734181567.331822,232325,34947,1,HR,1,100,76
1734181568.211822,233205,35104,1,HR,1,100,74
1734181569.131822,234125,35253,1,HR,1,100,72
1734181569.984822,234978,35385,1,HR,1,100,72
1734181570.824821,235818,35518,1,HR,1,100,72
1734181571.784821,236778,35684,1,HR,1,100,70
1734181572.744821,237738,35836,1,HR,1,100,68
1734181573.677821,238671,35989,1,HR,1,100,67
1734181574.437821,239431,36122,1,HR,1,100,70
1734181575.357821,240351,36272,1,HR,1,100,69
1734181576.277820,241271,36420,1,HR,1,100,68
1734181576.877820,241871,36519,1,HR,1,100,75
1734181577.730820,242724,36654,1,HR,1,100,74
1734181578.690820,243684,36807,1,HR,1,100,72
1734181579.570819,244564,36956,1,HR,1,100,71
1734181580.330819,245324,37074,1,HR,1,100,73
1734181581.303819,246297,37238,1,HR,1,100,70
1734181581.983819,246977,37354,1,HR,1,100,74
1734181582.903819,247897,37505,1,HR,1,100,72
1734181583.423819,248417,37578,1,HR,1,100,82
1734181584.183818,249177,37710,1,HR,1,100,81
1734181585.236818,250230,37874,1,HR,1,100,76
1734181586.196818,251190,38040,1,HR,1,100,73
1734181586.836818,251830,38140,1,HR,1,100,78
1734181587.595818,252589,38256,1,HR,1,100,78
1734181588.609817,253603,38429,1,HR,1,100,74
1734181589.449817,254443,38562,1,HR,1,100,73
1734181590.408817,255402,38728,1,HR,1,100,71
1734181591.008817,256002,38827,1,HR,1,100,77
1734181592.008816,257002,38976,1,HR,1,100,74
1734181592.902816,257896,39127,1,HR,1,100,72
1734181593.902816,258896,39298,1,HR,1,100,70
1734181594.501816,259495,39383,1,HR,1,100,76
1734181595.582816,260576,39563,1,HR,1,100,72
1734181596.715815,261709,39744,1,HR,1,100,68
1734181597.594815,262588,39893,1,HR,1,100,68
1734181598.274815,263268,40013,1,HR,1,100,72
1734181599.274815,264268,40167,1,HR,1,100,70
1734181600.527814,265521,40365,1,HR,1,100,65
1734181601.168814,266162,40481,1,HR,1,100,71
1734181601.367814,266361,40517,1,HR,1,100,122
1734181602.047814,267041,40615,1,HR,1,100,115
1734181604.261813,269255,40983,1,HR,1,100,95
1734181605.060813,270054,41116,1,HR,1,100,91
1734181605.780813,270774,41233,1,HR,1,100,89
1734181606.940813,271934,41414,1,HR,1,100,81
1734181607.993813,272987,41599,1,HR,1,100,76
1734181608.873812,273867,41736,1,HR,1,100,74
1734181609.793812,274787,41886,1,HR,1,100,72
1734181610.673812,275667,42035,1,HR,1,100,71
1734181611.647812,276641,42183,1,HR,1,100,69
1734181612.326812,277320,42299,1,HR,1,100,73
1734181613.126811,278120,42434,1,HR,1,100,74
1734181614.046811,279040,42571,1,HR,1,100,72
1734181615.046811,280040,42737,1,HR,1,100,69
1734181616.099811,281093,42919,1,HR,1,100,67
1734181616.939811,281933,43051,1,HR,1,100,68
1734181617.859810,282853,43202,1,HR,1,100,67
1734181618.779810,283773,43352,1,HR,1,100,67
1734181619.712810,284706,43506,1,HR,1,100,66
1734181620.352810,285346,43606,1,HR,1,100,72
1734181620.992810,285986,43705,1,HR,1,100,77
1734181621.992809,286986,43871,1,HR,1,100,73
1734181622.965809,287959,44039,1,HR,1,100,71
1734181623.805809,288799,44172,1,HR,1,100,71
1734181624.645809,289639,44295,1,HR,1,100,71
1734181625.565808,290559,44445,1,HR,1,100,70
1734181626.685808,291679,44627,1,HR,1,100,66
1734181627.738808,292732,44813,1,HR,1,100,64
1734181628.498808,293492,44928,1,HR,1,100,68
1734181629.218807,294212,45049,1,HR,1,100,71
1734181630.138807,295132,45199,1,HR,1,100,70
1734181631.071807,296065,45347,1,HR,1,100,69
1734181631.671807,296665,45447,1,HR,1,100,76
1734181632.551807,297545,45580,1,HR,1,100,74
1734181633.631806,298625,45763,1,HR,1,100,70
1734181634.524806,299518,45902,1,HR,1,100,70
1734181635.364806,300358,46052,1,HR,1,100,70
1734181636.004806,300998,46150,1,HR,1,100,75
1734181637.164806,302158,46348,1,HR,1,100,70
1734181637.924805,302918,46467,1,HR,1,100,72
1734181638.977805,303971,46631,1,HR,1,100,69
1734181639.617805,304611,46737,1,HR,1,100,74
1734181640.737805,305731,46921,1,HR,1,100,70
1734181641.657804,306651,47069,1,HR,1,100,69
1734181642.510804,307504,47217,1,HR,1,100,69
1734181643.190804,308184,47320,1,HR,1,100,74
1734181644.310804,309304,47500,1,HR,1,100,69
1734181645.310804,310304,47671,1,HR,1,100,67
1734181646.043803,311037,47790,1,HR,1,100,71
1734181646.963803,311957,47937,1,HR,1,100,69
1734181648.043803,313037,48122,1,HR,1,100,66
1734181648.963803,313957,48270,1,HR,1,100,66
1734181649.616802,314610,48369,1,HR,1,100,72
1734181650.496802,315490,48509,1,HR,1,100,71
1734181651.376802,316370,48659,1,HR,1,100,71
1734181652.216802,317210,48791,1,HR,1,100,71
1734181652.989802,317983,48925,1,HR,1,100,73
1734181653.869802,318863,49074,1,HR,1,100,72
1734181654.749801,319743,49207,1,HR,1,100,71
1734181655.629801,320623,49342,1,HR,1,100,70
1734181656.429801,321423,49475,1,HR,1,100,71
1734181657.362801,322356,49641,1,HR,1,100,70
1734181658.322800,323316,49792,1,HR,1,100,68
1734181659.282800,324276,49941,1,HR,1,100,67
1734181660.122800,325116,50061,1,HR,1,100,68
1734181660.855800,325849,50193,1,HR,1,100,71
1734181661.935800,326929,50359,1,HR,1,100,68
1734181662.895799,327889,50525,1,HR,1,100,67
1734181663.815799,328809,50675,1,HR,1,100,66
1734181664.468799,329462,50776,1,HR,1,100,72
1734181665.508799,330502,50949,1,HR,1,100,69
1734181666.428798,331422,51097,1,HR,1,100,68
1734181666.988798,331982,51197,1,HR,1,100,77
1734181667.881798,332875,51331,1,HR,1,100,75
1734181668.921798,333915,51513,1,HR,1,100,71
1734181669.761798,334755,51647,1,HR,1,100,71
1734181670.401798,335395,51752,1,HR,1,100,76
1734181670.521797,335515,51769,1,HR,1,100,170
1734181671.200797,336194,51887,1,HR,1,100,152
1734181672.014797,337008,52020,1,HR,1,100,135
1734181672.734797,337728,52137,1,HR,1,100,124
1734181673.534797,338528,52269,1,HR,1,100,113
1734181674.494797,339488,52419,1,HR,1,100,102
1734181675.387796,340381,52556,1,HR,1,100,94
1734181676.427796,341421,52739,1,HR,1,100,86
1734181677.027796,342021,52838,1,HR,1,100,89
1734181677.906796,342900,52972,1,HR,1,100,84
1734181678.826796,343820,53122,1,HR,1,100,80
1734181679.680795,344674,53271,1,HR,1,100,78
1734181680.479795,345473,53392,1,HR,1,100,78
1734181681.319795,346313,53524,1,HR,1,100,76
1734181682.200795,347194,53675,1,HR,1,100,74
1734181683.173795,348167,53843,1,HR,1,100,72
1734181684.213794,349207,54011,1,HR,1,100,69
1734181684.652794,349646,54078,1,HR,1,100,84
1734181685.612794,350606,54235,1,HR,1,100,79
1734181686.532794,351526,54386,1,HR,1,100,76
1734181687.345793,352339,54518,1,HR,1,100,76
1734181688.185793,353179,54670,1,HR,1,100,75
1734181689.266793,354260,54836,1,HR,1,100,70
1734181690.479793,355473,55034,1,HR,1,100,66
1734181691.078793,356072,55140,1,HR,1,100,74
1734181692.278792,357272,55320,1,HR,1,100,68
1734181693.198792,358192,55488,1,HR,1,100,68
1734181693.918792,358912,55588,1,HR,1,100,71
1734181694.811792,359805,55737,1,HR,1,100,70
1734181695.971792,360965,55908,1,HR,1,100,66
1734181696.971791,361965,56072,1,HR,1,100,65
1734181697.451791,362445,56157,1,HR,1,100,78
1734181697.865791,362859,56226,1,HR,1,100,94
1734181698.584791,363578,56343,1,HR,1,100,92
1734181699.464791,364458,56491,1,HR,1,100,87
1734181699.544791,364538,56509,1,HR,1,100,234
1734181700.504790,365498,56659,1,HR,1,100,196
1734181701.144790,366138,56763,1,HR,1,100,173
1734181702.118790,367112,56928,1,HR,1,100,149
1734181703.157790,368151,57095,1,HR,1,100,128
1734181703.997789,368991,57227,1,HR,1,100,116
1734181704.797789,369791,57360,1,HR,1,100,107
1734181705.930789,370924,57542,1,HR,1,100,95
1734181706.810789,371804,57680,1,HR,1,100,89
1734181707.410789,372404,57781,1,HR,1,100,91
1734181708.130789,373124,57899,1,HR,1,100,90
1734181709.130788,374124,58065,1,HR,1,100,83
1734181710.103788,375097,58229,1,HR,1,100,78
1734181710.943788,375937,58361,1,HR,1,100,77
1734181711.743788,376737,58501,1,HR,1,100,76
1734181712.303787,377297,58584,1,HR,1,100,83
1734181713.276787,378270,58750,1,HR,1,100,79
1734181714.236787,379230,58900,1,HR,1,100,75
1734181715.156787,380150,59049,1,HR,1,100,73
1734181715.796787,380790,59149,1,HR,1,100,78
1734181716.769786,381763,59319,1,HR,1,100,74
1734181717.929786,382923,59504,1,HR,1,100,69
1734181718.649786,383643,59619,1,HR,1,100,72
1734181719.489786,384483,59752,1,HR,1,100,72
1734181720.369786,385363,59902,1,HR,1,100,71
1734181721.302785,386296,60050,1,HR,1,100,70
1734181722.222785,387216,60205,1,HR,1,100,69
1734181723.062785,388056,60340,1,HR,1,100,69
1734181723.862785,388856,60472,1,HR,1,100,71
1734181724.875784,389869,60638,1,HR,1,100,68
1734181725.875784,390869,60804,1,HR,1,100,66
1734181726.555784,391549,60908,1,HR,1,100,71
1734181727.395784,392389,61041,1,HR,1,100,71
1734181728.328784,393322,61193,1,HR,1,100,70
1734181729.408783,394402,61375,1,HR,1,100,67
1734181730.128783,395122,61490,1,HR,1,100,70
1734181731.208783,396202,61673,1,HR,1,100,67
1734181731.981783,396975,61778,1,HR,1,100,70
1734181732.861783,397855,61930,1,HR,1,100,69
1734181733.621782,398615,62045,1,HR,1,100,72
1734181734.461782,399455,62195,1,HR,1,100,72
1734181735.301782,400295,62327,1,HR,1,100,71
1734181736.194782,401188,62476,1,HR,1,100,71
1734181737.034781,402028,62615,1,HR,1,100,71
1734181738.114781,403108,62782,1,HR,1,100,67
1734181738.954781,403948,62914,1,HR,1,100,68
1734181739.967781,404961,63080,1,HR,1,100,67
1734181740.767781,405761,63213,1,HR,1,100,68
1734181741.567780,406561,63345,1,HR,1,100,70
1734181742.527780,407521,63500,1,HR,1,100,68
1734181743.420780,408414,63651,1,HR,1,100,68
1734181744.380780,409374,63800,1,HR,1,100,67
1734181745.180779,410174,63933,1,HR,1,100,69
1734181745.980779,410974,64065,1,HR,1,100,70
1734181747.073779,412067,64253,1,HR,1,100,67
1734181747.633779,412627,64337,1,HR,1,100,76
1734181748.553779,413547,64486,1,HR,1,100,73
1734181749.553778,414547,64652,1,HR,1,100,70
1734181750.486778,415480,64802,1,HR,1,100,69
1734181751.366778,416360,64951,1,HR,1,100,69
1734181752.166778,417160,65072,1,HR,1,100,70
1734181753.086778,418080,65223,1,HR,1,100,69
1734181754.019778,419013,65389,1,HR,1,100,68
1734181754.779777,419773,65505,1,HR,1,100,71
1734181755.699777,420693,118,1,HR,1,100,69
1734181756.819777,421813,299,1,HR,1,100,66
1734181757.752777,422746,455,1,HR,1,100,66
1734181758.352776,423346,555,1,HR,1,100,73
1734181759.392776,424386,720,1,HR,1,100,70
1734181760.432776,425426,903,1,HR,1,100,67
1734181761.325776,426319,1035,1,HR,1,100,67
1734181762.165776,427159,1184,1,HR,1,100,68
1734181763.164775,428158,1356,1,HR,1,100,66
1734181764.085775,429079,1489,1,HR,1,100,66
1734181764.938775,429932,1621,1,HR,1,100,67
1734181765.658775,430652,1754,1,HR,1,100,71
1734181766.538774,431532,1886,1,HR,1,100,70
1734181767.378774,432372,2018,1,HR,1,100,71
1734181768.097774,433091,2143,1,HR,1,100,73
1734181768.871774,433865,2275,1,HR,1,100,75
1734181769.831774,434825,2425,1,HR,1,100,72
1734181770.710773,435704,2574,1,HR,1,100,71
1734181771.510773,436504,2706,1,HR,1,100,72
1734181772.324773,437318,2838,1,HR,1,100,73
1734181773.204773,438198,2995,1,HR,1,100,72
