LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,MZ
1734181477.540844,142534.000,20409,3,MZ,1,100,24
1734181477.540844,142534.000,20409,3,MZ,1,100,26
1734181477.540844,142534.000,20409,3,MZ,1,100,25
1734181477.580844,142574.000,20426,2,MZ,1,100,25
1734181477.620844,142614.000,20426,2,MZ,1,100,26
1734181477.660844,142654.000,20445,3,MZ,1,100,27
1734181477.700844,142694.000,20445,3,MZ,1,100,25
1734181477.740844,142734.000,20445,3,MZ,1,100,26
1734181477.780344,142773.500,20460,2,MZ,1,100,26
1734181477.819844,142813.000,20460,2,MZ,1,100,26
1734181477.859844,142853.000,20476,3,MZ,1,100,26
1734181477.899844,142893.000,20476,3,MZ,1,100,25
1734181477.939844,142933.000,20476,3,MZ,1,100,25
1734181477.979844,142973.000,20494,2,MZ,1,100,26
1734181478.019844,143013.000,20494,2,MZ,1,100,26
1734181478.059844,143053.000,20510,3,MZ,1,100,26
1734181478.099844,143093.000,20510,3,MZ,1,100,25
1734181478.139844,143133.000,20510,3,MZ,1,100,26
1734181478.179844,143173.000,20527,3,MZ,1,100,26
1734181478.219844,143213.000,20527,3,MZ,1,100,25
1734181478.259844,143253.000,20527,3,MZ,1,100,25
1734181478.293344,143286.500,20542,2,MZ,1,100,26
1734181478.326844,143320.000,20542,2,MZ,1,100,25
1734181478.366844,143360.000,20559,3,MZ,1,100,26
1734181478.406844,143400.000,20559,3,MZ,1,100,26
1734181478.446844,143440.000,20559,3,MZ,1,100,26
1734181478.486844,143480.000,20575,2,MZ,1,100,25
1734181478.526844,143520.000,20575,2,MZ,1,100,24
1734181478.566844,143560.000,20593,3,MZ,1,100,26
1734181478.606844,143600.000,20593,3,MZ,1,100,25
1734181478.646844,143640.000,20593,3,MZ,1,100,25
1734181478.686844,143680.000,20607,3,MZ,1,100,26
1734181478.726844,143720.000,20607,3,MZ,1,100,25
1734181478.766844,143760.000,20607,3,MZ,1,100,26
1734181478.806844,143800.000,20624,2,MZ,1,100,26
1734181478.846844,143840.000,20624,2,MZ,1,100,25
1734181478.886844,143880.000,20640,3,MZ,1,100,25
1734181478.926844,143920.000,20640,3,MZ,1,100,26
1734181478.966844,143960.000,20640,3,MZ,1,100,27
1734181479.006844,144000.000,20660,2,MZ,1,100,26
1734181479.046844,144040.000,20660,2,MZ,1,100,26
1734181479.086844,144080.000,20674,3,MZ,1,100,26
1734181479.126844,144120.000,20674,3,MZ,1,100,26
1734181479.166844,144160.000,20674,3,MZ,1,100,26
1734181479.206844,144200.000,20691,2,MZ,1,100,26
1734181479.246844,144240.000,20691,2,MZ,1,100,26
1734181479.286844,144280.000,20708,3,MZ,1,100,26
1734181479.326844,144320.000,20708,3,MZ,1,100,25
1734181479.366843,144360.000,20708,3,MZ,1,100,26
1734181479.402510,144395.667,20725,3,MZ,1,100,27
1734181479.438177,144431.333,20725,3,MZ,1,100,26
