LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,PG
1734181477.540844,142534.000,20396,3,PG,1,100,9978
1734181477.540844,142534.000,20396,3,PG,1,100,9983
1734181477.540844,142534.000,20396,3,PG,1,100,9988
1734181477.580844,142574.000,20413,2,PG,1,100,9991
1734181477.620844,142614.000,20413,2,PG,1,100,9997
1734181477.660844,142654.000,20432,3,PG,1,100,9999
1734181477.700844,142694.000,20432,3,PG,1,100,9998
1734181477.740844,142734.000,20432,3,PG,1,100,9993
1734181477.787344,142780.500,20449,2,PG,1,100,10020
1734181477.833844,142827.000,20449,2,PG,1,100,10014
1734181477.873844,142867.000,20463,2,PG,1,100,10027
1734181477.913844,142907.000,20463,2,PG,1,100,10034
1734181477.953844,142947.000,20481,3,PG,1,100,10038
1734181477.993844,142987.000,20481,3,PG,1,100,10036
1734181478.033844,143027.000,20481,3,PG,1,100,10055
1734181478.073844,143067.000,20497,2,PG,1,100,10058
1734181478.113844,143107.000,20497,2,PG,1,100,10077
1734181478.153844,143147.000,20514,3,PG,1,100,10087
1734181478.193844,143187.000,20514,3,PG,1,100,10088
1734181478.233844,143227.000,20514,3,PG,1,100,10089
1734181478.273844,143267.000,20531,3,PG,1,100,10099
1734181478.313844,143307.000,20531,3,PG,1,100,10092
1734181478.353844,143347.000,20531,3,PG,1,100,10107
1734181478.393844,143387.000,20546,2,PG,1,100,10087
1734181478.433844,143427.000,20546,2,PG,1,100,10079
1734181478.473844,143467.000,20562,3,PG,1,100,10082
1734181478.513844,143507.000,20562,3,PG,1,100,10091
1734181478.553844,143547.000,20562,3,PG,1,100,10078
1734181478.593844,143587.000,20580,2,PG,1,100,10093
1734181478.633844,143627.000,20580,2,PG,1,100,10097
1734181478.673844,143667.000,20596,3,PG,1,100,10091
1734181478.713844,143707.000,20596,3,PG,1,100,10090
1734181478.753844,143747.000,20596,3,PG,1,100,10086
1734181478.793844,143787.000,20611,2,PG,1,100,10105
1734181478.833844,143827.000,20611,2,PG,1,100,10100
1734181478.873844,143867.000,20627,3,PG,1,100,10122
1734181478.913844,143907.000,20627,3,PG,1,100,10112
1734181478.953844,143947.000,20627,3,PG,1,100,10119
1734181478.993844,143987.000,20647,3,PG,1,100,10136
1734181479.033844,144027.000,20647,3,PG,1,100,10152
1734181479.073844,144067.000,20647,3,PG,1,100,10143
1734181479.113844,144107.000,20663,2,PG,1,100,10153
1734181479.153844,144147.000,20663,2,PG,1,100,10149
1734181479.193844,144187.000,20678,3,PG,1,100,10150
1734181479.233844,144227.000,20678,3,PG,1,100,10162
1734181479.273844,144267.000,20678,3,PG,1,100,10165
1734181479.313843,144307.000,20695,2,PG,1,100,10142
1734181479.353844,144347.000,20695,2,PG,1,100,10141
1734181479.393844,144387.000,20712,3,PG,1,100,10128
1734181479.433844,144427.000,20712,3,PG,1,100,10113
1734181479.473844,144467.000,20712,3,PG,1,100,10118
1734181479.513844,144507.000,20728,2,PG,1,100,10132
1734181479.553843,144547.000,20728,2,PG,1,100,10116
1734181479.593843,144587.000,20746,3,PG,1,100,10129
1734181479.633843,144627.000,20746,3,PG,1,100,10126
1734181479.673843,144667.000,20746,3,PG,1,100,10111
1734181479.713844,144707.000,20762,2,PG,1,100,10124
1734181479.753844,144747.000,20762,2,PG,1,100,10113
1734181479.793844,144787.000,20781,3,PG,1,100,10133
1734181479.833843,144827.000,20781,3,PG,1,100,10133
1734181479.873843,144867.000,20781,3,PG,1,100,10137
1734181479.913843,144907.000,20797,2,PG,1,100,10112
1734181479.953843,144947.000,20797,2,PG,1,100,10137
1734181479.993843,144987.000,20814,3,PG,1,100,10133
1734181480.033844,145027.000,20814,3,PG,1,100,10124
1734181480.073843,145067.000,20814,3,PG,1,100,10124
1734181480.113843,145107.000,20829,2,PG,1,100,10133
1734181480.153843,145147.000,20829,2,PG,1,100,10108
1734181480.193843,145187.000,20846,3,PG,1,100,10080
1734181480.233843,145227.000,20846,3,PG,1,100,10083
1734181480.273843,145267.000,20846,3,PG,1,100,10071
1734181480.313843,145307.000,20863,2,PG,1,100,10056
1734181480.353843,145347.000,20863,2,PG,1,100,10065
1734181480.393843,145387.000,20879,3,PG,1,100,10044
1734181480.433843,145427.000,20879,3,PG,1,100,10053
1734181480.473843,145467.000,20879,3,PG,1,100,10036
1734181480.513843,145507.000,20894,3,PG,1,100,10056
1734181480.553843,145547.000,20894,3,PG,1,100,10046
1734181480.593843,145587.000,20894,3,PG,1,100,10034
1734181480.633843,145627.000,20915,7,PG,1,100,10028
1734181480.673843,145667.000,20915,7,PG,1,100,10044
1734181480.713843,145707.000,20915,7,PG,1,100,10026
1734181480.753843,145747.000,20915,7,PG,1,100,10047
1734181480.793843,145787.000,20915,7,PG,1,100,10033
1734181480.833843,145827.000,20915,7,PG,1,100,10041
1734181480.873843,145867.000,20915,7,PG,1,100,10022
1734181480.913843,145907.000,20934,3,PG,1,100,10040
1734181480.953843,145947.000,20934,3,PG,1,100,10047
1734181480.993843,145987.000,20934,3,PG,1,100,10042
1734181481.033843,146027.000,20951,2,PG,1,100,10054
1734181481.073843,146067.000,20951,2,PG,1,100,10064
1734181481.113843,146107.000,20967,3,PG,1,100,10062
1734181481.153843,146147.000,20967,3,PG,1,100,10054
1734181481.193843,146187.000,20967,3,PG,1,100,10036
1734181481.233843,146227.000,20984,2,PG,1,100,10024
1734181481.273843,146267.000,20984,2,PG,1,100,10020
1734181481.313843,146307.000,20999,3,PG,1,100,10015
1734181481.353843,146347.000,20999,3,PG,1,100,10003
1734181481.393843,146387.000,20999,3,PG,1,100,10002
1734181481.433843,146427.000,21016,2,PG,1,100,10007
1734181481.473843,146467.000,21016,2,PG,1,100,9995
1734181481.513843,146507.000,21032,3,PG,1,100,10016
1734181481.553843,146547.000,21032,3,PG,1,100,10021
1734181481.593843,146587.000,21032,3,PG,1,100,10007
1734181481.640343,146633.500,21050,2,PG,1,100,10019
1734181481.686843,146680.000,21050,2,PG,1,100,10010
1734181481.726843,146720.000,21064,3,PG,1,100,10006
1734181481.766843,146760.000,21064,3,PG,1,100,10026
1734181481.806843,146800.000,21064,3,PG,1,100,10034
1734181481.846843,146840.000,21081,2,PG,1,100,10022
1734181481.886843,146880.000,21081,2,PG,1,100,10025
