LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,PI
1734181477.540844,142534.000,20394,3,PI,1,100,164653
1734181477.540844,142534.000,20394,3,PI,1,100,164660
1734181477.540844,142534.000,20394,3,PI,1,100,164666
1734181477.580844,142574.000,20411,2,PI,1,100,164679
1734181477.620844,142614.000,20411,2,PI,1,100,164669
1734181477.660844,142654.000,20430,3,PI,1,100,164664
1734181477.700844,142694.000,20430,3,PI,1,100,164684
1734181477.740844,142734.000,20430,3,PI,1,100,164708
1734181477.787344,142780.500,20447,2,PI,1,100,164708
1734181477.833844,142827.000,20447,2,PI,1,100,164721
1734181477.873844,142867.000,20461,2,PI,1,100,164743
1734181477.913844,142907.000,20461,2,PI,1,100,164745
1734181477.953844,142947.000,20479,3,PI,1,100,164771
1734181477.993844,142987.000,20479,3,PI,1,100,164807
1734181478.033844,143027.000,20479,3,PI,1,100,164802
1734181478.073844,143067.000,20495,2,PI,1,100,164823
1734181478.113844,143107.000,20495,2,PI,1,100,164857
1734181478.153844,143147.000,20512,3,PI,1,100,164863
1734181478.193844,143187.000,20512,3,PI,1,100,164871
1734181478.233844,143227.000,20512,3,PI,1,100,164900
1734181478.273844,143267.000,20529,3,PI,1,100,164935
1734181478.313844,143307.000,20529,3,PI,1,100,164887
1734181478.353844,143347.000,20529,3,PI,1,100,164863
1734181478.393844,143387.000,20544,2,PI,1,100,164871
1734181478.433844,143427.000,20544,2,PI,1,100,164875
1734181478.473844,143467.000,20560,3,PI,1,100,164878
1734181478.513844,143507.000,20560,3,PI,1,100,164915
1734181478.553844,143547.000,20560,3,PI,1,100,164899
1734181478.593844,143587.000,20578,2,PI,1,100,164929
1734181478.633844,143627.000,20578,2,PI,1,100,164927
1734181478.673844,143667.000,20594,3,PI,1,100,164924
1734181478.713844,143707.000,20594,3,PI,1,100,164940
1734181478.753844,143747.000,20594,3,PI,1,100,164953
1734181478.793844,143787.000,20609,2,PI,1,100,164984
1734181478.833844,143827.000,20609,2,PI,1,100,165014
1734181478.873844,143867.000,20625,3,PI,1,100,165041
1734181478.913844,143907.000,20625,3,PI,1,100,165023
1734181478.953844,143947.000,20625,3,PI,1,100,164993
1734181478.993844,143987.000,20645,3,PI,1,100,164974
1734181479.033844,144027.000,20645,3,PI,1,100,164976
1734181479.073844,144067.000,20645,3,PI,1,100,164972
1734181479.113844,144107.000,20661,2,PI,1,100,164946
1734181479.153844,144147.000,20661,2,PI,1,100,164938
1734181479.193844,144187.000,20676,3,PI,1,100,164941
1734181479.233844,144227.000,20676,3,PI,1,100,164948
1734181479.273844,144267.000,20676,3,PI,1,100,164921
1734181479.313843,144307.000,20693,2,PI,1,100,164893
1734181479.353844,144347.000,20693,2,PI,1,100,164863
1734181479.393844,144387.000,20710,3,PI,1,100,164858
1734181479.433844,144427.000,20710,3,PI,1,100,164889
1734181479.473844,144467.000,20710,3,PI,1,100,164897
1734181479.513844,144507.000,20726,2,PI,1,100,164888
1734181479.553843,144547.000,20726,2,PI,1,100,164914
1734181479.593843,144587.000,20744,3,PI,1,100,164901
1734181479.633843,144627.000,20744,3,PI,1,100,164881
1734181479.673843,144667.000,20744,3,PI,1,100,164889
1734181479.713844,144707.000,20760,2,PI,1,100,164901
1734181479.753844,144747.000,20760,2,PI,1,100,164912
1734181479.793844,144787.000,20779,3,PI,1,100,164892
1734181479.833843,144827.000,20779,3,PI,1,100,164879
1734181479.873843,144867.000,20779,3,PI,1,100,164855
1734181479.913843,144907.000,20795,2,PI,1,100,164840
1734181479.953843,144947.000,20795,2,PI,1,100,164838
1734181479.993843,144987.000,20812,3,PI,1,100,164815
1734181480.033844,145027.000,20812,3,PI,1,100,164727
1734181480.073843,145067.000,20812,3,PI,1,100,164634
1734181480.113843,145107.000,20827,2,PI,1,100,164562
1734181480.153843,145147.000,20827,2,PI,1,100,164512
1734181480.193843,145187.000,20844,3,PI,1,100,164491
1734181480.233843,145227.000,20844,3,PI,1,100,164559
1734181480.273843,145267.000,20844,3,PI,1,100,164587
1734181480.313843,145307.000,20861,2,PI,1,100,164609
1734181480.353843,145347.000,20861,2,PI,1,100,164633
1734181480.393843,145387.000,20877,3,PI,1,100,164624
1734181480.433843,145427.000,20877,3,PI,1,100,164602
1734181480.473843,145467.000,20877,3,PI,1,100,164581
1734181480.513843,145507.000,20892,3,PI,1,100,164578
1734181480.553843,145547.000,20892,3,PI,1,100,164569
1734181480.593843,145587.000,20892,3,PI,1,100,164561
1734181480.633843,145627.000,20913,7,PI,1,100,164562
1734181480.673843,145667.000,20913,7,PI,1,100,164618
1734181480.713843,145707.000,20913,7,PI,1,100,164586
1734181480.753843,145747.000,20913,7,PI,1,100,164482
1734181480.793843,145787.000,20913,7,PI,1,100,164386
1734181480.833843,145827.000,20913,7,PI,1,100,164385
1734181480.873843,145867.000,20913,7,PI,1,100,164433
1734181480.913843,145907.000,20932,3,PI,1,100,164502
1734181480.953843,145947.000,20932,3,PI,1,100,164583
1734181480.993843,145987.000,20932,3,PI,1,100,164599
1734181481.033843,146027.000,20949,2,PI,1,100,164631
1734181481.073843,146067.000,20949,2,PI,1,100,164665
1734181481.113843,146107.000,20965,3,PI,1,100,164686
1734181481.153843,146147.000,20965,3,PI,1,100,164669
1734181481.193843,146187.000,20965,3,PI,1,100,164628
1734181481.233843,146227.000,20982,2,PI,1,100,164638
1734181481.273843,146267.000,20982,2,PI,1,100,164626
1734181481.313843,146307.000,20997,3,PI,1,100,164637
1734181481.353843,146347.000,20997,3,PI,1,100,164646
1734181481.393843,146387.000,20997,3,PI,1,100,164656
1734181481.433843,146427.000,21014,2,PI,1,100,164688
1734181481.473843,146467.000,21014,2,PI,1,100,164807
1734181481.513843,146507.000,21030,3,PI,1,100,165070
1734181481.553843,146547.000,21030,3,PI,1,100,165183
1734181481.593843,146587.000,21030,3,PI,1,100,165120
1734181481.640343,146633.500,21048,2,PI,1,100,165031
1734181481.686843,146680.000,21048,2,PI,1,100,164971
1734181481.726843,146720.000,21062,3,PI,1,100,164968
1734181481.766843,146760.000,21062,3,PI,1,100,165015
1734181481.806843,146800.000,21062,3,PI,1,100,164994
1734181481.846843,146840.000,21079,2,PI,1,100,164954
1734181481.886843,146880.000,21079,2,PI,1,100,164936
1734181481.926843,146920.000,21096,3,PI,1,100,164920
1734181481.966843,146960.000,21096,3,PI,1,100,164953
1734181482.006843,147000.000,21096,3,PI,1,100,164961
1734181482.046843,147040.000,21113,2,PI,1,100,164945
1734181482.086843,147080.000,21113,2,PI,1,100,164909
1734181482.126843,147120.000,21129,3,PI,1,100,164850
1734181482.166843,147160.000,21129,3,PI,1,100,164819
1734181482.206843,147200.000,21129,3,PI,1,100,164846
1734181482.246843,147240.000,21146,2,PI,1,100,164899
1734181482.286843,147280.000,21146,2,PI,1,100,164879
1734181482.326843,147320.000,21163,3,PI,1,100,164841
1734181482.366843,147360.000,21163,3,PI,1,100,164840
1734181482.406843,147400.000,21163,3,PI,1,100,164840
1734181482.446843,147440.000,21180,2,PI,1,100,164824
1734181482.486843,147480.000,21180,2,PI,1,100,164804
1734181482.526843,147520.000,21195,3,PI,1,100,164786
1734181482.566843,147560.000,21195,3,PI,1,100,164783
1734181482.606843,147600.000,21195,3,PI,1,100,164782
1734181482.646843,147640.000,21212,2,PI,1,100,164786
1734181482.686843,147680.000,21212,2,PI,1,100,164786
1734181482.726843,147720.000,21232,3,PI,1,100,164811
1734181482.766843,147760.000,21232,3,PI,1,100,164843
1734181482.806843,147800.000,21232,3,PI,1,100,164858
1734181482.846843,147840.000,21249,4,PI,1,100,164858
1734181482.886843,147880.000,21249,4,PI,1,100,164857
1734181482.926843,147920.000,21249,4,PI,1,100,164825
1734181482.966843,147960.000,21249,4,PI,1,100,164773
1734181483.006843,148000.000,21266,2,PI,1,100,164682
1734181483.046843,148040.000,21266,2,PI,1,100,164676
1734181483.086843,148080.000,21283,3,PI,1,100,164716
1734181483.126843,148120.000,21283,3,PI,1,100,164733
1734181483.166843,148160.000,21283,3,PI,1,100,164761
1734181483.206843,148200.000,21299,2,PI,1,100,164811
1734181483.246843,148240.000,21299,2,PI,1,100,164799
