LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,PR
1734181477.540844,142534.000,20395,3,PR,1,100,143392
1734181477.540844,142534.000,20395,3,PR,1,100,143361
1734181477.540844,142534.000,20395,3,PR,1,100,143371
1734181477.580844,142574.000,20412,2,PR,1,100,143385
1734181477.620844,142614.000,20412,2,PR,1,100,143364
1734181477.660844,142654.000,20431,3,PR,1,100,143336
1734181477.700844,142694.000,20431,3,PR,1,100,143354
1734181477.740844,142734.000,20431,3,PR,1,100,143376
1734181477.787344,142780.500,20448,2,PR,1,100,143359
1734181477.833844,142827.000,20448,2,PR,1,100,143389
1734181477.873844,142867.000,20462,2,PR,1,100,143383
1734181477.913844,142907.000,20462,2,PR,1,100,143363
1734181477.953844,142947.000,20480,3,PR,1,100,143388
1734181477.993844,142987.000,20480,3,PR,1,100,143412
1734181478.033844,143027.000,20480,3,PR,1,100,143422
1734181478.073844,143067.000,20496,2,PR,1,100,143414
1734181478.113844,143107.000,20496,2,PR,1,100,143412
1734181478.153844,143147.000,20513,3,PR,1,100,143410
1734181478.193844,143187.000,20513,3,PR,1,100,143429
1734181478.233844,143227.000,20513,3,PR,1,100,143423
1734181478.273844,143267.000,20530,3,PR,1,100,143430
1734181478.313844,143307.000,20530,3,PR,1,100,143426
1734181478.353844,143347.000,20530,3,PR,1,100,143394
1734181478.393844,143387.000,20545,2,PR,1,100,143396
1734181478.433844,143427.000,20545,2,PR,1,100,143395
1734181478.473844,143467.000,20561,3,PR,1,100,143394
1734181478.513844,143507.000,20561,3,PR,1,100,143385
1734181478.553844,143547.000,20561,3,PR,1,100,143394
1734181478.593844,143587.000,20579,2,PR,1,100,143388
1734181478.633844,143627.000,20579,2,PR,1,100,143383
1734181478.673844,143667.000,20595,3,PR,1,100,143387
1734181478.713844,143707.000,20595,3,PR,1,100,143392
1734181478.753844,143747.000,20595,3,PR,1,100,143403
1734181478.793844,143787.000,20610,2,PR,1,100,143421
1734181478.833844,143827.000,20610,2,PR,1,100,143421
1734181478.873844,143867.000,20626,3,PR,1,100,143408
1734181478.913844,143907.000,20626,3,PR,1,100,143425
1734181478.953844,143947.000,20626,3,PR,1,100,143389
1734181478.993844,143987.000,20646,3,PR,1,100,143354
1734181479.033844,144027.000,20646,3,PR,1,100,143367
1734181479.073844,144067.000,20646,3,PR,1,100,143342
1734181479.113844,144107.000,20662,2,PR,1,100,143316
