LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,RD
1734181480.783843,145777.000,20910,2,RD,1,100,TL
1734181480.783843,145777.000,20910,2,RD,1,100,TU
1734181483.338843,148332.000,21730,2,RD,1,100,TL
1734181485.893842,150887.000,21730,2,RD,1,100,TU
1734181488.446841,153440.000,22573,2,RD,1,100,TL
1734181490.999841,155993.000,22573,2,RD,1,100,TU
1734181493.554840,158548.000,23393,2,RD,1,100,TL
1734181496.109839,161103.000,23393,2,RD,1,100,TU
1734181498.665839,163659.000,24198,2,RD,1,100,TL
1734181501.221838,166215.000,24198,2,RD,1,100,TU
1734181503.775838,168769.000,25032,2,RD,1,100,TL
1734181506.329837,171323.000,25032,2,RD,1,100,TU
1734181508.883837,173877.000,25868,2,RD,1,100,TL
1734181511.437836,176431.000,25868,2,RD,1,100,TU
1734181514.031835,179025.000,26703,2,RD,1,100,TL
1734181516.625835,181619.000,26703,2,RD,1,100,TU
1734181519.181834,184175.000,27537,2,RD,1,100,TL
1734181521.737833,186731.000,27537,2,RD,1,100,TU
1734181524.291333,189284.500,28380,2,RD,1,100,TL
1734181526.844832,191838.000,28380,2,RD,1,100,TU
1734181529.410831,194404.000,29215,2,RD,1,100,TL
1734181531.976831,196970.000,29215,2,RD,1,100,TU
1734181534.530330,199523.500,30004,2,RD,1,100,TL
1734181537.083830,202077.000,30004,2,RD,1,100,TU
1734181539.637329,204630.500,30840,2,RD,1,100,TL
1734181542.190828,207184.000,30840,2,RD,1,100,TU
1734181544.744828,209738.000,31675,2,RD,1,100,TL
1734181547.298827,212292.000,31675,2,RD,1,100,TU
1734181549.852827,214846.000,32513,2,RD,1,100,TL
1734181552.406826,217400.000,32513,2,RD,1,100,TU
1734181554.977825,219971.000,33360,2,RD,1,100,TL
1734181557.548825,222542.000,33360,2,RD,1,100,TU
1734181560.108824,225102.000,34197,2,RD,1,100,TL
1734181562.668823,227662.000,34197,2,RD,1,100,TU
1734181565.228323,230221.500,35034,2,RD,1,100,TL
1734181567.787822,232781.000,35034,2,RD,1,100,TU
1734181570.343322,235336.500,35869,2,RD,1,100,TL
1734181572.898821,237892.000,35869,2,RD,1,100,TU
1734181575.455820,240449.000,36705,2,RD,1,100,TL
1734181578.012820,243006.000,36705,2,RD,1,100,TU
1734181580.568319,245561.500,37539,2,RD,1,100,TL
1734181583.123819,248117.000,37539,2,RD,1,100,TU
1734181585.687818,250681.000,38374,2,RD,1,100,TL
1734181588.251817,253245.000,38374,2,RD,1,100,TU
1734181590.814817,255808.000,39212,2,RD,1,100,TL
1734181593.377816,258371.000,39212,2,RD,1,100,TU
1734181595.937815,260931.000,40047,2,RD,1,100,TL
1734181598.497815,263491.000,40047,2,RD,1,100,TU
1734181601.056814,266050.000,40881,2,RD,1,100,TL
1734181603.615814,268609.000,40881,2,RD,1,100,TU
1734181606.173313,271166.500,41715,2,RD,1,100,TL
1734181608.730812,273724.000,41715,2,RD,1,100,TU
1734181611.285812,276279.000,42550,2,RD,1,100,TL
1734181613.840811,278834.000,42550,2,RD,1,100,TU
1734181616.400311,281393.500,43387,2,RD,1,100,TL
1734181618.959810,283953.000,43387,2,RD,1,100,TU
1734181621.513309,286506.500,44209,2,RD,1,100,TL
1734181624.066809,289060.000,44209,2,RD,1,100,TU
1734181626.633808,291627.000,45044,2,RD,1,100,TL
1734181629.200808,294194.000,45044,2,RD,1,100,TU
1734181631.757807,296751.000,45880,2,RD,1,100,TL
1734181634.314806,299308.000,45880,2,RD,1,100,TU
1734181636.877806,301871.000,46716,2,RD,1,100,TL
1734181639.440805,304434.000,46716,2,RD,1,100,TU
1734181642.003804,306997.000,47553,2,RD,1,100,TL
1734181644.566804,309560.000,47553,2,RD,1,100,TU
1734181647.126803,312120.000,48389,2,RD,1,100,TL
1734181649.686803,314680.000,48389,2,RD,1,100,TU
1734181652.246302,317239.500,49224,2,RD,1,100,TL
1734181654.805801,319799.000,49224,2,RD,1,100,TU
1734181657.360301,322353.500,50041,2,RD,1,100,TL
1734181659.914800,324908.000,50041,2,RD,1,100,TU
1734181662.479800,327473.000,50877,2,RD,1,100,TL
1734181665.044799,330038.000,50877,2,RD,1,100,TU
1734181667.601298,332594.500,51714,2,RD,1,100,TL
1734181670.157798,335151.000,51714,2,RD,1,100,TU
1734181672.722297,337715.500,52551,2,RD,1,100,TL
1734181675.286796,340280.000,52551,2,RD,1,100,TU
1734181677.844296,342837.500,53387,2,RD,1,100,TL
1734181680.401795,345395.000,53387,2,RD,1,100,TU
1734181682.961795,347955.000,54230,2,RD,1,100,TL
1734181685.521794,350515.000,54230,2,RD,1,100,TU
1734181688.088293,353081.500,55067,2,RD,1,100,TL
1734181690.654793,355648.000,55067,2,RD,1,100,TU
1734181693.208292,358201.500,55887,2,RD,1,100,TL
1734181695.761791,360755.000,55887,2,RD,1,100,TU
1734181698.320291,363313.500,56726,2,RD,1,100,TL
1734181700.878790,365872.000,56726,2,RD,1,100,TU
1734181703.440790,368434.000,57561,2,RD,1,100,TL
1734181706.002789,370996.000,57561,2,RD,1,100,TU
1734181708.561288,373554.500,58397,2,RD,1,100,TL
1734181711.119788,376113.000,58397,2,RD,1,100,TU
1734181713.679287,378672.500,59232,2,RD,1,100,TL
1734181716.238786,381232.000,59232,2,RD,1,100,TU
1734181718.800286,383793.500,60070,2,RD,1,100,TL
1734181721.361785,386355.000,60070,2,RD,1,100,TU
1734181723.922785,388916.000,60903,2,RD,1,100,TL
1734181726.483784,391477.000,60903,2,RD,1,100,TU
1734181729.037283,394030.500,61724,2,RD,1,100,TL
1734181731.590783,396584.000,61724,2,RD,1,100,TU
1734181734.153282,399146.500,62561,2,RD,1,100,TL
1734181736.715782,401709.000,62561,2,RD,1,100,TU
1734181739.276781,404270.000,63396,2,RD,1,100,TL
1734181741.837780,406831.000,63396,2,RD,1,100,TU
1734181744.397780,409391.000,64231,2,RD,1,100,TL
1734181746.957779,411951.000,64231,2,RD,1,100,TU
1734181749.519279,414512.500,65067,2,RD,1,100,TL
1734181752.080778,417074.000,65067,2,RD,1,100,TU
1734181754.639277,419632.500,367,2,RD,1,100,TL
1734181757.197777,422191.000,367,2,RD,1,100,TU
1734181759.751276,424744.500,1204,2,RD,1,100,TL
1734181762.304775,427298.000,1204,2,RD,1,100,TU
1734181764.865275,429858.500,2038,2,RD,1,100,TL
1734181767.425774,432419.000,2038,2,RD,1,100,TU
1734181769.978774,434972.000,2873,2,RD,1,100,TL
1734181772.531773,437525.000,2873,2,RD,1,100,TU
1734181775.086272,440079.500,3707,2,RD,1,100,TL
1734181777.640772,442634.000,3707,2,RD,1,100,TU
1734181780.196271,445189.500,4548,2,RD,1,100,TL
1734181782.751770,447745.000,4548,2,RD,1,100,TU
1734181785.305770,450299.000,5381,2,RD,1,100,TL
1734181787.859769,452853.000,5381,2,RD,1,100,TU
1734181790.422769,455416.000,6232,2,RD,1,100,TL
1734181792.985768,457979.000,6232,2,RD,1,100,TU
1734181795.579268,460572.500,7068,2,RD,1,100,TL
1734181798.172767,463166.000,7068,2,RD,1,100,TU
1734181800.741266,465734.500,7920,2,RD,1,100,TL
1734181803.309766,468303.000,7920,2,RD,1,100,TU
1734181805.863265,470856.500,8758,2,RD,1,100,TL
1734181808.416764,473410.000,8758,2,RD,1,100,TU
1734181810.969764,475963.000,9596,2,RD,1,100,TL
1734181813.522763,478516.000,9596,2,RD,1,100,TU
1734181816.090762,481084.000,10449,2,RD,1,100,TL
1734181818.658762,483652.000,10449,2,RD,1,100,TU
1734181821.213261,486206.500,11287,2,RD,1,100,TL
1734181823.767761,488761.000,11287,2,RD,1,100,TU
1734181826.321260,491314.500,12124,2,RD,1,100,TL
1734181828.874759,493868.000,12124,2,RD,1,100,TU
1734181831.430759,496424.000,12959,2,RD,1,100,TL
1734181833.986758,498980.000,12959,2,RD,1,100,TU
1734181836.540257,501533.500,13795,2,RD,1,100,TL
1734181839.093757,504087.000,13795,2,RD,1,100,TU
1734181841.648756,506642.000,14624,2,RD,1,100,TL
1734181844.203756,509197.000,14624,2,RD,1,100,TU
1734181846.757255,511750.500,15459,2,RD,1,100,TL
1734181849.310755,514304.000,15459,2,RD,1,100,TU
1734181851.878254,516871.500,16311,2,RD,1,100,TL
1734181854.445753,519439.000,16311,2,RD,1,100,TU
1734181856.999253,521992.500,17149,2,RD,1,100,TL
1734181859.552752,524546.000,17149,2,RD,1,100,TU
1734181862.108251,527101.500,17982,2,RD,1,100,TL
1734181864.663751,529657.000,17982,2,RD,1,100,TU
1734181867.218250,532211.500,18820,2,RD,1,100,TL
1734181869.772750,534766.000,18820,2,RD,1,100,TU
1734181872.327249,537320.500,19655,2,RD,1,100,TL
1734181874.881748,539875.000,19655,2,RD,1,100,TU
1734181877.435248,542428.500,20490,2,RD,1,100,TL
1734181879.988747,544982.000,20490,2,RD,1,100,TU
1734181882.551746,547545.000,21336,2,RD,1,100,TL
1734181885.114746,550108.000,21336,2,RD,1,100,TU
1734181887.671745,552665.000,22171,2,RD,1,100,TL
1734181890.228745,555222.000,22171,2,RD,1,100,TU
1734181892.779244,557772.500,23007,2,RD,1,100,TL
1734181895.329743,560323.000,23007,2,RD,1,100,TU
1734181897.885243,562878.500,23843,2,RD,1,100,TL
1734181900.440742,565434.000,23843,2,RD,1,100,TU
1734181902.994241,567987.500,24663,2,RD,1,100,TL
1734181905.547741,570541.000,24663,2,RD,1,100,TU
1734181908.111740,573105.000,25501,2,RD,1,100,TL
1734181910.675740,575669.000,25501,2,RD,1,100,TU
1734181913.234739,578228.000,26338,2,RD,1,100,TL
1734181915.793738,580787.000,26338,2,RD,1,100,TU
1734181918.348238,583341.500,27127,2,RD,1,100,TL
1734181920.902737,585896.000,27127,2,RD,1,100,TU
1734181923.456237,588449.500,27962,2,RD,1,100,TL
1734181926.009736,591003.000,27962,2,RD,1,100,TU
1734181928.564235,593557.500,28800,2,RD,1,100,TL
1734181931.118735,596112.000,28800,2,RD,1,100,TU
1734181933.674234,598667.500,29635,2,RD,1,100,TL
1734181936.229733,601223.000,29635,2,RD,1,100,TU
1734181938.783233,603776.500,30472,2,RD,1,100,TL
1734181941.336732,606330.000,30472,2,RD,1,100,TU
1734181943.890232,608883.500,31307,2,RD,1,100,TL
1734181946.443731,611437.000,31307,2,RD,1,100,TU
1734181949.004230,613997.500,32156,2,RD,1,100,TL
1734181951.564730,616558.000,32156,2,RD,1,100,TU
1734181954.118229,619111.500,32993,2,RD,1,100,TL
1734181956.671729,621665.000,32993,2,RD,1,100,TU
1734181959.225728,624219.000,33831,2,RD,1,100,TL
1734181961.779727,626773.000,33831,2,RD,1,100,TU
1734181964.336227,629329.500,34666,2,RD,1,100,TL
1734181966.892726,631886.000,34666,2,RD,1,100,TU
1734181969.447226,634440.500,35489,2,RD,1,100,TL
1734181972.001725,636995.000,35489,2,RD,1,100,TU
1734181974.569724,639563.000,36325,2,RD,1,100,TL
1734181977.137724,642131.000,36325,2,RD,1,100,TU
1734181979.708723,644702.000,37162,2,RD,1,100,TL
1734181982.279722,647273.000,37162,2,RD,1,100,TU
1734181984.839222,649832.500,38000,2,RD,1,100,TL
1734181987.398721,652392.000,38000,2,RD,1,100,TU
1734181989.965721,654959.000,38835,2,RD,1,100,TL
1734181992.532720,657526.000,38835,2,RD,1,100,TU
1734181995.088219,660081.500,39673,2,RD,1,100,TL
1734181997.643719,662637.000,39673,2,RD,1,100,TU
1734182000.206218,665199.500,40510,2,RD,1,100,TL
1734182002.768718,667762.000,40510,2,RD,1,100,TU
1734182005.330717,670324.000,41331,2,RD,1,100,TL
1734182007.892716,672886.000,41331,2,RD,1,100,TU
1734182010.447216,675440.500,42152,2,RD,1,100,TL
1734182013.001715,677995.000,42152,2,RD,1,100,TU
1734182015.574214,680567.500,42969,2,RD,1,100,TL
1734182018.146714,683140.000,42969,2,RD,1,100,TU
1734182020.718713,685712.000,43744,2,RD,1,100,TL
1734182023.290713,688284.000,43744,2,RD,1,100,TU
1734182025.846212,690839.500,44583,2,RD,1,100,TL
1734182028.401711,693395.000,44583,2,RD,1,100,TU
1734182030.964211,695957.500,45418,2,RD,1,100,TL
1734182033.526710,698520.000,45418,2,RD,1,100,TU
1734182036.086709,701080.000,46258,2,RD,1,100,TL
1734182038.646709,703640.000,46258,2,RD,1,100,TU
1734182041.200708,706194.000,47081,2,RD,1,100,TL
1734182043.754708,708748.000,47081,2,RD,1,100,TU
1734182046.313207,711306.500,47916,2,RD,1,100,TL
1734182048.871706,713865.000,47916,2,RD,1,100,TU
1734182051.426206,716419.500,48754,2,RD,1,100,TL
1734182053.980705,718974.000,48754,2,RD,1,100,TU
1734182056.535205,721528.500,49587,2,RD,1,100,TL
1734182059.089704,724083.000,49587,2,RD,1,100,TU
1734182061.646203,726639.500,50420,2,RD,1,100,TL
1734182064.202703,729196.000,50420,2,RD,1,100,TU
1734182066.762202,731755.500,51258,2,RD,1,100,TL
1734182069.321702,734315.000,51258,2,RD,1,100,TU
1734182071.882201,736875.500,52093,2,RD,1,100,TL
1734182074.442700,739436.000,52093,2,RD,1,100,TU
1734182077.009200,742002.500,52930,2,RD,1,100,TL
1734182079.575699,744569.000,52930,2,RD,1,100,TU
1734182082.131698,747125.000,53764,2,RD,1,100,TL
1734182084.687698,749681.000,53764,2,RD,1,100,TU
1734182087.243697,752237.000,54599,2,RD,1,100,TL
1734182089.799696,754793.000,54599,2,RD,1,100,TU
1734182092.357696,757351.000,55432,2,RD,1,100,TL
1734182094.915695,759909.000,55432,2,RD,1,100,TU
1734182097.471195,762464.500,56262,2,RD,1,100,TL
1734182100.026694,765020.000,56262,2,RD,1,100,TU
1734182102.587693,767581.000,57097,2,RD,1,100,TL
1734182105.148693,770142.000,57097,2,RD,1,100,TU
1734182107.709192,772702.500,57933,2,RD,1,100,TL
1734182110.269692,775263.000,57933,2,RD,1,100,TU
1734182112.823691,777817.000,58754,2,RD,1,100,TL
1734182115.377690,780371.000,58754,2,RD,1,100,TU
1734182117.942690,782936.000,59593,2,RD,1,100,TL
1734182120.507689,785501.000,59593,2,RD,1,100,TU
1734182123.062189,788055.500,60430,2,RD,1,100,TL
1734182125.616688,790610.000,60430,2,RD,1,100,TU
1734182128.170687,793164.000,61266,2,RD,1,100,TL
1734182130.724687,795718.000,61266,2,RD,1,100,TU
1734182133.291686,798285.000,62101,2,RD,1,100,TL
1734182135.858685,800852.000,62101,2,RD,1,100,TU
1734182138.427185,803420.500,62939,2,RD,1,100,TL
1734182140.995684,805989.000,62939,2,RD,1,100,TU
1734182143.552184,808545.500,63776,2,RD,1,100,TL
1734182146.108683,811102.000,63776,2,RD,1,100,TU
1734182148.662682,813656.000,64597,2,RD,1,100,TL
1734182151.216682,816210.000,64597,2,RD,1,100,TU
1734182153.788181,818781.500,65434,2,RD,1,100,TL
1734182156.359681,821353.000,65434,2,RD,1,100,TU
1734182158.919680,823913.000,731,2,RD,1,100,TL
1734182161.479679,826473.000,731,2,RD,1,100,TU
1734182164.034179,829027.500,1567,2,RD,1,100,TL
1734182166.588678,831582.000,1567,2,RD,1,100,TU
1734182169.145177,834138.500,2403,2,RD,1,100,TL
1734182171.701677,836695.000,2403,2,RD,1,100,TU
1734182174.261176,839254.500,3236,2,RD,1,100,TL
1734182176.820676,841814.000,3236,2,RD,1,100,TU
1734182179.373675,844367.000,4071,2,RD,1,100,TL
1734182181.926674,846920.000,4071,2,RD,1,100,TU
1734182184.481174,849474.500,4910,2,RD,1,100,TL
1734182187.035673,852029.000,4910,2,RD,1,100,TU
1734182189.589173,854582.500,5743,2,RD,1,100,TL
1734182192.142672,857136.000,5743,2,RD,1,100,TU
1734182194.696671,859690.000,6580,2,RD,1,100,TL
1734182197.250671,862244.000,6580,2,RD,1,100,TU
1734182199.815670,864809.000,7430,2,RD,1,100,TL
1734182202.380669,867374.000,7430,2,RD,1,100,TU
1734182204.934669,869928.000,8266,2,RD,1,100,TL
1734182207.488668,872482.000,8266,2,RD,1,100,TU
1734182210.059168,875052.500,9120,2,RD,1,100,TL
1734182212.629667,877623.000,9120,2,RD,1,100,TU
1734182215.184666,880178.000,9955,2,RD,1,100,TL
1734182217.739666,882733.000,9955,2,RD,1,100,TU
1734182220.304165,885297.500,10789,2,RD,1,100,TL
1734182222.868665,887862.000,10789,2,RD,1,100,TU
1734182225.422664,890416.000,11622,2,RD,1,100,TL
1734182227.976663,892970.000,11622,2,RD,1,100,TU
1734182230.544663,895538.000,12472,2,RD,1,100,TL
1734182233.112662,898106.000,12472,2,RD,1,100,TU
1734182235.665661,900659.000,13308,2,RD,1,100,TL
1734182238.218661,903212.000,13308,2,RD,1,100,TU
1734182240.772660,905766.000,14142,2,RD,1,100,TL
1734182243.326660,908320.000,14142,2,RD,1,100,TU
1734182245.882159,910875.500,14977,2,RD,1,100,TL
1734182248.437658,913431.000,14977,2,RD,1,100,TU
1734182250.991658,915985.000,15814,2,RD,1,100,TL
1734182253.545657,918539.000,15814,2,RD,1,100,TU
1734182256.100157,921093.500,16652,2,RD,1,100,TL
1734182258.654656,923648.000,16652,2,RD,1,100,TU
1734182261.226655,926220.000,17506,2,RD,1,100,TL
1734182263.798655,928792.000,17506,2,RD,1,100,TU
1734182266.352654,931346.000,18344,2,RD,1,100,TL
1734182268.906653,933900.000,18344,2,RD,1,100,TU
1734182271.477153,936470.500,19197,2,RD,1,100,TL
1734182274.047652,939041.000,19197,2,RD,1,100,TU
1734182276.602152,941595.500,20033,2,RD,1,100,TL
1734182279.156651,944150.000,20033,2,RD,1,100,TU
1734182281.710150,946703.500,20870,2,RD,1,100,TL
1734182284.263650,949257.000,20870,2,RD,1,100,TU
1734182286.822649,951816.000,21706,2,RD,1,100,TL
1734182289.381649,954375.000,21706,2,RD,1,100,TU
1734182291.935148,956928.500,22541,2,RD,1,100,TL
1734182294.488647,959482.000,22541,2,RD,1,100,TU
1734182297.042147,962035.500,23374,2,RD,1,100,TL
1734182299.595646,964589.000,23374,2,RD,1,100,TU
1734182302.151145,967144.500,24213,2,RD,1,100,TL
1734182304.706645,969700.000,24213,2,RD,1,100,TU
1734182307.259644,972253.000,25048,2,RD,1,100,TL
1734182309.812644,974806.000,25048,2,RD,1,100,TU
1734182312.379143,977372.500,25899,2,RD,1,100,TL
1734182314.945642,979939.000,25899,2,RD,1,100,TU
1734182317.502142,982495.500,26733,2,RD,1,100,TL
1734182320.058641,985052.000,26733,2,RD,1,100,TU
1734182322.612140,987605.500,27552,2,RD,1,100,TL
1734182325.165640,990159.000,27552,2,RD,1,100,TU
1734182327.720139,992713.500,28390,2,RD,1,100,TL
1734182330.274639,995268.000,28390,2,RD,1,100,TU
1734182332.842138,997835.500,29207,2,RD,1,100,TL
1734182335.409637,1000403.000,29207,2,RD,1,100,TU
1734182337.963137,1002956.500,29983,2,RD,1,100,TL
1734182340.516636,1005510.000,29983,2,RD,1,100,TU
1734182343.072136,1008065.500,30820,2,RD,1,100,TL
1734182345.627635,1010621.000,30820,2,RD,1,100,TU
1734182348.192134,1013185.500,31672,2,RD,1,100,TL
1734182350.756634,1015750.000,31672,2,RD,1,100,TU
1734182353.311633,1018305.000,32512,2,RD,1,100,TL
1734182355.866632,1020860.000,32512,2,RD,1,100,TU
1734182358.420632,1023414.000,33343,2,RD,1,100,TL
1734182360.974631,1025968.000,33343,2,RD,1,100,TU
1734182363.535131,1028528.500,34180,2,RD,1,100,TL
1734182366.095630,1031089.000,34180,2,RD,1,100,TU
1734182368.651629,1033645.000,35015,2,RD,1,100,TL
1734182371.207629,1036201.000,35015,2,RD,1,100,TU
