LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,SA
1734181478.792844,143786,20642,1,SA,1,100,0.000304
1734181479.592844,144586,20777,1,SA,1,100,0.000130
1734181482.058843,147052,21127,1,SA,1,100,0.000032
1734181487.058842,152052,21984,1,SA,1,100,0.000325
1734181487.524842,152518,22053,1,SA,1,100,0.000271
1734181487.991842,152985,22170,1,SA,1,100,0.000545
1734181488.725841,153719,22237,1,SA,1,100,0.000120
1734181523.387833,188381,27908,1,SA,1,100,0.000554
1734181524.321833,189315,28009,1,SA,1,100,0.000189
1734181524.788833,189782,28078,1,SA,1,100,0.000122
1734181549.585827,214579,32226,1,SA,1,100,0.001676
1734181625.711808,290705,44528,1,SA,1,100,0.000171
1734181681.305795,346299,53622,1,SA,1,100,0.000816
1734181681.905795,346899,53676,1,SA,1,100,0.000277
1734181683.038795,348032,53909,1,SA,1,100,0.000825
1734181684.105794,349099,54113,1,SA,1,100,0.001495
1734181684.905794,349899,54367,1,SA,1,100,0.010645
1734181807.826765,472820,8722,1,SA,1,100,0.000558
1734181856.887753,521881,16796,1,SA,1,100,0.000552
1734181932.613734,597607,29121,1,SA,1,100,0.000687
1734181933.546734,598540,29222,1,SA,1,100,0.000039
1734181934.146734,599140,29354,1,SA,1,100,0.000196
1734181970.143725,635137,35269,1,SA,1,100,0.000403
1734182006.740716,671734,41225,1,SA,1,100,0.001243
1734182040.403708,705397,46675,1,SA,1,100,0.002163
1734182041.269708,706263,46726,1,SA,1,100,0.000614
1734182069.200701,734194,51312,1,SA,1,100,0.000620
1734182070.067701,735061,51396,1,SA,1,100,0.000083
1734182091.465696,756459,55099,1,SA,1,100,0.006141
1734182183.588674,848582,4475,1,SA,1,100,0.001142
1734182227.450663,892444,11659,1,SA,1,100,0.000860
1734182270.113653,935107,18645,1,SA,1,100,0.000808
1734182308.176644,973170,24863,1,SA,1,100,0.000311
1734182351.772634,1016766,31993,1,SA,1,100,0.002514
1734182358.370632,1023364,32944,1,SA,1,100,0.000159
1734182358.637632,1023631,33207,1,SA,1,100,0.005408
1734182373.102628,1038096,35486,1,SA,1,100,0.002132
