LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,SF
1734181477.725844,142719.000,20429,1,SF,1,100,27.5430
1734181477.992844,142986.000,20478,1,SF,1,100,27.2244
1734181478.325844,143319.000,20528,1,SF,1,100,26.9094
1734181478.658844,143652.000,20577,1,SF,1,100,26.5981
1734181479.058844,144052.000,20644,1,SF,1,100,28.3727
1734181479.325844,144319.000,20692,1,SF,1,100,28.0445
1734181479.658844,144652.000,20743,1,SF,1,100,27.7201
1734181480.058843,145052.000,20811,1,SF,1,100,29.4817
1734181480.325843,145319.000,20860,1,SF,1,100,29.1406
1734181480.858843,145852.000,20912,1,SF,1,100,28.8035
1734181480.991843,145985.000,20931,1,SF,1,100,28.4703
1734181481.392843,146386.000,20996,1,SF,1,100,28.1410
1734181481.658843,146652.000,21047,1,SF,1,100,27.8154
1734181481.991843,146985.000,21095,1,SF,1,100,27.4937
1734181482.391843,147385.000,21162,1,SF,1,100,29.2579
1734181482.658843,147652.000,21211,1,SF,1,100,28.9194
1734181483.058843,148052.000,21265,1,SF,1,100,28.5849
1734181483.325843,148319.000,21316,1,SF,1,100,28.2542
1734181483.658843,148652.000,21364,1,SF,1,100,27.9273
1734181484.058842,149052.000,21429,1,SF,1,100,27.6043
1734181484.325842,149319.000,21480,1,SF,1,100,27.2850
1734181484.658842,149652.000,21528,1,SF,1,100,26.9693
1734181484.991842,149985.000,21577,1,SF,1,100,26.6573
1734181485.391842,150385.000,21643,1,SF,1,100,26.3490
1734181485.658842,150652.000,21694,1,SF,1,100,26.0442
1734181485.991842,150985.000,21750,1,SF,1,100,25.7429
1734181486.324842,151318.000,21798,1,SF,1,100,25.4451
1734181486.724842,151718.000,21865,1,SF,1,100,25.1507
1734181486.991842,151985.000,21916,1,SF,1,100,24.8598
1734181487.324842,152318.000,21964,1,SF,1,100,24.5722
1734181487.658842,152652.000,22017,1,SF,1,100,26.3702
1734181488.057842,153051.000,22086,1,SF,1,100,28.1474
1734181488.324841,153318.000,22136,1,SF,1,100,27.8218
1734181488.657841,153651.000,22189,1,SF,1,100,29.5822
1734181488.991841,153985.000,22239,1,SF,1,100,31.3222
1734181489.391841,154385.000,22306,1,SF,1,100,30.9599
1734181489.657841,154651.000,22357,1,SF,1,100,30.6018
1734181489.991841,154985.000,22405,1,SF,1,100,30.2478
1734181490.324841,155318.000,22454,1,SF,1,100,29.8978
1734181490.724841,155718.000,22521,1,SF,1,100,29.5520
1734181491.057841,156051.000,22575,1,SF,1,100,29.2101
1734181491.391841,156385.000,22623,1,SF,1,100,28.8722
1734181491.657840,156651.000,22676,1,SF,1,100,28.5382
1734181491.990840,156984.000,22724,1,SF,1,100,28.2081
1734181492.324841,157318.000,22775,1,SF,1,100,27.8818
1734181492.657840,157651.000,22825,1,SF,1,100,27.5592
1734181493.057840,158051.000,22892,1,SF,1,100,27.2404
1734181493.324840,158318.000,22941,1,SF,1,100,26.9253
1734181493.657840,158651.000,22991,1,SF,1,100,26.6138
1734181494.057840,159051.000,23057,1,SF,1,100,26.3060
1734181494.390840,159384.000,23109,1,SF,1,100,26.0017
1734181494.657840,159651.000,23157,1,SF,1,100,25.7009
1734181494.990840,159984.000,23207,1,SF,1,100,25.4036
1734181495.390840,160384.000,23274,1,SF,1,100,25.1097
1734181495.723840,160717.000,23323,1,SF,1,100,24.8192
1734181495.990839,160984.000,23372,1,SF,1,100,24.5321
1734181496.323839,161317.000,23429,1,SF,1,100,24.2483
1734181496.723839,161717.000,23463,1,SF,1,100,23.9678
1734181496.990839,161984.000,23499,1,SF,1,100,23.6906
1734181497.323839,162317.000,23548,1,SF,1,100,23.4165
1734181497.723839,162717.000,23617,1,SF,1,100,23.1456
1734181497.990839,162984.000,23665,1,SF,1,100,22.8779
1734181498.323839,163317.000,23716,1,SF,1,100,22.6132
1734181498.723839,163717.000,23782,1,SF,1,100,22.3516
1734181498.990839,163984.000,23831,1,SF,1,100,22.0931
1734181499.323839,164317.000,23882,1,SF,1,100,21.8375
1734181499.656839,164650.000,23930,1,SF,1,100,21.5849
1734181500.056839,165050.000,23997,1,SF,1,100,21.3352
1734181500.323838,165317.000,24048,1,SF,1,100,21.0884
1734181500.656838,165650.000,24098,1,SF,1,100,20.8444
1734181501.056838,166050.000,24163,1,SF,1,100,20.6033
1734181501.323838,166317.000,24217,1,SF,1,100,20.3649
1734181501.656838,166650.000,24269,1,SF,1,100,20.1294
1734181501.989838,166983.000,24318,1,SF,1,100,19.8965
1734181502.389838,167383.000,24383,1,SF,1,100,19.6663
1734181502.656838,167650.000,24433,1,SF,1,100,19.4388
1734181502.989838,167983.000,24484,1,SF,1,100,19.2140
1734181503.389838,168383.000,24550,1,SF,1,100,18.9917
1734181503.723838,168717.000,24601,1,SF,1,100,18.7720
1734181503.989838,168983.000,24650,1,SF,1,100,18.5548
1734181504.323838,169317.000,24698,1,SF,1,100,18.3402
1734181504.723837,169717.000,24765,1,SF,1,100,18.1280
1734181504.989837,169983.000,24816,1,SF,1,100,17.9183
1734181505.322837,170316.000,24866,1,SF,1,100,17.7111
1734181505.722837,170716.000,24931,1,SF,1,100,17.5062
1734181506.056837,171050.000,24980,1,SF,1,100,17.3037
1734181506.322837,171316.000,25037,1,SF,1,100,17.1035
1734181506.656837,171650.000,25086,1,SF,1,100,16.9056
1734181507.056837,172050.000,25151,1,SF,1,100,16.7101
1734181507.322837,172316.000,25201,1,SF,1,100,16.5168
1734181507.656837,172650.000,25251,1,SF,1,100,16.3257
1734181507.989837,172983.000,25302,1,SF,1,100,16.1368
1734181508.389837,173383.000,25369,1,SF,1,100,15.9502
1734181508.655837,173649.000,25418,1,SF,1,100,15.7657
1734181508.989836,173983.000,25468,1,SF,1,100,15.5833
1734181509.389836,174383.000,25535,1,SF,1,100,15.4030
1734181509.655836,174649.000,25586,1,SF,1,100,15.2248
1734181509.989836,174983.000,25634,1,SF,1,100,15.0487
1734181510.322836,175316.000,25683,1,SF,1,100,14.8746
1734181510.722836,175716.000,25750,1,SF,1,100,14.7026
1734181510.989836,175983.000,25800,1,SF,1,100,14.5325
1734181511.322836,176316.000,25849,1,SF,1,100,14.3644
1734181511.655836,176649.000,25906,1,SF,1,100,14.1982
1734181512.055836,177049.000,25971,1,SF,1,100,14.0339
