LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,SR
1734181478.792844,143786,20643,1,SR,1,100,0.133333
1734181479.592844,144586,20778,1,SR,1,100,0.200000
1734181482.058843,147052,21128,1,SR,1,100,0.066667
1734181487.058842,152052,21985,1,SR,1,100,0.333333
1734181487.524842,152518,22054,1,SR,1,100,0.200000
1734181487.991842,152985,22171,1,SR,1,100,0.466667
1734181488.725841,153719,22238,1,SR,1,100,0.133333
1734181523.387833,188381,27909,1,SR,1,100,0.533333
1734181524.321833,189315,28010,1,SR,1,100,0.200000
1734181524.788833,189782,28079,1,SR,1,100,0.133333
1734181549.585827,214579,32227,1,SR,1,100,0.933333
1734181625.711808,290705,44529,1,SR,1,100,0.266667
1734181681.305795,346299,53623,1,SR,1,100,0.466667
1734181681.905795,346899,53677,1,SR,1,100,0.200000
1734181683.038795,348032,53910,1,SR,1,100,0.533333
1734181684.105794,349099,54114,1,SR,1,100,0.666667
1734181684.905794,349899,54368,1,SR,1,100,1.400000
1734181807.826765,472820,8723,1,SR,1,100,0.333333
1734181856.887753,521881,16797,1,SR,1,100,0.466667
1734181932.613734,597607,29122,1,SR,1,100,0.400000
1734181933.546734,598540,29223,1,SR,1,100,0.066667
1734181934.146734,599140,29355,1,SR,1,100,0.200000
1734181970.143725,635137,35270,1,SR,1,100,0.400000
1734182006.740716,671734,41226,1,SR,1,100,0.533333
1734182040.403708,705397,46676,1,SR,1,100,0.733333
1734182041.269708,706263,46727,1,SR,1,100,0.266667
1734182069.200701,734194,51313,1,SR,1,100,0.466667
1734182070.067701,735061,51397,1,SR,1,100,0.066667
1734182091.465696,756459,55100,1,SR,1,100,1.333333
1734182183.588674,848582,4476,1,SR,1,100,0.733333
1734182227.450663,892444,11660,1,SR,1,100,0.600000
1734182270.113653,935107,18646,1,SR,1,100,0.533333
1734182308.176644,973170,24864,1,SR,1,100,0.400000
1734182351.772634,1016766,31994,1,SR,1,100,0.866667
1734182358.370632,1023364,32945,1,SR,1,100,0.133333
1734182358.637632,1023631,33208,1,SR,1,100,1.466667
1734182373.102628,1038096,35487,1,SR,1,100,0.933333
