LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,T1
1734181477.452844,142446.000,20399,1,T1,1,100,33.128
1734181477.585844,142579.000,20416,1,T1,1,100,33.304
1734181477.718844,142712.000,20435,1,T1,1,100,33.273
1734181477.852844,142846.000,20466,1,T1,1,100,33.189
1734181477.985844,142979.000,20484,1,T1,1,100,33.117
1734181478.118844,143112.000,20500,1,T1,1,100,33.157
1734181478.252844,143246.000,20517,1,T1,1,100,33.103
1734181478.385844,143379.000,20549,1,T1,1,100,33.009
1734181478.518844,143512.000,20565,1,T1,1,100,33.004
1734181478.652844,143646.000,20583,1,T1,1,100,33.073
1734181478.785844,143779.000,20614,1,T1,1,100,33.067
1734181478.918844,143912.000,20630,1,T1,1,100,33.171
1734181479.052844,144046.000,20650,1,T1,1,100,33.145
1734181479.185844,144179.000,20681,1,T1,1,100,33.027
1734181479.318844,144312.000,20698,1,T1,1,100,33.012
1734181479.452844,144446.000,20715,1,T1,1,100,33.111
1734181479.585844,144579.000,20749,1,T1,1,100,33.190
1734181479.718843,144712.000,20765,1,T1,1,100,33.153
1734181479.852844,144846.000,20784,1,T1,1,100,33.173
1734181479.985843,144979.000,20800,1,T1,1,100,33.146
1734181480.118843,145112.000,20832,1,T1,1,100,33.134
1734181480.251843,145245.000,20849,1,T1,1,100,33.235
1734181480.385843,145379.000,20866,1,T1,1,100,33.173
1734181480.518843,145512.000,20897,1,T1,1,100,33.146
1734181480.652343,145645.500,20918,2,T1,1,100,33.169
1734181480.785843,145779.000,20918,2,T1,1,100,33.144
1734181480.918843,145912.000,20937,1,T1,1,100,33.169
1734181481.051843,146045.000,20954,1,T1,1,100,33.179
1734181481.185843,146179.000,20970,1,T1,1,100,33.149
1734181481.318843,146312.000,21002,1,T1,1,100,33.171
1734181481.451843,146445.000,21019,1,T1,1,100,33.251
1734181481.585843,146579.000,21035,1,T1,1,100,33.180
1734181481.718843,146712.000,21067,1,T1,1,100,33.078
1734181481.851843,146845.000,21084,1,T1,1,100,33.034
1734181481.985843,146979.000,21101,1,T1,1,100,33.192
1734181482.118843,147112.000,21134,1,T1,1,100,33.118
1734181482.251843,147245.000,21151,1,T1,1,100,33.229
1734181482.385843,147379.000,21168,1,T1,1,100,33.241
1734181482.518843,147512.000,21185,1,T1,1,100,33.211
1734181482.651843,147645.000,21217,1,T1,1,100,33.304
1734181482.785843,147779.000,21237,1,T1,1,100,33.273
1734181482.918843,147912.000,21254,1,T1,1,100,33.189
1734181483.051843,148045.000,21271,1,T1,1,100,33.188
1734181483.185843,148179.000,21304,1,T1,1,100,33.188
1734181483.318843,148312.000,21322,1,T1,1,100,33.188
1734181483.451843,148445.000,21338,1,T1,1,100,33.152
1734181483.584842,148578.000,21370,1,T1,1,100,33.172
1734181483.718843,148712.000,21387,1,T1,1,100,33.039
1734181483.851842,148845.000,21403,1,T1,1,100,33.194
1734181483.984843,148978.000,21435,1,T1,1,100,33.297
1734181484.118842,149112.000,21452,1,T1,1,100,33.306
1734181484.251842,149245.000,21468,1,T1,1,100,33.203
1734181484.384842,149378.000,21486,1,T1,1,100,33.301
1734181484.518842,149512.000,21517,1,T1,1,100,33.236
1734181484.651842,149645.000,21534,1,T1,1,100,33.280
1734181484.784842,149778.000,21551,1,T1,1,100,33.334
