LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,TH
1734181477.467844,142461.000,20400,1,TH,1,100,31.590
1734181477.600844,142594.000,20417,1,TH,1,100,31.682
1734181477.733844,142727.000,20436,1,TH,1,100,31.689
1734181477.867844,142861.000,20467,1,TH,1,100,31.759
1734181478.000844,142994.000,20485,1,TH,1,100,31.759
1734181478.133844,143127.000,20501,1,TH,1,100,31.712
1734181478.266844,143260.000,20518,1,TH,1,100,31.712
1734181478.400844,143394.000,20550,1,TH,1,100,31.759
1734181478.533844,143527.000,20566,1,TH,1,100,31.766
1734181478.666844,143660.000,20584,1,TH,1,100,31.656
1734181478.800844,143794.000,20615,1,TH,1,100,31.656
1734181478.933844,143927.000,20631,1,TH,1,100,31.798
1734181479.066844,144060.000,20651,1,TH,1,100,31.798
1734181479.200844,144194.000,20682,1,TH,1,100,31.731
1734181479.333843,144327.000,20699,1,TH,1,100,31.731
1734181479.466844,144460.000,20716,1,TH,1,100,31.644
1734181479.600843,144594.000,20750,1,TH,1,100,31.644
1734181479.733844,144727.000,20766,1,TH,1,100,31.775
1734181479.866843,144860.000,20785,1,TH,1,100,31.775
1734181480.000844,144994.000,20817,1,TH,1,100,31.653
1734181480.133843,145127.000,20833,1,TH,1,100,31.660
1734181480.266843,145260.000,20850,1,TH,1,100,31.744
1734181480.400843,145394.000,20882,1,TH,1,100,31.744
1734181480.533843,145527.000,20898,1,TH,1,100,31.793
1734181480.667343,145660.500,20919,2,TH,1,100,31.793
1734181480.800843,145794.000,20919,2,TH,1,100,31.709
1734181480.933843,145927.000,20938,1,TH,1,100,31.709
1734181481.066843,146060.000,20955,1,TH,1,100,31.732
1734181481.200843,146194.000,20971,1,TH,1,100,31.732
1734181481.333843,146327.000,21003,1,TH,1,100,31.750
1734181481.466843,146460.000,21020,1,TH,1,100,31.757
1734181481.600843,146594.000,21036,1,TH,1,100,31.718
1734181481.733843,146727.000,21068,1,TH,1,100,31.718
1734181481.866843,146860.000,21085,1,TH,1,100,31.699
1734181482.000843,146994.000,21102,1,TH,1,100,31.699
1734181482.133843,147127.000,21135,1,TH,1,100,31.715
1734181482.266843,147260.000,21152,1,TH,1,100,31.715
1734181482.399843,147393.000,21169,1,TH,1,100,31.710
1734181482.533843,147527.000,21200,1,TH,1,100,31.717
1734181482.666843,147660.000,21218,1,TH,1,100,31.724
1734181482.799843,147793.000,21238,1,TH,1,100,31.724
1734181482.933843,147927.000,21255,1,TH,1,100,31.755
1734181483.066843,148060.000,21272,1,TH,1,100,31.755
1734181483.199843,148193.000,21305,1,TH,1,100,31.732
