LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,TL
1734181480.782843,145776.000,20908,1,TL,1,100,2024-12-14_20-04-35-639986
1734181485.889842,150883.000,21726,1,TL,1,100,2024-12-14_20-04-40-889913
1734181485.891842,150885.000,21728,1,TL,1,100,2024-12-14_20-04-40-921121
1734181485.906842,150900.000,21731,1,TL,1,100,2024-12-14_20-04-45-900342
1734181490.997841,155991.000,22571,1,TL,1,100,2024-12-14_20-04-45-961804
1734181496.105839,161099.000,23389,1,TL,1,100,2024-12-14_20-04-51-006209
1734181496.107840,161101.000,23391,1,TL,1,100,2024-12-14_20-04-51-145014
1734181496.127840,161121.000,23394,1,TL,1,100,2024-12-14_20-04-56-118183
1734181501.219838,166213.000,24196,1,TL,1,100,2024-12-14_20-04-56-180892
1734181501.247838,166241.000,24199,1,TL,1,100,2024-12-14_20-05-01-243314
1734181506.327837,171321.000,25030,1,TL,1,100,2024-12-14_20-05-01-321438
1734181506.355837,171349.000,25033,1,TL,1,100,2024-12-14_20-05-06-341370
1734181511.435836,176429.000,25866,1,TL,1,100,2024-12-14_20-05-06-403424
1734181511.476836,176470.000,25869,1,TL,1,100,2024-12-14_20-05-11-463581
1734181516.624835,181618.000,26701,1,TL,1,100,2024-12-14_20-05-11-509875
1734181516.665835,181659.000,26704,1,TL,1,100,2024-12-14_20-05-16-645403
1734181521.732833,186726.000,27535,1,TL,1,100,2024-12-14_20-05-16-751489
1734181521.777833,186771.000,27538,1,TL,1,100,2024-12-14_20-05-21-757416
1734181526.842832,191836.000,28378,1,TL,1,100,2024-12-14_20-05-21-819349
1734181526.875832,191869.000,28381,1,TL,1,100,2024-12-14_20-05-26-863794
1734181531.971831,196965.000,29213,1,TL,1,100,2024-12-14_20-05-26-926362
1734181531.997831,196991.000,29216,1,TL,1,100,2024-12-14_20-05-31-993701
1734181537.081830,202075.000,30002,1,TL,1,100,2024-12-14_20-05-32-069928
1734181537.140830,202134.000,30005,1,TL,1,100,2024-12-14_20-05-37-121122
1734181542.188828,207182.000,30838,1,TL,1,100,2024-12-14_20-05-37-182382
1734181542.203828,207197.000,30841,1,TL,1,100,2024-12-14_20-05-42-199485
1734181547.296827,212290.000,31673,1,TL,1,100,2024-12-14_20-05-42-259378
1734181547.329827,212323.000,31676,1,TL,1,100,2024-12-14_20-05-47-316070
1734181552.404826,217398.000,32511,1,TL,1,100,2024-12-14_20-05-47-377980
1734181552.433826,217427.000,32514,1,TL,1,100,2024-12-14_20-05-52-419374
1734181557.542825,222536.000,33358,1,TL,1,100,2024-12-14_20-05-52-465928
1734181557.573825,222567.000,33361,1,TL,1,100,2024-12-14_20-05-57-565208
1734181562.666824,227660.000,34195,1,TL,1,100,2024-12-14_20-05-57-689308
1734181562.720824,227714.000,34198,1,TL,1,100,2024-12-14_20-06-02-692289
1734181567.785822,232779.000,35032,1,TL,1,100,2024-12-14_20-06-02-815619
1734181567.806822,232800.000,35035,1,TL,1,100,2024-12-14_20-06-07-803586
1734181572.896821,237890.000,35867,1,TL,1,100,2024-12-14_20-06-07-943092
1734181572.945821,237939.000,35870,1,TL,1,100,2024-12-14_20-06-12-936772
1734181578.007820,243001.000,36703,1,TL,1,100,2024-12-14_20-06-13-044987
1734181578.045820,243039.000,36706,1,TL,1,100,2024-12-14_20-06-18-041438
1734181583.157819,248151.000,37540,1,TL,1,100,2024-12-14_20-06-23-151501
1734181588.249817,253243.000,38372,1,TL,1,100,2024-12-14_20-06-23-258657
1734181588.303817,253297.000,38375,1,TL,1,100,2024-12-14_20-06-28-283778
1734181593.375816,258369.000,39210,1,TL,1,100,2024-12-14_20-06-28-390445
1734181593.405816,258399.000,39213,1,TL,1,100,2024-12-14_20-06-33-402054
1734181598.495815,263489.000,40045,1,TL,1,100,2024-12-14_20-06-33-525934
1734181598.528815,263522.000,40048,1,TL,1,100,2024-12-14_20-06-38-523381
1734181603.614814,268608.000,40879,1,TL,1,100,2024-12-14_20-06-38-630627
1734181603.668814,268662.000,40882,1,TL,1,100,2024-12-14_20-06-43-649597
1734181608.728812,273722.000,41713,1,TL,1,100,2024-12-14_20-06-43-757506
1734181608.756812,273750.000,41716,1,TL,1,100,2024-12-14_20-06-48-749678
1734181613.836811,278830.000,42548,1,TL,1,100,2024-12-14_20-06-48-873247
1734181613.882811,278876.000,42551,1,TL,1,100,2024-12-14_20-06-53-866022
1734181618.958810,283952.000,43385,1,TL,1,100,2024-12-14_20-06-53-988703
1734181618.996810,283990.000,43388,1,TL,1,100,2024-12-14_20-06-58-991516
1734181624.065809,289059.000,44207,1,TL,1,100,2024-12-14_20-06-59-101186
1734181624.094809,289088.000,44210,1,TL,1,100,2024-12-14_20-07-04-087778
1734181629.199807,294193.000,45042,1,TL,1,100,2024-12-14_20-07-04-193671
1734181629.232807,294226.000,45045,1,TL,1,100,2024-12-14_20-07-09-221181
1734181634.312806,299306.000,45878,1,TL,1,100,2024-12-14_20-07-09-345944
1734181634.361806,299355.000,45881,1,TL,1,100,2024-12-14_20-07-14-342534
1734181639.439805,304433.000,46714,1,TL,1,100,2024-12-14_20-07-14-448693
1734181639.458805,304452.000,46717,1,TL,1,100,2024-12-14_20-07-19-453422
1734181644.565804,309559.000,47551,1,TL,1,100,2024-12-14_20-07-19-590047
1734181644.603804,309597.000,47554,1,TL,1,100,2024-12-14_20-07-24-593859
1734181649.685802,314679.000,48387,1,TL,1,100,2024-12-14_20-07-24-703520
1734181649.719803,314713.000,48390,1,TL,1,100,2024-12-14_20-07-29-707705
1734181654.803801,319797.000,49222,1,TL,1,100,2024-12-14_20-07-29-830339
1734181654.819801,319813.000,49225,1,TL,1,100,2024-12-14_20-07-34-815381
1734181659.912800,324906.000,50039,1,TL,1,100,2024-12-14_20-07-34-953842
1734181665.037799,330031.000,50873,1,TL,1,100,2024-12-14_20-07-40-043276
1734181665.042799,330036.000,50875,1,TL,1,100,2024-12-14_20-07-40-074332
1734181665.087799,330081.000,50878,1,TL,1,100,2024-12-14_20-07-45-067563
1734181670.155798,335149.000,51712,1,TL,1,100,2024-12-14_20-07-45-207976
1734181670.188798,335182.000,51715,1,TL,1,100,2024-12-14_20-07-50-179283
1734181675.284796,340278.000,52549,1,TL,1,100,2024-12-14_20-07-50-302323
1734181675.316796,340310.000,52552,1,TL,1,100,2024-12-14_20-07-55-300111
1734181680.396795,345390.000,53385,1,TL,1,100,2024-12-14_20-07-55-424720
1734181680.432795,345426.000,53388,1,TL,1,100,2024-12-14_20-08-00-419730
1734181685.516794,350510.000,54228,1,TL,1,100,2024-12-14_20-08-00-544533
1734181685.561794,350555.000,54231,1,TL,1,100,2024-12-14_20-08-05-554338
1734181690.648793,355642.000,55065,1,TL,1,100,2024-12-14_20-08-05-680697
1734181690.687793,355681.000,55068,1,TL,1,100,2024-12-14_20-08-10-676657
1734181695.759791,360753.000,55885,1,TL,1,100,2024-12-14_20-08-10-799697
1734181695.774791,360768.000,55888,1,TL,1,100,2024-12-14_20-08-15-766425
1734181700.874790,365868.000,56724,1,TL,1,100,2024-12-14_20-08-15-920107
1734181705.994789,370988.000,57557,1,TL,1,100,2024-12-14_20-08-20-920404
1734181706.000789,370994.000,57559,1,TL,1,100,2024-12-14_20-08-21-012355
1734181706.039789,371033.000,57562,1,TL,1,100,2024-12-14_20-08-26-025465
1734181711.117788,376111.000,58395,1,TL,1,100,2024-12-14_20-08-26-149335
1734181711.159788,376153.000,58398,1,TL,1,100,2024-12-14_20-08-31-145937
1734181716.232786,381226.000,59230,1,TL,1,100,2024-12-14_20-08-31-252637
1734181716.272787,381266.000,59233,1,TL,1,100,2024-12-14_20-08-36-264647
1734181721.359785,386353.000,60068,1,TL,1,100,2024-12-14_20-08-36-389221
1734181721.396785,386390.000,60071,1,TL,1,100,2024-12-14_20-08-41-383299
1734181726.481784,391475.000,60901,1,TL,1,100,2024-12-14_20-08-41-508389
1734181726.516784,391510.000,60904,1,TL,1,100,2024-12-14_20-08-46-509911
1734181731.589783,396583.000,61722,1,TL,1,100,2024-12-14_20-08-46-620578
1734181731.626783,396620.000,61725,1,TL,1,100,2024-12-14_20-08-51-618195
1734181736.710782,401704.000,62559,1,TL,1,100,2024-12-14_20-08-51-754299
1734181736.769782,401763.000,62562,1,TL,1,100,2024-12-14_20-08-56-763241
1734181741.835780,406829.000,63394,1,TL,1,100,2024-12-14_20-08-56-855933
1734181741.861780,406855.000,63397,1,TL,1,100,2024-12-14_20-09-01-858166
1734181746.955779,411949.000,64229,1,TL,1,100,2024-12-14_20-09-01-979957
1734181747.025779,412019.000,64232,1,TL,1,100,2024-12-14_20-09-07-005289
1734181752.078778,417072.000,65065,1,TL,1,100,2024-12-14_20-09-07-097697
1734181752.118778,417112.000,65068,1,TL,1,100,2024-12-14_20-09-12-113500
1734181757.195777,422189.000,365,1,TL,1,100,2024-12-14_20-09-12-221829
1734181757.233777,422227.000,368,1,TL,1,100,2024-12-14_20-09-17-228072
1734181762.303776,427297.000,1202,1,TL,1,100,2024-12-14_20-09-17-291273
1734181762.327775,427321.000,1205,1,TL,1,100,2024-12-14_20-09-22-319800
1734181767.423774,432417.000,2036,1,TL,1,100,2024-12-14_20-09-22-364731
1734181767.505774,432499.000,2039,1,TL,1,100,2024-12-14_20-09-27-453462
1734181772.530773,437524.000,2871,1,TL,1,100,2024-12-14_20-09-27-529409
1734181772.551773,437545.000,2874,1,TL,1,100,2024-12-14_20-09-32-543661
1734181777.638772,442632.000,3705,1,TL,1,100,2024-12-14_20-09-32-604644
1734181777.678772,442672.000,3708,1,TL,1,100,2024-12-14_20-09-37-661290
1734181782.746771,447740.000,4546,1,TL,1,100,2024-12-14_20-09-37-723667
1734181782.782770,447776.000,4549,1,TL,1,100,2024-12-14_20-09-42-776870
1734181787.857769,452851.000,5379,1,TL,1,100,2024-12-14_20-09-42-823670
1734181787.870769,452864.000,5382,1,TL,1,100,2024-12-14_20-09-47-865307
1734181792.983768,457977.000,6230,1,TL,1,100,2024-12-14_20-09-47-896414
1734181793.021768,458015.000,6233,1,TL,1,100,2024-12-14_20-09-53-015489
1734181798.170767,463164.000,7066,1,TL,1,100,2024-12-14_20-09-53-076934
1734181798.194767,463188.000,7069,1,TL,1,100,2024-12-14_20-09-58-184256
1734181803.304765,468298.000,7918,1,TL,1,100,2024-12-14_20-09-58-245564
1734181803.361766,468355.000,7921,1,TL,1,100,2024-12-14_20-10-03-347680
1734181808.414764,473408.000,8756,1,TL,1,100,2024-12-14_20-10-03-393100
1734181808.436764,473430.000,8759,1,TL,1,100,2024-12-14_20-10-08-432747
1734181813.521763,478515.000,9594,1,TL,1,100,2024-12-14_20-10-08-479676
1734181813.529763,478523.000,9597,1,TL,1,100,2024-12-14_20-10-13-525862
1734181818.656762,483650.000,10447,1,TL,1,100,2024-12-14_20-10-13-556413
1734181818.687762,483681.000,10450,1,TL,1,100,2024-12-14_20-10-18-682647
1734181823.765761,488759.000,11285,1,TL,1,100,2024-12-14_20-10-18-743664
1734181823.802761,488796.000,11288,1,TL,1,100,2024-12-14_20-10-23-798387
1734181828.873760,493867.000,12122,1,TL,1,100,2024-12-14_20-10-23-844456
1734181828.901759,493895.000,12125,1,TL,1,100,2024-12-14_20-10-28-886350
1734181833.980758,498974.000,12957,1,TL,1,100,2024-12-14_20-10-28-933614
1734181834.029758,499023.000,12960,1,TL,1,100,2024-12-14_20-10-34-019467
1734181839.091757,504085.000,13793,1,TL,1,100,2024-12-14_20-10-34-065342
1734181839.124757,504118.000,13796,1,TL,1,100,2024-12-14_20-10-39-110511
