RD,TS_received,TS_sent,AK,RoundTrip,
145777,150883,2024-12-14_20-04-40-889913,150884,5106,
150887,150900,2024-12-14_20-04-45-900342,150901,13,
155993,161099,2024-12-14_20-04-51-006209,161100,5106,
161103,161121,2024-12-14_20-04-56-118183,161122,18,
166215,166241,2024-12-14_20-05-01-243314,166242,26,
171323,171349,2024-12-14_20-05-06-341370,171350,26,
176431,176470,2024-12-14_20-05-11-463581,176471,39,
181619,181659,2024-12-14_20-05-16-645403,181660,40,
186731,186771,2024-12-14_20-05-21-757416,186772,40,
191838,191869,2024-12-14_20-05-26-863794,191870,31,
196970,196991,2024-12-14_20-05-31-993701,196992,21,
202077,202134,2024-12-14_20-05-37-121122,202135,57,
207184,207197,2024-12-14_20-05-42-199485,207199,13,
212292,212323,2024-12-14_20-05-47-316070,212327,31,
217400,217427,2024-12-14_20-05-52-419374,217428,27,
222542,222567,2024-12-14_20-05-57-565208,222568,25,
227662,227714,2024-12-14_20-06-02-692289,227716,52,
232781,232800,2024-12-14_20-06-07-803586,232806,19,
237892,237939,2024-12-14_20-06-12-936772,237940,47,
243006,243039,2024-12-14_20-06-18-041438,243040,33,
248117,248151,2024-12-14_20-06-23-151501,248152,34,
253245,253297,2024-12-14_20-06-28-283778,253298,52,
258371,258399,2024-12-14_20-06-33-402054,258404,28,
263491,263522,2024-12-14_20-06-38-523381,263525,31,
268609,268662,2024-12-14_20-06-43-649597,268675,53,
273724,273750,2024-12-14_20-06-48-749678,273751,26,
278834,278876,2024-12-14_20-06-53-866022,278877,42,
283953,283990,2024-12-14_20-06-58-991516,283991,37,
289060,289088,2024-12-14_20-07-04-087778,289089,28,
294194,294226,2024-12-14_20-07-09-221181,294227,32,
299308,299355,2024-12-14_20-07-14-342534,299360,47,
304434,304452,2024-12-14_20-07-19-453422,304454,18,
309560,309597,2024-12-14_20-07-24-593859,309598,37,
314680,314713,2024-12-14_20-07-29-707705,314717,33,
319799,319813,2024-12-14_20-07-34-815381,319815,14,
324908,330031,2024-12-14_20-07-40-043276,330032,5123,
330038,330081,2024-12-14_20-07-45-067563,330082,43,
335151,335182,2024-12-14_20-07-50-179283,335183,31,
340280,340310,2024-12-14_20-07-55-300111,340311,30,
345395,345426,2024-12-14_20-08-00-419730,345427,31,
350515,350555,2024-12-14_20-08-05-554338,350556,40,
355648,355681,2024-12-14_20-08-10-676657,355682,33,
360755,360768,2024-12-14_20-08-15-766425,360769,13,
365872,370988,2024-12-14_20-08-20-920404,370993,5116,
370996,371033,2024-12-14_20-08-26-025465,371034,37,
376113,376153,2024-12-14_20-08-31-145937,376154,40,
381232,381266,2024-12-14_20-08-36-264647,381271,34,
386355,386390,2024-12-14_20-08-41-383299,386391,35,
391477,391510,2024-12-14_20-08-46-509911,391511,33,
396584,396620,2024-12-14_20-08-51-618195,396621,36,
401709,401763,2024-12-14_20-08-56-763241,401764,54,
406831,406855,2024-12-14_20-09-01-858166,406859,24,
411951,412019,2024-12-14_20-09-07-005289,412020,68,
417074,417112,2024-12-14_20-09-12-113500,417113,38,
422191,422227,2024-12-14_20-09-17-228072,422228,36,
427298,427321,2024-12-14_20-09-22-319800,427322,23,
432419,432499,2024-12-14_20-09-27-453462,432500,80,
437525,437545,2024-12-14_20-09-32-543661,437546,20,
442634,442672,2024-12-14_20-09-37-661290,442673,38,
447745,447776,2024-12-14_20-09-42-776870,447777,31,
452853,452864,2024-12-14_20-09-47-865307,452866,11,
457979,458015,2024-12-14_20-09-53-015489,458016,36,
463166,463188,2024-12-14_20-09-58-184256,463189,22,
468303,468355,2024-12-14_20-10-03-347680,468356,52,
473410,473430,2024-12-14_20-10-08-432747,473434,20,
478516,478523,2024-12-14_20-10-13-525862,478530,7,
483652,483681,2024-12-14_20-10-18-682647,483682,29,
488761,488796,2024-12-14_20-10-23-798387,488798,35,
493868,493895,2024-12-14_20-10-28-886350,493896,27,
498980,499023,2024-12-14_20-10-34-019467,499024,43,
504087,504118,2024-12-14_20-10-39-110511,504119,31,
509197,509231,2024-12-14_20-10-44-227274,509232,34,
514304,514325,2024-12-14_20-10-49-327070,514327,21,
