LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,AK
1734423539.392222,46751.000,5078,2,AK,1,100,4263
1734423539.392222,46751.000,5078,2,AK,1,100,RD
1734423539.395722,46754.500,5080,2,AK,1,100,4263
1734423539.399222,46758.000,5080,2,AK,1,100,RD
1734423541.958225,49317.000,5922,2,AK,1,100,5081
1734423544.517229,51876.000,5922,2,AK,1,100,RD
1734423544.519729,51878.500,5924,2,AK,1,100,5081
1734423544.522229,51881.000,5924,2,AK,1,100,RD
1734423547.085733,54444.500,6764,2,AK,1,100,5925
1734423549.649236,57008.000,6764,2,AK,1,100,RD
1734423552.213240,59572.000,7607,2,AK,1,100,6765
1734423554.777244,62136.000,7607,2,AK,1,100,RD
1734423554.778744,62137.500,7609,2,AK,1,100,6765
1734423554.780244,62139.000,7609,2,AK,1,100,RD
1734423557.366747,64725.500,8453,2,AK,1,100,8451
1734423559.953251,67312.000,8453,2,AK,1,100,RD
1734423562.484255,69843.000,9301,2,AK,1,100,8451
1734423565.015258,72374.000,9301,2,AK,1,100,RD
1734423567.568762,74927.500,10134,2,AK,1,100,9302
1734423570.122266,77481.000,10134,2,AK,1,100,RD
1734423570.123266,77482.000,10136,2,AK,1,100,9302
1734423570.124266,77483.000,10136,2,AK,1,100,RD
1734423572.681769,80040.500,10981,2,AK,1,100,10137
1734423575.239273,82598.000,10981,2,AK,1,100,RD
1734423575.240773,82599.500,10983,2,AK,1,100,10137
1734423575.242273,82601.000,10983,2,AK,1,100,RD
1734423577.801777,85160.500,11833,2,AK,1,100,10984
1734423580.361280,87720.000,11833,2,AK,1,100,RD
1734423580.362780,87721.500,11835,2,AK,1,100,10984
1734423580.364280,87723.000,11835,2,AK,1,100,RD
1734423582.919284,90278.000,12680,2,AK,1,100,11836
1734423585.474288,92833.000,12680,2,AK,1,100,RD
1734423585.477288,92836.000,12682,2,AK,1,100,11836
1734423585.480288,92839.000,12682,2,AK,1,100,RD
1734423585.505788,92864.500,12685,2,AK,1,100,12683
1734423585.531287,92890.000,12685,2,AK,1,100,RD
1734423588.058291,95417.000,13524,2,AK,1,100,12683
1734423590.585295,97944.000,13524,2,AK,1,100,RD
1734423593.148298,100507.000,14368,2,AK,1,100,13525
1734423595.711302,103070.000,14368,2,AK,1,100,RD
1734423595.712302,103071.000,14370,2,AK,1,100,13525
1734423595.713302,103072.000,14370,2,AK,1,100,RD
1734423598.275806,105634.500,15215,2,AK,1,100,14371
1734423600.838309,108197.000,15215,2,AK,1,100,RD
1734423600.840309,108199.000,15217,2,AK,1,100,14371
1734423600.842309,108201.000,15217,2,AK,1,100,RD
1734423603.394313,110753.000,16044,2,AK,1,100,15218
1734423605.946316,113305.000,16044,2,AK,1,100,RD
1734423605.947817,113306.500,16046,2,AK,1,100,15218
1734423605.949317,113308.000,16046,2,AK,1,100,RD
1734423608.507820,115866.500,16886,2,AK,1,100,16047
1734423611.066324,118425.000,16886,2,AK,1,100,RD
1734423611.067824,118426.500,16888,2,AK,1,100,16047
1734423611.069324,118428.000,16888,2,AK,1,100,RD
1734423613.625328,120984.000,17723,2,AK,1,100,16889
1734423616.181331,123540.000,17723,2,AK,1,100,RD
1734423616.182831,123541.500,17725,2,AK,1,100,16889
1734423616.184331,123543.000,17725,2,AK,1,100,RD
1734423618.743335,126102.000,18563,2,AK,1,100,17726
1734423621.302338,128661.000,18563,2,AK,1,100,RD
1734423621.303838,128662.500,18565,2,AK,1,100,17726
1734423621.305338,128664.000,18565,2,AK,1,100,RD
1734423621.330838,128689.500,18568,2,AK,1,100,18566
1734423621.356339,128715.000,18568,2,AK,1,100,RD
1734423623.882842,131241.500,19403,2,AK,1,100,18566
1734423626.409346,133768.000,19403,2,AK,1,100,RD
1734423626.443346,133802.000,19406,2,AK,1,100,19404
1734423626.477346,133836.000,19406,2,AK,1,100,RD
1734423628.999349,136358.000,20240,2,AK,1,100,19404
1734423631.521353,138880.000,20240,2,AK,1,100,RD
1734423634.073357,141432.000,21059,2,AK,1,100,20241
1734423636.625360,143984.000,21059,2,AK,1,100,RD
1734423636.626860,143985.500,21061,2,AK,1,100,20241
1734423636.628360,143987.000,21061,2,AK,1,100,RD
1734423639.186364,146545.000,21897,2,AK,1,100,21062
1734423641.744368,149103.000,21897,2,AK,1,100,RD
1734423641.745867,149104.500,21899,2,AK,1,100,21062
1734423641.747368,149106.000,21899,2,AK,1,100,RD
1734423641.770868,149129.500,21902,2,AK,1,100,21900
1734423641.794368,149153.000,21902,2,AK,1,100,RD
1734423644.326371,151685.000,22740,2,AK,1,100,21900
1734423646.858375,154217.000,22740,2,AK,1,100,RD
1734423646.885375,154244.000,22743,2,AK,1,100,22741
1734423646.912375,154271.000,22743,2,AK,1,100,RD
1734423649.439378,156798.000,23583,2,AK,1,100,22741
1734423651.966382,159325.000,23583,2,AK,1,100,RD
1734423651.976882,159335.500,23586,2,AK,1,100,23584
1734423651.987382,159346.000,23586,2,AK,1,100,RD
1734423654.539386,161898.000,24437,2,AK,1,100,23584
1734423657.091389,164450.000,24437,2,AK,1,100,RD
1734423657.108889,164467.500,24440,2,AK,1,100,24438
1734423657.126390,164485.000,24440,2,AK,1,100,RD
1734423659.662893,167021.500,25277,2,AK,1,100,24438
1734423662.199397,169558.000,25277,2,AK,1,100,RD
1734423662.215397,169574.000,25280,2,AK,1,100,25278
1734423662.231397,169590.000,25280,2,AK,1,100,RD
1734423664.770900,172129.500,26122,2,AK,1,100,25278
1734423667.310404,174669.000,26122,2,AK,1,100,RD
1734423667.324404,174683.000,26125,2,AK,1,100,26123
1734423667.338404,174697.000,26125,2,AK,1,100,RD
1734423669.877908,177236.500,26950,2,AK,1,100,26123
1734423672.417411,179776.000,26950,2,AK,1,100,RD
1734423672.431411,179790.000,26953,2,AK,1,100,26951
1734423672.445411,179804.000,26953,2,AK,1,100,RD
1734423674.985415,182344.000,27791,2,AK,1,100,26951
1734423677.525419,184884.000,27791,2,AK,1,100,RD
1734423677.540418,184899.000,27794,2,AK,1,100,27792
1734423677.555418,184914.000,27794,2,AK,1,100,RD
1734423680.094922,187453.500,28630,2,AK,1,100,27792
1734423682.634426,189993.000,28630,2,AK,1,100,RD
1734423682.648426,190007.000,28633,2,AK,1,100,28631
1734423682.662426,190021.000,28633,2,AK,1,100,RD
1734423685.201929,192560.500,29423,2,AK,1,100,28631
1734423687.741433,195100.000,29423,2,AK,1,100,RD
1734423687.754433,195113.000,29426,2,AK,1,100,29424
1734423687.767433,195126.000,29426,2,AK,1,100,RD
1734423690.310437,197669.000,30260,2,AK,1,100,29424
1734423692.853440,200212.000,30260,2,AK,1,100,RD
1734423695.413944,202772.500,31104,2,AK,1,100,30261
1734423697.974447,205333.000,31104,2,AK,1,100,RD
1734423697.989448,205348.000,31107,2,AK,1,100,31105
1734423698.004448,205363.000,31107,2,AK,1,100,RD
1734423700.543451,207902.000,31945,2,AK,1,100,31105
1734423703.082455,210441.000,31945,2,AK,1,100,RD
1734423703.094955,210453.500,31948,2,AK,1,100,31946
1734423703.107455,210466.000,31948,2,AK,1,100,RD
1734423705.648958,213007.500,32784,2,AK,1,100,31946
1734423708.190462,215549.000,32784,2,AK,1,100,RD
1734423708.197962,215556.500,32787,2,AK,1,100,32785
1734423708.205462,215564.000,32787,2,AK,1,100,RD
1734423710.752466,218111.000,33627,2,AK,1,100,32785
1734423713.299469,220658.000,33627,2,AK,1,100,RD
1734423715.858973,223217.500,34466,2,AK,1,100,33628
1734423718.418477,225777.000,34466,2,AK,1,100,RD
1734423718.419477,225778.000,34468,2,AK,1,100,33628
1734423718.420477,225779.000,34468,2,AK,1,100,RD
1734423718.434477,225793.000,34471,2,AK,1,100,34469
1734423718.448477,225807.000,34471,2,AK,1,100,RD
1734423720.998980,228357.500,35313,2,AK,1,100,34469
1734423723.549484,230908.000,35313,2,AK,1,100,RD
1734423723.577984,230936.500,35316,2,AK,1,100,35314
1734423723.606484,230965.000,35316,2,AK,1,100,RD
1734423726.136988,233495.500,36161,2,AK,1,100,35314
1734423728.667491,236026.000,36161,2,AK,1,100,RD
1734423728.691991,236050.500,36164,2,AK,1,100,36162
1734423728.716491,236075.000,36164,2,AK,1,100,RD
1734423731.252495,238611.000,37002,2,AK,1,100,36162
1734423733.788499,241147.000,37002,2,AK,1,100,RD
1734423733.806998,241165.500,37005,2,AK,1,100,37003
1734423733.825499,241184.000,37005,2,AK,1,100,RD
1734423736.368002,243726.500,37840,2,AK,1,100,37003
1734423738.910506,246269.000,37840,2,AK,1,100,RD
1734423741.464010,248822.500,38662,2,AK,1,100,37841
1734423744.017513,251376.000,38662,2,AK,1,100,RD
1734423744.041013,251399.500,38665,2,AK,1,100,38663
1734423744.064513,251423.000,38665,2,AK,1,100,RD
1734423746.597517,253956.000,39498,2,AK,1,100,38663
1734423749.130520,256489.000,39498,2,AK,1,100,RD
1734423751.687024,259045.500,40333,2,AK,1,100,39499
1734423754.243528,261602.000,40333,2,AK,1,100,RD
1734423754.247028,261605.500,40335,2,AK,1,100,39499
1734423754.250528,261609.000,40335,2,AK,1,100,RD
1734423756.809531,264168.000,41173,2,AK,1,100,40336
1734423759.368535,266727.000,41173,2,AK,1,100,RD
1734423759.372035,266730.500,41175,2,AK,1,100,40336
1734423759.375535,266734.000,41175,2,AK,1,100,RD
1734423761.937539,269296.000,42022,2,AK,1,100,41176
1734423764.499542,271858.000,42022,2,AK,1,100,RD
1734423764.501042,271859.500,42024,2,AK,1,100,41176
1734423764.502542,271861.000,42024,2,AK,1,100,RD
1734423764.516042,271874.500,42027,2,AK,1,100,42025
1734423764.529542,271888.000,42027,2,AK,1,100,RD
