LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,AX
1734423536.855218,44214.000,4662,1,AX,1,100,0.914
1734423536.895218,44254.000,4679,2,AX,1,100,0.910
1734423536.935218,44294.000,4679,2,AX,1,100,0.906
1734423536.975219,44334.000,4696,3,AX,1,100,0.912
1734423537.015218,44374.000,4696,3,AX,1,100,0.909
1734423537.055218,44414.000,4696,3,AX,1,100,0.906
1734423537.095219,44454.000,4712,2,AX,1,100,0.912
1734423537.135219,44494.000,4712,2,AX,1,100,0.911
1734423537.175219,44534.000,4730,3,AX,1,100,0.909
1734423537.215219,44574.000,4730,3,AX,1,100,0.915
1734423537.255219,44614.000,4730,3,AX,1,100,0.907
1734423537.295219,44654.000,4744,2,AX,1,100,0.908
1734423537.335219,44694.000,4744,2,AX,1,100,0.913
1734423537.375219,44734.000,4761,3,AX,1,100,0.909
1734423537.415219,44774.000,4761,3,AX,1,100,0.911
1734423537.455219,44814.000,4761,3,AX,1,100,0.913
1734423537.495219,44854.000,4780,3,AX,1,100,0.911
1734423537.535219,44894.000,4780,3,AX,1,100,0.909
1734423537.575219,44934.000,4780,3,AX,1,100,0.906
1734423537.615219,44974.000,4799,2,AX,1,100,0.909
1734423537.655219,45014.000,4799,2,AX,1,100,0.912
1734423537.695220,45054.000,4815,3,AX,1,100,0.911
1734423537.735219,45094.000,4815,3,AX,1,100,0.909
1734423537.775220,45134.000,4815,3,AX,1,100,0.909
1734423537.815220,45174.000,4830,2,AX,1,100,0.911
1734423537.855220,45214.000,4830,2,AX,1,100,0.909
1734423537.895220,45254.000,4849,3,AX,1,100,0.912
1734423537.935220,45294.000,4849,3,AX,1,100,0.911
1734423537.975220,45334.000,4849,3,AX,1,100,0.910
1734423538.010553,45369.333,4868,3,AX,1,100,0.911
1734423538.045887,45404.667,4868,3,AX,1,100,0.921
1734423538.081220,45440.000,4868,3,AX,1,100,0.912
1734423538.121220,45480.000,4884,3,AX,1,100,0.906
1734423538.161220,45520.000,4884,3,AX,1,100,0.927
1734423538.201220,45560.000,4884,3,AX,1,100,0.903
1734423538.241220,45600.000,4900,2,AX,1,100,0.907
1734423538.281220,45640.000,4900,2,AX,1,100,0.919
1734423538.321220,45680.000,4916,3,AX,1,100,0.917
1734423538.361220,45720.000,4916,3,AX,1,100,0.909
1734423538.401221,45760.000,4916,3,AX,1,100,0.912
1734423538.441221,45800.000,4933,2,AX,1,100,0.907
1734423538.481220,45840.000,4933,2,AX,1,100,0.922
1734423538.521221,45880.000,4950,3,AX,1,100,0.918
1734423538.561221,45920.000,4950,3,AX,1,100,0.912
1734423538.601221,45960.000,4950,3,AX,1,100,0.918
1734423538.641221,46000.000,4967,2,AX,1,100,0.913
1734423538.681221,46040.000,4967,2,AX,1,100,0.907
1734423538.721221,46080.000,4983,3,AX,1,100,0.926
1734423538.761221,46120.000,4983,3,AX,1,100,0.914
1734423538.801221,46160.000,4983,3,AX,1,100,0.911
1734423538.841221,46200.000,5000,2,AX,1,100,0.920
1734423538.881221,46240.000,5000,2,AX,1,100,0.915
1734423538.921221,46280.000,5017,3,AX,1,100,0.920
1734423538.961221,46320.000,5017,3,AX,1,100,0.913
1734423539.001221,46360.000,5017,3,AX,1,100,0.918
1734423539.041221,46400.000,5032,2,AX,1,100,0.919
1734423539.081221,46440.000,5032,2,AX,1,100,0.919
1734423539.117222,46476.000,5050,3,AX,1,100,0.907
1734423539.153222,46512.000,5050,3,AX,1,100,0.913
1734423539.189222,46548.000,5050,3,AX,1,100,0.926
1734423539.228888,46587.667,5068,3,AX,1,100,0.926
1734423539.268555,46627.333,5068,3,AX,1,100,0.913
1734423539.308222,46667.000,5068,3,AX,1,100,0.917
1734423539.348222,46707.000,5090,5,AX,1,100,0.915
1734423539.388222,46747.000,5090,5,AX,1,100,0.919
1734423539.428222,46787.000,5090,5,AX,1,100,0.921
1734423539.468222,46827.000,5090,5,AX,1,100,0.916
1734423539.508222,46867.000,5090,5,AX,1,100,0.918
