LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,B%
1734423537.887220,45246.000,4840,1,B%,1,100,69
1734423542.886227,50245.000,5671,1,B%,1,100,70
1734423547.886234,55245.000,6478,1,B%,1,100,69
1734423552.885241,60244.000,7302,1,B%,1,100,68
1734423557.885248,65244.000,8134,1,B%,1,100,67
1734423562.884255,70243.000,8959,1,B%,1,100,67
1734423567.884262,75243.000,9772,1,B%,1,100,68
1734423572.883270,80242.000,10610,1,B%,1,100,68
1734423577.883277,85242.000,11425,1,B%,1,100,67
1734423582.882284,90241.000,12258,1,B%,1,100,67
1734423587.882291,95241.000,13088,1,B%,1,100,68
1734423592.881298,100240.000,13914,1,B%,1,100,68
1734423597.881305,105240.000,14745,1,B%,1,100,67
1734423602.880312,110239.000,15557,1,B%,1,100,66
1734423607.880319,115239.000,16367,1,B%,1,100,66
1734423612.879326,120238.000,17189,1,B%,1,100,67
1734423617.879333,125238.000,18015,1,B%,1,100,66
1734423622.878341,130237.000,18834,1,B%,1,100,67
1734423627.878348,135237.000,19655,1,B%,1,100,67
1734423632.877355,140236.000,20475,1,B%,1,100,66
1734423637.877362,145236.000,21281,1,B%,1,100,67
1734423642.876369,150235.000,22104,1,B%,1,100,67
1734423647.876376,155235.000,22930,1,B%,1,100,67
1734423652.875383,160234.000,23754,1,B%,1,100,66
1734423657.875391,165234.000,24594,1,B%,1,100,67
1734423662.874398,170233.000,25416,1,B%,1,100,67
1734423667.874405,175233.000,26247,1,B%,1,100,67
1734423672.873412,180232.000,27038,1,B%,1,100,66
1734423677.873419,185232.000,27862,1,B%,1,100,67
1734423682.872426,190231.000,28683,1,B%,1,100,67
1734423687.872433,195231.000,29460,1,B%,1,100,66
1734423692.871440,200230.000,30280,1,B%,1,100,66
1734423697.871447,205230.000,31102,1,B%,1,100,66
1734423702.870455,210229.000,31925,1,B%,1,100,66
1734423707.870462,215229.000,32749,1,B%,1,100,66
1734423712.869469,220228.000,33571,1,B%,1,100,66
1734423717.869476,225228.000,34381,1,B%,1,100,65
1734423722.868483,230227.000,35208,1,B%,1,100,66
1734423727.868490,235227.000,36044,1,B%,1,100,65
1734423732.867497,240226.000,36868,1,B%,1,100,65
1734423737.867504,245226.000,37690,1,B%,1,100,65
1734423742.866511,250225.000,38492,1,B%,1,100,65
1734423747.866518,255225.000,39295,1,B%,1,100,65
1734423752.865526,260224.000,40115,1,B%,1,100,66
1734423757.865533,265224.000,40938,1,B%,1,100,65
1734423762.864540,270223.000,41769,1,B%,1,100,65
1734423767.864547,275223.000,42595,1,B%,1,100,65
1734423772.863554,280222.000,43404,1,B%,1,100,65
1734423777.863561,285222.000,44222,1,B%,1,100,65
1734423782.862568,290221.000,45011,1,B%,1,100,65
1734423787.862576,295221.000,45835,1,B%,1,100,65
1734423792.861583,300220.000,46600,1,B%,1,100,64
1734423797.861590,305220.000,47426,1,B%,1,100,65
1734423802.860597,310219.000,48230,1,B%,1,100,64
1734423807.860604,315219.000,49050,1,B%,1,100,64
1734423812.859611,320218.000,49876,1,B%,1,100,65
1734423817.859618,325218.000,50700,1,B%,1,100,64
1734423822.858625,330217.000,51517,1,B%,1,100,64
1734423827.858632,335217.000,52321,1,B%,1,100,64
1734423832.857640,340216.000,53152,1,B%,1,100,64
1734423837.857647,345216.000,53988,1,B%,1,100,64
1734423842.856654,350215.000,54812,1,B%,1,100,64
1734423847.856661,355215.000,55625,1,B%,1,100,64
1734423852.855668,360214.000,56432,1,B%,1,100,64
1734423857.855675,365214.000,57252,1,B%,1,100,64
1734423862.854682,370213.000,58075,1,B%,1,100,64
