LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,BI
1734423536.949219,44308,4671,1,BI,1,100,560
1734423537.509219,44868,4770,1,BI,1,100,560
1734423538.068220,45427,4859,1,BI,1,100,560
1734423538.628221,45987,4960,1,BI,1,100,560
1734423539.189222,46548,5041,1,BI,1,100,560
1734423539.708222,47067,5118,1,BI,1,100,520
1734423540.268223,47627,5218,1,BI,1,100,560
1734423540.882224,48241,5317,1,BI,1,100,600
1734423542.041226,49400,5502,1,BI,1,100,1160
1734423542.641227,50000,5602,1,BI,1,100,600
1734423543.281227,50640,5723,1,BI,1,100,640
1734423543.961228,51320,5821,1,BI,1,100,680
1734423544.574229,51933,5927,1,BI,1,100,600
1734423545.214230,52573,6028,1,BI,1,100,640
1734423545.814231,53173,6127,1,BI,1,100,600
1734423546.454232,53813,6228,1,BI,1,100,640
1734423547.094233,54453,6343,1,BI,1,100,640
1734423547.694234,55053,6444,1,BI,1,100,600
1734423548.227234,55586,6530,1,BI,1,100,520
1734423548.787235,56146,6612,1,BI,1,100,560
1734423549.347236,56706,6713,1,BI,1,100,560
1734423549.907237,57266,6800,1,BI,1,100,560
1734423550.547238,57906,6901,1,BI,1,100,640
1734423551.067239,58426,6985,1,BI,1,100,520
1734423551.627239,58986,7084,1,BI,1,100,560
1734423552.200240,59559,7168,1,BI,1,100,560
1734423552.760241,60119,7268,1,BI,1,100,560
1734423553.280242,60639,7352,1,BI,1,100,520
1734423553.840242,61199,7455,1,BI,1,100,560
1734423554.440243,61799,7540,1,BI,1,100,600
1734423554.960244,62319,7628,1,BI,1,100,520
1734423555.600245,62959,7747,1,BI,1,100,640
1734423556.173246,63532,7830,1,BI,1,100,560
1734423556.733247,64092,7929,1,BI,1,100,560
1734423557.333247,64692,8013,1,BI,1,100,600
1734423557.893248,65252,8114,1,BI,1,100,560
1734423558.453249,65812,8216,1,BI,1,100,560
1734423559.013250,66372,8299,1,BI,1,100,560
1734423559.586251,66945,8399,1,BI,1,100,560
1734423560.146251,67505,8489,1,BI,1,100,560
1734423560.666252,68025,8571,1,BI,1,100,520
1734423561.186253,68545,8657,1,BI,1,100,520
1734423561.746254,69105,8758,1,BI,1,100,560
1734423562.266254,69625,8841,1,BI,1,100,520
1734423562.786255,70145,8925,1,BI,1,100,520
1734423563.399256,70758,9029,1,BI,1,100,600
1734423563.919257,71278,9114,1,BI,1,100,520
1734423564.519258,71878,9213,1,BI,1,100,600
1734423565.039258,72398,9303,1,BI,1,100,520
1734423565.639259,72998,9402,1,BI,1,100,600
1734423566.199260,73558,9488,1,BI,1,100,560
1734423566.799261,74158,9589,1,BI,1,100,600
1734423567.332262,74691,9673,1,BI,1,100,520
1734423567.932262,75291,9773,1,BI,1,100,600
1734423568.532263,75891,9878,1,BI,1,100,600
1734423569.132264,76491,9980,1,BI,1,100,600
1734423569.732265,77091,10080,1,BI,1,100,600
1734423570.252266,77611,10155,1,BI,1,100,520
1734423570.985267,78344,10275,1,BI,1,100,720
1734423571.385267,78744,10342,1,BI,1,100,400
1734423571.945268,79304,10426,1,BI,1,100,560
1734423572.505269,79864,10527,1,BI,1,100,560
1734423573.065270,80424,10611,1,BI,1,100,560
1734423573.625271,80984,10711,1,BI,1,100,560
1734423574.185272,81544,10796,1,BI,1,100,560
1734423574.798272,82157,10897,1,BI,1,100,600
1734423575.358273,82717,11003,1,BI,1,100,560
1734423575.918274,83277,11087,1,BI,1,100,560
1734423576.518275,83877,11190,1,BI,1,100,600
1734423577.078275,84437,11289,1,BI,1,100,560
1734423577.638276,84997,11372,1,BI,1,100,560
1734423578.278277,85637,11477,1,BI,1,100,640
1734423578.811278,86170,11576,1,BI,1,100,520
1734423579.371279,86730,11665,1,BI,1,100,560
1734423579.971280,87330,11766,1,BI,1,100,600
1734423580.531281,87890,11854,1,BI,1,100,560
1734423581.091281,88450,11953,1,BI,1,100,560
1734423581.651282,89010,12038,1,BI,1,100,560
1734423582.251283,89610,12140,1,BI,1,100,600
1734423582.824284,90183,12239,1,BI,1,100,560
1734423583.384284,90743,12327,1,BI,1,100,560
1734423583.984285,91343,12430,1,BI,1,100,600
1734423584.584286,91943,12528,1,BI,1,100,600
1734423585.144287,92503,12629,1,BI,1,100,560
1734423585.744288,93103,12723,1,BI,1,100,600
1734423586.317289,93676,12822,1,BI,1,100,560
1734423586.957289,94316,12922,1,BI,1,100,640
1734423587.557290,94916,13021,1,BI,1,100,600
1734423588.117291,95476,13124,1,BI,1,100,560
1734423588.797292,96156,13223,1,BI,1,100,680
1734423589.397293,96756,13324,1,BI,1,100,600
