LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,BV
1734423537.887220,45246.000,4839,1,BV,1,100,3.85
1734423542.886227,50245.000,5670,1,BV,1,100,3.86
1734423547.886234,55245.000,6477,1,BV,1,100,3.85
1734423552.885241,60244.000,7301,1,BV,1,100,3.85
1734423557.885248,65244.000,8133,1,BV,1,100,3.84
1734423562.884255,70243.000,8958,1,BV,1,100,3.84
1734423567.884262,75243.000,9771,1,BV,1,100,3.85
1734423572.883270,80242.000,10609,1,BV,1,100,3.84
1734423577.883277,85242.000,11424,1,BV,1,100,3.84
1734423582.882284,90241.000,12257,1,BV,1,100,3.84
1734423587.882291,95241.000,13087,1,BV,1,100,3.85
1734423592.881298,100240.000,13913,1,BV,1,100,3.85
1734423597.881305,105240.000,14744,1,BV,1,100,3.84
1734423602.880312,110239.000,15556,1,BV,1,100,3.83
1734423607.880319,115239.000,16366,1,BV,1,100,3.83
1734423612.879326,120238.000,17188,1,BV,1,100,3.84
1734423617.879333,125238.000,18014,1,BV,1,100,3.83
1734423622.878341,130237.000,18833,1,BV,1,100,3.84
1734423627.878348,135237.000,19654,1,BV,1,100,3.84
1734423632.877355,140236.000,20474,1,BV,1,100,3.84
1734423637.877362,145236.000,21280,1,BV,1,100,3.84
1734423642.876369,150235.000,22103,1,BV,1,100,3.84
1734423647.876376,155235.000,22929,1,BV,1,100,3.84
1734423652.875383,160234.000,23753,1,BV,1,100,3.84
1734423657.875391,165234.000,24593,1,BV,1,100,3.84
1734423662.874398,170233.000,25415,1,BV,1,100,3.84
1734423667.874405,175233.000,26246,1,BV,1,100,3.84
1734423672.873412,180232.000,27037,1,BV,1,100,3.84
1734423677.873419,185232.000,27861,1,BV,1,100,3.84
1734423682.872426,190231.000,28682,1,BV,1,100,3.83
1734423687.872433,195231.000,29459,1,BV,1,100,3.83
1734423692.871440,200230.000,30279,1,BV,1,100,3.83
1734423697.871447,205230.000,31101,1,BV,1,100,3.83
1734423702.870455,210229.000,31924,1,BV,1,100,3.83
