LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,EA
1734423536.854218,44213.000,4658,1,EA,1,100,0.335997
1734423536.921218,44280.000,4677,1,EA,1,100,0.336240
1734423536.987718,44346.500,4692,2,EA,1,100,0.336483
1734423537.054219,44413.000,4692,2,EA,1,100,0.336922
1734423537.121219,44480.000,4708,1,EA,1,100,0.337460
1734423537.187719,44546.500,4726,2,EA,1,100,0.337983
1734423537.254219,44613.000,4726,2,EA,1,100,0.338442
1734423537.321219,44680.000,4742,1,EA,1,100,0.339099
1734423537.387719,44746.500,4757,2,EA,1,100,0.339644
1734423537.454219,44813.000,4757,2,EA,1,100,0.339942
1734423537.520719,44879.500,4776,2,EA,1,100,0.340141
1734423537.587219,44946.000,4776,2,EA,1,100,0.340356
1734423537.654219,45013.000,4795,1,EA,1,100,0.340456
1734423537.720720,45079.500,4811,2,EA,1,100,0.340506
1734423537.787220,45146.000,4811,2,EA,1,100,0.340323
1734423537.854220,45213.000,4828,1,EA,1,100,0.340257
1734423537.920720,45279.500,4845,2,EA,1,100,0.340306
1734423537.987220,45346.000,4845,2,EA,1,100,0.340373
1734423538.054220,45413.000,4864,1,EA,1,100,0.340340
1734423538.120720,45479.500,4880,2,EA,1,100,0.340340
1734423538.187220,45546.000,4880,2,EA,1,100,0.340373
1734423538.254220,45613.000,4898,1,EA,1,100,0.340506
1734423538.320720,45679.500,4912,2,EA,1,100,0.340622
1734423538.387220,45746.000,4912,2,EA,1,100,0.340622
1734423538.454221,45813.000,4929,1,EA,1,100,0.340955
1734423538.520721,45879.500,4946,2,EA,1,100,0.341555
1734423538.587221,45946.000,4946,2,EA,1,100,0.342007
1734423538.654221,46013.000,4965,1,EA,1,100,0.342410
1734423538.720721,46079.500,4979,2,EA,1,100,0.342763
1734423538.787221,46146.000,4979,2,EA,1,100,0.343067
1734423538.854221,46213.000,4996,1,EA,1,100,0.343421
1734423538.920721,46279.500,5013,2,EA,1,100,0.343658
1734423538.987221,46346.000,5013,2,EA,1,100,0.344268
1734423539.054221,46413.000,5030,1,EA,1,100,0.345427
1734423539.120722,46479.500,5046,2,EA,1,100,0.347249
1734423539.187222,46546.000,5046,2,EA,1,100,0.348793
1734423539.254222,46613.000,5064,1,EA,1,100,0.349702
1734423539.320889,46679.667,5086,3,EA,1,100,0.350299
1734423539.387555,46746.333,5086,3,EA,1,100,0.350757
1734423539.454222,46813.000,5086,3,EA,1,100,0.351004
1734423539.520722,46879.500,5105,2,EA,1,100,0.351233
1734423539.587222,46946.000,5105,2,EA,1,100,0.351516
1734423539.654222,47013.000,5123,1,EA,1,100,0.351782
1734423539.720722,47079.500,5139,2,EA,1,100,0.351977
1734423539.787222,47146.000,5139,2,EA,1,100,0.352066
1734423539.854223,47213.000,5156,1,EA,1,100,0.352102
1734423539.920723,47279.500,5172,2,EA,1,100,0.352155
1734423539.987223,47346.000,5172,2,EA,1,100,0.352190
1734423540.053723,47412.500,5188,2,EA,1,100,0.352137
1734423540.120223,47479.000,5188,2,EA,1,100,0.352137
1734423540.187223,47546.000,5204,1,EA,1,100,0.352048
1734423540.253723,47612.500,5224,2,EA,1,100,0.351942
1734423540.320223,47679.000,5224,2,EA,1,100,0.351906
1734423540.387223,47746.000,5240,1,EA,1,100,0.351888
1734423540.453723,47812.500,5255,2,EA,1,100,0.351835
1734423540.520223,47879.000,5255,2,EA,1,100,0.351729
1734423540.587224,47946.000,5272,1,EA,1,100,0.351552
1734423540.653724,48012.500,5289,2,EA,1,100,0.351481
1734423540.720224,48079.000,5289,2,EA,1,100,0.351552
1734423540.787224,48146.000,5305,1,EA,1,100,0.351676
1734423540.853724,48212.500,5323,2,EA,1,100,0.351888
1734423540.920224,48279.000,5323,2,EA,1,100,0.351995
1734423540.987224,48346.000,5339,1,EA,1,100,0.352137
1734423541.053724,48412.500,5356,2,EA,1,100,0.352297
1734423541.120224,48479.000,5356,2,EA,1,100,0.352404
1734423541.187224,48546.000,5374,1,EA,1,100,0.352368
1734423541.253725,48612.500,5390,2,EA,1,100,0.352439
1734423541.320225,48679.000,5390,2,EA,1,100,0.352528
1734423541.387225,48746.000,5406,1,EA,1,100,0.352546
1734423541.453725,48812.500,5423,2,EA,1,100,0.352653
1734423541.520225,48879.000,5423,2,EA,1,100,0.352921
1734423541.587225,48946.000,5440,1,EA,1,100,0.353099
1734423541.653725,49012.500,5456,2,EA,1,100,0.353242
1734423541.720225,49079.000,5456,2,EA,1,100,0.353654
1734423541.787225,49146.000,5471,1,EA,1,100,0.353851
1734423541.853725,49212.500,5489,2,EA,1,100,0.354031
1734423541.920225,49279.000,5489,2,EA,1,100,0.354228
1734423541.986726,49345.500,5507,2,EA,1,100,0.354498
1734423542.053226,49412.000,5507,2,EA,1,100,0.354750
1734423542.120226,49479.000,5524,1,EA,1,100,0.354895
1734423542.186726,49545.500,5539,2,EA,1,100,0.355021
1734423542.253226,49612.000,5539,2,EA,1,100,0.355256
