LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,EL
1734423536.854218,44213.000,4659,1,EL,1,100,-15455.000000
1734423536.921218,44280.000,4678,1,EL,1,100,-15458.000000
1734423536.987718,44346.500,4693,2,EL,1,100,-15461.000000
1734423537.054219,44413.000,4693,2,EL,1,100,-15466.400391
1734423537.121219,44480.000,4709,1,EL,1,100,-15473.000000
1734423537.187719,44546.500,4727,2,EL,1,100,-15479.400391
1734423537.254219,44613.000,4727,2,EL,1,100,-15485.000000
1734423537.321219,44680.000,4743,1,EL,1,100,-15493.000000
1734423537.387719,44746.500,4758,2,EL,1,100,-15499.599609
1734423537.454219,44813.000,4758,2,EL,1,100,-15503.200195
1734423537.520719,44879.500,4777,2,EL,1,100,-15505.599609
1734423537.587219,44946.000,4777,2,EL,1,100,-15508.200195
1734423537.654219,45013.000,4796,1,EL,1,100,-15509.400391
1734423537.720720,45079.500,4812,2,EL,1,100,-15510.000000
1734423537.787220,45146.000,4812,2,EL,1,100,-15507.799805
1734423537.854220,45213.000,4829,1,EL,1,100,-15507.000000
1734423537.920720,45279.500,4846,2,EL,1,100,-15507.599609
1734423537.987220,45346.000,4846,2,EL,1,100,-15508.400391
1734423538.054220,45413.000,4865,1,EL,1,100,-15508.000000
1734423538.120720,45479.500,4881,2,EL,1,100,-15508.000000
1734423538.187220,45546.000,4881,2,EL,1,100,-15508.400391
1734423538.254220,45613.000,4899,1,EL,1,100,-15510.000000
1734423538.320720,45679.500,4913,2,EL,1,100,-15511.400391
1734423538.387220,45746.000,4913,2,EL,1,100,-15511.400391
1734423538.454221,45813.000,4930,1,EL,1,100,-15515.400391
1734423538.520721,45879.500,4947,2,EL,1,100,-15522.599609
1734423538.587221,45946.000,4947,2,EL,1,100,-15528.000000
1734423538.654221,46013.000,4966,1,EL,1,100,-15532.799805
1734423538.720721,46079.500,4980,2,EL,1,100,-15537.000000
1734423538.787221,46146.000,4980,2,EL,1,100,-15540.599609
1734423538.854221,46213.000,4997,1,EL,1,100,-15544.799805
1734423538.920721,46279.500,5014,2,EL,1,100,-15547.599609
1734423538.987221,46346.000,5014,2,EL,1,100,-15554.799805
1734423539.054221,46413.000,5031,1,EL,1,100,-15568.400391
1734423539.120722,46479.500,5047,2,EL,1,100,-15589.599609
1734423539.187222,46546.000,5047,2,EL,1,100,-15607.400391
1734423539.254222,46613.000,5065,1,EL,1,100,-15617.799805
1734423539.320889,46679.667,5087,3,EL,1,100,-15624.599609
1734423539.387555,46746.333,5087,3,EL,1,100,-15629.799805
1734423539.454222,46813.000,5087,3,EL,1,100,-15632.599609
1734423539.520722,46879.500,5106,2,EL,1,100,-15635.200195
1734423539.587222,46946.000,5106,2,EL,1,100,-15638.400391
1734423539.654222,47013.000,5124,1,EL,1,100,-15641.400391
1734423539.720722,47079.500,5140,2,EL,1,100,-15643.599609
1734423539.787222,47146.000,5140,2,EL,1,100,-15644.599609
1734423539.854223,47213.000,5157,1,EL,1,100,-15645.000000
1734423539.920723,47279.500,5173,2,EL,1,100,-15645.599609
1734423539.987223,47346.000,5173,2,EL,1,100,-15646.000000
1734423540.053723,47412.500,5189,2,EL,1,100,-15645.400391
1734423540.120223,47479.000,5189,2,EL,1,100,-15645.400391
1734423540.187223,47546.000,5205,1,EL,1,100,-15644.400391
1734423540.253723,47612.500,5225,2,EL,1,100,-15643.200195
1734423540.320223,47679.000,5225,2,EL,1,100,-15642.799805
1734423540.387223,47746.000,5241,1,EL,1,100,-15642.599609
1734423540.453723,47812.500,5256,2,EL,1,100,-15642.000000
1734423540.520223,47879.000,5256,2,EL,1,100,-15640.799805
1734423540.587224,47946.000,5273,1,EL,1,100,-15638.799805
1734423540.653724,48012.500,5290,2,EL,1,100,-15638.000000
1734423540.720224,48079.000,5290,2,EL,1,100,-15638.799805
1734423540.787224,48146.000,5306,1,EL,1,100,-15640.200195
1734423540.853724,48212.500,5324,2,EL,1,100,-15642.599609
1734423540.920224,48279.000,5324,2,EL,1,100,-15643.799805
1734423540.987224,48346.000,5340,1,EL,1,100,-15645.400391
1734423541.053724,48412.500,5357,2,EL,1,100,-15647.200195
1734423541.120224,48479.000,5357,2,EL,1,100,-15648.400391
1734423541.187224,48546.000,5375,1,EL,1,100,-15648.000000
1734423541.253725,48612.500,5391,2,EL,1,100,-15648.799805
1734423541.320225,48679.000,5391,2,EL,1,100,-15649.799805
1734423541.387225,48746.000,5407,1,EL,1,100,-15650.000000
1734423541.453725,48812.500,5424,2,EL,1,100,-15651.200195
1734423541.520225,48879.000,5424,2,EL,1,100,-15654.200195
1734423541.587225,48946.000,5441,1,EL,1,100,-15656.200195
1734423541.653725,49012.500,5457,2,EL,1,100,-15657.799805
1734423541.720225,49079.000,5457,2,EL,1,100,-15662.400391
1734423541.787225,49146.000,5472,1,EL,1,100,-15664.599609
1734423541.853725,49212.500,5490,2,EL,1,100,-15666.599609
1734423541.920225,49279.000,5490,2,EL,1,100,-15668.799805
1734423541.986726,49345.500,5508,2,EL,1,100,-15671.799805
1734423542.053226,49412.000,5508,2,EL,1,100,-15674.599609
1734423542.120226,49479.000,5525,1,EL,1,100,-15676.200195
1734423542.186726,49545.500,5540,2,EL,1,100,-15677.599609
1734423542.253226,49612.000,5540,2,EL,1,100,-15680.200195
1734423542.320226,49679.000,5559,1,EL,1,100,-15681.000000
1734423542.386726,49745.500,5575,2,EL,1,100,-15681.000000
1734423542.453226,49812.000,5575,2,EL,1,100,-15682.799805
1734423542.520226,49879.000,5592,1,EL,1,100,-15684.599609
1734423542.586726,49945.500,5609,2,EL,1,100,-15685.599609
1734423542.653227,50012.000,5609,2,EL,1,100,-15685.000000
1734423542.720227,50079.000,5626,1,EL,1,100,-15685.200195
