LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,EM
1734423536.858218,44217.000,4657,4,EM,1,100,RS
1734423536.858218,44217.000,4657,4,EM,1,100,RB
1734423536.858218,44217.000,4657,4,EM,1,100,2024-12-17_15-18-56-541084.csv
1734423536.858218,44217.000,4657,4,EM,1,100,PS
1734423536.908468,44267.250,4688,4,EM,1,100,RS
1734423536.958718,44317.500,4688,4,EM,1,100,RB
1734423537.008969,44367.750,4688,4,EM,1,100,2024-12-17_15-18-56-541084.csv
1734423537.059219,44418.000,4688,4,EM,1,100,PS
1734423537.110469,44469.250,4721,4,EM,1,100,RS
1734423537.161719,44520.500,4721,4,EM,1,100,RB
1734423537.212969,44571.750,4721,4,EM,1,100,2024-12-17_15-18-56-541084.csv
1734423537.264219,44623.000,4721,4,EM,1,100,PS
1734423537.314469,44673.250,4753,4,EM,1,100,RS
1734423537.364719,44723.500,4753,4,EM,1,100,RB
1734423537.414969,44773.750,4753,4,EM,1,100,2024-12-17_15-18-56-541084.csv
1734423537.465219,44824.000,4753,4,EM,1,100,PS
1734423537.515469,44874.250,4789,4,EM,1,100,RS
1734423537.565719,44924.500,4789,4,EM,1,100,RB
1734423537.615969,44974.750,4789,4,EM,1,100,2024-12-17_15-18-56-541084.csv
1734423537.666219,45025.000,4789,4,EM,1,100,PS
1734423537.717220,45076.000,4824,4,EM,1,100,RS
1734423537.768219,45127.000,4824,4,EM,1,100,RB
1734423537.819220,45178.000,4824,4,EM,1,100,2024-12-17_15-18-56-541084.csv
1734423537.870220,45229.000,4824,4,EM,1,100,PS
1734423537.920470,45279.250,4858,4,EM,1,100,RS
1734423537.970720,45329.500,4858,4,EM,1,100,RB
1734423538.020970,45379.750,4858,4,EM,1,100,2024-12-17_15-18-56-541084.csv
1734423538.071220,45430.000,4858,4,EM,1,100,PS
1734423538.121470,45480.250,4893,4,EM,1,100,RS
1734423538.171720,45530.500,4893,4,EM,1,100,RB
1734423538.221970,45580.750,4893,4,EM,1,100,2024-12-17_15-18-56-541084.csv
1734423538.272220,45631.000,4893,4,EM,1,100,PS
1734423538.322470,45681.250,4925,4,EM,1,100,RS
1734423538.372720,45731.500,4925,4,EM,1,100,RB
1734423538.422971,45781.750,4925,4,EM,1,100,2024-12-17_15-18-56-541084.csv
1734423538.473221,45832.000,4925,4,EM,1,100,PS
1734423538.523471,45882.250,4959,4,EM,1,100,RS
1734423538.573721,45932.500,4959,4,EM,1,100,RB
1734423538.623971,45982.750,4959,4,EM,1,100,2024-12-17_15-18-56-541084.csv
1734423538.674221,46033.000,4959,4,EM,1,100,PS
1734423538.724471,46083.250,4992,4,EM,1,100,RS
1734423538.774721,46133.500,4992,4,EM,1,100,RB
1734423538.824971,46183.750,4992,4,EM,1,100,2024-12-17_15-18-56-541084.csv
1734423538.875221,46234.000,4992,4,EM,1,100,PS
1734423538.925471,46284.250,5026,4,EM,1,100,RS
1734423538.975721,46334.500,5026,4,EM,1,100,RB
