LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,GZ
1734423536.855218,44214.000,4667,1,GZ,1,100,0.000
1734423536.895218,44254.000,4684,2,GZ,1,100,-0.031
1734423536.935218,44294.000,4684,2,GZ,1,100,-0.641
1734423536.975219,44334.000,4701,3,GZ,1,100,-0.336
1734423537.015218,44374.000,4701,3,GZ,1,100,-0.031
1734423537.055218,44414.000,4701,3,GZ,1,100,-0.366
1734423537.095219,44454.000,4717,2,GZ,1,100,0.214
1734423537.135219,44494.000,4717,2,GZ,1,100,-0.031
1734423537.175219,44534.000,4735,3,GZ,1,100,-0.519
1734423537.215219,44574.000,4735,3,GZ,1,100,0.000
1734423537.255219,44614.000,4735,3,GZ,1,100,-0.275
1734423537.295219,44654.000,4749,2,GZ,1,100,-0.397
1734423537.335219,44694.000,4749,2,GZ,1,100,-0.183
1734423537.375219,44734.000,4766,3,GZ,1,100,-0.305
1734423537.415219,44774.000,4766,3,GZ,1,100,-0.427
1734423537.455219,44814.000,4766,3,GZ,1,100,-0.214
1734423537.495219,44854.000,4785,3,GZ,1,100,-0.244
1734423537.535219,44894.000,4785,3,GZ,1,100,-0.214
1734423537.575219,44934.000,4785,3,GZ,1,100,-0.122
1734423537.615219,44974.000,4804,2,GZ,1,100,-0.336
1734423537.655219,45014.000,4804,2,GZ,1,100,-0.092
1734423537.695220,45054.000,4820,3,GZ,1,100,-0.092
1734423537.735219,45094.000,4820,3,GZ,1,100,-0.519
1734423537.775220,45134.000,4820,3,GZ,1,100,-0.519
1734423537.815220,45174.000,4835,2,GZ,1,100,-0.244
1734423537.855220,45214.000,4835,2,GZ,1,100,0.153
1734423537.895220,45254.000,4854,3,GZ,1,100,0.122
1734423537.935220,45294.000,4854,3,GZ,1,100,-0.336
1734423537.975220,45334.000,4854,3,GZ,1,100,-0.275
1734423538.010553,45369.333,4873,3,GZ,1,100,0.214
1734423538.045887,45404.667,4873,3,GZ,1,100,0.275
1734423538.081220,45440.000,4873,3,GZ,1,100,-0.458
1734423538.121220,45480.000,4889,3,GZ,1,100,-0.793
1734423538.161220,45520.000,4889,3,GZ,1,100,0.122
1734423538.201220,45560.000,4889,3,GZ,1,100,-0.549
1734423538.241220,45600.000,4905,2,GZ,1,100,-0.946
1734423538.281220,45640.000,4905,2,GZ,1,100,0.641
1734423538.321220,45680.000,4921,3,GZ,1,100,0.763
1734423538.361220,45720.000,4921,3,GZ,1,100,-0.763
1734423538.401221,45760.000,4921,3,GZ,1,100,-0.824
1734423538.441221,45800.000,4938,2,GZ,1,100,-0.031
1734423538.481220,45840.000,4938,2,GZ,1,100,0.092
1734423538.521221,45880.000,4955,3,GZ,1,100,-0.031
1734423538.561221,45920.000,4955,3,GZ,1,100,-0.366
1734423538.601221,45960.000,4955,3,GZ,1,100,-0.092
1734423538.641221,46000.000,4972,2,GZ,1,100,-0.427
1734423538.681221,46040.000,4972,2,GZ,1,100,-0.641
1734423538.721221,46080.000,4988,3,GZ,1,100,0.519
1734423538.761221,46120.000,4988,3,GZ,1,100,0.793
1734423538.801221,46160.000,4988,3,GZ,1,100,0.549
1734423538.841221,46200.000,5005,2,GZ,1,100,0.580
1734423538.881221,46240.000,5005,2,GZ,1,100,0.061
1734423538.921221,46280.000,5022,3,GZ,1,100,-0.580
1734423538.961221,46320.000,5022,3,GZ,1,100,-0.183
1734423539.001221,46360.000,5022,3,GZ,1,100,-0.061
1734423539.041221,46400.000,5037,2,GZ,1,100,-0.336
1734423539.081221,46440.000,5037,2,GZ,1,100,-0.793
1734423539.117222,46476.000,5055,3,GZ,1,100,-1.282
1734423539.153222,46512.000,5055,3,GZ,1,100,-0.092
1734423539.189222,46548.000,5055,3,GZ,1,100,0.702
1734423539.228888,46587.667,5073,3,GZ,1,100,0.580
