LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,HR
1734423536.949219,44308,4672,1,HR,1,100,118
1734423537.509219,44868,4771,1,HR,1,100,115
1734423538.068220,45427,4860,1,HR,1,100,114
1734423538.628221,45987,4961,1,HR,1,100,112
1734423539.189222,46548,5042,1,HR,1,100,111
1734423539.708222,47067,5119,1,HR,1,100,112
1734423540.268223,47627,5219,1,HR,1,100,111
1734423540.882224,48241,5318,1,HR,1,100,109
1734423542.041226,49400,5503,1,HR,1,100,96
1734423542.641227,50000,5603,1,HR,1,100,97
1734423543.281227,50640,5724,1,HR,1,100,96
1734423543.961228,51320,5822,1,HR,1,100,94
1734423544.574229,51933,5928,1,HR,1,100,96
1734423545.214230,52573,6029,1,HR,1,100,95
1734423545.814231,53173,6128,1,HR,1,100,96
1734423546.454232,53813,6229,1,HR,1,100,96
1734423547.094233,54453,6344,1,HR,1,100,95
1734423547.694234,55053,6445,1,HR,1,100,96
1734423548.227234,55586,6531,1,HR,1,100,101
1734423548.787235,56146,6613,1,HR,1,100,102
1734423549.347236,56706,6714,1,HR,1,100,103
1734423549.907237,57266,6801,1,HR,1,100,104
1734423550.547238,57906,6902,1,HR,1,100,102
1734423551.067239,58426,6986,1,HR,1,100,105
1734423551.627239,58986,7085,1,HR,1,100,105
1734423552.200240,59559,7169,1,HR,1,100,106
1734423552.760241,60119,7269,1,HR,1,100,106
1734423553.280242,60639,7353,1,HR,1,100,108
1734423553.840242,61199,7456,1,HR,1,100,108
1734423554.440243,61799,7541,1,HR,1,100,106
1734423554.960244,62319,7629,1,HR,1,100,108
1734423555.600245,62959,7748,1,HR,1,100,105
1734423556.173246,63532,7831,1,HR,1,100,105
1734423556.733247,64092,7930,1,HR,1,100,106
1734423557.333247,64692,8014,1,HR,1,100,105
1734423557.893248,65252,8115,1,HR,1,100,105
1734423558.453249,65812,8217,1,HR,1,100,106
1734423559.013250,66372,8300,1,HR,1,100,106
1734423559.586251,66945,8400,1,HR,1,100,106
1734423560.146251,67505,8490,1,HR,1,100,106
1734423560.666252,68025,8572,1,HR,1,100,108
1734423561.186253,68545,8658,1,HR,1,100,110
1734423561.746254,69105,8759,1,HR,1,100,109
1734423562.266254,69625,8842,1,HR,1,100,111
1734423562.786255,70145,8926,1,HR,1,100,112
1734423563.399256,70758,9030,1,HR,1,100,109
1734423563.919257,71278,9115,1,HR,1,100,111
1734423564.519258,71878,9214,1,HR,1,100,108
1734423565.039258,72398,9304,1,HR,1,100,110
1734423565.639259,72998,9403,1,HR,1,100,108
1734423566.199260,73558,9489,1,HR,1,100,108
1734423566.799261,74158,9590,1,HR,1,100,106
1734423567.332262,74691,9674,1,HR,1,100,108
1734423567.932262,75291,9774,1,HR,1,100,106
1734423568.532263,75891,9879,1,HR,1,100,105
1734423569.132264,76491,9981,1,HR,1,100,104
1734423569.732265,77091,10081,1,HR,1,100,103
