LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,MZ
1734423536.855218,44214.000,4670,1,MZ,1,100,-1
1734423536.895218,44254.000,4687,2,MZ,1,100,-2
1734423536.935218,44294.000,4687,2,MZ,1,100,-1
1734423536.975219,44334.000,4704,3,MZ,1,100,-2
1734423537.015218,44374.000,4704,3,MZ,1,100,-2
1734423537.055218,44414.000,4704,3,MZ,1,100,-1
1734423537.095219,44454.000,4720,2,MZ,1,100, 0
1734423537.135219,44494.000,4720,2,MZ,1,100, 0
1734423537.175219,44534.000,4738,3,MZ,1,100, 0
1734423537.215219,44574.000,4738,3,MZ,1,100,-1
1734423537.255219,44614.000,4738,3,MZ,1,100, 0
1734423537.295219,44654.000,4752,2,MZ,1,100,-1
1734423537.335219,44694.000,4752,2,MZ,1,100,-1
1734423537.375219,44734.000,4769,3,MZ,1,100, 0
1734423537.415219,44774.000,4769,3,MZ,1,100, 0
1734423537.455219,44814.000,4769,3,MZ,1,100, 0
1734423537.495219,44854.000,4788,3,MZ,1,100, 0
1734423537.535219,44894.000,4788,3,MZ,1,100, 0
1734423537.575219,44934.000,4788,3,MZ,1,100, 0
1734423537.615219,44974.000,4807,2,MZ,1,100, 0
1734423537.655219,45014.000,4807,2,MZ,1,100, 0
1734423537.695220,45054.000,4823,3,MZ,1,100, 0
1734423537.735219,45094.000,4823,3,MZ,1,100,-1
1734423537.775220,45134.000,4823,3,MZ,1,100, 0
1734423537.815220,45174.000,4838,2,MZ,1,100, 0
1734423537.855220,45214.000,4838,2,MZ,1,100, 0
1734423537.895220,45254.000,4857,3,MZ,1,100,-1
1734423537.935220,45294.000,4857,3,MZ,1,100, 0
1734423537.975220,45334.000,4857,3,MZ,1,100, 0
1734423538.010553,45369.333,4876,3,MZ,1,100,-1
1734423538.045887,45404.667,4876,3,MZ,1,100,-1
1734423538.081220,45440.000,4876,3,MZ,1,100,-2
1734423538.121220,45480.000,4892,3,MZ,1,100,-1
1734423538.161220,45520.000,4892,3,MZ,1,100,-1
1734423538.201220,45560.000,4892,3,MZ,1,100,-1
1734423538.241220,45600.000,4908,2,MZ,1,100,-1
1734423538.281220,45640.000,4908,2,MZ,1,100, 0
1734423538.321220,45680.000,4924,3,MZ,1,100,-1
1734423538.361220,45720.000,4924,3,MZ,1,100,-2
1734423538.401221,45760.000,4924,3,MZ,1,100,-1
1734423538.441221,45800.000,4941,2,MZ,1,100,-1
1734423538.481220,45840.000,4941,2,MZ,1,100,-2
1734423538.521221,45880.000,4958,3,MZ,1,100,-2
1734423538.561221,45920.000,4958,3,MZ,1,100, 0
1734423538.601221,45960.000,4958,3,MZ,1,100,-3
1734423538.641221,46000.000,4975,2,MZ,1,100,-3
1734423538.681221,46040.000,4975,2,MZ,1,100,-3
1734423538.721221,46080.000,4991,3,MZ,1,100,-2
1734423538.761221,46120.000,4991,3,MZ,1,100,-1
1734423538.801221,46160.000,4991,3,MZ,1,100,-2
1734423538.841221,46200.000,5008,2,MZ,1,100, 0
1734423538.881221,46240.000,5008,2,MZ,1,100,-3
1734423538.921221,46280.000,5025,3,MZ,1,100,-2
1734423538.961221,46320.000,5025,3,MZ,1,100,-2
1734423539.001221,46360.000,5025,3,MZ,1,100,-2
1734423539.041221,46400.000,5040,2,MZ,1,100,-2
1734423539.081221,46440.000,5040,2,MZ,1,100, 0
1734423539.117222,46476.000,5058,3,MZ,1,100,-1
1734423539.153222,46512.000,5058,3,MZ,1,100,-1
1734423539.189222,46548.000,5058,3,MZ,1,100, 0
1734423539.228888,46587.667,5076,3,MZ,1,100, 0
1734423539.268555,46627.333,5076,3,MZ,1,100,-1
1734423539.308222,46667.000,5076,3,MZ,1,100, 0
1734423539.348222,46707.000,5098,5,MZ,1,100, 0
1734423539.388222,46747.000,5098,5,MZ,1,100, 0
1734423539.428222,46787.000,5098,5,MZ,1,100,-1
1734423539.468222,46827.000,5098,5,MZ,1,100, 0
1734423539.508222,46867.000,5098,5,MZ,1,100, 1
1734423539.548222,46907.000,5116,2,MZ,1,100, 0
1734423539.588222,46947.000,5116,2,MZ,1,100, 0
1734423539.628222,46987.000,5135,3,MZ,1,100, 0
1734423539.668222,47027.000,5135,3,MZ,1,100, 0
1734423539.708222,47067.000,5135,3,MZ,1,100, 0
1734423539.748222,47107.000,5151,2,MZ,1,100, 1
1734423539.788223,47147.000,5151,2,MZ,1,100, 0
1734423539.828223,47187.000,5167,3,MZ,1,100, 1
1734423539.868222,47227.000,5167,3,MZ,1,100, 1
1734423539.908223,47267.000,5167,3,MZ,1,100, 2
1734423539.948223,47307.000,5183,2,MZ,1,100, 1
1734423539.988223,47347.000,5183,2,MZ,1,100, 2
1734423540.028223,47387.000,5200,3,MZ,1,100, 0
1734423540.068223,47427.000,5200,3,MZ,1,100, 0
1734423540.108223,47467.000,5200,3,MZ,1,100, 0
1734423540.148223,47507.000,5216,2,MZ,1,100,-1
1734423540.188223,47547.000,5216,2,MZ,1,100, 0
1734423540.224723,47583.500,5236,4,MZ,1,100,-1
1734423540.261223,47620.000,5236,4,MZ,1,100, 0
1734423540.297723,47656.500,5236,4,MZ,1,100,-2
1734423540.334223,47693.000,5236,4,MZ,1,100, 0
1734423540.374223,47733.000,5250,2,MZ,1,100, 0
1734423540.414223,47773.000,5250,2,MZ,1,100, 0
1734423540.454223,47813.000,5267,3,MZ,1,100, 0
1734423540.494223,47853.000,5267,3,MZ,1,100,-1
1734423540.534224,47893.000,5267,3,MZ,1,100, 0
1734423540.574224,47933.000,5284,2,MZ,1,100, 0
1734423540.614224,47973.000,5284,2,MZ,1,100, 0
1734423540.654224,48013.000,5301,3,MZ,1,100, 0
1734423540.694224,48053.000,5301,3,MZ,1,100, 0
1734423540.734224,48093.000,5301,3,MZ,1,100, 1
1734423540.774224,48133.000,5315,2,MZ,1,100,-1
1734423540.814224,48173.000,5315,2,MZ,1,100,-1
1734423540.854224,48213.000,5335,3,MZ,1,100,-1
1734423540.894224,48253.000,5335,3,MZ,1,100,-1
1734423540.934224,48293.000,5335,3,MZ,1,100, 0
1734423540.974224,48333.000,5351,2,MZ,1,100, 0
1734423541.014224,48373.000,5351,2,MZ,1,100, 0
1734423541.054224,48413.000,5368,3,MZ,1,100, 0
1734423541.094224,48453.000,5368,3,MZ,1,100, 0
1734423541.134224,48493.000,5368,3,MZ,1,100,-1
1734423541.174224,48533.000,5384,2,MZ,1,100,-1
1734423541.214225,48573.000,5384,2,MZ,1,100,-1
1734423541.254225,48613.000,5402,3,MZ,1,100,-1
1734423541.294225,48653.000,5402,3,MZ,1,100, 0
1734423541.334225,48693.000,5402,3,MZ,1,100, 0
1734423541.374225,48733.000,5418,2,MZ,1,100, 0
1734423541.414225,48773.000,5418,2,MZ,1,100,-2
1734423541.449892,48808.667,5435,3,MZ,1,100, 0
1734423541.485558,48844.333,5435,3,MZ,1,100,-2
1734423541.521225,48880.000,5435,3,MZ,1,100, 0
1734423541.561558,48920.333,5451,3,MZ,1,100, 0
1734423541.601892,48960.667,5451,3,MZ,1,100, 0
1734423541.642225,49001.000,5451,3,MZ,1,100, 0
1734423541.681725,49040.500,5467,2,MZ,1,100, 0
1734423541.721225,49080.000,5467,2,MZ,1,100, 0
