LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,PG
1734423536.949219,44308.000,4676,3,PG,1,100,13599
1734423536.949219,44308.000,4676,3,PG,1,100,13605
1734423536.949219,44308.000,4676,3,PG,1,100,13595
1734423536.989218,44348.000,4691,2,PG,1,100,13621
1734423537.029218,44388.000,4691,2,PG,1,100,13620
1734423537.069219,44428.000,4707,3,PG,1,100,13660
1734423537.109219,44468.000,4707,3,PG,1,100,13677
1734423537.149219,44508.000,4707,3,PG,1,100,13699
1734423537.189219,44548.000,4725,3,PG,1,100,13648
1734423537.229219,44588.000,4725,3,PG,1,100,13521
1734423537.269219,44628.000,4725,3,PG,1,100,13446
1734423537.309219,44668.000,4741,2,PG,1,100,13467
1734423537.349219,44708.000,4741,2,PG,1,100,13497
1734423537.389219,44748.000,4756,3,PG,1,100,13556
1734423537.429219,44788.000,4756,3,PG,1,100,13590
1734423537.469219,44828.000,4756,3,PG,1,100,13591
1734423537.509219,44868.000,4775,3,PG,1,100,13597
1734423537.549219,44908.000,4775,3,PG,1,100,13605
1734423537.589219,44948.000,4775,3,PG,1,100,13613
1734423537.628719,44987.500,4794,2,PG,1,100,13629
1734423537.668219,45027.000,4794,2,PG,1,100,13669
1734423537.708553,45067.333,4810,3,PG,1,100,13704
1734423537.748886,45107.667,4810,3,PG,1,100,13659
1734423537.789220,45148.000,4810,3,PG,1,100,13542
1734423537.829220,45188.000,4827,2,PG,1,100,13454
1734423537.869220,45228.000,4827,2,PG,1,100,13460
1734423537.909220,45268.000,4844,3,PG,1,100,13501
1734423537.949220,45308.000,4844,3,PG,1,100,13571
1734423537.989220,45348.000,4844,3,PG,1,100,13618
1734423538.028720,45387.500,4863,2,PG,1,100,13625
1734423538.068220,45427.000,4863,2,PG,1,100,13607
1734423538.108553,45467.333,4879,3,PG,1,100,13628
1734423538.148887,45507.667,4879,3,PG,1,100,13633
1734423538.189220,45548.000,4879,3,PG,1,100,13654
