LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,PR
1734423536.949219,44308.000,4675,3,PR,1,100,155758
1734423536.949219,44308.000,4675,3,PR,1,100,155783
1734423536.949219,44308.000,4675,3,PR,1,100,155751
1734423536.989218,44348.000,4690,2,PR,1,100,155783
1734423537.029218,44388.000,4690,2,PR,1,100,155767
1734423537.069219,44428.000,4706,3,PR,1,100,155787
1734423537.109219,44468.000,4706,3,PR,1,100,155823
1734423537.149219,44508.000,4706,3,PR,1,100,155846
1734423537.189219,44548.000,4724,3,PR,1,100,155805
1734423537.229219,44588.000,4724,3,PR,1,100,155710
1734423537.269219,44628.000,4724,3,PR,1,100,155653
1734423537.309219,44668.000,4740,2,PR,1,100,155644
1734423537.349219,44708.000,4740,2,PR,1,100,155654
1734423537.389219,44748.000,4755,3,PR,1,100,155713
1734423537.429219,44788.000,4755,3,PR,1,100,155719
1734423537.469219,44828.000,4755,3,PR,1,100,155732
1734423537.509219,44868.000,4774,3,PR,1,100,155724
1734423537.549219,44908.000,4774,3,PR,1,100,155721
1734423537.589219,44948.000,4774,3,PR,1,100,155758
1734423537.628719,44987.500,4793,2,PR,1,100,155777
1734423537.668219,45027.000,4793,2,PR,1,100,155807
1734423537.708553,45067.333,4809,3,PR,1,100,155840
1734423537.748886,45107.667,4809,3,PR,1,100,155766
1734423537.789220,45148.000,4809,3,PR,1,100,155687
1734423537.829220,45188.000,4826,2,PR,1,100,155644
1734423537.869220,45228.000,4826,2,PR,1,100,155621
1734423537.909220,45268.000,4843,3,PR,1,100,155662
1734423537.949220,45308.000,4843,3,PR,1,100,155701
1734423537.989220,45348.000,4843,3,PR,1,100,155721
1734423538.028720,45387.500,4862,2,PR,1,100,155728
1734423538.068220,45427.000,4862,2,PR,1,100,155724
1734423538.108553,45467.333,4878,3,PR,1,100,155740
1734423538.148887,45507.667,4878,3,PR,1,100,155741
1734423538.189220,45548.000,4878,3,PR,1,100,155755
1734423538.229220,45588.000,4896,2,PR,1,100,155774
1734423538.269220,45628.000,4896,2,PR,1,100,155789
1734423538.308887,45667.667,4910,3,PR,1,100,155787
1734423538.348554,45707.333,4910,3,PR,1,100,155707
1734423538.388221,45747.000,4910,3,PR,1,100,155609
1734423538.428221,45787.000,4927,2,PR,1,100,155582
1734423538.468220,45827.000,4927,2,PR,1,100,155608
1734423538.508221,45867.000,4944,3,PR,1,100,155664
1734423538.548221,45907.000,4944,3,PR,1,100,155719
1734423538.588221,45947.000,4944,3,PR,1,100,155724
1734423538.628221,45987.000,4963,2,PR,1,100,155726
1734423538.668221,46027.000,4963,2,PR,1,100,155711
1734423538.708221,46067.000,4977,3,PR,1,100,155714
1734423538.748221,46107.000,4977,3,PR,1,100,155722
1734423538.788221,46147.000,4977,3,PR,1,100,155744
1734423538.828221,46187.000,4994,3,PR,1,100,155771
1734423538.868221,46227.000,4994,3,PR,1,100,155742
1734423538.908221,46267.000,4994,3,PR,1,100,155688
1734423538.948221,46307.000,5011,2,PR,1,100,155605
1734423538.988221,46347.000,5011,2,PR,1,100,155576
1734423539.028221,46387.000,5028,3,PR,1,100,155604
1734423539.068221,46427.000,5028,3,PR,1,100,155648
1734423539.108222,46467.000,5028,3,PR,1,100,155659
1734423539.148721,46507.500,5044,2,PR,1,100,155667
1734423539.189222,46548.000,5044,2,PR,1,100,155642
1734423539.228888,46587.667,5062,3,PR,1,100,155658
1734423539.268555,46627.333,5062,3,PR,1,100,155677
1734423539.308222,46667.000,5062,3,PR,1,100,155692
1734423539.348222,46707.000,5084,5,PR,1,100,155716
1734423539.388222,46747.000,5084,5,PR,1,100,155725
1734423539.428222,46787.000,5084,5,PR,1,100,155668
1734423539.468222,46827.000,5084,5,PR,1,100,155587
1734423539.508222,46867.000,5084,5,PR,1,100,155564
1734423539.548222,46907.000,5103,2,PR,1,100,155552
1734423539.588222,46947.000,5103,2,PR,1,100,155601
1734423539.628222,46987.000,5121,3,PR,1,100,155662
1734423539.668222,47027.000,5121,3,PR,1,100,155673
1734423539.708222,47067.000,5121,3,PR,1,100,155672
1734423539.748222,47107.000,5137,2,PR,1,100,155686
1734423539.788223,47147.000,5137,2,PR,1,100,155695
1734423539.828223,47187.000,5154,3,PR,1,100,155707
1734423539.868222,47227.000,5154,3,PR,1,100,155725
1734423539.908223,47267.000,5154,3,PR,1,100,155785
1734423539.948223,47307.000,5170,2,PR,1,100,155771
1734423539.988223,47347.000,5170,2,PR,1,100,155693
1734423540.028223,47387.000,5186,3,PR,1,100,155612
1734423540.068223,47427.000,5186,3,PR,1,100,155616
1734423540.108223,47467.000,5186,3,PR,1,100,155631
1734423540.148223,47507.000,5202,2,PR,1,100,155659
1734423540.188223,47547.000,5202,2,PR,1,100,155674
1734423540.228223,47587.000,5222,3,PR,1,100,155672
1734423540.268223,47627.000,5222,3,PR,1,100,155666
1734423540.308223,47667.000,5222,3,PR,1,100,155671
1734423540.348223,47707.000,5238,3,PR,1,100,155691
1734423540.388223,47747.000,5238,3,PR,1,100,155697
1734423540.428223,47787.000,5238,3,PR,1,100,155710
1734423540.475223,47834.000,5253,2,PR,1,100,155758
1734423540.522223,47881.000,5253,2,PR,1,100,155746
1734423540.562223,47921.000,5270,2,PR,1,100,155680
1734423540.602224,47961.000,5270,2,PR,1,100,155593
1734423540.642224,48001.000,5287,3,PR,1,100,155557
1734423540.682224,48041.000,5287,3,PR,1,100,155558
1734423540.722224,48081.000,5287,3,PR,1,100,155594
1734423540.762224,48121.000,5303,2,PR,1,100,155617
1734423540.802224,48161.000,5303,2,PR,1,100,155640
1734423540.842224,48201.000,5321,3,PR,1,100,155637
1734423540.882224,48241.000,5321,3,PR,1,100,155614
1734423540.922224,48281.000,5321,3,PR,1,100,155626
1734423540.962224,48321.000,5337,3,PR,1,100,155593
1734423541.002224,48361.000,5337,3,PR,1,100,155609
1734423541.042224,48401.000,5337,3,PR,1,100,155635
1734423541.082224,48441.000,5354,2,PR,1,100,155655
