LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,RD
1734423539.402222,46761.000,5081,2,RD,1,100,TL
1734423539.402222,46761.000,5081,2,RD,1,100,TU
1734423541.962726,49321.500,5925,2,RD,1,100,TL
1734423544.523229,51882.000,5925,2,RD,1,100,TU
1734423547.086733,54445.500,6765,2,RD,1,100,TL
1734423549.650236,57009.000,6765,2,RD,1,100,TU
1734423552.215740,59574.500,7610,2,RD,1,100,TL
1734423554.781244,62140.000,7610,2,RD,1,100,TU
1734423557.341247,64700.000,8451,2,RD,1,100,TL
1734423559.901251,67260.000,8451,2,RD,1,100,TU
1734423562.458755,69817.500,9302,2,RD,1,100,TL
1734423565.016258,72375.000,9302,2,RD,1,100,TU
1734423567.570762,74929.500,10137,2,RD,1,100,TL
1734423570.125266,77484.000,10137,2,RD,1,100,TU
1734423572.684769,80043.500,10984,2,RD,1,100,TL
1734423575.244273,82603.000,10984,2,RD,1,100,TU
1734423577.804776,85163.500,11836,2,RD,1,100,TL
1734423580.365280,87724.000,11836,2,RD,1,100,TU
1734423582.922784,90281.500,12683,2,RD,1,100,TL
1734423585.480288,92839.000,12683,2,RD,1,100,TU
1734423588.033291,95392.000,13525,2,RD,1,100,TL
1734423590.586295,97945.000,13525,2,RD,1,100,TU
1734423593.151298,100510.000,14371,2,RD,1,100,TL
1734423595.716302,103075.000,14371,2,RD,1,100,TU
1734423598.279806,105638.500,15218,2,RD,1,100,TL
1734423600.843309,108202.000,15218,2,RD,1,100,TU
1734423603.396313,110755.000,16047,2,RD,1,100,TL
1734423605.949317,113308.000,16047,2,RD,1,100,TU
1734423608.509820,115868.500,16889,2,RD,1,100,TL
1734423611.070324,118429.000,16889,2,RD,1,100,TU
1734423613.627327,120986.000,17726,2,RD,1,100,TL
1734423616.184331,123543.000,17726,2,RD,1,100,TU
1734423618.744835,126103.500,18566,2,RD,1,100,TL
1734423621.305338,128664.000,18566,2,RD,1,100,TU
1734423623.857842,131216.500,19404,2,RD,1,100,TL
1734423626.410346,133769.000,19404,2,RD,1,100,TU
1734423628.966349,136325.000,20241,2,RD,1,100,TL
1734423631.522353,138881.000,20241,2,RD,1,100,TU
1734423634.075357,141434.000,21062,2,RD,1,100,TL
1734423636.628360,143987.000,21062,2,RD,1,100,TU
1734423639.188364,146547.000,21900,2,RD,1,100,TL
1734423641.748368,149107.000,21900,2,RD,1,100,TU
1734423644.303871,151662.500,22741,2,RD,1,100,TL
1734423646.859375,154218.000,22741,2,RD,1,100,TU
1734423649.412879,156771.500,23584,2,RD,1,100,TL
1734423651.966382,159325.000,23584,2,RD,1,100,TU
1734423654.529386,161888.000,24438,2,RD,1,100,TL
1734423657.092389,164451.000,24438,2,RD,1,100,TU
1734423659.646393,167005.000,25278,2,RD,1,100,TL
1734423662.200397,169559.000,25278,2,RD,1,100,TU
1734423664.755900,172114.500,26123,2,RD,1,100,TL
1734423667.311404,174670.000,26123,2,RD,1,100,TU
1734423669.864908,177223.500,26951,2,RD,1,100,TL
1734423672.418411,179777.000,26951,2,RD,1,100,TU
1734423674.972415,182331.000,27792,2,RD,1,100,TL
1734423677.526418,184885.000,27792,2,RD,1,100,TU
1734423680.080422,187439.000,28631,2,RD,1,100,TL
1734423682.634426,189993.000,28631,2,RD,1,100,TU
1734423685.187929,192546.500,29424,2,RD,1,100,TL
1734423687.741433,195100.000,29424,2,RD,1,100,TU
1734423690.297937,197656.500,30261,2,RD,1,100,TL
1734423692.854440,200213.000,30261,2,RD,1,100,TU
1734423695.414944,202773.500,31105,2,RD,1,100,TL
1734423697.975448,205334.000,31105,2,RD,1,100,TU
1734423700.529951,207888.500,31946,2,RD,1,100,TL
1734423703.084455,210443.000,31946,2,RD,1,100,TU
1734423705.637959,212996.500,32785,2,RD,1,100,TL
1734423708.191462,215550.000,32785,2,RD,1,100,TU
1734423710.745466,218104.000,33628,2,RD,1,100,TL
1734423713.299469,220658.000,33628,2,RD,1,100,TU
1734423715.860473,223219.000,34469,2,RD,1,100,TL
1734423718.421477,225780.000,34469,2,RD,1,100,TU
1734423720.985980,228344.500,35314,2,RD,1,100,TL
1734423723.550484,230909.000,35314,2,RD,1,100,TU
1734423726.108988,233467.500,36162,2,RD,1,100,TL
1734423728.667491,236026.000,36162,2,RD,1,100,TU
1734423731.227995,238586.500,37003,2,RD,1,100,TL
1734423733.788499,241147.000,37003,2,RD,1,100,TU
1734423736.350002,243708.500,37841,2,RD,1,100,TL
1734423738.911506,246270.000,37841,2,RD,1,100,TU
1734423741.464509,248823.000,38663,2,RD,1,100,TL
1734423744.017513,251376.000,38663,2,RD,1,100,TU
1734423746.574017,253932.500,39499,2,RD,1,100,TL
1734423749.130520,256489.000,39499,2,RD,1,100,TU
1734423751.690524,259049.000,40336,2,RD,1,100,TL
1734423754.250528,261609.000,40336,2,RD,1,100,TU
1734423756.813531,264172.000,41176,2,RD,1,100,TL
1734423759.376535,266735.000,41176,2,RD,1,100,TU
1734423761.940039,269298.500,42025,2,RD,1,100,TL
1734423764.503542,271862.000,42025,2,RD,1,100,TU
1734423767.059546,274418.000,42865,2,RD,1,100,TL
1734423769.615550,276974.000,42865,2,RD,1,100,TU
1734423772.181553,279540.000,43714,2,RD,1,100,TL
1734423774.747557,282106.000,43714,2,RD,1,100,TU
1734423777.301560,284660.000,44524,2,RD,1,100,TL
1734423779.855564,287214.000,44524,2,RD,1,100,TU
1734423782.417568,289776.000,45347,2,RD,1,100,TL
1734423784.979571,292338.000,45347,2,RD,1,100,TU
1734423787.533575,294892.000,46170,2,RD,1,100,TL
1734423790.087579,297446.000,46170,2,RD,1,100,TU
1734423792.641582,300000.000,46970,2,RD,1,100,TL
1734423795.195586,302554.000,46970,2,RD,1,100,TU
1734423797.754090,305112.500,47810,2,RD,1,100,TL
1734423800.312593,307671.000,47810,2,RD,1,100,TU
1734423802.875097,310233.500,48649,2,RD,1,100,TL
1734423805.437601,312796.000,48649,2,RD,1,100,TU
1734423807.997104,315355.500,49486,2,RD,1,100,TL
1734423810.556608,317915.000,49486,2,RD,1,100,TU
1734423813.124111,320482.500,50328,2,RD,1,100,TL
1734423815.691615,323050.000,50328,2,RD,1,100,TU
1734423818.250619,325609.000,51167,2,RD,1,100,TL
1734423820.809622,328168.000,51167,2,RD,1,100,TU
1734423823.369126,330727.500,52003,2,RD,1,100,TL
1734423825.928630,333287.000,52003,2,RD,1,100,TU
1734423828.495133,335853.500,52845,2,RD,1,100,TL
1734423831.061637,338420.000,52845,2,RD,1,100,TU
1734423833.621141,340979.500,53696,2,RD,1,100,TL
1734423836.180644,343539.000,53696,2,RD,1,100,TU
1734423838.740648,346099.000,54543,2,RD,1,100,TL
1734423841.300652,348659.000,54543,2,RD,1,100,TU
1734423843.857155,351215.500,55368,2,RD,1,100,TL
1734423846.413659,353772.000,55368,2,RD,1,100,TU
1734423848.974163,356332.500,56211,2,RD,1,100,TL
1734423851.534666,358893.000,56211,2,RD,1,100,TU
1734423854.095670,361454.000,57051,2,RD,1,100,TL
1734423856.656673,364015.000,57051,2,RD,1,100,TU
1734423859.217177,366575.500,57888,2,RD,1,100,TL
1734423861.777681,369136.000,57888,2,RD,1,100,TU
1734423864.337184,371695.500,58728,2,RD,1,100,TL
1734423866.896688,374255.000,58728,2,RD,1,100,TU
1734423869.454192,376812.500,59570,2,RD,1,100,TL
1734423872.011695,379370.000,59570,2,RD,1,100,TU
1734423874.575199,381933.500,60413,2,RD,1,100,TL
1734423877.138703,384497.000,60413,2,RD,1,100,TU
1734423879.694206,387052.500,61239,2,RD,1,100,TL
1734423882.249710,389608.000,61239,2,RD,1,100,TU
1734423884.820214,392178.500,62081,2,RD,1,100,TL
1734423887.390717,394749.000,62081,2,RD,1,100,TU
1734423889.950721,397309.000,62920,2,RD,1,100,TL
1734423892.510725,399869.000,62920,2,RD,1,100,TU
1734423895.076228,402434.500,63760,2,RD,1,100,TL
1734423897.641732,405000.000,63760,2,RD,1,100,TU
1734423900.200735,407559.000,64600,2,RD,1,100,TL
1734423902.759739,410118.000,64600,2,RD,1,100,TU
1734423905.319243,412677.500,65439,2,RD,1,100,TL
1734423907.878746,415237.000,65439,2,RD,1,100,TU
1734423910.436750,417795.000,751,2,RD,1,100,TL
1734423912.994754,420353.000,751,2,RD,1,100,TU
1734423915.558257,422916.500,1590,2,RD,1,100,TL
1734423918.121761,425480.000,1590,2,RD,1,100,TU
1734423920.681264,428039.500,2427,2,RD,1,100,TL
1734423923.240768,430599.000,2427,2,RD,1,100,TU
1734423925.796272,433154.500,3270,2,RD,1,100,TL
1734423928.351775,435710.000,3270,2,RD,1,100,TU
1734423930.905779,438264.000,4109,2,RD,1,100,TL
1734423933.459783,440818.000,4109,2,RD,1,100,TU
1734423936.012786,443371.000,4948,2,RD,1,100,TL
1734423938.565790,445924.000,4948,2,RD,1,100,TU
1734423941.134294,448492.500,5806,2,RD,1,100,TL
1734423943.702797,451061.000,5806,2,RD,1,100,TU
1734423946.256301,453614.500,6650,2,RD,1,100,TL
1734423948.809804,456168.000,6650,2,RD,1,100,TU
1734423951.366808,458725.000,7478,2,RD,1,100,TL
1734423953.923812,461282.000,7478,2,RD,1,100,TU
1734423956.485816,463844.000,8320,2,RD,1,100,TL
1734423959.047819,466406.000,8320,2,RD,1,100,TU
1734423961.606823,468965.000,9163,2,RD,1,100,TL
1734423964.165826,471524.000,9163,2,RD,1,100,TU
1734423966.725330,474083.500,10005,2,RD,1,100,TL
1734423969.284834,476643.000,10005,2,RD,1,100,TU
1734423971.843337,479201.500,10844,2,RD,1,100,TL
1734423974.401841,481760.000,10844,2,RD,1,100,TU
1734423976.966845,484325.000,11685,2,RD,1,100,TL
1734423979.531848,486890.000,11685,2,RD,1,100,TU
1734423982.100852,489459.000,12527,2,RD,1,100,TL
1734423984.669856,492028.000,12527,2,RD,1,100,TU
1734423987.223359,494581.500,13369,2,RD,1,100,TL
1734423989.776863,497135.000,13369,2,RD,1,100,TU
1734423992.335366,499693.500,14207,2,RD,1,100,TL
1734423994.893870,502252.000,14207,2,RD,1,100,TU
1734423997.459874,504818.000,15047,2,RD,1,100,TL
1734424000.025877,507384.000,15047,2,RD,1,100,TU
1734424002.574381,509932.500,15887,2,RD,1,100,TL
1734424005.122885,512481.000,15887,2,RD,1,100,TU
1734424007.676888,515035.000,16727,2,RD,1,100,TL
1734424010.230892,517589.000,16727,2,RD,1,100,TU
1734424012.784896,520143.000,17567,2,RD,1,100,TL
1734424015.338899,522697.000,17567,2,RD,1,100,TU
1734424017.894403,525252.500,18404,2,RD,1,100,TL
1734424020.449907,527808.000,18404,2,RD,1,100,TU
1734424023.004410,530362.500,19243,2,RD,1,100,TL
1734424025.558914,532917.000,19243,2,RD,1,100,TU
1734424028.120417,535478.500,20083,2,RD,1,100,TL
1734424030.681921,538040.000,20083,2,RD,1,100,TU
1734424033.248925,540607.000,20924,2,RD,1,100,TL
1734424035.815928,543174.000,20924,2,RD,1,100,TU
1734424038.367932,545726.000,21764,2,RD,1,100,TL
1734424040.919936,548278.000,21764,2,RD,1,100,TU
1734424043.476939,550835.000,22602,2,RD,1,100,TL
1734424046.033943,553392.000,22602,2,RD,1,100,TU
1734424048.586447,555944.500,23443,2,RD,1,100,TL
1734424051.138950,558497.000,23443,2,RD,1,100,TU
1734424053.693454,561051.500,24285,2,RD,1,100,TL
1734424056.247957,563606.000,24285,2,RD,1,100,TU
1734424058.801961,566160.000,25126,2,RD,1,100,TL
1734424061.355965,568714.000,25126,2,RD,1,100,TU
1734424063.923468,571281.500,25979,2,RD,1,100,TL
1734424066.490972,573849.000,25979,2,RD,1,100,TU
1734424069.044976,576403.000,26818,2,RD,1,100,TL
1734424071.598979,578957.000,26818,2,RD,1,100,TU
1734424074.153983,581512.000,27657,2,RD,1,100,TL
1734424076.708987,584067.000,27657,2,RD,1,100,TU
1734424079.268990,586627.000,28496,2,RD,1,100,TL
1734424081.828994,589187.000,28496,2,RD,1,100,TU
1734424084.380497,591738.500,29337,2,RD,1,100,TL
1734424086.932001,594290.000,29337,2,RD,1,100,TU
1734424089.488005,596846.000,30167,2,RD,1,100,TL
1734424092.044008,599402.000,30167,2,RD,1,100,TU
1734424094.597512,601955.500,31008,2,RD,1,100,TL
1734424097.151016,604509.000,31008,2,RD,1,100,TU
1734424099.710019,607068.000,31852,2,RD,1,100,TL
1734424102.269023,609627.000,31852,2,RD,1,100,TU
1734424104.822026,612180.000,32643,2,RD,1,100,TL
1734424107.375030,614733.000,32643,2,RD,1,100,TU
1734424109.929534,617287.500,33484,2,RD,1,100,TL
1734424112.484037,619842.000,33484,2,RD,1,100,TU
1734424115.052041,622410.000,34324,2,RD,1,100,TL
1734424117.620045,624978.000,34324,2,RD,1,100,TU
1734424120.184548,627542.500,35164,2,RD,1,100,TL
1734424122.749052,630107.000,35164,2,RD,1,100,TU
1734424125.303556,632661.500,35993,2,RD,1,100,TL
1734424127.858059,635216.000,35993,2,RD,1,100,TU
1734424130.415563,637773.500,36839,2,RD,1,100,TL
1734424132.973067,640331.000,36839,2,RD,1,100,TU
1734424135.529570,642887.500,37684,2,RD,1,100,TL
1734424138.086074,645444.000,37684,2,RD,1,100,TU
1734424140.641577,647999.500,38523,2,RD,1,100,TL
1734424143.197081,650555.000,38523,2,RD,1,100,TU
1734424145.752585,653110.500,39367,2,RD,1,100,TL
1734424148.308089,655666.000,39367,2,RD,1,100,TU
1734424150.865592,658223.500,40202,2,RD,1,100,TL
1734424153.423096,660781.000,40202,2,RD,1,100,TU
1734424155.982599,663340.500,41041,2,RD,1,100,TL
1734424158.542103,665900.000,41041,2,RD,1,100,TU
1734424161.096107,668454.000,41869,2,RD,1,100,TL
1734424163.650110,671008.000,41869,2,RD,1,100,TU
1734424166.211114,673569.000,42708,2,RD,1,100,TL
1734424168.772118,676130.000,42708,2,RD,1,100,TU
1734424171.339121,678697.000,43546,2,RD,1,100,TL
1734424173.906125,681264.000,43546,2,RD,1,100,TU
1734424176.467628,683825.500,44385,2,RD,1,100,TL
1734424179.029132,686387.000,44385,2,RD,1,100,TU
1734424181.587136,688945.000,45224,2,RD,1,100,TL
1734424184.145139,691503.000,45224,2,RD,1,100,TU
1734424186.712643,694070.500,46065,2,RD,1,100,TL
1734424189.280147,696638.000,46065,2,RD,1,100,TU
1734424191.847150,699205.000,46904,2,RD,1,100,TL
1734424194.414154,701772.000,46904,2,RD,1,100,TU
1734424196.969158,704327.000,47728,2,RD,1,100,TL
1734424199.524161,706882.000,47728,2,RD,1,100,TU
1734424202.081165,709439.000,48568,2,RD,1,100,TL
1734424204.638169,711996.000,48568,2,RD,1,100,TU
1734424207.197172,714555.000,49404,2,RD,1,100,TL
1734424209.756176,717114.000,49404,2,RD,1,100,TU
1734424212.320680,719678.500,50243,2,RD,1,100,TL
1734424214.885183,722243.000,50243,2,RD,1,100,TU
1734424217.447187,724805.000,51087,2,RD,1,100,TL
1734424220.009191,727367.000,51087,2,RD,1,100,TU
1734424222.569694,729927.500,51925,2,RD,1,100,TL
1734424225.130198,732488.000,51925,2,RD,1,100,TU
1734424227.684201,735042.000,52750,2,RD,1,100,TL
1734424230.238205,737596.000,52750,2,RD,1,100,TU
1734424232.801709,740159.500,53590,2,RD,1,100,TL
1734424235.365212,742723.000,53590,2,RD,1,100,TU
1734424237.925716,745283.500,54429,2,RD,1,100,TL
1734424240.486220,747844.000,54429,2,RD,1,100,TU
1734424243.043723,750401.500,55265,2,RD,1,100,TL
1734424245.601227,752959.000,55265,2,RD,1,100,TU
1734424248.158231,755516.000,56105,2,RD,1,100,TL
1734424250.715234,758073.000,56105,2,RD,1,100,TU
1734424253.277238,760635.000,56942,2,RD,1,100,TL
1734424255.839242,763197.000,56942,2,RD,1,100,TU
1734424258.396245,765754.000,57785,2,RD,1,100,TL
1734424260.953249,768311.000,57785,2,RD,1,100,TU
1734424263.509753,770867.500,58606,2,RD,1,100,TL
1734424266.066256,773424.000,58606,2,RD,1,100,TU
1734424268.622260,775980.000,59430,2,RD,1,100,TL
1734424271.178263,778536.000,59430,2,RD,1,100,TU
1734424273.731767,781089.500,60256,2,RD,1,100,TL
1734424276.285271,783643.000,60256,2,RD,1,100,TU
1734424278.843774,786201.500,61036,2,RD,1,100,TL
1734424281.402278,788760.000,61036,2,RD,1,100,TU
1734424283.960282,791318.000,61873,2,RD,1,100,TL
1734424286.518285,793876.000,61873,2,RD,1,100,TU
1734424289.074789,796432.500,62715,2,RD,1,100,TL
1734424291.631292,798989.000,62715,2,RD,1,100,TU
1734424294.196296,801554.000,63552,2,RD,1,100,TL
1734424296.761300,804119.000,63552,2,RD,1,100,TU
1734424299.314803,806672.500,64377,2,RD,1,100,TL
1734424301.868307,809226.000,64377,2,RD,1,100,TU
1734424304.433811,811791.500,65221,2,RD,1,100,TL
1734424306.999314,814357.000,65221,2,RD,1,100,TU
1734424309.562818,816920.500,524,2,RD,1,100,TL
1734424312.126322,819484.000,524,2,RD,1,100,TU
1734424314.675325,822033.000,1368,2,RD,1,100,TL
1734424317.224329,824582.000,1368,2,RD,1,100,TU
1734424319.777833,827135.500,2208,2,RD,1,100,TL
1734424322.331336,829689.000,2208,2,RD,1,100,TU
1734424324.896840,832254.500,3061,2,RD,1,100,TL
1734424327.462343,834820.000,3061,2,RD,1,100,TU
1734424330.016347,837374.000,3897,2,RD,1,100,TL
1734424332.570351,839928.000,3897,2,RD,1,100,TU
1734424335.124354,842482.000,4736,2,RD,1,100,TL
1734424337.678358,845036.000,4736,2,RD,1,100,TU
1734424340.234862,847592.500,5571,2,RD,1,100,TL
1734424342.791365,850149.000,5571,2,RD,1,100,TU
1734424345.344869,852702.500,6411,2,RD,1,100,TL
1734424347.898372,855256.000,6411,2,RD,1,100,TU
1734424350.451876,857809.500,7249,2,RD,1,100,TL
1734424353.005380,860363.000,7249,2,RD,1,100,TU
1734424355.561383,862919.000,8084,2,RD,1,100,TL
1734424358.117387,865475.000,8084,2,RD,1,100,TU
1734424360.669391,868027.000,8921,2,RD,1,100,TL
1734424363.221394,870579.000,8921,2,RD,1,100,TU
1734424365.780898,873138.500,9777,2,RD,1,100,TL
1734424368.340402,875698.000,9777,2,RD,1,100,TU
1734424370.906405,878264.000,10617,2,RD,1,100,TL
1734424373.472409,880830.000,10617,2,RD,1,100,TU
1734424376.026412,883384.000,11459,2,RD,1,100,TL
1734424378.580416,885938.000,11459,2,RD,1,100,TU
1734424381.134420,888492.000,12298,2,RD,1,100,TL
1734424383.688423,891046.000,12298,2,RD,1,100,TU
1734424386.251927,893609.500,13153,2,RD,1,100,TL
1734424388.815431,896173.000,13153,2,RD,1,100,TU
1734424391.369934,898727.500,13997,2,RD,1,100,TL
1734424393.924438,901282.000,13997,2,RD,1,100,TU
1734424396.478442,903836.000,14836,2,RD,1,100,TL
1734424399.032445,906390.000,14836,2,RD,1,100,TU
1734424401.586449,908944.000,15681,2,RD,1,100,TL
1734424404.140453,911498.000,15681,2,RD,1,100,TU
1734424406.696956,914054.500,16507,2,RD,1,100,TL
1734424409.253460,916611.000,16507,2,RD,1,100,TU
1734424411.825464,919183.000,17368,2,RD,1,100,TL
1734424414.397467,921755.000,17368,2,RD,1,100,TU
1734424416.951471,924309.000,18216,2,RD,1,100,TL
1734424419.505474,926863.000,18216,2,RD,1,100,TU
1734424422.059978,929417.500,19064,2,RD,1,100,TL
