LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,SA
1734423536.854218,44213,4790,1,SA,1,100,0.004359
1734423538.387220,45746,5099,1,SA,1,100,0.010382
1734423541.054224,48413,5369,1,SA,1,100,0.000107
1734423541.520225,48879,5553,1,SA,1,100,0.002335
1734423551.986240,59345,7354,1,SA,1,100,0.008022
1734423554.653244,62012,7648,1,SA,1,100,0.001431
1734423558.852250,66211,8419,1,SA,1,100,0.008877
1734423560.452252,67811,8606,1,SA,1,100,0.002738
1734423562.585255,69944,8978,1,SA,1,100,0.004014
1734423563.185256,70544,9031,1,SA,1,100,0.000886
1734423564.118257,71477,9232,1,SA,1,100,0.002500
1734423564.652258,72011,9437,1,SA,1,100,0.023676
1734423567.251261,74610,9776,1,SA,1,100,0.005497
1734423568.051263,75410,9828,1,SA,1,100,0.001547
1734423568.718264,76077,9929,1,SA,1,100,0.000380
1734423569.851265,77210,10116,1,SA,1,100,0.000255
1734423570.051265,77410,10158,1,SA,1,100,0.000948
1734423570.651266,78010,10241,1,SA,1,100,0.000026
1734423573.850271,81209,10846,1,SA,1,100,0.004856
1734423575.183273,82542,11171,1,SA,1,100,0.010945
1734423576.984275,84343,11392,1,SA,1,100,0.006450
1734423578.717278,86076,11595,1,SA,1,100,0.000975
1734423578.983278,86342,11629,1,SA,1,100,0.000833
1734423580.850281,88209,12040,1,SA,1,100,0.006514
1734423582.383283,89742,12277,1,SA,1,100,0.003863
1734423583.383285,90742,12411,1,SA,1,100,0.008600
1734423584.650286,92009,12687,1,SA,1,100,0.009988
1734423593.915299,101274,14181,1,SA,1,100,0.003796
1734423595.248301,102607,14423,1,SA,1,100,0.004299
1734423596.181303,103540,14557,1,SA,1,100,0.009624
1734423597.648305,105007,14846,1,SA,1,100,0.007422
1734423604.381314,111740,15958,1,SA,1,100,0.016506
1734423606.447317,113806,16232,1,SA,1,100,0.006478
1734423644.310371,151669,22405,1,SA,1,100,0.003495
1734423645.510373,152869,22540,1,SA,1,100,0.000274
1734423650.443380,157802,23379,1,SA,1,100,0.002782
1734423650.909381,158268,23513,1,SA,1,100,0.005106
1734423662.775398,170134,25600,1,SA,1,100,0.007365
1734423665.374401,172733,25968,1,SA,1,100,0.005018
1734423666.908403,174267,26088,1,SA,1,100,0.000604
1734423667.308404,174667,26178,1,SA,1,100,0.001245
1734423674.840415,182199,27504,1,SA,1,100,0.010279
1734423694.438442,201797,30630,1,SA,1,100,0.004504
1734423697.039446,204398,30982,1,SA,1,100,0.001336
1734423699.238449,206597,31406,1,SA,1,100,0.003015
1734423700.771451,208130,31625,1,SA,1,100,0.001405
1734423707.971462,215330,32838,1,SA,1,100,0.004165
1734423712.370468,219729,33591,1,SA,1,100,0.007177
1734423713.170469,220529,33631,1,SA,1,100,0.000433
1734423716.036473,223395,34165,1,SA,1,100,0.005391
1734423717.236475,224595,34509,1,SA,1,100,0.019787
1734423721.969482,229328,35229,1,SA,1,100,0.016743
1734423723.635484,230994,35354,1,SA,1,100,0.001476
1734423724.969486,232328,35772,1,SA,1,100,0.020687
1734423726.502488,233861,35923,1,SA,1,100,0.017785
1734423731.701496,239060,36782,1,SA,1,100,0.012684
1734423736.834503,244193,37605,1,SA,1,100,0.003896
1734423757.099532,264458,41139,1,SA,1,100,0.038806
1734423760.299536,267658,41380,1,SA,1,100,0.003117
1734423761.432538,268791,41548,1,SA,1,100,0.000653
1734423761.698538,269057,41583,1,SA,1,100,0.000620
1734423762.765540,270124,41803,1,SA,1,100,0.003537
1734423771.364552,278723,43253,1,SA,1,100,0.002368
1734423773.430555,280789,43606,1,SA,1,100,0.002607
1734423774.164556,281523,43643,1,SA,1,100,0.000280
1734423774.764557,282123,43750,1,SA,1,100,0.000526
1734423790.029579,297388,46208,1,SA,1,100,0.000665
1734423790.429579,297788,46293,1,SA,1,100,0.001458
1734423811.560609,318919,49724,1,SA,1,100,0.000943
1734423827.958632,335317,52390,1,SA,1,100,0.000643
1734423831.424638,338783,52998,1,SA,1,100,0.001483
1734423832.492639,339851,53132,1,SA,1,100,0.000945
1734423833.225640,340584,53221,1,SA,1,100,0.000237
1734423833.558640,340917,53374,1,SA,1,100,0.002716
1734423834.758642,342117,53525,1,SA,1,100,0.001896
1734423836.091644,343450,53698,1,SA,1,100,0.000164
1734423836.291644,343650,53767,1,SA,1,100,0.000823
1734423840.490650,347849,54504,1,SA,1,100,0.003478
1734423870.821694,378180,59482,1,SA,1,100,0.004878
1734423872.620696,379979,59689,1,SA,1,100,0.000400
1734423878.220704,385579,60633,1,SA,1,100,0.000212
1734423879.220706,386579,60800,1,SA,1,100,0.000346
1734423881.886709,389245,61277,1,SA,1,100,0.004588
1734423892.752725,400111,63092,1,SA,1,100,0.009037
1734423908.084747,415443,58,1,SA,1,100,0.002123
1734423909.683749,417042,479,1,SA,1,100,0.021359
1734423940.414793,447773,5301,1,SA,1,100,0.000111
1734423944.680799,452039,6057,1,SA,1,100,0.002905
1734423945.946800,453305,6312,1,SA,1,100,0.004399
1734423948.013803,455372,6669,1,SA,1,100,0.007781
1734423949.079805,456438,6771,1,SA,1,100,0.004097
1734423949.747806,457106,6906,1,SA,1,100,0.016971
1734423961.812823,469171,8805,1,SA,1,100,0.000126
1734423962.345824,469704,8925,1,SA,1,100,0.001517
1734423982.077852,489436,12188,1,SA,1,100,0.003560
1734423984.476855,491835,12614,1,SA,1,100,0.003368
1734424009.341891,516700,16625,1,SA,1,100,0.000082
1734424050.603949,557962,23562,1,SA,1,100,0.014426
1734424053.336953,560695,23982,1,SA,1,100,0.007937
1734424056.402958,563761,24406,1,SA,1,100,0.002455
1734424071.134979,578493,26921,1,SA,1,100,0.010614
1734424081.866994,589225,28598,1,SA,1,100,0.005463
1734424085.867000,593225,29201,1,SA,1,100,0.000262
1734424087.533002,594891,29542,1,SA,1,100,0.005798
1734424088.601003,595959,29679,1,SA,1,100,0.002531
1734424097.999017,605357,31330,1,SA,1,100,0.012104
1734424099.399019,606757,31415,1,SA,1,100,0.001237
1734424111.064035,618422,33348,1,SA,1,100,0.006549
1734424112.465037,619823,33538,1,SA,1,100,0.004202
1734424125.330056,632688,35704,1,SA,1,100,0.008830
1734424126.663058,634021,35857,1,SA,1,100,0.004852
1734424127.929060,635287,36117,1,SA,1,100,0.004339
1734424132.263066,639621,36800,1,SA,1,100,0.004371
1734424134.862069,642220,37177,1,SA,1,100,0.000201
1734424135.129070,642487,37227,1,SA,1,100,0.001275
1734424137.328073,644686,37630,1,SA,1,100,0.001110
1734424146.861086,654219,39212,1,SA,1,100,0.001311
1734424161.459107,668817,41564,1,SA,1,100,0.000753
1734424218.120188,725478,50981,1,SA,1,100,0.004261
1734424219.520190,726878,51067,1,SA,1,100,0.004546
1734424257.783244,765141,57449,1,SA,1,100,0.003402
1734424260.449248,767807,57749,1,SA,1,100,0.000285
1734424272.048265,779406,59636,1,SA,1,100,0.002706
1734424296.912300,804270,63657,1,SA,1,100,0.001162
1734424302.178308,809536,64483,1,SA,1,100,0.000751
1734424306.711314,814069,65184,1,SA,1,100,0.000129
1734424311.644321,819002,504,1,SA,1,100,0.000632
1734424312.244322,819602,580,1,SA,1,100,0.000370
1734424312.911323,820269,849,1,SA,1,100,0.002907
1734424315.577327,822935,1200,1,SA,1,100,0.002060
1734424338.775360,846133,4956,1,SA,1,100,0.000340
1734424363.172394,870530,9242,1,SA,1,100,0.030392
1734424385.837426,893195,12881,1,SA,1,100,0.021331
1734424388.770431,896128,13205,1,SA,1,100,0.008520
1734424389.904432,897262,13369,1,SA,1,100,0.001005
1734424391.703435,899061,13842,1,SA,1,100,0.043706
1734424402.568450,909926,15507,1,SA,1,100,0.002907
1734424403.102451,910460,15627,1,SA,1,100,0.013770
1734424410.102461,917460,16810,1,SA,1,100,0.004510
1734424411.167463,918525,16930,1,SA,1,100,0.003718
1734424412.501464,919859,17082,1,SA,1,100,0.000603
1734424418.900474,926258,18161,1,SA,1,100,0.000627
1734424419.967475,927325,18354,1,SA,1,100,0.000316
1734424422.101478,929459,18690,1,SA,1,100,0.000277
1734424422.366478,929724,18740,1,SA,1,100,0.000832
1734424426.833485,934191,19670,1,SA,1,100,0.012041
1734424430.632490,937990,20113,1,SA,1,100,0.001315
1734424447.031514,954389,22921,1,SA,1,100,0.010280
1734424448.497516,955855,23378,1,SA,1,100,0.059941
1734424451.163519,958521,23481,1,SA,1,100,0.006290
1734424454.830525,962188,24172,1,SA,1,100,0.004017
1734424455.964526,963322,24255,1,SA,1,100,0.000412
1734424456.164527,963522,24342,1,SA,1,100,0.005738
1734424472.895550,980253,27265,1,SA,1,100,0.050490
1734424488.760573,996118,29719,1,SA,1,100,0.004380
1734424500.559590,1007917,31602,1,SA,1,100,0.000508
1734424503.892595,1011250,32194,1,SA,1,100,0.001833
1734424504.492595,1011850,32247,1,SA,1,100,0.000510
1734424513.024607,1020382,33767,1,SA,1,100,0.011893
1734424514.157609,1021515,33836,1,SA,1,100,0.003074
1734424523.957623,1031315,35371,1,SA,1,100,0.004709
1734424534.222638,1041580,37084,1,SA,1,100,0.004405
1734424551.087662,1058445,39989,1,SA,1,100,0.030992
1734424553.621665,1060979,40191,1,SA,1,100,0.007072
1734424566.419683,1073777,42384,1,SA,1,100,0.010437
1734424582.217706,1089575,44911,1,SA,1,100,0.001613
1734424583.017707,1090375,45004,1,SA,1,100,0.002138
1734424607.615742,1114973,49025,1,SA,1,100,0.000582
1734424631.545776,1138903,53034,1,SA,1,100,0.008743
1734424633.013778,1140371,53361,1,SA,1,100,0.044809
1734424634.945781,1142303,53478,1,SA,1,100,0.005276
1734424647.144799,1154502,55511,1,SA,1,100,0.003108
1734424653.477808,1160835,56760,1,SA,1,100,0.018640
1734424655.210810,1162568,56879,1,SA,1,100,0.014668
1734424664.542823,1171900,58383,1,SA,1,100,0.004330
1734424685.341853,1192699,61848,1,SA,1,100,0.009769
1734424686.940855,1194298,62153,1,SA,1,100,0.022077
1734424688.340857,1195698,62206,1,SA,1,100,0.002274
1734424696.806869,1204164,63639,1,SA,1,100,0.012404
1734424697.873871,1205231,63793,1,SA,1,100,0.010887
1734424701.139875,1208497,64288,1,SA,1,100,0.003454
1734424701.672876,1209030,64372,1,SA,1,100,0.006150
1734424702.138877,1209496,64424,1,SA,1,100,0.002421
1734424702.606877,1209964,64678,1,SA,1,100,0.035508
1734424705.471881,1212829,65051,1,SA,1,100,0.008618
1734424706.538883,1213896,65120,1,SA,1,100,0.000792
1734424714.071894,1221429,857,1,SA,1,100,0.000430
1734424720.003902,1227361,1852,1,SA,1,100,0.005019
1734424724.136908,1231494,2562,1,SA,1,100,0.010756
1734424741.002932,1248360,5347,1,SA,1,100,0.007410
1734424759.800959,1267158,8346,1,SA,1,100,0.002852
1734424763.533964,1270891,9067,1,SA,1,100,0.034858
1734424776.198982,1283556,11175,1,SA,1,100,0.017448
1734424778.398985,1285756,11468,1,SA,1,100,0.018355
1734424779.397987,1286755,11554,1,SA,1,100,0.010287
1734424787.330998,1294688,12870,1,SA,1,100,0.009415
