LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,SF
1734423536.921218,44280.000,4673,1,SF,1,100,15.8572
1734423537.254219,44613.000,4722,1,SF,1,100,15.6737
1734423537.587219,44946.000,4772,1,SF,1,100,15.4924
1734423537.987220,45346.000,4841,1,SF,1,100,17.3955
1734423538.254220,45613.000,4894,1,SF,1,100,17.1942
1734423538.587221,45946.000,4942,1,SF,1,100,16.9953
1734423538.987221,46346.000,5009,1,SF,1,100,16.7987
1734423539.254222,46613.000,5060,1,SF,1,100,16.6044
1734423539.587222,46946.000,5101,1,SF,1,100,18.4946
1734423539.987223,47346.000,5168,1,SF,1,100,18.2806
1734423540.320223,47679.000,5220,1,SF,1,100,18.0691
1734423540.587224,47946.000,5268,1,SF,1,100,17.8601
1734423540.920224,48279.000,5319,1,SF,1,100,17.6535
1734423541.320225,48679.000,5386,1,SF,1,100,19.5315
1734423541.587225,48946.000,5436,1,SF,1,100,19.3056
1734423541.920225,49279.000,5485,1,SF,1,100,19.0823
1734423542.253226,49612.000,5535,1,SF,1,100,18.8615
1734423542.653227,50012.000,5604,1,SF,1,100,20.7256
1734423542.920227,50279.000,5655,1,SF,1,100,20.4858
1734423543.253227,50612.000,5705,1,SF,1,100,20.2489
1734423543.653228,51012.000,5772,1,SF,1,100,20.0146
1734423543.920228,51279.000,5823,1,SF,1,100,19.7831
1734423544.253229,51612.000,5872,1,SF,1,100,19.5542
1734423544.587229,51946.000,5929,1,SF,1,100,19.3280
1734423544.920230,52279.000,5977,1,SF,1,100,19.1044
1734423545.320230,52679.000,6044,1,SF,1,100,18.8834
1734423545.587231,52946.000,6095,1,SF,1,100,18.6650
1734423545.920231,53279.000,6145,1,SF,1,100,18.4491
1734423546.253232,53612.000,6194,1,SF,1,100,18.2357
1734423546.653232,54012.000,6261,1,SF,1,100,18.0247
1734423546.920233,54279.000,6311,1,SF,1,100,17.8162
1734423547.253233,54612.000,6362,1,SF,1,100,17.6101
1734423547.653234,55012.000,6427,1,SF,1,100,17.4064
1734423547.986234,55345.000,6479,1,SF,1,100,17.2050
1734423548.253234,55612.000,6532,1,SF,1,100,17.0060
1734423548.586235,55945.000,6580,1,SF,1,100,16.8093
1734423548.986236,56345.000,6647,1,SF,1,100,16.6148
1734423549.253236,56612.000,6696,1,SF,1,100,16.4226
1734423549.586236,56945.000,6747,1,SF,1,100,16.2326
1734423549.919237,57278.000,6802,1,SF,1,100,16.0449
1734423550.253237,57612.000,6850,1,SF,1,100,15.8593
1734423550.653238,58012.000,6918,1,SF,1,100,15.6758
1734423550.986238,58345.000,6968,1,SF,1,100,15.4945
1734423551.253239,58612.000,7018,1,SF,1,100,15.3152
1734423551.586239,58945.000,7067,1,SF,1,100,15.1380
1734423551.986240,59345.000,7134,1,SF,1,100,14.9629
1734423552.253240,59612.000,7186,1,SF,1,100,14.7898
1734423552.586241,59945.000,7235,1,SF,1,100,14.6187
1734423552.986241,60345.000,7304,1,SF,1,100,14.4496
1734423553.319242,60678.000,7356,1,SF,1,100,16.3647
1734423553.586242,60945.000,7407,1,SF,1,100,16.1754
