LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,SR
1734423536.854218,44213,4791,1,SR,1,100,0.733333
1734423538.387220,45746,5100,1,SR,1,100,1.066667
1734423541.054224,48413,5370,1,SR,1,100,0.066667
1734423541.520225,48879,5554,1,SR,1,100,0.733333
1734423551.986240,59345,7355,1,SR,1,100,1.200000
1734423554.653244,62012,7649,1,SR,1,100,0.333333
1734423558.852250,66211,8420,1,SR,1,100,0.800000
1734423560.452252,67811,8607,1,SR,1,100,0.266667
1734423562.585255,69944,8979,1,SR,1,100,0.466667
1734423563.185256,70544,9032,1,SR,1,100,0.133333
1734423564.118257,71477,9233,1,SR,1,100,0.400000
1734423564.652258,72011,9438,1,SR,1,100,1.133333
1734423567.251261,74610,9777,1,SR,1,100,0.666667
1734423568.051263,75410,9829,1,SR,1,100,0.133333
1734423568.718264,76077,9930,1,SR,1,100,0.066667
1734423569.851265,77210,10117,1,SR,1,100,0.066667
1734423570.051265,77410,10159,1,SR,1,100,0.200000
1734423570.651266,78010,10242,1,SR,1,100,0.066667
1734423573.850271,81209,10847,1,SR,1,100,0.533333
1734423575.183273,82542,11172,1,SR,1,100,1.133333
1734423576.984275,84343,11393,1,SR,1,100,0.666667
1734423578.717278,86076,11596,1,SR,1,100,0.133333
1734423578.983278,86342,11630,1,SR,1,100,0.066667
1734423580.850281,88209,12041,1,SR,1,100,0.733333
1734423582.383283,89742,12278,1,SR,1,100,0.600000
1734423583.383285,90742,12412,1,SR,1,100,0.466667
1734423584.650286,92009,12688,1,SR,1,100,0.800000
1734423593.915299,101274,14182,1,SR,1,100,0.666667
1734423595.248301,102607,14424,1,SR,1,100,0.800000
1734423596.181303,103540,14558,1,SR,1,100,0.666667
1734423597.648305,105007,14847,1,SR,1,100,0.933333
1734423604.381314,111740,15959,1,SR,1,100,1.000000
1734423606.447317,113806,16233,1,SR,1,100,0.600000
1734423644.310371,151669,22406,1,SR,1,100,0.400000
1734423645.510373,152869,22541,1,SR,1,100,0.066667
1734423650.443380,157802,23380,1,SR,1,100,0.200000
1734423650.909381,158268,23514,1,SR,1,100,0.533333
1734423662.775398,170134,25601,1,SR,1,100,1.266667
1734423665.374401,172733,25969,1,SR,1,100,0.866667
1734423666.908403,174267,26089,1,SR,1,100,0.133333
1734423667.308404,174667,26179,1,SR,1,100,0.200000
1734423674.840415,182199,27505,1,SR,1,100,0.933333
1734423694.438442,201797,30631,1,SR,1,100,0.600000
1734423697.039446,204398,30983,1,SR,1,100,0.200000
1734423699.238449,206597,31407,1,SR,1,100,0.466667
1734423700.771451,208130,31626,1,SR,1,100,0.333333
1734423707.971462,215330,32839,1,SR,1,100,0.533333
1734423712.370468,219729,33592,1,SR,1,100,0.666667
1734423713.170469,220529,33632,1,SR,1,100,0.066667
1734423716.036473,223395,34166,1,SR,1,100,0.533333
1734423717.236475,224595,34510,1,SR,1,100,1.400000
1734423721.969482,229328,35230,1,SR,1,100,1.000000
1734423723.635484,230994,35355,1,SR,1,100,0.133333
1734423724.969486,232328,35773,1,SR,1,100,1.266667
1734423726.502488,233861,35924,1,SR,1,100,0.666667
1734423731.701496,239060,36783,1,SR,1,100,0.666667
1734423736.834503,244193,37606,1,SR,1,100,0.600000
1734423757.099532,264458,41140,1,SR,1,100,2.000000
