LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,T1
1734423536.847218,44206.000,4660,1,T1,1,100,33.134
1734423536.981218,44340.000,4694,1,T1,1,100,33.022
1734423537.114219,44473.000,4710,1,T1,1,100,33.081
1734423537.247219,44606.000,4728,1,T1,1,100,33.070
1734423537.380219,44739.000,4759,1,T1,1,100,33.066
1734423537.514219,44873.000,4778,1,T1,1,100,32.958
1734423537.647219,45006.000,4797,1,T1,1,100,33.088
1734423537.780220,45139.000,4813,1,T1,1,100,33.038
1734423537.914220,45273.000,4847,1,T1,1,100,33.123
1734423538.047220,45406.000,4866,1,T1,1,100,33.160
1734423538.180220,45539.000,4882,1,T1,1,100,33.034
1734423538.314220,45673.000,4914,1,T1,1,100,33.085
1734423538.447221,45806.000,4931,1,T1,1,100,33.143
1734423538.580221,45939.000,4948,1,T1,1,100,33.097
1734423538.714221,46073.000,4981,1,T1,1,100,32.971
1734423538.847221,46206.000,4998,1,T1,1,100,33.058
1734423538.980221,46339.000,5015,1,T1,1,100,32.954
1734423539.114222,46473.000,5048,1,T1,1,100,32.980
1734423539.247222,46606.000,5066,1,T1,1,100,33.169
1734423539.380722,46739.500,5088,2,T1,1,100,33.073
1734423539.514222,46873.000,5088,2,T1,1,100,33.103
1734423539.647222,47006.000,5125,1,T1,1,100,33.151
1734423539.780222,47139.000,5141,1,T1,1,100,33.136
1734423539.913223,47272.000,5158,1,T1,1,100,33.165
1734423540.047223,47406.000,5190,1,T1,1,100,33.178
1734423540.180223,47539.000,5206,1,T1,1,100,33.077
1734423540.314223,47673.000,5226,1,T1,1,100,33.211
1734423540.447223,47806.000,5257,1,T1,1,100,33.197
1734423540.580224,47939.000,5274,1,T1,1,100,33.227
1734423540.713224,48072.000,5291,1,T1,1,100,33.205
1734423540.847224,48206.000,5325,1,T1,1,100,33.159
1734423540.980224,48339.000,5341,1,T1,1,100,33.069
1734423541.113224,48472.000,5358,1,T1,1,100,33.136
1734423541.247225,48606.000,5392,1,T1,1,100,33.130
1734423541.380225,48739.000,5408,1,T1,1,100,33.198
1734423541.513225,48872.000,5425,1,T1,1,100,33.228
1734423541.647225,49006.000,5442,1,T1,1,100,33.311
1734423541.780225,49139.000,5473,1,T1,1,100,33.241
1734423541.913225,49272.000,5491,1,T1,1,100,33.140
1734423542.047226,49406.000,5509,1,T1,1,100,33.096
1734423542.180226,49539.000,5541,1,T1,1,100,33.183
1734423542.313226,49672.000,5560,1,T1,1,100,33.186
1734423542.447226,49806.000,5576,1,T1,1,100,33.151
1734423542.580226,49939.000,5610,1,T1,1,100,33.172
1734423542.713227,50072.000,5627,1,T1,1,100,33.145
