LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,TH
1734423536.862218,44221.000,4661,1,TH,1,100,33.359
1734423536.995219,44354.000,4695,1,TH,1,100,33.359
1734423537.129219,44488.000,4711,1,TH,1,100,33.356
1734423537.262219,44621.000,4729,1,TH,1,100,33.363
1734423537.395219,44754.000,4760,1,TH,1,100,33.427
1734423537.529219,44888.000,4779,1,TH,1,100,33.427
1734423537.662220,45021.000,4798,1,TH,1,100,33.353
1734423537.795220,45154.000,4814,1,TH,1,100,33.360
1734423537.929220,45288.000,4848,1,TH,1,100,33.393
1734423538.062220,45421.000,4867,1,TH,1,100,33.393
1734423538.195220,45554.000,4883,1,TH,1,100,33.297
1734423538.329220,45688.000,4915,1,TH,1,100,33.304
1734423538.462221,45821.000,4932,1,TH,1,100,33.436
1734423538.595221,45954.000,4949,1,TH,1,100,33.436
1734423538.729221,46088.000,4982,1,TH,1,100,33.378
1734423538.862221,46221.000,4999,1,TH,1,100,33.378
1734423538.995221,46354.000,5016,1,TH,1,100,33.404
1734423539.129221,46488.000,5049,1,TH,1,100,33.411
1734423539.262222,46621.000,5067,1,TH,1,100,33.380
1734423539.395222,46754.000,5089,1,TH,1,100,33.380
1734423539.528222,46887.000,5107,1,TH,1,100,33.402
1734423539.662222,47021.000,5126,1,TH,1,100,33.402
1734423539.795223,47154.000,5142,1,TH,1,100,33.382
1734423539.928223,47287.000,5174,1,TH,1,100,33.389
1734423540.062223,47421.000,5191,1,TH,1,100,33.373
1734423540.195223,47554.000,5207,1,TH,1,100,33.373
1734423540.328223,47687.000,5227,1,TH,1,100,33.355
1734423540.462223,47821.000,5258,1,TH,1,100,33.362
1734423540.595224,47954.000,5275,1,TH,1,100,33.405
1734423540.728224,48087.000,5292,1,TH,1,100,33.405
1734423540.862224,48221.000,5326,1,TH,1,100,33.369
1734423540.995224,48354.000,5342,1,TH,1,100,33.369
1734423541.128224,48487.000,5359,1,TH,1,100,33.456
1734423541.262224,48621.000,5393,1,TH,1,100,33.463
1734423541.395225,48754.000,5409,1,TH,1,100,33.419
1734423541.528225,48887.000,5426,1,TH,1,100,33.419
1734423541.661225,49020.000,5458,1,TH,1,100,33.445
1734423541.795225,49154.000,5474,1,TH,1,100,33.452
1734423541.928226,49287.000,5492,1,TH,1,100,33.481
1734423542.062226,49421.000,5510,1,TH,1,100,33.481
1734423542.195226,49554.000,5542,1,TH,1,100,33.366
1734423542.328226,49687.000,5561,1,TH,1,100,33.366
1734423542.461226,49820.000,5577,1,TH,1,100,33.420
1734423542.595227,49954.000,5611,1,TH,1,100,33.427
1734423542.728227,50087.000,5628,1,TH,1,100,33.367
1734423542.862227,50221.000,5644,1,TH,1,100,33.367
1734423542.995227,50354.000,5678,1,TH,1,100,33.432
1734423543.128227,50487.000,5695,1,TH,1,100,33.432
1734423543.261227,50620.000,5712,1,TH,1,100,33.398
1734423543.395228,50754.000,5745,1,TH,1,100,33.405
1734423543.528228,50887.000,5762,1,TH,1,100,33.324
1734423543.661228,51020.000,5779,1,TH,1,100,33.324
1734423543.795228,51154.000,5810,1,TH,1,100,33.417
1734423543.928228,51287.000,5830,1,TH,1,100,33.424
1734423544.061229,51420.000,5846,1,TH,1,100,33.354
1734423544.195229,51554.000,5878,1,TH,1,100,33.354
1734423544.328229,51687.000,5895,1,TH,1,100,33.387
1734423544.461229,51820.000,5911,1,TH,1,100,33.387
1734423544.595229,51954.000,5936,1,TH,1,100,33.423
1734423544.728230,52087.000,5952,1,TH,1,100,33.430
1734423544.861230,52220.000,5984,1,TH,1,100,33.461
1734423544.995230,52354.000,6001,1,TH,1,100,33.461
1734423545.128230,52487.000,6017,1,TH,1,100,33.457
1734423545.261230,52620.000,6051,1,TH,1,100,33.457
1734423545.394230,52753.000,6068,1,TH,1,100,33.432
1734423545.528231,52887.000,6084,1,TH,1,100,33.439
1734423545.661231,53020.000,6116,1,TH,1,100,33.482
1734423545.794231,53153.000,6135,1,TH,1,100,33.482
1734423545.928231,53287.000,6152,1,TH,1,100,33.456
1734423546.061231,53420.000,6169,1,TH,1,100,33.463
1734423546.194232,53553.000,6201,1,TH,1,100,33.494
1734423546.328232,53687.000,6217,1,TH,1,100,33.494
1734423546.461232,53820.000,6236,1,TH,1,100,33.424
1734423546.594232,53953.000,6268,1,TH,1,100,33.424
