LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,TL
1734423539.391222,46750.000,5077,1,TL,1,100,2024-12-17_15-18-54-496139
1734423539.398222,46757.000,5079,1,TL,1,100,2024-12-17_15-18-54-500240
1734423544.516229,51875.000,5921,1,TL,1,100,2024-12-17_15-18-59-487820
1734423544.518229,51877.000,5923,1,TL,1,100,2024-12-17_15-18-59-687533
1734423549.648237,57007.000,6763,1,TL,1,100,2024-12-17_15-19-04-752671
1734423554.776244,62135.000,7606,1,TL,1,100,2024-12-17_15-19-10-185043
1734423554.779244,62138.000,7608,1,TL,1,100,2024-12-17_15-19-10-263395
1734423559.952251,67311.000,8452,1,TL,1,100,2024-12-17_15-19-19-942666
1734423565.010258,72369.000,9300,1,TL,1,100,2024-12-17_15-19-20-019994
1734423570.121266,77480.000,10133,1,TL,1,100,2024-12-17_15-19-25-063025
1734423570.123266,77482.000,10135,1,TL,1,100,2024-12-17_15-19-25-217615
1734423575.235273,82594.000,10980,1,TL,1,100,2024-12-17_15-19-30-278726
1734423575.241273,82600.000,10982,1,TL,1,100,2024-12-17_15-19-30-339766
1734423580.360280,87719.000,11832,1,TL,1,100,2024-12-17_15-19-35-389487
1734423580.363280,87722.000,11834,1,TL,1,100,2024-12-17_15-19-35-420127
1734423585.473287,92832.000,12679,1,TL,1,100,2024-12-17_15-19-40-423103
1734423585.478287,92837.000,12681,1,TL,1,100,2024-12-17_15-19-40-531276
1734423585.528288,92887.000,12684,1,TL,1,100,2024-12-17_15-19-45-514913
1734423590.584295,97943.000,13523,1,TL,1,100,2024-12-17_15-19-45-576865
1734423595.709302,103068.000,14367,1,TL,1,100,2024-12-17_15-19-50-982308
1734423595.712302,103071.000,14369,1,TL,1,100,2024-12-17_15-19-51-058479
1734423600.837309,108196.000,15214,1,TL,1,100,2024-12-17_15-19-55-868009
1734423600.839309,108198.000,15216,1,TL,1,100,2024-12-17_15-19-55-946204
1734423605.944317,113303.000,16043,1,TL,1,100,2024-12-17_15-20-01-183386
1734423605.947317,113306.000,16045,1,TL,1,100,2024-12-17_15-20-01-215030
1734423611.065324,118424.000,16885,1,TL,1,100,2024-12-17_15-20-06-049683
1734423611.068324,118427.000,16887,1,TL,1,100,2024-12-17_15-20-06-235413
1734423616.177331,123536.000,17722,1,TL,1,100,2024-12-17_15-20-12-004596
1734423616.182331,123541.000,17724,1,TL,1,100,2024-12-17_15-20-12-036185
1734423621.301338,128660.000,18562,1,TL,1,100,2024-12-17_15-20-16-462079
1734423621.303339,128662.000,18564,1,TL,1,100,2024-12-17_15-20-16-492549
1734423621.355339,128714.000,18567,1,TL,1,100,2024-12-17_15-20-21-343535
1734423626.408346,133767.000,19402,1,TL,1,100,2024-12-17_15-20-21-439106
1734423626.475346,133834.000,19405,1,TL,1,100,2024-12-17_15-20-26-457814
1734423631.516353,138875.000,20239,1,TL,1,100,2024-12-17_15-20-26-535417
1734423636.624360,143983.000,21058,1,TL,1,100,2024-12-17_15-20-31-599726
1734423636.627360,143986.000,21060,1,TL,1,100,2024-12-17_15-20-31-755994
1734423641.743367,149102.000,21896,1,TL,1,100,2024-12-17_15-20-36-728712
1734423641.746367,149105.000,21898,1,TL,1,100,2024-12-17_15-20-36-883823
1734423641.792368,149151.000,21901,1,TL,1,100,2024-12-17_15-20-41-782753
1734423646.854375,154213.000,22739,1,TL,1,100,2024-12-17_15-20-41-846029
1734423646.908375,154267.000,22742,1,TL,1,100,2024-12-17_15-20-46-882596
1734423651.964382,159323.000,23582,1,TL,1,100,2024-12-17_15-20-46-960754
1734423651.986382,159345.000,23585,1,TL,1,100,2024-12-17_15-20-51-975743
1734423657.090389,164449.000,24436,1,TL,1,100,2024-12-17_15-20-52-021471
1734423657.125389,164484.000,24439,1,TL,1,100,2024-12-17_15-20-57-116819
1734423662.198397,169557.000,25276,1,TL,1,100,2024-12-17_15-20-57-195520
1734423662.230397,169589.000,25279,1,TL,1,100,2024-12-17_15-21-02-211905
1734423667.306404,174665.000,26121,1,TL,1,100,2024-12-17_15-21-02-275178
1734423667.336404,174695.000,26124,1,TL,1,100,2024-12-17_15-21-07-321696
1734423672.416411,179775.000,26949,1,TL,1,100,2024-12-17_15-21-07-366834
1734423672.443411,179802.000,26952,1,TL,1,100,2024-12-17_15-21-12-434652
1734423677.524418,184883.000,27790,1,TL,1,100,2024-12-17_15-21-12-481360
1734423677.554419,184913.000,27793,1,TL,1,100,2024-12-17_15-21-17-547336
1734423682.632426,189991.000,28629,1,TL,1,100,2024-12-17_15-21-17-610194
1734423682.661426,190020.000,28632,1,TL,1,100,2024-12-17_15-21-22-652318
1734423687.740433,195099.000,29422,1,TL,1,100,2024-12-17_15-21-22-714694
1734423687.766433,195125.000,29425,1,TL,1,100,2024-12-17_15-21-27-757097
1734423692.850440,200209.000,30259,1,TL,1,100,2024-12-17_15-21-27-817892
1734423697.969448,205328.000,31103,1,TL,1,100,2024-12-17_15-21-33-005592
