RD,TS_received,TS_sent,AK,RoundTrip,
46761,51875,2024-12-17_15-18-59-487820,51876,5114,
51882,57007,2024-12-17_15-19-04-752671,57008,5125,
57009,62135,2024-12-17_15-19-10-185043,62136,5126,
62140,
67260,67311,2024-12-17_15-19-19-942666,67312,51,
72375,77480,2024-12-17_15-19-25-063025,77481,5105,
77484,82594,2024-12-17_15-19-30-278726,82598,5110,
82603,87719,2024-12-17_15-19-35-389487,87720,5116,
87724,92832,2024-12-17_15-19-40-423103,92833,5108,
92839,92887,2024-12-17_15-19-45-514913,92890,48,
97945,103068,2024-12-17_15-19-50-982308,103070,5123,
103075,108196,2024-12-17_15-19-55-868009,108197,5121,
108202,113303,2024-12-17_15-20-01-183386,113305,5101,
113308,118424,2024-12-17_15-20-06-049683,118425,5116,
118429,123536,2024-12-17_15-20-12-004596,123540,5107,
123543,128660,2024-12-17_15-20-16-462079,128661,5117,
128664,128714,2024-12-17_15-20-21-343535,128715,50,
133769,133834,2024-12-17_15-20-26-457814,133836,65,
138881,143983,2024-12-17_15-20-31-599726,143984,5102,
143987,149102,2024-12-17_15-20-36-728712,149103,5115,
149107,149151,2024-12-17_15-20-41-782753,149153,44,
154218,154267,2024-12-17_15-20-46-882596,154271,49,
159325,159345,2024-12-17_15-20-51-975743,159346,20,
164451,164484,2024-12-17_15-20-57-116819,164485,33,
169559,169589,2024-12-17_15-21-02-211905,169590,30,
174670,174695,2024-12-17_15-21-07-321696,174697,25,
179777,179802,2024-12-17_15-21-12-434652,179804,25,
184885,184913,2024-12-17_15-21-17-547336,184914,28,
189993,190020,2024-12-17_15-21-22-652318,190021,27,
195100,195125,2024-12-17_15-21-27-757097,195126,25,
200213,205328,2024-12-17_15-21-33-005592,205333,5115,
205334,205362,2024-12-17_15-21-37-987842,205363,28,
210443,210465,2024-12-17_15-21-43-100033,210466,22,
215550,215562,2024-12-17_15-21-48-197462,215564,12,
220658,220746,2024-12-17_15-21-53-335850,225777,88,
225780,225806,2024-12-17_15-21-58-439596,225807,26,
230909,230963,2024-12-17_15-22-03-581341,230965,54,
236026,236071,2024-12-17_15-22-08-702380,236075,45,
