LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,AK
1735218293.956458,246080.000,37885,2,AK,1,100,37068
1735218293.956458,246080.000,37885,2,AK,1,100,RD
1735218293.967958,246091.500,37888,2,AK,1,100,37886
1735218293.979459,246103.000,37888,2,AK,1,100,RD
1735218296.521480,248645.000,38724,2,AK,1,100,37886
1735218299.063502,251187.000,38724,2,AK,1,100,RD
1735218301.617524,253741.000,39559,2,AK,1,100,38725
1735218304.171546,256295.000,39559,2,AK,1,100,RD
1735218304.172546,256296.000,39561,2,AK,1,100,38725
1735218304.173547,256297.000,39561,2,AK,1,100,RD
1735218304.205547,256329.000,39564,2,AK,1,100,39562
1735218304.237547,256361.000,39564,2,AK,1,100,RD
1735218306.763069,258886.500,40401,2,AK,1,100,39562
1735218309.288591,261412.000,40401,2,AK,1,100,RD
1735218311.844613,263968.000,41235,2,AK,1,100,40402
1735218314.400635,266524.000,41235,2,AK,1,100,RD
1735218314.403635,266527.000,41237,2,AK,1,100,40402
1735218314.406635,266530.000,41237,2,AK,1,100,RD
1735218314.422635,266546.000,41240,2,AK,1,100,41238
1735218314.438635,266562.000,41240,2,AK,1,100,RD
1735218316.979657,269103.000,42073,2,AK,1,100,41238
1735218319.520679,271644.000,42073,2,AK,1,100,RD
1735218319.550179,271673.500,42076,2,AK,1,100,42074
1735218319.579679,271703.000,42076,2,AK,1,100,RD
1735218322.105701,274229.000,42879,2,AK,1,100,42074
1735218324.631723,276755.000,42879,2,AK,1,100,RD
1735218324.640723,276764.000,42882,2,AK,1,100,42880
1735218324.649723,276773.000,42882,2,AK,1,100,RD
1735218327.194245,279317.500,43700,2,AK,1,100,42880
1735218329.738767,281862.000,43700,2,AK,1,100,RD
1735218329.751767,281875.000,43703,2,AK,1,100,43701
1735218329.764767,281888.000,43703,2,AK,1,100,RD
1735218332.306789,284430.000,44529,2,AK,1,100,43701
1735218334.848811,286972.000,44529,2,AK,1,100,RD
1735218337.421333,289544.500,45320,2,AK,1,100,44530
1735218339.993855,292117.000,45320,2,AK,1,100,RD
1735218339.994856,292118.000,45322,2,AK,1,100,44530
1735218339.995856,292119.000,45322,2,AK,1,100,RD
1735218342.553378,294676.500,46155,2,AK,1,100,45323
1735218345.110900,297234.000,46155,2,AK,1,100,RD
1735218345.112400,297235.500,46157,2,AK,1,100,45323
1735218345.113900,297237.000,46157,2,AK,1,100,RD
1735218345.148900,297272.000,46160,2,AK,1,100,46158
1735218345.183900,297307.000,46160,2,AK,1,100,RD
1735218347.703922,299827.000,46991,2,AK,1,100,46158
1735218350.223944,302347.000,46991,2,AK,1,100,RD
1735218352.789966,304913.000,47827,2,AK,1,100,46992
1735218355.355988,307479.000,47827,2,AK,1,100,RD
1735218355.358488,307481.500,47829,2,AK,1,100,46992
1735218355.360988,307484.000,47829,2,AK,1,100,RD
1735218357.912510,310035.500,48637,2,AK,1,100,47830
1735218360.464032,312587.000,48637,2,AK,1,100,RD
1735218360.466032,312589.000,48639,2,AK,1,100,47830
1735218360.468032,312591.000,48639,2,AK,1,100,RD
1735218360.481532,312604.500,48642,2,AK,1,100,48640
1735218360.495033,312618.000,48642,2,AK,1,100,RD
1735218363.034554,315157.500,49463,2,AK,1,100,48640
1735218365.574076,317697.000,49463,2,AK,1,100,RD
1735218365.587576,317710.500,49466,2,AK,1,100,49464
1735218365.601077,317724.000,49466,2,AK,1,100,RD
1735218368.141598,320264.500,50282,2,AK,1,100,49464
1735218370.682120,322805.000,50282,2,AK,1,100,RD
1735218373.237142,325360.000,51070,2,AK,1,100,50283
1735218375.792165,327915.000,51070,2,AK,1,100,RD
1735218375.793664,327916.500,51072,2,AK,1,100,50283
1735218375.795165,327918.000,51072,2,AK,1,100,RD
1735218378.351187,330474.000,51908,2,AK,1,100,51073
1735218380.907209,333030.000,51908,2,AK,1,100,RD
1735218380.909209,333032.000,51910,2,AK,1,100,51073
1735218380.911209,333034.000,51910,2,AK,1,100,RD
1735218380.965709,333088.500,51913,2,AK,1,100,51911
1735218381.020210,333143.000,51913,2,AK,1,100,RD
1735218383.524731,335647.500,52745,2,AK,1,100,51911
1735218386.029253,338152.000,52745,2,AK,1,100,RD
1735218388.591275,340714.000,53582,2,AK,1,100,52746
1735218391.153297,343276.000,53582,2,AK,1,100,RD
1735218391.156297,343279.000,53584,2,AK,1,100,52746
1735218391.159297,343282.000,53584,2,AK,1,100,RD
1735218393.711319,345834.000,54402,2,AK,1,100,53585
1735218396.263341,348386.000,54402,2,AK,1,100,RD
1735218396.264841,348387.500,54404,2,AK,1,100,53585
1735218396.266341,348389.000,54404,2,AK,1,100,RD
1735218398.832863,350955.500,55239,2,AK,1,100,54405
1735218401.399385,353522.000,55239,2,AK,1,100,RD
1735218403.959408,356082.000,56077,2,AK,1,100,55240
1735218406.519430,358642.000,56077,2,AK,1,100,RD
1735218406.520430,358643.000,56079,2,AK,1,100,55240
1735218406.521430,358644.000,56079,2,AK,1,100,RD
1735218409.085452,361208.000,56916,2,AK,1,100,56080
1735218411.649474,363772.000,56916,2,AK,1,100,RD
1735218411.650474,363773.000,56918,2,AK,1,100,56080
1735218411.651474,363774.000,56918,2,AK,1,100,RD
1735218411.684474,363807.000,56921,2,AK,1,100,56919
1735218411.717474,363840.000,56921,2,AK,1,100,RD
1735218414.252996,366375.500,57761,2,AK,1,100,56919
1735218416.788518,368911.000,57761,2,AK,1,100,RD
