LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,BI
1735218293.166451,245290,37749,1,BI,1,100,760
1735218294.099459,246223,37906,1,BI,1,100,920
1735218294.979467,247103,38055,1,BI,1,100,880
1735218295.779474,247903,38173,1,BI,1,100,800
1735218296.619481,248743,38320,1,BI,1,100,840
1735218297.472489,249596,38454,1,BI,1,100,840
1735218298.232495,250356,38589,1,BI,1,100,760
1735218298.952501,251076,38705,1,BI,1,100,720
1735218299.832509,251956,38840,1,BI,1,100,880
1735218300.672516,252796,38973,1,BI,1,100,840
1735218301.405523,253529,39106,1,BI,1,100,720
1735218302.245530,254369,39240,1,BI,1,100,840
1735218303.005536,255129,39355,1,BI,1,100,760
1735218303.765543,255889,39491,1,BI,1,100,760
1735218304.485549,256609,39602,1,BI,1,100,720
1735218305.338557,257462,39751,1,BI,1,100,840
1735218306.098563,258222,39867,1,BI,1,100,760
1735218306.858570,258982,40000,1,BI,1,100,760
1735218307.578576,259702,40115,1,BI,1,100,720
1735218308.338582,260462,40250,1,BI,1,100,760
1735218309.231590,261355,40384,1,BI,1,100,880
1735218310.031597,262155,40518,1,BI,1,100,800
1735218310.791604,262915,40634,1,BI,1,100,760
1735218311.631611,263755,40783,1,BI,1,100,840
1735218312.524618,264648,40915,1,BI,1,100,880
1735218313.324625,265448,41050,1,BI,1,100,800
1735218314.004631,266128,41168,1,BI,1,100,680
1735218314.844639,266968,41308,1,BI,1,100,840
1735218315.724646,267848,41440,1,BI,1,100,880
1735218316.457652,268581,41572,1,BI,1,100,720
1735218317.217659,269341,41690,1,BI,1,100,760
1735218318.057666,270181,41822,1,BI,1,100,840
1735218319.016675,271140,41988,1,BI,1,100,960
1735218319.830682,271954,42112,1,BI,1,100,800
1735218320.590688,272714,42229,1,BI,1,100,760
1735218321.390695,273514,42361,1,BI,1,100,800
1735218322.190702,274314,42494,1,BI,1,100,800
1735218322.909708,275033,42612,1,BI,1,100,720
1735218323.803716,275927,42746,1,BI,1,100,880
1735218324.723724,276847,42884,1,BI,1,100,920
1735218325.483730,277607,43016,1,BI,1,100,760
1735218326.202737,278326,43132,1,BI,1,100,720
1735218327.042744,279166,43265,1,BI,1,100,840
1735218327.776750,279900,43382,1,BI,1,100,720
1735218328.416756,280540,43499,1,BI,1,100,640
1735218329.175762,281299,43618,1,BI,1,100,760
1735218329.935769,282059,43722,1,BI,1,100,760
1735218330.655775,282779,43840,1,BI,1,100,720
1735218331.429782,283553,43973,1,BI,1,100,760
1735218332.309789,284433,44123,1,BI,1,100,880
1735218333.109796,285233,44243,1,BI,1,100,800
1735218333.828802,285952,44360,1,BI,1,100,720
1735218334.548809,286672,44477,1,BI,1,100,720
1735218335.282815,287406,44599,1,BI,1,100,720
1735218336.162822,288286,44685,1,BI,1,100,880
1735218337.002830,289126,44833,1,BI,1,100,840
1735218337.761836,289885,44950,1,BI,1,100,760
1735218338.375842,290499,45051,1,BI,1,100,600
1735218339.094848,291218,45168,1,BI,1,100,720
1735218339.854854,291978,45301,1,BI,1,100,760
1735218340.734862,292858,45438,1,BI,1,100,880
1735218341.574869,293698,45571,1,BI,1,100,840
1735218342.468877,294592,45720,1,BI,1,100,880
1735218343.187883,295311,45840,1,BI,1,100,720
1735218343.908889,296032,45956,1,BI,1,100,720
1735218344.667896,296791,46071,1,BI,1,100,760
1735218345.587904,297711,46228,1,BI,1,100,920
1735218346.360910,298484,46362,1,BI,1,100,760
1735218347.160917,299284,46495,1,BI,1,100,800
1735218348.880932,301004,46776,1,BI,1,100,1720
1735218349.653939,301777,46892,1,BI,1,100,760
1735218350.373945,302497,47010,1,BI,1,100,720
1735218351.413954,303537,47175,1,BI,1,100,1040
1735218352.293962,304417,47327,1,BI,1,100,880
1735218353.387971,305511,47495,1,BI,1,100,1080
1735218354.026977,306150,47610,1,BI,1,100,640
1735218355.027985,307151,47776,1,BI,1,100,1000
1735218355.986994,308110,47916,1,BI,1,100,960
1735218356.840001,308963,48048,1,BI,1,100,840
1735218357.000002,309123,48082,1,BI,1,100,160
1735218357.560007,309683,48167,1,BI,1,100,560
1735218358.440015,310563,48317,1,BI,1,100,880
1735218359.400023,311523,48467,1,BI,1,100,960
1735218360.080029,312203,48584,1,BI,1,100,680
1735218360.813035,312936,48694,1,BI,1,100,720
1735218361.493041,313616,48794,1,BI,1,100,680
1735218362.613051,314736,48977,1,BI,1,100,1120
1735218363.533059,315656,49129,1,BI,1,100,920
1735218364.306065,316429,49262,1,BI,1,100,760
1735218365.146073,317269,49394,1,BI,1,100,840
1735218366.306082,318429,49581,1,BI,1,100,1160
1735218367.226090,319349,49730,1,BI,1,100,920
1735218367.999097,320122,49847,1,BI,1,100,760
1735218368.159099,320282,49883,1,BI,1,100,160
1735218368.999106,321122,50016,1,BI,1,100,840
1735218369.919114,322042,50165,1,BI,1,100,920
1735218370.639120,322762,50284,1,BI,1,100,720
1735218371.439127,323562,50386,1,BI,1,100,800
1735218372.452136,324575,50521,1,BI,1,100,1000
1735218373.292143,325415,50656,1,BI,1,100,840
1735218374.052150,326175,50788,1,BI,1,100,760
1735218375.185159,327308,50971,1,BI,1,100,1120
1735218376.145168,328268,51125,1,BI,1,100,960
1735218376.865174,328988,51242,1,BI,1,100,720
1735218377.905183,330028,51408,1,BI,1,100,1040
1735218378.825191,330948,51558,1,BI,1,100,920
1735218379.558197,331681,51691,1,BI,1,100,720
1735218380.358204,332481,51807,1,BI,1,100,800
1735218381.518214,333641,51996,1,BI,1,100,1160
1735218382.478222,334601,52162,1,BI,1,100,960
1735218383.411230,335534,52314,1,BI,1,100,920
1735218384.171237,336294,52431,1,BI,1,100,760
1735218385.131245,337254,52595,1,BI,1,100,960
1735218386.091253,338214,52748,1,BI,1,100,960
1735218386.944261,339067,52882,1,BI,1,100,840
1735218387.584266,339707,52998,1,BI,1,100,640
1735218388.384273,340507,53116,1,BI,1,100,800
1735218389.184280,341307,53248,1,BI,1,100,800
1735218389.917286,342040,53381,1,BI,1,100,720
1735218390.877295,343000,53532,1,BI,1,100,960
1735218391.597301,343720,53653,1,BI,1,100,720
1735218392.477309,344600,53785,1,BI,1,100,880
1735218393.690319,345813,53985,1,BI,1,100,1200
1735218394.650327,346773,54134,1,BI,1,100,960
1735218395.370333,347493,54266,1,BI,1,100,720
1735218396.090340,348213,54384,1,BI,1,100,720
1735218396.890347,349013,54489,1,BI,1,100,800
1735218397.743354,349866,54638,1,BI,1,100,840
1735218398.503361,350626,54757,1,BI,1,100,760
1735218399.263367,351386,54890,1,BI,1,100,760
1735218400.223375,352346,55040,1,BI,1,100,960
1735218401.276384,353399,55221,1,BI,1,100,1040
1735218402.036391,354159,55341,1,BI,1,100,760
1735218402.876398,354999,55474,1,BI,1,100,840
1735218403.676405,355799,55608,1,BI,1,100,800
1735218404.276410,356399,55709,1,BI,1,100,600
1735218405.449420,357572,55889,1,BI,1,100,1160
1735218406.089426,358212,56009,1,BI,1,100,640
1735218407.009434,359132,56147,1,BI,1,100,920
1735218407.929442,360052,56296,1,BI,1,100,920
1735218408.822449,360945,56449,1,BI,1,100,880
1735218409.702457,361825,56600,1,BI,1,100,880
1735218410.422463,362545,56716,1,BI,1,100,720
1735218411.262470,363385,56849,1,BI,1,100,840
1735218411.995477,364118,56973,1,BI,1,100,720
1735218412.715483,364838,57089,1,BI,1,100,720
1735218413.555490,365678,57224,1,BI,1,100,840
1735218414.515499,366638,57392,1,BI,1,100,960
1735218415.248505,367371,57509,1,BI,1,100,720
1735218415.968511,368091,57627,1,BI,1,100,720
1735218416.688517,368811,57742,1,BI,1,100,720
1735218417.448524,369571,57863,1,BI,1,100,760
1735218418.168530,370291,57980,1,BI,1,100,720
1735218418.781535,370904,58080,1,BI,1,100,600
1735218419.461541,371584,58199,1,BI,1,100,680
1735218420.181547,372304,58315,1,BI,1,100,720
1735218420.861553,372984,58432,1,BI,1,100,680
1735218421.980563,374103,58604,1,BI,1,100,1120
1735218422.834570,374957,58738,1,BI,1,100,840
1735218423.434576,375557,58839,1,BI,1,100,600
1735218423.554577,375677,58857,1,BI,1,100,120
1735218424.314583,376437,58990,1,BI,1,100,760
1735218425.114590,377237,59122,1,BI,1,100,800
1735218426.047598,378170,59272,1,BI,1,100,920
1735218426.887605,379010,59405,1,BI,1,100,840
1735218427.567611,379690,59511,1,BI,1,100,680
1735218428.207617,380330,59612,1,BI,1,100,640
1735218428.966623,381089,59744,1,BI,1,100,760
1735218429.900631,382023,59894,1,BI,1,100,920
1735218430.500637,382623,59995,1,BI,1,100,600
1735218431.380644,383503,60127,1,BI,1,100,880
1735218432.259652,384382,60279,1,BI,1,100,880
1735218433.193660,385316,60431,1,BI,1,100,920
1735218433.873666,385996,60529,1,BI,1,100,680
1735218434.633672,386756,60662,1,BI,1,100,760
1735218435.393679,387516,60779,1,BI,1,100,760
1735218436.033684,388156,60895,1,BI,1,100,640
1735218436.752691,388875,61012,1,BI,1,100,720
1735218437.486697,389609,61138,1,BI,1,100,720
1735218438.406705,390529,61288,1,BI,1,100,920
1735218439.405713,391528,61454,1,BI,1,100,1000
1735218440.366722,392489,61602,1,BI,1,100,960
1735218441.299730,393422,61751,1,BI,1,100,920
1735218442.139737,394262,61883,1,BI,1,100,840
1735218443.059745,395182,62038,1,BI,1,100,920
1735218443.938752,396061,62191,1,BI,1,100,880
1735218444.672759,396795,62307,1,BI,1,100,720
1735218445.392765,397515,62422,1,BI,1,100,720
1735218446.272773,398395,62572,1,BI,1,100,880
1735218446.951778,399074,62673,1,BI,1,100,680
1735218447.725785,399848,62795,1,BI,1,100,760
1735218448.485792,400608,62929,1,BI,1,100,760
1735218449.324799,401447,63062,1,BI,1,100,840
1735218450.165806,402288,63212,1,BI,1,100,840
1735218451.338816,403461,63394,1,BI,1,100,1160
1735218452.178824,404301,63528,1,BI,1,100,840
1735218453.177832,405300,63700,1,BI,1,100,1000
1735218453.937839,406060,63816,1,BI,1,100,760
1735218454.737846,406860,63948,1,BI,1,100,800
1735218455.631853,407754,64097,1,BI,1,100,880
1735218456.270859,408393,64198,1,BI,1,100,640
1735218457.150867,409273,64345,1,BI,1,100,880
1735218457.950873,410073,64468,1,BI,1,100,800
1735218458.564879,410687,64571,1,BI,1,100,600
1735218459.203884,411326,64687,1,BI,1,100,640
1735218460.203893,412326,64855,1,BI,1,100,1000
1735218463.616922,415739,65388,1,BI,1,100,3400
1735218464.976934,417099,67,1,BI,1,100,1360
1735218465.950943,418073,233,1,BI,1,100,960
1735218466.669949,418792,348,1,BI,1,100,720
1735218467.549956,419672,480,1,BI,1,100,880
1735218468.229962,420352,606,1,BI,1,100,680
1735218469.002969,421125,721,1,BI,1,100,760
1735218469.522973,421645,821,1,BI,1,100,520
1735218470.242980,422365,938,1,BI,1,100,720
1735218471.202988,423325,1089,1,BI,1,100,960
1735218472.042995,424165,1221,1,BI,1,100,840
1735218472.817002,424939,1353,1,BI,1,100,760
1735218473.816010,425938,1510,1,BI,1,100,1000
1735218473.897011,426019,1529,1,BI,1,100,80
1735218474.976020,427098,1710,1,BI,1,100,1080
1735218475.816028,427938,1842,1,BI,1,100,840
1735218476.710035,428832,1991,1,BI,1,100,880
1735218477.629043,429751,2141,1,BI,1,100,920
