LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,BV
1735218293.104451,245228.000,37768,1,BV,1,100,3.89
1735218298.103494,250227.000,38569,1,BV,1,100,3.89
1735218303.103537,255227.000,39388,1,BV,1,100,3.88
1735218308.102580,260226.000,40215,1,BV,1,100,3.88
1735218313.102623,265226.000,41033,1,BV,1,100,3.88
1735218318.101667,270225.000,41856,1,BV,1,100,3.88
1735218323.101710,275225.000,42662,1,BV,1,100,3.88
1735218328.100753,280224.000,43448,1,BV,1,100,3.88
1735218333.100796,285224.000,44259,1,BV,1,100,3.88
1735218338.099839,290223.000,45016,1,BV,1,100,3.88
1735218343.099882,295223.000,45838,1,BV,1,100,3.88
1735218348.098926,300222.000,46658,1,BV,1,100,3.88
1735218353.098969,305222.000,47476,1,BV,1,100,3.88
1735218358.098012,310221.000,48266,1,BV,1,100,3.88
1735218363.098055,315221.000,49079,1,BV,1,100,3.87
1735218368.097098,320220.000,49880,1,BV,1,100,3.87
1735218373.097141,325220.000,50636,1,BV,1,100,3.87
1735218378.096184,330219.000,51458,1,BV,1,100,3.87
1735218383.096227,335219.000,52280,1,BV,1,100,3.88
1735218388.096271,340219.000,53097,1,BV,1,100,3.87
1735218393.095314,345218.000,53901,1,BV,1,100,3.88
1735218398.094357,350217.000,54704,1,BV,1,100,3.88
1735218403.094400,355217.000,55526,1,BV,1,100,3.88
1735218408.093443,360216.000,56346,1,BV,1,100,3.88
1735218413.093486,365216.000,57173,1,BV,1,100,3.87
1735218418.092530,370215.000,57978,1,BV,1,100,3.87
1735218423.092573,375215.000,58805,1,BV,1,100,3.87
1735218428.091616,380214.000,59610,1,BV,1,100,3.87
1735218433.091659,385214.000,60428,1,BV,1,100,3.87
1735218438.090702,390213.000,61253,1,BV,1,100,3.87
1735218443.090745,395213.000,62054,1,BV,1,100,3.87
1735218448.089788,400212.000,62879,1,BV,1,100,3.88
1735218453.089831,405212.000,63698,1,BV,1,100,3.87
1735218458.088875,410211.000,64518,1,BV,1,100,3.88
1735218463.088918,415211.000,65321,1,BV,1,100,3.87
1735218468.087961,420210.000,586,1,BV,1,100,3.88
1735218473.088004,425210.000,1426,1,BV,1,100,3.87
1735218478.087047,430209.000,2224,1,BV,1,100,3.87
1735218483.087090,435209.000,3044,1,BV,1,100,3.87
