LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,EA
1735218293.138451,245262.000,37755,1,EA,1,100,0.797240
1735218293.204952,245328.500,37774,2,EA,1,100,0.796693
1735218293.271452,245395.000,37774,2,EA,1,100,0.796058
1735218293.338453,245462.000,37790,1,EA,1,100,0.795513
1735218293.404953,245528.500,37806,2,EA,1,100,0.794969
1735218293.471454,245595.000,37806,2,EA,1,100,0.794517
1735218293.538455,245662.000,37822,1,EA,1,100,0.794246
1735218293.604955,245728.500,37839,2,EA,1,100,0.793794
1735218293.671456,245795.000,37839,2,EA,1,100,0.793613
1735218293.738456,245862.000,37855,1,EA,1,100,0.793162
1735218293.804957,245928.500,37872,2,EA,1,100,0.792982
1735218293.871458,245995.000,37872,2,EA,1,100,0.792712
1735218293.937958,246061.500,37892,2,EA,1,100,0.792351
1735218294.004459,246128.000,37892,2,EA,1,100,0.792082
1735218294.071459,246195.000,37912,2,EA,1,100,0.791902
1735218294.138460,246262.000,37912,2,EA,1,100,0.791273
1735218294.204460,246328.000,37928,1,EA,1,100,0.791095
1735218294.271461,246395.000,37945,2,EA,1,100,0.790736
1735218294.338462,246462.000,37945,2,EA,1,100,0.790736
1735218294.404462,246528.000,37961,1,EA,1,100,0.790467
1735218294.471463,246595.000,37978,2,EA,1,100,0.790288
1735218294.538463,246662.000,37978,2,EA,1,100,0.789930
1735218294.604464,246728.000,37993,1,EA,1,100,0.789752
1735218294.671464,246795.000,38010,2,EA,1,100,0.789394
1735218294.738465,246862.000,38010,2,EA,1,100,0.789394
1735218294.804466,246928.000,38027,1,EA,1,100,0.789305
1735218294.871466,246995.000,38043,2,EA,1,100,0.789215
1735218294.938467,247062.000,38043,2,EA,1,100,0.788948
1735218295.004967,247128.500,38060,2,EA,1,100,0.788948
1735218295.071468,247195.000,38060,2,EA,1,100,0.788502
1735218295.138469,247262.000,38078,1,EA,1,100,0.788414
1735218295.204969,247328.500,38094,2,EA,1,100,0.788324
1735218295.271470,247395.000,38094,2,EA,1,100,0.787968
1735218295.338470,247462.000,38111,1,EA,1,100,0.787701
1735218295.404971,247528.500,38126,2,EA,1,100,0.787435
1735218295.471471,247595.000,38126,2,EA,1,100,0.787168
1735218295.538472,247662.000,38143,1,EA,1,100,0.786902
1735218295.604973,247728.500,38159,2,EA,1,100,0.786725
1735218295.671473,247795.000,38159,2,EA,1,100,0.786547
1735218295.738474,247862.000,38178,1,EA,1,100,0.786281
1735218295.804974,247928.500,38193,2,EA,1,100,0.786016
1735218295.871475,247995.000,38193,2,EA,1,100,0.785751
1735218295.938475,248062.000,38210,1,EA,1,100,0.785573
1735218296.004976,248128.500,38226,2,EA,1,100,0.785397
1735218296.071476,248195.000,38226,2,EA,1,100,0.785132
1735218296.137477,248261.000,38244,1,EA,1,100,0.784955
1735218296.204478,248328.000,38258,2,EA,1,100,0.784690
1735218296.271478,248395.000,38258,2,EA,1,100,0.784249
1735218296.338479,248462.000,38275,1,EA,1,100,0.784073
1735218296.404979,248528.500,38292,2,EA,1,100,0.784073
1735218296.471480,248595.000,38292,2,EA,1,100,0.783720
1735218296.537481,248661.000,38309,1,EA,1,100,0.783633
1735218296.604481,248728.000,38325,2,EA,1,100,0.783633
1735218296.671482,248795.000,38325,2,EA,1,100,0.783633
1735218296.738482,248862.000,38342,1,EA,1,100,0.783633
1735218296.804983,248928.500,38359,2,EA,1,100,0.783633
1735218296.871483,248995.000,38359,2,EA,1,100,0.783720
1735218296.938484,249062.000,38376,1,EA,1,100,0.784073
1735218297.004985,249128.500,38391,2,EA,1,100,0.784161
1735218297.071485,249195.000,38391,2,EA,1,100,0.784514
1735218297.138486,249262.000,38408,1,EA,1,100,0.784514
1735218297.204986,249328.500,38424,2,EA,1,100,0.784955
1735218297.271487,249395.000,38424,2,EA,1,100,0.785397
1735218297.337987,249461.500,38441,2,EA,1,100,0.785662
1735218297.404488,249528.000,38441,2,EA,1,100,0.786370
1735218297.471489,249595.000,38460,1,EA,1,100,0.786459
1735218297.537989,249661.500,38475,2,EA,1,100,0.786725
1735218297.604490,249728.000,38475,2,EA,1,100,0.786813
1735218297.671490,249795.000,38491,1,EA,1,100,0.787168
1735218297.737991,249861.500,38509,2,EA,1,100,0.787168
1735218297.804492,249928.000,38509,2,EA,1,100,0.787168
1735218297.871492,249995.000,38525,1,EA,1,100,0.787257
1735218297.937993,250061.500,38540,2,EA,1,100,0.787257
1735218298.004493,250128.000,38540,2,EA,1,100,0.787168
1735218298.071494,250195.000,38556,1,EA,1,100,0.787168
1735218298.137994,250261.500,38576,2,EA,1,100,0.787080
1735218298.204495,250328.000,38576,2,EA,1,100,0.786902
1735218298.271496,250395.000,38594,1,EA,1,100,0.786636
1735218298.337996,250461.500,38609,2,EA,1,100,0.786281
1735218298.404497,250528.000,38609,2,EA,1,100,0.786281
1735218298.471497,250595.000,38626,1,EA,1,100,0.786104
1735218298.537998,250661.500,38643,2,EA,1,100,0.785839
1735218298.604498,250728.000,38643,2,EA,1,100,0.785397
1735218298.671499,250795.000,38659,1,EA,1,100,0.785309
1735218298.737999,250861.500,38675,2,EA,1,100,0.784955
1735218298.804500,250928.000,38675,2,EA,1,100,0.784955
1735218298.871501,250995.000,38691,1,EA,1,100,0.784955
1735218298.938001,251061.500,38710,2,EA,1,100,0.784867
1735218299.004502,251128.000,38710,2,EA,1,100,0.784514
1735218299.071002,251194.500,38730,2,EA,1,100,0.784073
1735218299.137503,251261.000,38730,2,EA,1,100,0.784073
1735218299.204504,251328.000,38747,1,EA,1,100,0.783720
1735218299.271004,251394.500,38762,2,EA,1,100,0.783369
1735218299.337505,251461.000,38762,2,EA,1,100,0.783193
1735218299.404505,251528.000,38778,1,EA,1,100,0.782930
1735218299.471006,251594.500,38795,2,EA,1,100,0.782403
1735218299.537506,251661.000,38795,2,EA,1,100,0.782315
1735218299.604007,251727.500,38812,2,EA,1,100,0.782228
1735218299.670508,251794.000,38812,2,EA,1,100,0.782315
1735218299.737508,251861.000,38828,1,EA,1,100,0.781964
1735218299.804509,251928.000,38846,2,EA,1,100,0.781877
1735218299.871509,251995.000,38846,2,EA,1,100,0.781526
1735218299.937510,252061.000,38862,1,EA,1,100,0.781439
1735218300.004010,252127.500,38879,2,EA,1,100,0.781439
1735218300.070511,252194.000,38879,2,EA,1,100,0.781002
1735218300.137512,252261.000,38896,1,EA,1,100,0.780740
1735218300.204012,252327.500,38911,2,EA,1,100,0.780565
1735218300.270513,252394.000,38911,2,EA,1,100,0.780303
1735218300.337513,252461.000,38927,1,EA,1,100,0.780129
1735218300.404014,252527.500,38945,2,EA,1,100,0.779954
1735218300.470515,252594.000,38945,2,EA,1,100,0.779868
1735218300.537515,252661.000,38961,1,EA,1,100,0.779693
1735218300.604016,252727.500,38978,2,EA,1,100,0.779432
1735218300.670516,252794.000,38978,2,EA,1,100,0.779258
1735218300.737517,252861.000,38994,1,EA,1,100,0.778910
1735218300.804017,252927.500,39012,2,EA,1,100,0.778823
1735218300.870518,252994.000,39012,2,EA,1,100,0.778562
1735218300.937519,253061.000,39028,1,EA,1,100,0.778389
1735218301.004019,253127.500,39043,2,EA,1,100,0.777955
1735218301.070520,253194.000,39043,2,EA,1,100,0.775104
1735218301.137520,253261.000,39060,1,EA,1,100,0.773815
1735218301.204021,253327.500,39077,2,EA,1,100,0.773643
1735218301.270521,253394.000,39077,2,EA,1,100,0.773214
1735218301.337522,253461.000,39093,1,EA,1,100,0.772958
1735218301.404022,253527.500,39112,2,EA,1,100,0.772786
1735218301.470523,253594.000,39112,2,EA,1,100,0.772786
1735218301.537524,253661.000,39127,1,EA,1,100,0.772530
