LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,EL
1735218293.138451,245262.000,37756,1,EL,1,100,-17858.400391
1735218293.204952,245328.500,37775,2,EL,1,100,-17857.199219
1735218293.271452,245395.000,37775,2,EL,1,100,-17855.800781
1735218293.338453,245462.000,37791,1,EL,1,100,-17854.599609
1735218293.404953,245528.500,37807,2,EL,1,100,-17853.400391
1735218293.471454,245595.000,37807,2,EL,1,100,-17852.400391
1735218293.538455,245662.000,37823,1,EL,1,100,-17851.800781
1735218293.604955,245728.500,37840,2,EL,1,100,-17850.800781
1735218293.671456,245795.000,37840,2,EL,1,100,-17850.400391
1735218293.738456,245862.000,37856,1,EL,1,100,-17849.400391
1735218293.804957,245928.500,37873,2,EL,1,100,-17849.000000
1735218293.871458,245995.000,37873,2,EL,1,100,-17848.400391
1735218293.937958,246061.500,37893,2,EL,1,100,-17847.599609
1735218294.004459,246128.000,37893,2,EL,1,100,-17847.000000
1735218294.071459,246195.000,37913,2,EL,1,100,-17846.599609
1735218294.138460,246262.000,37913,2,EL,1,100,-17845.199219
1735218294.204460,246328.000,37929,1,EL,1,100,-17844.800781
1735218294.271461,246395.000,37946,2,EL,1,100,-17844.000000
1735218294.338462,246462.000,37946,2,EL,1,100,-17844.000000
1735218294.404462,246528.000,37962,1,EL,1,100,-17843.400391
1735218294.471463,246595.000,37979,2,EL,1,100,-17843.000000
1735218294.538463,246662.000,37979,2,EL,1,100,-17842.199219
1735218294.604464,246728.000,37994,1,EL,1,100,-17841.800781
1735218294.671464,246795.000,38011,2,EL,1,100,-17841.000000
1735218294.738465,246862.000,38011,2,EL,1,100,-17841.000000
1735218294.804466,246928.000,38028,1,EL,1,100,-17840.800781
1735218294.871466,246995.000,38044,2,EL,1,100,-17840.599609
1735218294.938467,247062.000,38044,2,EL,1,100,-17840.000000
1735218295.004967,247128.500,38061,2,EL,1,100,-17840.000000
1735218295.071468,247195.000,38061,2,EL,1,100,-17839.000000
1735218295.138469,247262.000,38079,1,EL,1,100,-17838.800781
1735218295.204969,247328.500,38095,2,EL,1,100,-17838.599609
1735218295.271470,247395.000,38095,2,EL,1,100,-17837.800781
1735218295.338470,247462.000,38112,1,EL,1,100,-17837.199219
1735218295.404971,247528.500,38127,2,EL,1,100,-17836.599609
1735218295.471471,247595.000,38127,2,EL,1,100,-17836.000000
1735218295.538472,247662.000,38144,1,EL,1,100,-17835.400391
1735218295.604973,247728.500,38160,2,EL,1,100,-17835.000000
1735218295.671473,247795.000,38160,2,EL,1,100,-17834.599609
1735218295.738474,247862.000,38179,1,EL,1,100,-17834.000000
1735218295.804974,247928.500,38194,2,EL,1,100,-17833.400391
1735218295.871475,247995.000,38194,2,EL,1,100,-17832.800781
1735218295.938475,248062.000,38211,1,EL,1,100,-17832.400391
1735218296.004976,248128.500,38227,2,EL,1,100,-17832.000000
1735218296.071476,248195.000,38227,2,EL,1,100,-17831.400391
1735218296.137477,248261.000,38245,1,EL,1,100,-17831.000000
1735218296.204478,248328.000,38259,2,EL,1,100,-17830.400391
1735218296.271478,248395.000,38259,2,EL,1,100,-17829.400391
1735218296.338479,248462.000,38276,1,EL,1,100,-17829.000000
1735218296.404979,248528.500,38293,2,EL,1,100,-17829.000000
