LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,EM
1735218293.089451,245213.000,37736,4,EM,1,100,RS
1735218293.089451,245213.000,37736,4,EM,1,100,RB
1735218293.089451,245213.000,37736,4,EM,1,100,2024-12-26_20-04-52-680853.csv
1735218293.089451,245213.000,37736,4,EM,1,100,PS
1735218293.139701,245263.250,37770,4,EM,1,100,RS
1735218293.189952,245313.500,37770,4,EM,1,100,RB
1735218293.240202,245363.750,37770,4,EM,1,100,2024-12-26_20-04-52-680853.csv
1735218293.290452,245414.000,37770,4,EM,1,100,PS
1735218293.340703,245464.250,37801,4,EM,1,100,RS
1735218293.390953,245514.500,37801,4,EM,1,100,RB
1735218293.441204,245564.750,37801,4,EM,1,100,2024-12-26_20-04-52-680853.csv
1735218293.491454,245615.000,37801,4,EM,1,100,PS
1735218293.541705,245665.250,37835,4,EM,1,100,RS
1735218293.591955,245715.500,37835,4,EM,1,100,RB
1735218293.642205,245765.750,37835,4,EM,1,100,2024-12-26_20-04-52-680853.csv
1735218293.692456,245816.000,37835,4,EM,1,100,PS
1735218293.742707,245866.250,37867,4,EM,1,100,RS
1735218293.792957,245916.500,37867,4,EM,1,100,RB
1735218293.843207,245966.750,37867,4,EM,1,100,2024-12-26_20-04-52-680853.csv
1735218293.893458,246017.000,37867,4,EM,1,100,PS
1735218293.946458,246070.000,37905,4,EM,1,100,RS
1735218293.999459,246123.000,37905,4,EM,1,100,RB
1735218294.052459,246176.000,37905,4,EM,1,100,2024-12-26_20-04-52-680853.csv
1735218294.105459,246229.000,37905,4,EM,1,100,PS
1735218294.155710,246279.250,37941,4,EM,1,100,RS
1735218294.205961,246329.500,37941,4,EM,1,100,RB
1735218294.256211,246379.750,37941,4,EM,1,100,2024-12-26_20-04-52-680853.csv
1735218294.306461,246430.000,37941,4,EM,1,100,PS
1735218294.356712,246480.250,37973,4,EM,1,100,RS
1735218294.406962,246530.500,37973,4,EM,1,100,RB
1735218294.457213,246580.750,37973,4,EM,1,100,2024-12-26_20-04-52-680853.csv
1735218294.507463,246631.000,37973,4,EM,1,100,PS
1735218294.557714,246681.250,38006,4,EM,1,100,RS
1735218294.607964,246731.500,38006,4,EM,1,100,RB
1735218294.658214,246781.750,38006,4,EM,1,100,2024-12-26_20-04-52-680853.csv
1735218294.708465,246832.000,38006,4,EM,1,100,PS
1735218294.758715,246882.250,38039,4,EM,1,100,RS
1735218294.808966,246932.500,38039,4,EM,1,100,RB
1735218294.859216,246982.750,38039,4,EM,1,100,2024-12-26_20-04-52-680853.csv
1735218294.909467,247033.000,38039,4,EM,1,100,PS
1735218294.960717,247084.250,38073,4,EM,1,100,RS
1735218295.011967,247135.500,38073,4,EM,1,100,RB
1735218295.063218,247186.750,38073,4,EM,1,100,2024-12-26_20-04-52-680853.csv
1735218295.114468,247238.000,38073,4,EM,1,100,PS
1735218295.164719,247288.250,38107,4,EM,1,100,RS
1735218295.214969,247338.500,38107,4,EM,1,100,RB
