LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,HR
1735218293.166451,245290,37750,1,HR,1,100,76
1735218294.099459,246223,37907,1,HR,1,100,73
1735218294.979467,247103,38056,1,HR,1,100,72
1735218295.779474,247903,38174,1,HR,1,100,73
1735218296.619481,248743,38321,1,HR,1,100,73
1735218297.472489,249596,38455,1,HR,1,100,72
1735218298.232495,250356,38590,1,HR,1,100,74
1735218298.952501,251076,38706,1,HR,1,100,76
1735218299.832509,251956,38841,1,HR,1,100,74
1735218300.672516,252796,38974,1,HR,1,100,74
1735218301.405523,253529,39107,1,HR,1,100,76
1735218302.245530,254369,39241,1,HR,1,100,75
1735218303.005536,255129,39356,1,HR,1,100,76
1735218303.765543,255889,39492,1,HR,1,100,76
1735218304.485549,256609,39603,1,HR,1,100,78
1735218305.338557,257462,39752,1,HR,1,100,77
1735218306.098563,258222,39868,1,HR,1,100,77
1735218306.858570,258982,40001,1,HR,1,100,77
1735218307.578576,259702,40116,1,HR,1,100,79
1735218308.338582,260462,40251,1,HR,1,100,79
1735218309.231590,261355,40385,1,HR,1,100,76
1735218310.031597,262155,40519,1,HR,1,100,76
1735218310.791604,262915,40635,1,HR,1,100,77
1735218311.631611,263755,40784,1,HR,1,100,76
1735218312.524618,264648,40916,1,HR,1,100,74
1735218313.324625,265448,41051,1,HR,1,100,74
1735218314.004631,266128,41169,1,HR,1,100,77
1735218314.844639,266968,41309,1,HR,1,100,76
1735218315.724646,267848,41441,1,HR,1,100,74
1735218316.457652,268581,41573,1,HR,1,100,76
1735218317.217659,269341,41691,1,HR,1,100,77
1735218318.057666,270181,41823,1,HR,1,100,76
1735218319.016675,271140,41989,1,HR,1,100,73
1735218319.830682,271954,42113,1,HR,1,100,73
1735218320.590688,272714,42230,1,HR,1,100,75
1735218321.390695,273514,42362,1,HR,1,100,75
1735218322.190702,274314,42495,1,HR,1,100,75
1735218322.909708,275033,42613,1,HR,1,100,77
1735218323.803716,275927,42747,1,HR,1,100,75
1735218324.723724,276847,42885,1,HR,1,100,73
1735218325.483730,277607,43017,1,HR,1,100,74
1735218326.202737,278326,43133,1,HR,1,100,76
1735218327.042744,279166,43266,1,HR,1,100,75
1735218327.776750,279900,43383,1,HR,1,100,77
1735218328.416756,280540,43500,1,HR,1,100,81
1735218329.175762,281299,43619,1,HR,1,100,80
1735218329.935769,282059,43723,1,HR,1,100,80
1735218330.655775,282779,43841,1,HR,1,100,81
1735218331.429782,283553,43974,1,HR,1,100,80
1735218332.309789,284433,44124,1,HR,1,100,78
1735218333.109796,285233,44244,1,HR,1,100,77
1735218333.828802,285952,44361,1,HR,1,100,78
1735218334.548809,286672,44478,1,HR,1,100,80
1735218335.282815,287406,44600,1,HR,1,100,80
1735218336.162822,288286,44686,1,HR,1,100,78
1735218337.002830,289126,44834,1,HR,1,100,76
1735218337.761836,289885,44951,1,HR,1,100,77
1735218338.375842,290499,45052,1,HR,1,100,82
1735218339.094848,291218,45169,1,HR,1,100,82
1735218339.854854,291978,45302,1,HR,1,100,82
1735218340.734862,292858,45439,1,HR,1,100,79
1735218341.574869,293698,45572,1,HR,1,100,77
1735218342.468877,294592,45721,1,HR,1,100,75
1735218343.187883,295311,45841,1,HR,1,100,77
1735218343.908889,296032,45957,1,HR,1,100,78
1735218344.667896,296791,46072,1,HR,1,100,78
1735218345.587904,297711,46229,1,HR,1,100,76
1735218346.360910,298484,46363,1,HR,1,100,76
1735218347.160917,299284,46496,1,HR,1,100,76
1735218348.880932,301004,46777,1,HR,1,100,67
1735218349.653939,301777,46893,1,HR,1,100,70
1735218350.373945,302497,47011,1,HR,1,100,73
1735218351.413954,303537,47176,1,HR,1,100,69
1735218352.293962,304417,47328,1,HR,1,100,69
1735218353.387971,305511,47496,1,HR,1,100,66
1735218354.026977,306150,47611,1,HR,1,100,72
1735218355.027985,307151,47777,1,HR,1,100,69
1735218355.986994,308110,47917,1,HR,1,100,68
1735218356.840001,308963,48049,1,HR,1,100,69
1735218357.000002,309123,48083,1,HR,1,100,137
1735218357.560007,309683,48168,1,HR,1,100,130
1735218358.440015,310563,48318,1,HR,1,100,116
1735218359.400023,311523,48468,1,HR,1,100,104
1735218360.080029,312203,48585,1,HR,1,100,101
1735218360.813035,312936,48695,1,HR,1,100,97
1735218361.493041,313616,48795,1,HR,1,100,95
1735218362.613051,314736,48978,1,HR,1,100,86
1735218363.533059,315656,49130,1,HR,1,100,81
1735218364.306065,316429,49263,1,HR,1,100,81
1735218365.146073,317269,49395,1,HR,1,100,79
1735218366.306082,318429,49582,1,HR,1,100,73
1735218367.226090,319349,49731,1,HR,1,100,71
1735218367.999097,320122,49848,1,HR,1,100,73
1735218368.159099,320282,49884,1,HR,1,100,140
1735218368.999106,321122,50017,1,HR,1,100,125
1735218369.919114,322042,50166,1,HR,1,100,111
1735218370.639120,322762,50285,1,HR,1,100,105
1735218371.439127,323562,50387,1,HR,1,100,99
1735218372.452136,324575,50522,1,HR,1,100,90
1735218373.292143,325415,50657,1,HR,1,100,86
1735218374.052150,326175,50789,1,HR,1,100,84
1735218375.185159,327308,50972,1,HR,1,100,77
1735218376.145168,328268,51126,1,HR,1,100,74
1735218376.865174,328988,51243,1,HR,1,100,76
1735218377.905183,330028,51409,1,HR,1,100,72
1735218378.825191,330948,51559,1,HR,1,100,71
1735218379.558197,331681,51692,1,HR,1,100,73
1735218380.358204,332481,51808,1,HR,1,100,74
1735218381.518214,333641,51997,1,HR,1,100,69
1735218382.478222,334601,52163,1,HR,1,100,67
1735218383.411230,335534,52315,1,HR,1,100,67
1735218384.171237,336294,52432,1,HR,1,100,70
1735218385.131245,337254,52596,1,HR,1,100,68
1735218386.091253,338214,52749,1,HR,1,100,67
1735218386.944261,339067,52883,1,HR,1,100,68
1735218387.584266,339707,52999,1,HR,1,100,74
1735218388.384273,340507,53117,1,HR,1,100,74
1735218389.184280,341307,53249,1,HR,1,100,74
1735218389.917286,342040,53382,1,HR,1,100,76
1735218390.877295,343000,53533,1,HR,1,100,73
1735218391.597301,343720,53654,1,HR,1,100,75
1735218392.477309,344600,53786,1,HR,1,100,74
1735218393.690319,345813,53986,1,HR,1,100,69
1735218394.650327,346773,54135,1,HR,1,100,67
1735218395.370333,347493,54267,1,HR,1,100,71
1735218396.090340,348213,54385,1,HR,1,100,74
1735218396.890347,349013,54490,1,HR,1,100,74
1735218397.743354,349866,54639,1,HR,1,100,73
1735218398.503361,350626,54758,1,HR,1,100,75
1735218399.263367,351386,54891,1,HR,1,100,76
1735218400.223375,352346,55041,1,HR,1,100,73
1735218401.276384,353399,55222,1,HR,1,100,69
1735218402.036391,354159,55342,1,HR,1,100,71
